_col15,_col22,_col29,_col36,_col8,announce_date,app_name,category,end_date,gas_fee_eth_per_day,gas_fee_eth_per_day_after,gas_fee_eth_per_day_prev,gas_fee_usd_per_day,gas_fee_usd_per_day_after,gas_fee_usd_per_day_prev,incentive_type,incremental_addr_per_day,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day,incremental_gas_fee_usd_per_day_after,incremental_l1_gas_used_per_day,incremental_l1_gas_used_per_day_after,incremental_l2_gas_used_per_day,incremental_l2_gas_used_per_day_after,incremental_txs_per_day,incremental_txs_per_day_after,l1_gas_used_per_day,l1_gas_used_per_day_after,l1_gas_used_per_day_prev,l2_gas_used_per_day,l2_gas_used_per_day_after,l2_gas_used_per_day_prev,num_addr_per_day,num_addr_per_day_after,num_addr_per_day_prev,num_op,op_source,start_date,txs_per_day,txs_per_day_after,txs_per_day_prev,last_updated
|,|,|,|,|,2022-07-13T00:00:00Z,Velodrome,['DEX (Decentralized Exchange)'],,,,,,,,['Token Staking / Locking'],,,,,,,,,,,,,,,,,,,,,,7000000,"['Season 2', 'Partner Fund']",2022-07-13T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-07-14T00:00:00Z,Perpetual Protocol,['Perpetuals'],,,,,,,,"['Liquidity Providing / Deposits, Retroactive Airdrop']",,,,,,,,,,,,,,,,,,,,,,9000000,['Phase 0'],2022-07-18T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-07-15T00:00:00Z,Rubicon,['DEX (Decentralized Exchange)'],2023-02-10T00:00:00Z,6.380174454601417,3.0808352467713003,0.2791936913200091,18504.552854313955,8935.410632572482,809.7512778660954,['Liquidity Providing / Deposits'],637.1745655608215,94.97126436781609,6.100980763281408,2.8016415554512912,17694.80157644786,8125.659354706387,407432633.1197472,89554714.33563219,20251561292.60095,2725063739.9034486,1131.3096366508687,115.4712643678161,418311572.8530806,100433654.06896552,10878939.733333332,20527459118.80095,3000961566.1034484,275897826.2,661.3412322274881,119.13793103448276,24.166666666666668,900000,['Phase 0'],2022-07-15T00:00:00Z,1169.9763033175354,154.13793103448276,38.666666666666664,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-07-15T00:00:00Z,Thales,"[None, 'Other DeFi', 'Options']",,,,,,,,"['Liquidity Providing / Deposits, Token Staking / Locking, Grants', 'Event Participation', 'Token Staking / Locking, Trades/Swaps, DEX Liquidity']",,,,,,,,,,,,,,,,,,,,,,1450000,"['Season 3', 'Season 2', 'Phase 0']",2022-07-15T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-07-18T00:00:00Z,Layer2DAO,['DAO'],2022-08-17T00:00:00Z,,,,,,,"['DEX Liquidity, Other']",,,,,,,,,,,,,,,,,,,,,,300000,['Phase 0'],2022-07-20T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-07-22T00:00:00Z,PoolTogether,['Yield Aggregator'],2023-03-28T00:00:00Z,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,1000000,"['Season 2', 'Partner Fund']",2022-07-26T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-01T00:00:00Z,Stargate Finance,['Cross-Chain / Bridging'],,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,1000000,['Phase 0'],2022-08-05T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-02T00:00:00Z,Lyra Finance,['Options'],,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,3000000,['Phase 0'],2022-08-02T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-03T00:00:00Z,WePiggy,['Lend/Borrow Market'],2023-02-06T00:00:00Z,,,,,,,"['Retroactive Airdrop, Liquidity Providing / Deposits']",,,,,,,,,,,,,,,,,,,,,,300000,['Phase 0'],2022-08-03T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-04T00:00:00Z,Aave,['Lend/Borrow Market'],,,,,,,,"['Grants, Developer Contributions', 'Liquidity Providing / Deposits']",,,,,,,,,,,,,,,,,,,,,,5300000,"['Phase 0', 'Partner Fund']",2022-08-04T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
