Team,address_type,contract_address,contract_name,contract_num_by_creator,creator_address,date,days_since_contract_created,days_since_creator_first_deployed,first_date_address,first_date_creator,first_date_project,token_symbol,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_split_by_trace_gas_growth,total_eth_fees_split_by_trace_gas_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_num_txs_to_growth,total_num_txs_to_t28d,total_num_txs_trace_growth,total_num_txs_trace_t28d,total_trace_level_eth_fees_growth,total_trace_level_eth_fees_t28d,total_trace_level_gas_used_growth,total_trace_level_gas_used_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Layer Zero,contract,0x81e792e5a9003cc1c8bf5569a00f34b65d75b017,Relayer v2,32,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-07-15 00:00:00.000,323,487,2022-09-08 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,1410780466.539876,7570897439.471872,4.049932029849618,10.012662006554846,-56.16107670932212,158.67431559827125,550680.5,1129376,1258999.5,2387833,0.29791544919512225,0.3540128324142034,20849748641.0,27985366914,-0.006468480399525573,0.0028897684676045788,2023-07-16 05:18:51.760334+00:00
Layer Zero,contract,0xa0cc33dd6f4819d473226257792afe230ec3c67f,LayerZero Oracle,5,0x18606e2abaa0ba15cc1d0d3b55521bd2247e4d2e,2023-07-15 00:00:00.000,323,324,2022-09-08 00:00:00.000 UTC,2022-09-08 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,122849618.95524311,5170117749.119206,5.4192559612739775,13.329572982090973,-69.36161448059642,108.99764430160977,288361.75,1125111,987178.75,2383680,0.37822775216851096,0.4496541551920632,31971613209.0,41392769908,-0.00447737505788047,0.0023665537276513888,2023-07-16 05:18:51.760334+00:00
Galxe,contract,0x2e42f214467f647fe687fd9a2bf3baddfa737465,SpaceStation,1,0x000061c160273811279508582a4afabc263d98d2,2023-07-15 00:00:00.000,362,362,2022-07-30 00:00:00.000 UTC,2022-07-30 00:00:00.000 UTC,2022-07-30 00:00:00.000 UTC,,1631479412.7885528,2619047116.368602,16.546101373254302,29.014816591457087,20.580960390130787,49.1226803053882,609795.25,835937,638785.25,859202,0.44250875496169323,0.6285141563960186,42437907393.75,54732743197,-0.004544487236103016,0.0020333029462003575,2023-07-16 05:18:51.760334+00:00
Perpetual Protocol,contract,0x82ac2ce43e33683c58be4cdc40975e73aa50f459,ClearingHouse,139,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-07-15 00:00:00.000,595,598,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,-1188832335.736003,600565751.1359956,0.19853379501279955,0.9205580947380584,-26.57008362089833,44.576222219481835,-105371.0,234328,-43419.5,543570,0.6749484125705367,0.7335995407207253,3616003657.5,8723238744,-0.0017635607811211495,0.004422904646427169,2023-07-16 05:18:51.760334+00:00
Zeroex (0x),contract,0xdef1abe32c034e558cdd535791643c58a13acc10,ExchangeProxy,2,0xedcd79f34db8b78cd7a55e04dbf991ecd1a5c0f4,2023-07-15 00:00:00.000,570,570,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,1139033059.3719957,1984691250.863995,-0.4404480613017086,0.0689221982001484,16.73341434400632,44.43555607332899,145220.75,202931,158995.5,225429,-0.0021656991705193166,0.002239576598924076,-3154422017.75,-3038744719,-0.013241516422442824,0.0066864167015804315,2023-07-16 05:18:51.760334+00:00
Circle,contract,0x7f5c764cbc14f9669b88837ca1490cca17c31607,OVMFiatToken,1,0x,2023-07-15 00:00:00.000,611,739,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,USDC,-273796090.05202293,1379464102.6559746,14.357413256436882,20.945700547414834,-26.6278617846252,31.991657870084477,381593.25,804302,1098001.0,3009289,7.81844291308343,9.829552517096667,35450218377.25,142835694629,-0.003406537821360642,0.004602456284185787,2023-07-16 05:18:51.760334+00:00
Stargate Finance,contract,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Router,12,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-07-15 00:00:00.000,485,485,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,310730975.05199504,1349407421.7119958,-5.736593416258552,14.271429826505331,-5.981345013928056,30.000766193885937,241450.75,424680,772099.25,1685201,0.6165564165031375,0.7331872586671022,21125328952.75,42342946273,-0.005986439537204681,0.003090751510272429,2023-07-16 05:18:51.760334+00:00
Stargate Finance,contract,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,RouterETH,24,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-07-15 00:00:00.000,383,485,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,-424965500.9320116,648641230.1279871,-2.1629427095515337,0.006831727003925874,-22.307307893111798,16.766085923695627,53140.0,266416,57335.5,274667,-0.005360696462103761,0.00020154077781367398,-7477917831.75,-3721138731,-0.003675858763082868,0.001858352840865603,2023-07-16 05:18:51.760334+00:00
Op,contract,0x4200000000000000000000000000000000000042,GovernanceToken,1,0xcde47c1a5e2d60b9ff262b0a3b6d486048575ad9,2023-07-15 00:00:00.000,445,445,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,OP,-443219899.73599243,558557861.0400062,5.584703392761536,8.422699427627741,-21.130836287669233,13.458561442835537,98631.5,359964,400489.5,1366703,2.847769834178075,3.646200768548955,12850492465.0,69072274216,-0.0031152322546024102,0.004336712436665184,2023-07-16 05:18:51.760334+00:00
Uniswap,contract,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,UniversalRouter,1,0x946e9c780f3c79d80e51e68d259d0d7e794f2124,2023-07-15 00:00:00.000,72,72,2023-06-06 00:00:00.000 UTC,2023-06-06 00:00:00.000 UTC,2022-07-16 00:00:00.000 UTC,,543437622.4319963,603349934.8319961,1.7514493224100525,1.9414261069538172,11.657309000115221,12.989464668066242,123638.75,136409,126027.0,138333,0.06374196861412473,0.08022700650246072,3430712902.25,3782639816,0.0025853391084226835,0.002995042754071356,2023-07-16 05:18:51.760334+00:00
