Team,address_type,date,first_date_project,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_split_by_trace_gas_growth,total_eth_fees_split_by_trace_gas_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_num_txs_to_growth,total_num_txs_to_t28d,total_num_txs_trace_growth,total_num_txs_trace_t28d,total_trace_level_eth_fees_growth,total_trace_level_eth_fees_t28d,total_trace_level_gas_used_growth,total_trace_level_gas_used_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Layer Zero,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,1346062010.435995,13387374736.991993,-33.20175937793357,134.12026751962446,-140.05374439580578,282.0589419545468,918627.5,2482873.0,1637762.0,3647303.0,5.491085796570783,6.5982613972292095,268950713614.5,478706181332.0,-0.0053299471051776745,0.002596949199134943,2023-07-16 05:16:31.601966+00:00
Unmapped Address,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-839623316.7520318,3849487126.7039666,16.219623252508608,39.592312578766496,-11.69125720299138,181.36146281344213,328777.75,1189052.0,1406144.25,2543377.0,32.01652932902166,33.69849001509369,-227533800380.25,349502325445.0,-0.0011924822291689164,0.005947538644174975,2023-07-16 05:16:31.601966+00:00
Gnosis Safe,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,2350987934.8520565,2449093173.9840565,16.431096015591066,19.493122801534685,61.790706034937756,65.06189604455278,744826.5,758685.0,858372.0,1035188.0,5.248730173422668,5.2672536049978556,48686509418.5,50899161852.0,-0.007619016280383442,0.0033963297671030157,2023-07-16 05:16:31.601966+00:00
Stargate Finance,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-214008235.98002195,2299100430.959976,-46.44297388525531,70.26596798004124,-36.029348280189105,53.60477972872078,354599.5,848237.0,886460.25,1931079.0,4.371735847475402,5.308867433652032,111273370505.0,291486627142.0,-0.0052042025938067865,0.0026962189989114117,2023-07-16 05:16:31.601966+00:00
Perpetual Protocol,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-1320641787.1000085,693506661.5519904,-2.3511836366118786,60.6503718139765,-30.62339273167367,50.6636911853872,-107689.75,289546.0,-97600.75,637104.0,38.431171385318606,43.67518414891361,-2524998858.25,552208403046.0,-0.0012175355659819016,0.005184384615544435,2023-07-16 05:16:31.601966+00:00
Galxe,contract,2023-07-15 00:00:00.000,2022-07-18 00:00:00.000 UTC,1591270456.5799508,2625490831.391935,23.48496683125678,49.556882582478906,19.33774797356219,49.258369027754725,603793.25,838848.0,628591.75,865131.0,0.7297755657826899,1.0523846715301137,69622754458.0,92545138098.0,-0.007901945947121153,0.0021306128266865955,2023-07-16 05:16:31.601966+00:00
Zeroex (0x),contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,1138977876.2559943,1984700328.911994,4.152216689142229,13.080986491947602,16.727413391999733,44.435726527538435,145217.75,202935.0,159024.25,225463.0,0.16151179835172247,0.26968910030262055,12001600053.0,18549753496.0,-0.013108040031663156,0.006835954268009978,2023-07-16 05:16:31.601966+00:00
Circle,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-273796090.052022,1379464102.6559765,14.359338915626466,20.94738711722937,-26.627861784625324,31.99165787008443,381593.25,804302.0,1098299.0,3009567.0,7.818648497779051,9.829719846396937,35464072129.25,142849637751.0,-0.003406480312553692,0.0046024596021648065,2023-07-16 05:16:31.601966+00:00
Chainlink,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-508641638.1680043,1122993377.8559954,3.0922027929906974,11.943713598492192,-38.93436663749785,29.923650020315158,21240.5,169414.0,91972.0,1284244.0,6.761193765667381,7.9594915370247605,-401555387.5,103178251387.0,-0.0012733393785581476,0.005336208187930359,2023-07-16 05:16:31.601966+00:00
Uniswap,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,-658134481.4040055,842911057.871994,1.9255940602815649,11.960954898086994,-32.51087116896075,23.33436230949675,15197.75,219230.0,102016.5,1453575.0,21.33628455500956,24.31261284193552,-14508305409.75,246796268810.0,-0.0019860062863282695,0.004250064252058618,2023-07-16 05:16:31.601966+00:00
Holograph,contract,2023-07-15 00:00:00.000,2022-12-16 00:00:00.000 UTC,585152396.2479956,767994056.3519913,5.394591977473691,7.874248153490735,14.154011439395783,19.123134822574425,204655.5,271109.0,217927.5,285004.0,0.26348282601924256,1.2984862795664665,79096597315.5,115413278472.0,0.0008456894275094533,0.0028031194309716214,2023-07-16 05:16:31.601966+00:00
Socket,contract,2023-07-15 00:00:00.000,2022-07-16 00:00:00.000 UTC,58721183.051995754,631305698.8319955,0.2575199393917469,4.631485955784369,-5.512563010671084,14.648875362190438,78170.0,163013.0,82185.5,172931.0,0.4083746988775416,0.439449314023852,6609105603.5,10826198657.0,-0.005593984279169999,0.003415636902356762,2023-07-16 05:16:31.601966+00:00
