Team,Contract Address,Contract Name,Contract Num By Creator,Creator Address,Date,Days Since Contract Created,Days Since Creator First Deployed,Token Symbol,Total Calldata Gas To W Overhead Growth,Total Calldata Gas To W Overhead T28D,Total Eth Fees To Growth,Total Eth Fees To T28D,Total Num Txs To Growth,Total Num Txs To Or Trace Growth,Total Num Txs To Or Trace T28D,Total Num Txs To T28D,Total Trace Tx Eth Fees Growth,Total Trace Tx Eth Fees T28D,Last Updated
Perpetual Protocol,0xa7f3fc32043757039d5e13d790ee43edbcba8b7c,AccountBalance,131,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,541,544,,0.0,0,0.0,0.0,0.0,-522656.0,440038,0,293.58311057747574,2035.0360947211557,2023-05-23 21:05:49.655343+00:00
Synthetix,0x6abc19f21d5ce23abf392329ef7b118c7b5f2aa8,,401,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-22 00:00:00.000,46,249,,0.0,0,0.0,0.0,0.0,44501.5,49601,0,1363.5205253148206,1452.1388783134842,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0xdfcaebe8f6ea5e022befafae8c6cdae8d4e1094b,,123,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,541,544,,0.0,0,0.0,0.0,0.0,-522091.25,440692,0,344.0806846231676,1404.1259703944374,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0xbd7a3b7dbeb096f0b832cf467b94b091f30c34ec,Exchange,127,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,541,544,,0.0,0,0.0,0.0,0.0,-423040.25,400920,0,782.3566797107361,1368.8549465791507,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0x28f1e979ac21b80543adc7c70f15cf0dbaf340e0,,737,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,40,544,,0.0,0,0.0,0.0,0.0,143841.5,234392,0,942.7425665484086,1185.5182356490018,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0xfdadab426e4505030b958f17fa41547e018e3836,,850,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,12,544,,,0,,0.0,,,205646,0,,836.3678838992594,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0x670e5cd858d92c441dddda6d903a96998a514430,,733,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,40,544,,0.0,0,0.0,0.0,0.0,144106.5,234694,0,658.1160084871145,823.5186268979753,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0xdcb820d383ad87737da41f7f201866ef8792616a,Exchange,735,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,40,544,,0.0,0,0.0,0.0,0.0,134076.25,213533,0,656.9951786708746,819.1204229656021,2023-05-23 21:05:49.655343+00:00
Synthetix,0xdfa2d3a0d32f870d87f8a0d7aa6b9cdeb7bc5adb,MultiCollateralSynth,151,0xde910777c787903f78c89e7a0bf7f4c435cbb1fe,2023-05-22 00:00:00.000,347,493,,0.0,0,0.0,0.0,0.0,-419874.5,201513,0,285.2184905187162,809.4226911067767,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0x66c4196284837667414d6a4e9e974e0627572909,,728,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,40,544,,0.0,0,0.0,0.0,0.0,322043.75,401715,0,685.72282005026,777.7223443916597,2023-05-23 21:05:49.655343+00:00
Perpetual Protocol,0xa4c817a425d3443baf610ca614c8b11688a288fb,,107,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-22 00:00:00.000,541,544,,0.0,0,0.0,0.0,0.0,-454648.0,401715,0,280.67784596726847,777.7223443916597,2023-05-23 21:05:49.655343+00:00
Layer Zero,0x3c2269811836af69497e5f486a85d7316753cf62,Endpoint,3,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-22 00:00:00.000,433,433,,0.0,0,0.0,0.0,0.0,443416.5,980540,0,522.8703422393977,763.5725774661826,2023-05-23 21:05:49.655343+00:00
Velodrome,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746,PairFactory,4,0xc0de1436c4e247f8652476a0b9ff55699801e1d0,2023-05-22 00:00:00.000,355,355,,0.0,0,0.0,0.0,0.0,-506182.75,297605,0,-50.29590480437321,753.0315051192235,2023-05-23 21:05:49.655343+00:00
Layer Zero,0x81e792e5a9003cc1c8bf5569a00f34b65d75b017,Relayer v2,32,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-22 00:00:00.000,269,433,,2114205105.0,5730757764,188.85958766043024,291.90989867954124,228064.25,453651.5,1008339,510073,294.655864367125,454.9416055467116,2023-05-23 21:05:49.655343+00:00
Synthetix,0x68287419fcfa1c186515e99a35ff3c970b3b3c66,,407,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-22 00:00:00.000,46,249,,0.0,0,0.0,0.0,0.0,25424.25,27991,0,691.8393465660495,736.959945889366,2023-05-23 21:05:49.655343+00:00
Stargate Finance,0xe3b53af74a4bf62ae5511055290838050bf764df,Factory,14,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-05-22 00:00:00.000,431,431,,0.0,0,0.0,0.0,0.0,424714.0,860907,0,508.838956774512,729.3708963162893,2023-05-23 21:05:49.655343+00:00
