Team,Address Type,Contract Address,Contract Name,Contract Num By Creator,Creator Address,Date,Days Since Contract Created,Days Since Creator First Deployed,Token Symbol,Total Calldata Gas To W Overhead Growth,Total Calldata Gas To W Overhead T28D,Total Eth Fees To Growth,Total Eth Fees To T28D,Total Num Txs To Growth,Total Num Txs To Or Trace Growth,Total Num Txs To Or Trace T28D,Total Num Txs To T28D,Total Trace Tx Eth Fees Growth,Total Trace Tx Eth Fees T28D,Last Updated
Perpetual Protocol,contract,0xa7f3fc32043757039d5e13d790ee43edbcba8b7c,AccountBalance,131.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,558.0,561.0,,0.0,0.0,0.0,0.0,0.0,-428548.75,404209,0,-760.9587186178776,1088.955794433038,2023-06-09 15:26:34.582972+00:00
Perpetual Protocol,contract,0xfdadab426e4505030b958f17fa41547e018e3836,,850.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,29.0,561.0,,0.0,0.0,0.0,0.0,0.0,390693.25,404209,0,996.4375566994414,1083.4941928851165,2023-06-09 15:26:34.582972+00:00
Perpetual Protocol,contract,0xdfcaebe8f6ea5e022befafae8c6cdae8d4e1094b,,123.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,558.0,561.0,,0.0,0.0,0.0,0.0,0.0,-428227.75,404694,0,-410.3354285774078,758.99053980135,2023-06-09 15:26:34.582972+00:00
Perpetual Protocol,contract,0x4a2d20e1f412f78182b71780803cc7c8234a9794,,846.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,29.0,561.0,,0.0,0.0,0.0,0.0,0.0,391160.0,404694,0,696.8268124428943,755.7024456413301,2023-06-09 15:26:34.582972+00:00
Layer Zero,contract,0x81e792e5a9003cc1c8bf5569a00f34b65d75b017,Relayer v2,32.0,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-06-08 00:00:00.000,286.0,450.0,,4484353029.759997,8070864189.759997,160.6420233186259,293.53865903800914,396178.75,766591.75,1405669,718297,239.72840658829705,452.603689062457,2023-06-09 15:26:34.582972+00:00
Layer Zero,contract,0x3c2269811836af69497e5f486a85d7316753cf62,Endpoint,3.0,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-06-08 00:00:00.000,450.0,450.0,,0.0,0.0,0.0,0.0,0.0,761622.75,1392827,0,403.0306516816357,741.9836421135518,2023-06-09 15:26:34.582972+00:00
Perpetual Protocol,contract,0xbd7a3b7dbeb096f0b832cf467b94b091f30c34ec,Exchange,127.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,558.0,561.0,,0.0,0.0,0.0,0.0,0.0,-312510.5,383018,0,-28.6353192258664,735.7779937994,2023-06-09 15:26:34.582972+00:00
Perpetual Protocol,contract,0x81d4bdb63e59339375a1376a3bd0d99c22fc0126,,848.0,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-06-08 00:00:00.000,29.0,561.0,,0.0,0.0,0.0,0.0,0.0,371011.75,383018,0,677.7277451662161,735.775605540166,2023-06-09 15:26:34.582972+00:00
Synthetix,contract,0x6abc19f21d5ce23abf392329ef7b118c7b5f2aa8,,401.0,0x302d2451d9f47620374b54c521423bf0403916a2,2023-06-08 00:00:00.000,63.0,266.0,,0.0,0.0,0.0,0.0,0.0,36442.25,47622,0,362.6529462429924,713.3155079830934,2023-06-09 15:26:34.582972+00:00
Stargate Finance,contract,0xe3b53af74a4bf62ae5511055290838050bf764df,Factory,14.0,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-06-08 00:00:00.000,448.0,448.0,,0.0,0.0,0.0,0.0,0.0,707172.0,1214103,0,411.5204485542404,711.4819163577905,2023-06-09 15:26:34.582972+00:00
