dt_month,chain_name,is_op_transfer,tx_block_time,tx_hash,value_decimal
2023-10-01,Optimism,true,2023-10-15 14:23:45,0x1a2b3c4d5e6f7890abcdef1234567890abcdef1234567890abcdef1234567890,5.25
2023-10-01,Base,true,2023-10-18 09:12:30,0x2b3c4d5e6f7890abcdef1234567890abcdef1234567890abcdef1234567890ab,3.75
2023-10-01,Arbitrum One,true,2023-10-22 16:45:12,0x3c4d5e6f7890abcdef1234567890abcdef1234567890abcdef1234567890abcd,2.85
2023-10-01,Polygon,true,2023-10-25 11:30:45,0x4d5e6f7890abcdef1234567890abcdef1234567890abcdef1234567890abcdef,1.45
2023-11-01,Optimism,true,2023-11-12 13:15:22,0x5e6f7890abcdef1234567890abcdef1234567890abcdef1234567890abcdef12,5.65
2023-11-01,Base,true,2023-11-16 10:45:18,0x6f7890abcdef1234567890abcdef1234567890abcdef1234567890abcdef1234,4.12
2023-11-01,Arbitrum One,true,2023-11-20 15:22:33,0x7890abcdef1234567890abcdef1234567890abcdef1234567890abcdef123456,3.05
2023-11-01,Polygon,true,2023-11-24 08:55:11,0x90abcdef1234567890abcdef1234567890abcdef1234567890abcdef12345678,1.68
2023-12-01,Optimism,true,2023-12-08 14:33:55,0xabcdef1234567890abcdef1234567890abcdef1234567890abcdef1234567890,6.12
2023-12-01,Base,true,2023-12-14 12:18:42,0xbcdef1234567890abcdef1234567890abcdef1234567890abcdef123456789a,4.35
2023-12-01,Arbitrum One,true,2023-12-19 17:25:15,0xcdef1234567890abcdef1234567890abcdef1234567890abcdef123456789ab,3.28
2023-12-01,Polygon,true,2023-12-23 09:42:28,0xdef1234567890abcdef1234567890abcdef1234567890abcdef123456789abc,1.75
2024-01-01,Optimism,true,2024-01-10 15:12:35,0xef1234567890abcdef1234567890abcdef1234567890abcdef123456789abcd,6.85
2024-01-01,Base,true,2024-01-15 11:25:48,0xf1234567890abcdef1234567890abcdef1234567890abcdef123456789abcde,4.78
2024-01-01,Arbitrum One,true,2024-01-20 16:38:22,0x1234567890abcdef1234567890abcdef1234567890abcdef123456789abcdef,3.55
2024-01-01,Polygon,true,2024-01-25 13:55:15,0x234567890abcdef1234567890abcdef1234567890abcdef123456789abcdef1,1.92
2024-02-01,Optimism,true,2024-02-08 14:22:18,0x34567890abcdef1234567890abcdef1234567890abcdef123456789abcdef12,7.25
2024-02-01,Base,true,2024-02-12 10:45:33,0x4567890abcdef1234567890abcdef1234567890abcdef123456789abcdef123,5.15
2024-02-01,Arbitrum One,true,2024-02-18 15:18:45,0x567890abcdef1234567890abcdef1234567890abcdef123456789abcdef1234,3.82
2024-02-01,Polygon,true,2024-02-22 12:33:28,0x67890abcdef1234567890abcdef1234567890abcdef123456789abcdef12345,2.15
