chain_name,display_name,mainnet_chain_id,public_mainnet_launch_date,op_based_version,chain_type,has_mods,is_law_of_chains,raas_deployer,rpc_url,product_website,defillama_slug,l2beat_slug,growthepie_origin_key,goldsky_schema,dune_schema,gas_token,chain_layer,da_layer,output_root_layer,system_config_proxy,is_in_superchain_registry_repo,oplabs_db_schema,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,is_op_chain,alignment
op,OP Mainnet,10.0,2021-06-23,modern,standard,no,yes,self-hosted,https://mainnet.optimism.io,https://optimism.io,Optimism,optimism,optimism,optimism,optimism,ETH,L2,ethereum,ethereum,,yes,op,0x6887246668a3b87f54deb3b94ba47a6f63f32985,0xff00000000000000000000000000000000000010,0x473300df21d047806a082244b417f96b32f13a33,0xdfe97868233d1aa22e815a266982f2cf17685a27,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,True,OP Chain
base,Base,8453.0,2023-08-09,modern,standard,no,yes,self-hosted,https://mainnet.base.org/,https://base.org,Base,base,base,base,base,ETH,L2,ethereum,ethereum,,yes,base,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,0xff00000000000000000000000000000000008453,0x642229f238fb9de03374be34b0ed8d9de80752c5,0x56315b90c40730925ec5485cf004d835058518a0,0xfa6d8ee5be770f84fc001d098c4bd604fe01284a,True,OP Chain
zora,Zora,7777777.0,2023-06-14,modern,standard,no,,conduit,https://rpc.zora.energy/,https://zora.energy,Zora,zora,zora,zora,zora,ETH,L2,ethereum,ethereum,,yes,zora,0x625726c858dbf78c0125436c943bf4b4be9d9033,0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff,0x48247032092e7b0ecf5def611ad89eaf3fc888dd,0x9e6204f750cd866b299594e2ac9ea824e2e5f95c,0x3e2ea9b92b7e48a52296fd261dc26fd995284631,True,OP Chain
pgn,Public Goods Network,424.0,2023-07-25,modern,,yes,,conduit,https://rpc.publicgoods.network/,https://publicgoods.network/,,publicgoodsnetwork,gitcoin_pgn,pgn,,ETH,L2,ethereum,ethereum,,yes,pgn,0x99526b0e49a95833e734eb556a6abaffab0ee167,0xc1b90e1e459abbdcec4dcf90da45ba077d83bfc5,0x69968ce0e92d9c101bad81de55efbcb69603cfe3,0xa38d0c4e6319f9045f20318ba5f04cde94208608,0xd0204b9527c1ba7bd765fa5ccd9355d38338272b,False,OP Stack fork
aevo,Aevo,,2023-04-07,legacy bedrock,,yes,,conduit,https://api.aevo.xyz,https://www.aevo.xyz/,protocols/aevo,aevo,,,,ETH,L2,ethereum,ethereum,,no,,0x889e21d7ba3d6dd62e75d4980a4ad1349c61599d,0x253887577420cb7e7418cd4d50147743c8041b28,0x75acb7ae6c76b3f5ca049431fe2c0797dd002b90,0x909e51211e959339efb14b36f5a50955a8ae3770,0x4082c9647c098a6493fb499eae63b5ce3259c574,False,OP Stack fork
opbnb,opBNB,204.0,2023-09-11,modern,,yes,,,https://opbnb-mainnet-rpc.bnbchain.org,https://opbnb.bnbchain.org/en,opBNB,opbnb,,,,BNB,L2,bnb,bnb,,no,,0x1fd6a75cc72f39147756a663f3ef1fc95ef89495,0xff00000000000000000000000000000000005611,0x4ae49f1f57358c13a5732cb12e656cf8c8d986df,0x153cab79f4767e2ff862c94aa49573294b13d169,0x1876ea7702c0ad0c6a2ae6036de7733edfbca519,False,OP Stack fork
manta pacific,Manta Pacific,169.0,2023-09-08,modern,,yes,,caldera,https://pacific-rpc.manta.network/http,https://pacific.manta.network/,Manta,mantapacific,manta,,,ETH,L2,celestia,ethereum,,no,,0xa76e31d8471d569efdd3d95d1b11ce6710f4533f,0xaeba8e2307a22b6824a9a7a39f8b016c357cd1fe,0x853bdff715efedc280c16241dd30a6d651f90aca,0x30c789674ad3b458886bbc9abf42eee19ea05c1d,0x3b95bc951ee0f553ba487327278cac44f29715e5,False,OP Stack fork
loot chain,Loot Chain,5151706.0,2023-05-15,modern,,yes,,caldera,https://rpc.lootchain.com/http,https://adventuregold.org/,,,,,,ETH,L2,polygon,unknown,,no,,,,,,,False,OP Stack fork
kroma network,Kroma,255.0,2023-09-05,modern,non-standard,yes,,,https://api.kroma.network/,https://kroma.network/,Kroma,kroma,,,,ETH,L2,ethereum,ethereum,,no,,0x41b8cd6791de4d8f9e0eaf7861ac506822adce12,0xff00000000000000000000000000000000000255,,0x180c77ae51a9c505a43a2c7d81f8ce70cacb93a6,0x827962404d7104202c5aaa6b929115c8211d9596,True,OP Chain
vienna,Vienna,,,modern,,yes,,caldera,https://vienna.calderachain.xyz/http,https://vienna.caldera.dev/,,,,,,ETH,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
