id,name,slug,type,category,provider,purposes,isArchived,isUpcoming,isUnderReview,badges,tvl,stage,risks,shortName,hostChain
arbitrum,Arbitrum One,arbitrum,layer2,Optimistic Rollup,Arbitrum,['Universal'],False,False,False,"[{'category': 'Stack', 'name': 'Nitro'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'VM', 'name': 'WasmVM'}, {'category': 'Other', 'name': 'Governance'}, {'category': 'Other', 'name': 'L3HostChain'}, {'category': 'VM', 'name': 'EVM'}]","{'breakdown': {'total': 14266255421.25, 'ether': 4226555851.03, 'stablecoin': 4803326103.9, 'associated': 2316131123.34}, 'associatedTokens': ['ARB'], 'change7d': 0.058542128875318955}",Stage 1,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 1d delay on this operation.""}, {'name': 'State Validation', 'value': 'Fraud proofs (INT)', 'sentiment': 'warning', 'description': 'Fraud proofs allow 14 WHITELISTED actors watching the chain to prove that the state is incorrect. Interactive proofs (INT) require multiple transactions over time to resolve. There is a 6d 8h challenge period.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1.'}, {'name': 'Exit Window', 'value': '7d', 'sentiment': 'warning', 'warning': {'value': 'The Security Council can upgrade with no delay.', 'sentiment': 'bad'}, 'description': 'Non-emergency upgrades are initiated on L2 and go through a 8d delay. Since there is a 1d delay to force a tx (forcing the inclusion in the following state update), users have only 7d to exit. \n    \n  If users post a tx after that time, they would only be able to self propose a state root 12d 17h after the last state root was proposed and then wait for the 6d 8h challenge window, while the upgrade would be confirmed just after the 6d 8h challenge window and the 3d L1 timelock.'}, {'name': 'Proposer Failure', 'value': 'Self propose', 'sentiment': 'good', 'description': 'Anyone can become a Proposer after 12d 17h of inactivity from the currently whitelisted Proposers.'}]",,
base,Base,base,layer2,Optimistic Rollup,OP Stack,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'EVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'Stack', 'name': 'OPStack'}, {'category': 'Infra', 'name': 'Superchain'}, {'category': 'Other', 'name': 'L3HostChain'}]","{'breakdown': {'total': 8547830230.73, 'ether': 2619808483.72, 'stablecoin': 3602977544.44, 'associated': 0}, 'associatedTokens': [], 'change7d': 0.08543177800193136}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 12h delay on this operation.""}, {'name': 'State Validation', 'value': 'Fraud proofs (INT)', 'sentiment': 'good', 'description': 'Fraud proofs allow actors watching the chain to prove that the state is incorrect. Interactive proofs (INT) require multiple transactions over time to resolve.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Self propose', 'sentiment': 'good', 'description': 'Anyone can be a Proposer and propose new roots to the L1 bridge.'}]",,
optimism,OP Mainnet,optimism,layer2,Optimistic Rollup,OP Stack,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'EVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'Stack', 'name': 'OPStack'}, {'category': 'Infra', 'name': 'Superchain'}, {'category': 'Other', 'name': 'L3HostChain'}, {'category': 'Other', 'name': 'Governance'}]","{'breakdown': {'total': 6158863664.06, 'ether': 1624541566.76, 'stablecoin': 1183963670.69, 'associated': 2013577139.97}, 'associatedTokens': ['OP'], 'change7d': 0.04685821346804353}",Stage 1,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 12h delay on this operation.""}, {'name': 'State Validation', 'value': 'Fraud proofs (INT)', 'sentiment': 'good', 'description': 'Fraud proofs allow actors watching the chain to prove that the state is incorrect. Interactive proofs (INT) require multiple transactions over time to resolve.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no exit window for users to exit in case of unwanted regular upgrades as they are initiated by the Security Council with instant upgrade power and without proper notice.'}, {'name': 'Proposer Failure', 'value': 'Self propose', 'sentiment': 'good', 'description': 'Anyone can be a Proposer and propose new roots to the L1 bridge.'}]",,
mantle,Mantle,mantle,layer2,Optimium,OP Stack,['Universal'],False,False,False,"[{'category': 'DA', 'name': 'CustomDA'}, {'category': 'Stack', 'name': 'OPStack'}, {'category': 'VM', 'name': 'EVM'}]","{'breakdown': {'total': 1741199291.75, 'ether': 967356434.9, 'stablecoin': 347252069.79, 'associated': 212734427.3}, 'associatedTokens': ['MNT'], 'change7d': 0.1346629212602597}",NotApplicable,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 12h delay on this operation.""}, {'name': 'State Validation', 'value': 'None', 'sentiment': 'bad', 'description': 'Currently the system permits invalid state roots. More details in project overview.'}, {'name': 'Data Availability', 'value': 'External', 'sentiment': 'bad', 'description': 'Proof construction and state derivation rely fully on data that is NOT published on chain. Mantle DA contracts are forked from EigenDA with significant modifications, most importantly removal of slashing conditions. DA fraud proof mechanism is not live yet.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
blast,Blast,blast,layer2,Optimistic Rollup,OP Stack,['Universal'],False,False,False,"[{'category': 'Stack', 'name': 'OPStack'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'VM', 'name': 'EVM'}]","{'breakdown': {'total': 1427001213.91, 'ether': 1024049323.08, 'stablecoin': 201550093.29, 'associated': 177143299.76}, 'associatedTokens': ['BLAST'], 'change7d': 0.08888573185124993}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 12h delay on this operation.""}, {'name': 'State Validation', 'value': 'None', 'sentiment': 'bad', 'description': 'Currently the system permits invalid state roots. More details in project overview.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
scroll,Scroll,scroll,layer2,ZK Rollup,,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'EVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}]","{'breakdown': {'total': 1072634671.35, 'ether': 765333152.38, 'stablecoin': 51966568.35, 'associated': 134335259.99}, 'associatedTokens': ['SCR'], 'change7d': 0.05110154705367265}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'No mechanism', 'sentiment': 'bad', 'description': 'There is no mechanism to have transactions be included if the sequencer is down or censoring.'}, {'name': 'State Validation', 'value': 'ZK proofs (SN)', 'sentiment': 'good', 'description': 'SNARKs are zero knowledge proofs that ensure state correctness, but require trusted setup.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
linea,Linea,linea,layer2,ZK Rollup,,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'EVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'Other', 'name': 'L3HostChain'}]","{'breakdown': {'total': 933421309.16, 'ether': 747870296.48, 'stablecoin': 47267612.75, 'associated': 0}, 'associatedTokens': [], 'change7d': 0.13563282597505077}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'No mechanism', 'sentiment': 'bad', 'description': 'There is no mechanism to have transactions be included if the sequencer is down or censoring.'}, {'name': 'State Validation', 'value': 'ZK proofs (SN)', 'sentiment': 'good', 'description': 'SNARKs are zero knowledge proofs that ensure state correctness, but require trusted setup.'}, {'name': 'Data Availability', 'value': 'Onchain', 'sentiment': 'good', 'description': 'All of the data needed for proof construction is published on Ethereum L1. Unlike most ZK rollups, transaction data is posted instead of state diffs.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
zksync2,ZKsync Era,zksync-era,layer2,ZK Rollup,ZK Stack,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'EVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'Stack', 'name': 'ZKStack'}, {'category': 'Other', 'name': 'L3HostChain'}, {'category': 'Infra', 'name': 'ElasticChain'}]","{'breakdown': {'total': 914832617.42, 'ether': 299555019.5, 'stablecoin': 62089855.17, 'associated': 514534575.91}, 'associatedTokens': ['ZK'], 'change7d': 0.0958016975709628}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'Enqueue via L1', 'sentiment': 'warning', 'description': ""Users can submit transactions to an L1 queue, but can't force them. The sequencer cannot selectively skip transactions but can stop processing the queue entirely. In other words, if the sequencer censors or is down, it is so for everyone.""}, {'name': 'State Validation', 'value': 'ZK proofs (ST, SN)', 'sentiment': 'good', 'description': 'STARKs and SNARKs are zero knowledge proofs that ensure state correctness. STARKs proofs are wrapped in SNARKs proofs for efficiency. SNARKs require a trusted setup.'}, {'name': 'Data Availability', 'value': 'Onchain (SD)', 'sentiment': 'good', 'description': 'All of the data (SD = state diffs) needed for proof construction is published onchain.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted standard upgrade because the central operator can censor withdrawal transactions by implementing a TransactionFilterer with no delay. The standard upgrade delay is 4d 21h.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'warning', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen. There is a decentralized Governance system that can attempt changing Proposers with an upgrade.'}]",,
starknet,Starknet,starknet,layer2,ZK Rollup,Starknet,['Universal'],False,False,False,"[{'category': 'VM', 'name': 'CairoVM'}, {'category': 'DA', 'name': 'EthereumBlobs'}, {'category': 'Infra', 'name': 'SHARP'}, {'category': 'Other', 'name': 'Governance'}]","{'breakdown': {'total': 709057433.59, 'ether': 245624481.78, 'stablecoin': 81814707.78, 'associated': 343261290.45}, 'associatedTokens': ['STRK'], 'change7d': 0.13126222191332126}",Stage 0,"[{'name': 'Sequencer Failure', 'value': 'No mechanism', 'sentiment': 'bad', 'description': 'There is no mechanism to have transactions be included if the sequencer is down or censoring.'}, {'name': 'State Validation', 'value': 'ZK proofs (ST)', 'sentiment': 'good', 'description': 'STARKs are zero knowledge proofs that ensure state correctness.'}, {'name': 'Data Availability', 'value': 'Onchain (SD)', 'sentiment': 'good', 'description': 'All of the data (SD = state diffs) needed for proof construction is published onchain.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
mantapacific,Manta Pacific,mantapacific,layer2,Optimium,OP Stack,['Universal'],False,False,False,"[{'category': 'DA', 'name': 'Celestia'}, {'category': 'RaaS', 'name': 'Caldera'}, {'category': 'Stack', 'name': 'OPStack'}, {'category': 'VM', 'name': 'EVM'}]","{'breakdown': {'total': 552317395.66, 'ether': 176765415.18, 'stablecoin': 27583259.6, 'associated': 279913504.68}, 'associatedTokens': ['MANTA'], 'change7d': 0.11996403387092358}",NotApplicable,"[{'name': 'Sequencer Failure', 'value': 'Self sequence', 'sentiment': 'good', 'description': ""In the event of a sequencer failure, users can force transactions to be included in the project's chain by sending them to L1. There is a 12h delay on this operation.""}, {'name': 'State Validation', 'value': 'None', 'sentiment': 'bad', 'description': 'Currently the system permits invalid state roots. More details in project overview.'}, {'name': 'Data Availability', 'value': 'External', 'sentiment': 'bad', 'description': 'Proof construction and state derivation fully rely on data that is posted on Celestia. Sequencer tx roots are not checked against the Blobstream bridge data roots onchain, but L2 nodes can verify data availability by running a Celestia light client.'}, {'name': 'Exit Window', 'value': 'None', 'sentiment': 'bad', 'description': 'There is no window for users to exit in case of an unwanted regular upgrade since contracts are instantly upgradable.'}, {'name': 'Proposer Failure', 'value': 'Cannot withdraw', 'sentiment': 'bad', 'description': 'Only the whitelisted proposers can publish state roots on L1, so in the event of failure the withdrawals are frozen.'}]",,
