name_mapped,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_defillama,is_growthepie,is_l2beat,is_ethereum_ecosystem
Polygon,137.0,,,,,,,,True,False,False,False
Oasis Emerald,42262.0,,,,,,,,True,False,False,False
Litecoin,,,,,,,,,True,False,False,False
Wanchain,888.0,,,,,,,,True,False,False,False
Aptos,,,,,,,,,True,False,False,False
Energi,39797.0,,,,,,,,True,False,False,False
Terra Classic,,,,,,,,,True,False,False,False
Bitgert,32520.0,,,,,,,,True,False,False,False
Neon,245022934.0,,,,,,,,True,False,False,False
Archway,,,,,,,,,True,False,False,False
Wax,,,,,,,,,True,False,False,False
EOS,,,,,,,,,True,False,False,False
Etherlink,42793.0,,,,,,,,True,False,False,False
EnergyWeb,246.0,,,,,,,,True,False,False,False
smartBCH,10000.0,,,,,,,,True,False,False,False
Godwoken,71394.0,,,,,,,,True,False,False,False
REIchain,55555.0,,,,,,,,True,False,False,False
Dexit,,,,,,,,,True,False,False,False
PulseChain,,,,,,,,,True,False,False,False
LightLink,1890.0,,,,,,,,True,False,False,False
ALV,,,,,,,,,True,False,False,False
UX,,,,,,,,,True,False,False,False
Dexalot,432204.0,,,,,,,,True,False,False,False
Crab,44.0,,,,,,,,True,False,False,False
Lung,78887.0,,,,,,,,True,False,False,False
Persistence One,,,,,,,,,True,False,False,False
EOS EVM,,,,,,,,,True,False,False,False
Hydration,,,,,,,,,True,False,False,False
Elysium,,,,,,,,,True,False,False,False
Venom,,,,,,,,,True,False,False,False
AILayer,2649.0,,,,,,,,True,False,False,False
Massa,,,,,,,,,True,False,False,False
Dymension,,,,,,,,,True,False,False,False
Arbitrum Nova,42170.0,L2,NotApplicable,['Universal'],,Nitro,DAC,,True,False,True,True
Manta Pacific,169.0,L2,NotApplicable,['Universal'],Caldera,OPStack,Celestia,,True,True,True,True
Ethereum,1.0,L1,,,Self-hosted,,,,True,True,False,True
Boba Network,,L2,Stage 0,['Universal'],,OPStack,EthereumBlobs,,False,False,True,True
Proof of Play Apex,,L3,NotApplicable,"['Universal', 'Gaming']",Conduit,Orbit,DAC,,False,False,True,True
SuperLumio,,L2,Stage 0,['Universal'],Conduit,OPStack,EthereumBlobs,,False,False,True,True
Proof of Play Boss,,L3,NotApplicable,"['Universal', 'Gaming']",Conduit,Orbit,DAC,,False,False,True,True
Bug Buster,,L3,Stage 0,['Bug bounty'],,Cartesi,EthereumCalldata,,False,False,True,True
Witness Chain,,L2,NotApplicable,"['Universal', 'IoT', 'Oracles']",,PolygonCDK,DAC,AggLayer,False,False,True,True
Harmony,1666600000.0,,,,,,,,True,False,False,False
Boba,288.0,,,,,,,,True,False,False,False
Conflux,,,,,,,,,True,False,False,False
Ronin,2020.0,,,,,,,,True,False,False,False
Elastos,20.0,,,,,,,,True,False,False,False
Bitcoincash,,,,,,,,,True,False,False,False
Rollux,,,,,,,,,True,False,False,False
Kardia,0.0,,,,,,,,True,False,False,False
Goerli,,,,,,,,,True,False,False,False
WEMIX3.0,,,,,,,,,True,False,False,False
Loop,,,,,,,,,True,False,False,False
Interlay,,,,,,,,,True,False,False,False
MAP Protocol,,,,,,,,,True,False,False,False
DSC,,,,,,,,,True,False,False,False
Bone,,,,,,,,,True,False,False,False
Migaloo,,,,,,,,,True,False,False,False
Mayachain,,,,,,,,,True,False,False,False
FSC,,,,,,,,,True,False,False,False
Polkadot,,,,,,,,,True,False,False,False
Planq,7070.0,,,,,,,,True,False,False,False
Endurance,648.0,,,,,,,,True,False,False,False
Neo X Mainnet,47763.0,,,,,,,,True,False,False,False
IDEX,,,,,,,,,True,False,False,False
Kroma,255.0,L2,Stage 0,['Universal'],,OPStack,EthereumBlobs,Superchain,True,False,True,True
Shape,360.0,L2,Stage 0,['Universal'],Alchemy,OPStack,EthereumBlobs,Superchain,True,False,True,True
Polynomial,,L2,Stage 0,"['Universal', 'Exchange']",Conduit,OPStack,EthereumBlobs,Superchain,True,False,True,True
Ham,5112.0,L3,NotApplicable,"['Universal', 'Social']",Caldera,OPStack,Celestia,Superchain,True,False,True,True
Mode Network,34443.0,L2,Stage 0,['Universal'],Conduit,OPStack,EthereumBlobs,Superchain,True,True,True,True
Kinto,,L2,Stage 0,"['Universal', 'RWA']",Caldera,Orbit,EthereumBlobs,,False,False,True,True
