Team,contract_address,contract_name,contract_num_by_creator,creator_address,date,days_since_contract_created,days_since_creator_first_deployed,median_calldata_gas_to_w_overhead_per_day_t28d,median_eth_fees_to_per_day_t28d,median_num_address_users_trace_growth,median_num_address_users_trace_t28d,median_num_address_users_tx_growth,median_num_address_users_tx_t28d,median_num_txs_to_t28d,median_num_txs_trace_t28d,median_trace_tx_eth_fees_per_day_t28d,token_symbol,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Perpetual Protocol,0xa7f3fc32043757039d5e13d790ee43edbcba8b7c,AccountBalance,131,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-203.0,258,0.0,0,0,19413,73.55586438654478,,0.0,0,0.0,0.0,706.9425031037774,2297.775024346122,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x28f1e979ac21b80543adc7c70f15cf0dbaf340e0,,737,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-157.0,248,0.0,0,0,18272,68.28505518411811,,0.0,0,0.0,0.0,1955.1444058446884,1995.4397070860257,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xdfcaebe8f6ea5e022befafae8c6cdae8d4e1094b,,123,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-203.0,258,0.0,0,0,19424,48.4290940087899,,0.0,0,0.0,0.0,621.9621908942192,1573.5315463626189,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xbd7a3b7dbeb096f0b832cf467b94b091f30c34ec,Exchange,127,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-200.0,259,0.0,0,0,17577,49.00121216460772,,0.0,0,0.0,0.0,1085.2486551180773,1553.4604323811593,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x670e5cd858d92c441dddda6d903a96998a514430,,733,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-153.0,252,0.0,0,0,18293,47.335695077033634,,0.0,0,0.0,0.0,1349.7753357580543,1376.846088714727,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xdcb820d383ad87737da41f7f201866ef8792616a,Exchange,735,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-155.0,249,0.0,0,0,16720,44.35728891451382,,0.0,0,0.0,0.0,1334.9907271674579,1361.5168617628688,2023-05-12 23:31:25.768725+00:00
Synthetix,0x6abc19f21d5ce23abf392329ef7b118c7b5f2aa8,,401,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,35,238,0,0.0,-106.0,252,0.0,0,0,1274,32.872615133787896,,0.0,0,0.0,0.0,1285.12667604923,1302.1944119250008,2023-05-12 23:31:25.768725+00:00
Layer Zero,0x81e792e5a9003cc1c8bf5569a00f34b65d75b017,Relayer v2,32,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-11 00:00:00.000,258,422,301827360,12.440762628075134,10798.0,12477,1.0,1,26499,52224,19.120752531171057,,5184292871.0,8045346228,302.2934019948326,364.46075336962286,430.9491807491511,528.597901499231,2023-05-12 23:31:25.768725+00:00
Velodrome,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746,PairFactory,4,0xc0de1436c4e247f8652476a0b9ff55699801e1d0,2023-05-11 00:00:00.000,344,344,0,0.0,-1425.0,3652,0.0,0,0,11846,28.826022700837406,,0.0,0,0.0,0.0,136.47948257617213,868.886562418883,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x66c4196284837667414d6a4e9e974e0627572909,,728,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-150.0,261,0.0,0,0,17601,28.20574244503339,,0.0,0,0.0,0.0,853.3413062787733,868.7533769064256,2023-05-12 23:31:25.768725+00:00
