Team,Contract Address,Contract Num By Creator,Creator Address,Date,Days Since Contract Created,Days Since Creator First Deployed,Median Calldata Gas To W Overhead Per Day T28D,Median Eth Fees To Per Day T28D,Median Num Address Users Trace Growth,Median Num Address Users Trace T28D,Median Num Address Users Tx Growth,Median Num Address Users Tx T28D,Median Num Txs To T28D,Median Num Txs Trace T28D,Median Trace Tx Eth Fees Per Day T28D,Total Calldata Gas To W Overhead Growth,Total Calldata Gas To W Overhead T28D,Total Eth Fees To Growth,Total Eth Fees To T28D,Total Trace Tx Eth Fees Growth,Total Trace Tx Eth Fees T28D,Last Updated
Perpetual Protocol,0xa7f3fc32043757039d5e13d790ee43edbcba8b7c,131,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-203.0,258,0.0,0,0,19413,73.55586438654481,0.0,0,0.0,0.0,717.3220616194617,2306.0786711586693,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x28f1e979ac21b80543adc7c70f15cf0dbaf340e0,737,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-129.0,248,0.0,0,0,18272,68.28505518411818,0.0,0,0.0,0.0,1965.453162905577,2003.6867127347364,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0xdfcaebe8f6ea5e022befafae8c6cdae8d4e1094b,123,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-203.0,258,0.0,0,0,19424,48.42909400878989,0.0,0,0.0,0.0,628.8508738641872,1579.0424927385934,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0xbd7a3b7dbeb096f0b832cf467b94b091f30c34ec,127,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-200.0,259,0.0,0,0,17577,49.00121216460776,0.0,0,0.0,0.0,1091.7586603207594,1558.668436543305,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x670e5cd858d92c441dddda6d903a96998a514430,733,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-125.0,252,0.0,0,0,18293,47.33569507703368,0.0,0,0.0,0.0,1356.661668598405,1382.3551549870076,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0xdcb820d383ad87737da41f7f201866ef8792616a,735,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-127.0,249,0.0,0,0,16720,44.35728891451382,0.0,0,0.0,0.0,1341.5008674227909,1366.7249739671352,2023-05-12 18:42:29.815561+00:00
Synthetix,0x6abc19f21d5ce23abf392329ef7b118c7b5f2aa8,401,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,35,238,0,0.0,-73.0,252,0.0,0,0,1274,32.872615133787924,0.0,0,0.0,0.0,1288.7739354088146,1305.1579764496296,2023-05-12 18:42:29.815561+00:00
Layer Zero,0x81e792e5a9003cc1c8bf5569a00f34b65d75b017,32,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-11 00:00:00.000,258,422,292071944,11.874090202400419,10469.0,12175,1.0,1,25312,50817,18.751037084406462,5186899106.0,8048821208,302.3555037369116,364.54355569239453,432.90730766330756,534.201949344778,2023-05-12 18:42:29.815561+00:00
Velodrome,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746,4,0xc0de1436c4e247f8652476a0b9ff55699801e1d0,2023-05-11 00:00:00.000,344,344,0,0.0,-1425.0,3652,0.0,0,0,11846,28.826022700837395,0.0,0,0.0,0.0,142.6662154720691,873.8359487356009,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0xa4c817a425d3443baf610ca614c8b11688a288fb,107,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-210.0,261,0.0,0,0,17601,28.20574244503345,0.0,0,0.0,0.0,435.3934026075259,872.00203851942,2023-05-12 18:42:29.815561+00:00
