id,dt,name,alignment,num_l1_txs_inbox,num_l1_txs_output,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l2_num_txs_per_day,l1_gas_used_on_l2,,,,,,,,,,,,,,,,
base2023-08-21,2023-08-21 00:00:00.000 UTC,Base,OP Chain,1574,24,2462064952,2084316,"2,464,149,268.00",1371576,4306285260,,,,,,,,,,,,,,,,
base2023-08-22,2023-08-22 00:00:00.000 UTC,Base,OP Chain,1486,24,1879348064,2084328,"1,881,432,392.00",932709,3179281996,,,,,,,,,,,,,,,,
op mainnet2023-07-27,2023-07-27 00:00:00.000 UTC,OP Mainnet,OP Chain,1572,24,2943450104,2084652,"2,945,534,756.00",901234,5552180260,,,,,,,,,,,,,,,,
op mainnet2023-08-15,2023-08-15 00:00:00.000 UTC,OP Mainnet,OP Chain,2213,24,4204338840,2084652,"4,206,423,492.00",894382,6465796384,,,,,,,,,,,,,,,,
base2023-08-20,2023-08-20 00:00:00.000 UTC,Base,OP Chain,1437,24,1666122116,2084304,"1,668,206,420.00",857258,2755336524,,,,,,,,,,,,,,,,
op mainnet2023-07-25,2023-07-25 00:00:00.000 UTC,OP Mainnet,OP Chain,1524,24,2866069532,2084664,"2,868,154,196.00",844290,5325908356,,,,,,,,,,,,,,,,
op mainnet2023-08-08,2023-08-08 00:00:00.000 UTC,OP Mainnet,OP Chain,1594,24,3017709336,2084568,"3,019,793,904.00",824452,4645209880,,,,,,,,,,,,,,,,
op mainnet2023-07-26,2023-07-26 00:00:00.000 UTC,OP Mainnet,OP Chain,1452,24,2712402164,2084640,"2,714,486,804.00",808942,4834504856,,,,,,,,,,,,,,,,
op mainnet2023-08-07,2023-08-07 00:00:00.000 UTC,OP Mainnet,OP Chain,1626,24,3057678556,2084616,"3,059,763,172.00",783178,4551415820,,,,,,,,,,,,,,,,
base2023-08-23,2023-08-23 00:00:00.000 UTC,Base,OP Chain,1465,24,1699933068,2084352,"1,702,017,420.00",741926,2775154572,,,,,,,,,,,,,,,,
base2023-08-10,2023-08-10 00:00:00.000 UTC,Base,OP Chain,1502,29,1538572700,2333542,"1,540,906,242.00",712344,2416194892,,,,,,,,,,,,,,,,
base2023-08-24,2023-08-24 00:00:00.000 UTC,Base,OP Chain,1448,24,1634661380,2084340,"1,636,745,720.00",682907,2585007624,,,,,,,,,,,,,,,,
op mainnet2023-07-31,2023-07-31 00:00:00.000 UTC,OP Mainnet,OP Chain,1214,24,2228005584,2084628,"2,230,090,212.00",680013,3694769376,,,,,,,,,,,,,,,,
op mainnet2023-08-01,2023-08-01 00:00:00.000 UTC,OP Mainnet,OP Chain,1238,24,2258601684,2084616,"2,260,686,300.00",676567,3704385060,,,,,,,,,,,,,,,,
base2023-08-19,2023-08-19 00:00:00.000 UTC,Base,OP Chain,1441,24,1373914020,2084304,"1,375,998,324.00",663443,2140074332,,,,,,,,,,,,,,,,
op mainnet2023-07-28,2023-07-28 00:00:00.000 UTC,OP Mainnet,OP Chain,1142,24,2093414936,2084652,"2,095,499,588.00",661653,3628690192,,,,,,,,,,,,,,,,
op mainnet2023-08-03,2023-08-03 00:00:00.000 UTC,OP Mainnet,OP Chain,1173,24,2144106544,2084640,"2,146,191,184.00",661080,3539123496,,,,,,,,,,,,,,,,
op mainnet2023-07-24,2023-07-24 00:00:00.000 UTC,OP Mainnet,OP Chain,1222,24,2248886620,2084628,"2,250,971,248.00",650909,4037768848,,,,,,,,,,,,,,,,
op mainnet2023-08-14,2023-08-14 00:00:00.000 UTC,OP Mainnet,OP Chain,1399,24,2610548448,2084616,"2,612,633,064.00",650647,3803152136,,,,,,,,,,,,,,,,
op mainnet2023-08-04,2023-08-04 00:00:00.000 UTC,OP Mainnet,OP Chain,1163,24,2128546680,2084628,"2,130,631,308.00",646415,3521055764,,,,,,,,,,,,,,,,
op mainnet2023-07-29,2023-07-29 00:00:00.000 UTC,OP Mainnet,OP Chain,1136,24,2042895904,2084652,"2,044,980,556.00",632680,3542679948,,,,,,,,,,,,,,,,
base2023-08-11,2023-08-11 00:00:00.000 UTC,Base,OP Chain,1438,24,1439557372,2084256,"1,441,641,628.00",629428,2209389136,,,,,,,,,,,,,,,,
op mainnet2023-06-27,2023-06-27 00:00:00.000 UTC,OP Mainnet,OP Chain,984,24,1766738028,2084568,"1,768,822,596.00",614482,3085336688,,,,,,,,,,,,,,,,
op mainnet2023-07-30,2023-07-30 00:00:00.000 UTC,OP Mainnet,OP Chain,1094,24,1983893896,2084592,"1,985,978,488.00",614041,3396556024,,,,,,,,,,,,,,,,
op mainnet2023-08-16,2023-08-16 00:00:00.000 UTC,OP Mainnet,OP Chain,1336,24,2486739856,2084592,"2,488,824,448.00",611361,3869811804,,,,,,,,,,,,,,,,
base2023-07-30,2023-07-30 00:00:00.000 UTC,Base,OP Chain,1441,24,1401676068,2084256,"1,403,760,324.00",606079,1942672380,,,,,,,,,,,,,,,,
op mainnet2023-06-28,2023-06-28 00:00:00.000 UTC,OP Mainnet,OP Chain,930,24,1661001912,2084628,"1,663,086,540.00",591223,2879705220,,,,,,,,,,,,,,,,
op mainnet2023-07-20,2023-07-20 00:00:00.000 UTC,OP Mainnet,OP Chain,922,24,1638960848,2084628,"1,641,045,476.00",586143,2670517384,,,,,,,,,,,,,,,,
base2023-08-13,2023-08-13 00:00:00.000 UTC,Base,OP Chain,1432,24,1316027488,2084340,"1,318,111,828.00",573121,2060400740,,,,,,,,,,,,,,,,
op mainnet2023-07-14,2023-07-14 00:00:00.000 UTC,OP Mainnet,OP Chain,1000,24,1793831100,2084568,"1,795,915,668.00",569973,2848369696,,,,,,,,,,,,,,,,
op mainnet2023-08-09,2023-08-09 00:00:00.000 UTC,OP Mainnet,OP Chain,1052,24,1891603248,2084556,"1,893,687,804.00",567676,2970395548,,,,,,,,,,,,,,,,
op mainnet2023-08-17,2023-08-17 00:00:00.000 UTC,OP Mainnet,OP Chain,1022,24,1866615968,2084592,"1,868,700,560.00",560729,2853645456,,,,,,,,,,,,,,,,
op mainnet2023-08-05,2023-08-05 00:00:00.000 UTC,OP Mainnet,OP Chain,1014,24,1826056500,2084604,"1,828,141,104.00",560317,3001238388,,,,,,,,,,,,,,,,
base2023-07-31,2023-07-31 00:00:00.000 UTC,Base,OP Chain,1440,24,1364205880,2084352,"1,366,290,232.00",558877,1883909508,,,,,,,,,,,,,,,,
op mainnet2023-06-26,2023-06-26 00:00:00.000 UTC,OP Mainnet,OP Chain,921,24,1654704852,2084616,"1,656,789,468.00",552678,2753645144,,,,,,,,,,,,,,,,
op mainnet2023-06-29,2023-06-29 00:00:00.000 UTC,OP Mainnet,OP Chain,887,24,1568684716,2084532,"1,570,769,248.00",549840,2624030552,,,,,,,,,,,,,,,,
op mainnet2023-08-02,2023-08-02 00:00:00.000 UTC,OP Mainnet,OP Chain,1056,24,1915746880,2084580,"1,917,831,460.00",547903,3169478840,,,,,,,,,,,,,,,,
base2023-08-15,2023-08-15 00:00:00.000 UTC,Base,OP Chain,1457,24,1292134624,2084304,"1,294,218,928.00",536587,1943020020,,,,,,,,,,,,,,,,
op mainnet2023-06-14,2023-06-14 00:00:00.000 UTC,OP Mainnet,OP Chain,846,24,1506984136,2084604,"1,509,068,740.00",535436,2501030760,,,,,,,,,,,,,,,,
op mainnet2023-07-19,2023-07-19 00:00:00.000 UTC,OP Mainnet,OP Chain,878,24,1563044328,2084604,"1,565,128,932.00",535179,2544702092,,,,,,,,,,,,,,,,
base2023-08-14,2023-08-14 00:00:00.000 UTC,Base,OP Chain,1455,24,1291716048,2084328,"1,293,800,376.00",533653,2017822040,,,,,,,,,,,,,,,,
op mainnet2023-06-23,2023-06-23 00:00:00.000 UTC,OP Mainnet,OP Chain,914,24,1633250508,2084640,"1,635,335,148.00",532001,2627271680,,,,,,,,,,,,,,,,
op mainnet2023-06-21,2023-06-21 00:00:00.000 UTC,OP Mainnet,OP Chain,939,24,1679352108,2084604,"1,681,436,712.00",529806,2755527560,,,,,,,,,,,,,,,,
op mainnet2023-08-10,2023-08-10 00:00:00.000 UTC,OP Mainnet,OP Chain,941,24,1689003724,2084604,"1,691,088,328.00",528529,2658655136,,,,,,,,,,,,,,,,
op mainnet2023-07-17,2023-07-17 00:00:00.000 UTC,OP Mainnet,OP Chain,891,24,1577507464,2084628,"1,579,592,092.00",526886,2691181272,,,,,,,,,,,,,,,,
op mainnet2023-07-22,2023-07-22 00:00:00.000 UTC,OP Mainnet,OP Chain,914,24,1628540984,2084628,"1,630,625,612.00",525717,3028673916,,,,,,,,,,,,,,,,
op mainnet2023-07-15,2023-07-15 00:00:00.000 UTC,OP Mainnet,OP Chain,873,24,1550677332,2084664,"1,552,761,996.00",524618,2589205664,,,,,,,,,,,,,,,,
