dt,active_secs_per_day,share_elapsed,name,alignment,avg_l2_base_fee_gwei,avg_l2_gas_price_gwei,num_l1_txs_inbox,l1_eth_fees_inbox,secs_between_l1_txs_inbox,num_l1_txs_output,l1_eth_fees_output,l1_gas_used_inbox,l1_gas_used_output,num_l1_txs_combined,l1_eth_fees_combined,l1_gas_used_combined,l1_eth_fees_total,l1_gas_used_total,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_users_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_margin_l2_eth_fees_per_day,avg_l1_gas_price_on_l2,l1_gas_used_on_l2,l2_gas_used,l2_eth_fees_saved_per_day,l2_fee_eth_margin,l2_fee_pct_margin,l2_contrib_l2_eth_base_fees_per_day,l2_contrib_l2_eth_priority_fees_per_day,l1_gas_compression_ratio,calldata_bytes_l2_per_day,calldata_bytes_l1_inbox,calldata_bytes_user_txs_l2_per_day,l1_gas_used_user_txs_l2_per_day,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,collective_contribution,num_l1_txs_combined_7day,num_l1_txs_combined_30day,l1_eth_fees_combined_7day,l1_eth_fees_combined_30day,l1_eth_fees_combined_by_day,l2_eth_fees_by_day,l2_gas_used_by_day,l2_num_txs_by_day,pct_of_total_l1_eth_fees_combined_by_day,non_op_l1_eth_fees_by_day,non_op_l1_gas_used_by_day,pct_l1_eth_fees_by_day,pct_l1_gas_used_by_day,l2_num_txs_per_day_30dma,l2_eth_fees_per_day_30dma,l2_gas_used_30dma,l2_fee_eth_margin_30dma,l2_fee_pct_margin_30dma,collective_contribution_30dma,l2_contrib_l2_eth_fees_combined_by_day,l2_contrib_l2_eth_base_fees_by_day,l2_contrib_l2_eth_priority_fees_by_day,l1_margin_l2_eth_fees_combined_by_day,l2_fee_eth_margin_by_day,collective_contribution_by_day,l1_eth_fees_combined_projected,l2_num_txs_per_day_projected,l2_eth_fees_per_day_projected,l2_fee_eth_margin_by_day_projected,l2_gas_used_by_day_projected,collective_contribution_by_day_projected
2023-09-12 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.0004394686622879962,0.07669446805562116,937,26.586875777324053,92.20917822838847,24,0.029074275892365654,1.7514792e+09,2.084604e+06,961,26.61595005321642,1.753563804e+09,2112.9445827089053,1.07809254006e+11,441382,43200,316,102790,39.093185252878385,25.225207328074863,13.867977924803522,-1.390742725141557,14.875068338906623,2.479246296e+09,1.83040282244e+11,2.663427155917532e+12,12.477235199661965,0.3191665022676371,0.10010068708643437,13.767877237717089,1.4155156943913465,1.90761361e+08,1.08578898e+08,1.79396001e+08,2.479246296e+09,15.179669719928185,13.947145785178217,12.477235199661965,728.8571428571429,822.7,21.36960694640784,32.23747818596401,52.65140708275867,84.23519676304393,4.04040562625e+11,1.170189e+06,0.005711559456096781,2060.2931756261464,1.0439298267e+11,0.024918498816119836,0.031688108479165165,401766.13333333336,47.112797015586466,1.3908121704906668e+11,14.875318829622532,0.46142935696810033,14.875318829622532,32.34846247972152,2.3333889451849976,30.015073534536313,2.8645621260364287,35.213024605757944,15.887603610576363,,,,,,
2023-09-12 00:00:00.000 UTC,86400,,Base,OP Chain,0.011213185027344667,0.08455202056991314,1490,22.376403823729927,57.986577181208055,24,0.02981828033964026,1.414247172e+09,2.084352e+06,1514,22.406222104069567,1.416331524e+09,2112.9445827089053,1.07809254006e+11,728807,43200,2129,63424,45.142011510165545,26.661526955247552,18.480484554917997,4.255304851177986,15.820738612237353,2.46378134e+09,2.21000280381e+11,3.348927331939098e+12,22.73578940609598,0.5036503391297948,2.2332882580985634,16.247196296819222,1.7421150904730252,1.32188241e+08,8.6724354e+07,1.19999666e+08,2.46378134e+09,15.82213085997242,14.305779609029694,3.410368410914397,1470.2857142857142,1468.8333333333333,17.87228237953933,24.879363924512187,52.65140708275867,84.23519676304393,4.04040562625e+11,1.170189e+06,0.004808187176412217,2060.2931756261464,1.0439298267e+11,0.024918498816119836,0.031688108479165165,520922.36666666664,62.755516635430936,1.7827457122063333e+11,37.87615271091877,1.5223923258585241,5.681422906637812,32.34846247972152,2.3333889451849976,30.015073534536313,2.8645621260364287,35.213024605757944,15.887603610576363,,,,,,
2023-09-12 00:00:00.000 UTC,,,Zora Network,OP Chain,,,157,3.055714693527051,550.3184713375796,24,0.03323823081862054,2.09208572e+08,2.084352e+06,181,3.0889529243456715,2.11292924e+08,2112.9445827089053,1.07809254006e+11,,,,,,,,,,,,,,,,,,,1.2908057e+07,,,14.606068309318848,15.946553566106175,,196.28571428571428,182.73333333333332,3.233729712650134,3.622179448318711,52.65140708275867,84.23519676304393,4.04040562625e+11,1.170189e+06,0.0006628633676126199,2060.2931756261464,1.0439298267e+11,0.024918498816119836,0.031688108479165165,,,,,,,32.34846247972152,2.3333889451849976,30.015073534536313,2.8645621260364287,35.213024605757944,15.887603610576363,,,,,,
2023-09-12 00:00:00.000 UTC,,,Public Goods Network,OP Chain,,,145,0.5085198825277114,595.8620689655172,24,0.03176211859930808,3.2998792e+07,2.084292e+06,169,0.5402820011270195,3.5083084e+07,2112.9445827089053,1.07809254006e+11,,,,,,,,,,,,,,,,,,,1.87537e+06,,,15.410257518751337,15.238804639325044,,169.42857142857142,169.53333333333333,0.5615685983616074,0.7567074189293359,52.65140708275867,84.23519676304393,4.04040562625e+11,1.170189e+06,0.00011593998209066403,2060.2931756261464,1.0439298267e+11,0.024918498816119836,0.031688108479165165,,,,,,,32.34846247972152,2.3333889451849976,30.015073534536313,2.8645621260364287,35.213024605757944,15.887603610576363,,,,,,
2023-09-11 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.06782993300306199,0.1298534315834407,1142,44.674035089661125,75.65674255691769,24,0.04755740206587502,2.100423392e+09,2.084592e+06,1166,44.721592491727,2.102507984e+09,2842.1602695603033,1.07995200067e+11,350430,43200,269,81855,63.7760744228857,38.96247179969208,24.813602623193617,-5.759120692034919,20.910959105682156,2.724058604e+09,1.93299401246e+11,4.0144745568705767e+12,19.054481931158698,0.29877163346261243,11.22945758417562,13.584145039017965,1.2969092871348102,2.11322746e+08,1.30186031e+08,1.99977062e+08,2.724058604e+09,21.269061875721633,22.813769824442875,19.054481931158698,678.8571428571429,816.0666666666667,20.062953315240208,31.96271940377103,73.69116744553969,109.4521698874639,4.14257205086e+11,916865,0.009596878337129378,2768.4691021147637,1.04444149435e+11,0.02592787192009411,0.03288155982670466,400216.8333333333,46.678882344501275,1.37053136565e+11,14.71616294073031,0.46041648568219345,14.71616294073031,43.5403258926463,13.561674062199888,29.978651830446385,-3.310674733708929,40.22965115893737,22.230757315325498,,,,,,
2023-09-11 00:00:00.000 UTC,86400,,Base,OP Chain,0.010998814513208069,0.08566293487599197,1457,24.459615717868004,59.29993136582018,24,0.04131051893151405,1.212978492e+09,2.084268e+06,1481,24.50092623679952,1.21506276e+09,2842.1602695603033,1.07995200067e+11,566435,43200,1369,61911,45.6760954645782,26.94937219512551,18.726723269452684,2.4484459583259905,19.648453477469847,2.005229928e+09,2.2095780384e+11,4.61197980100004e+12,21.175169227778678,0.4635941188142935,2.332216478024268,16.39450679142842,1.653145493696025,1.17479586e+08,7.413672e+07,1.0563484e+08,2.005229928e+09,20.164921207743895,19.820156971902872,3.1762753841668014,1456,1466.9,16.911263879990482,24.770115858778677,73.69116744553969,109.4521698874639,4.14257205086e+11,916865,0.005257693099480815,2768.4691021147637,1.04444149435e+11,0.02592787192009411,0.03288155982670466,515395.4,63.638186978219,1.7449293531203333e+11,38.86807111944034,1.5691517690525967,5.830210667916049,43.5403258926463,13.561674062199888,29.978651830446385,-3.310674733708929,40.22965115893737,22.230757315325498,,,,,,
2023-09-11 00:00:00.000 UTC,,,Zora Network,OP Chain,,,164,3.624696593421469,526.829268292683,24,0.055860547917361655,1.96237936e+08,2.084364e+06,188,3.6805571413388307,1.983223e+08,2842.1602695603033,1.07995200067e+11,,,,,,,,,,,,,,,,,,,1.2084796e+07,,,18.470927014955304,26.799804601001394,,197.57142857142858,182.36666666666667,3.3190861625087,3.5921724472869396,73.69116744553969,109.4521698874639,4.14257205086e+11,916865,0.000789816666408192,2768.4691021147637,1.04444149435e+11,0.02592787192009411,0.03288155982670466,,,,,,,43.5403258926463,13.561674062199888,29.978651830446385,-3.310674733708929,40.22965115893737,22.230757315325498,,,,,,
2023-09-11 00:00:00.000 UTC,,,Public Goods Network,OP Chain,,,146,0.721796569034741,591.7808219178082,24,0.06629500663961473,3.3073284e+07,2.084304e+06,170,0.7880915756743557,3.5157588e+07,2842.1602695603033,1.07995200067e+11,,,,,,,,,,,,,,,,,,,1.878633e+06,,,21.82415780164864,31.806783770320802,,169.42857142857142,169.56666666666666,0.5709024303642125,0.7553960731469922,73.69116744553969,109.4521698874639,4.14257205086e+11,916865,0.00016911783657217692,2768.4691021147637,1.04444149435e+11,0.02592787192009411,0.03288155982670466,,,,,,,43.5403258926463,13.561674062199888,29.978651830446385,-3.310674733708929,40.22965115893737,22.230757315325498,,,,,,
2023-09-10 00:00:00.000 UTC,86400,,Base,OP Chain,0.010785278294333461,0.08157803793284457,1462,14.276738380709299,59.097127222982216,24,0.020143081521274538,1.4669792e+09,2.084304e+06,1486,14.296881462230573,1.469063504e+09,1387.551717076707,1.08194133311e+11,741088,43200,2045,63529,34.55027909720279,16.744571545776335,17.805707551426455,2.447690083545762,9.672255090399583,2.53098864e+09,2.20709055222e+11,2.0946218153316492e+12,20.253397634972217,0.5862006954557986,2.3287893875217667,15.476918163904644,1.7253064256125785,1.36687528e+08,9.0063416e+07,1.24537095e+08,2.53098864e+09,9.732065990239876,9.664176397144818,3.0380096452458325,1452.7142857142858,1466.5333333333333,15.440794616481558,24.541408908241426,26.50197781306273,55.50795606291624,3.21593383448e+11,1.035104e+06,0.0030679907478421893,1361.0497392636444,1.05482852191e+11,0.019099812631774963,0.02505940975751914,513284.9666666667,64.42931622215097,1.6987544830396667e+11,39.88790731390956,1.6253307812541486,5.983186097086432,28.65594594184324,2.337255595496498,26.318690346346663,2.970835785667534,31.626781727510775,14.41139373778439,,,,,,
2023-09-10 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,4.9975171572296025e-05,0.10996249292611722,522,9.564770725337993,165.51724137931035,24,0.019522147836901958,9.70962484e+08,2.084628e+06,546,9.584292873174896,9.73047112e+08,1387.551717076707,1.08194133311e+11,294016,43200,286,69378,20.957676965713453,10.107438575296667,10.850238390416784,0.5231457021217718,9.705378414829392,1.522553408e+09,1.00884328226e+11,9.646766173676858e+11,11.373384092538558,0.5426834334332616,0.008466207974731601,10.841772182442021,1.5680867521550914,1.30996402e+08,6.0169081e+07,1.19643802e+08,1.522553408e+09,9.850813891320227,9.36481129338278,11.373384092538558,593.1428571428571,801.6333333333333,15.936469885230512,31.0636463049081,26.50197781306273,55.50795606291624,3.21593383448e+11,1.035104e+06,0.0020567087960539593,1361.0497392636444,1.05482852191e+11,0.019099812631774963,0.02505940975751914,401484.9,45.4242958958989,1.345149961336e+11,14.360649590990866,0.46229761471118286,14.360649590990866,28.65594594184324,2.337255595496498,26.318690346346663,2.970835785667534,31.626781727510775,14.41139373778439,,,,,,
