chain,dt,active_secs_per_day,l2_num_txs_per_day,gas_used,l1_gas_used_on_l2,eth_fees,calldata_bytes_l2_per_day,txs_per_second,gas_per_second
public goods network,2023-08-25T00:00:00Z,86400,850,43592536092,9909352,0.43195834493343526700,1.2395413E7,0.009837962962962963,504543.24180555553
zora network,2023-08-25T00:00:00Z,86400,56677,55791370698,188546552,6.4628874037779221,2.253569E7,0.6559837962962963,645733.4571527778
zora network,2023-08-24T00:00:00Z,86400,79039,57348056744,244692776,7.3138782154502389,2.4319419E7,0.9148032407407407,663750.6567592593
public goods network,2023-08-24T00:00:00Z,86400,781,43585263348,7841712,0.35926870025756217100,1.2304312E7,0.009039351851851852,504459.06652777776
zora network,2023-08-23T00:00:00Z,86400,103323,72343082871,278591076,8.3447437956620228,2.1936425E7,1.1958680555555556,837304.1998958334
public goods network,2023-08-23T00:00:00Z,86400,1047,43680872137,10557360,0.47748383988003676400,1.26467E7,0.012118055555555556,505565.6497337963
public goods network,2023-08-22T00:00:00Z,86400,939,43610790542,9348792,0.45369802607287275800,1.2469532E7,0.010868055555555556,504754.52016203705
zora network,2023-08-22T00:00:00Z,86400,64326,61362041547,190602452,7.5029772036497406,2.0236352E7,0.7445138888888889,710208.8142013889
zora network,2023-08-21T00:00:00Z,86400,63546,55617964626,204060120,6.2507813196462542,2.2432721E7,0.7354861111111111,643726.4424305556
public goods network,2023-08-21T00:00:00Z,86400,692,43537989091,7813044,0.30356075709105445800,1.2178096E7,0.00800925925925926,503911.910775463
zora network,2023-08-20T00:00:00Z,86400,70010,58629111392,225331160,6.4094491050077359,2.3827807E7,0.810300925925926,678577.6781481481
public goods network,2023-08-20T00:00:00Z,86400,1181,43890723183,11304112,0.45366457550275269800,1.2818886E7,0.013668981481481482,507994.4812847222
zora network,2023-08-19T00:00:00Z,86400,64740,56257988116,209753924,5.4123758182339143,2.2901015E7,0.7493055555555556,651134.121712963
public goods network,2023-08-19T00:00:00Z,86400,1157,43781867059,11087096,0.39512831769161569700,1.267615E7,0.013391203703703704,506734.5724421296
zora network,2023-08-18T00:00:00Z,86400,78978,56568839109,225748596,7.4250244898961970,2.1477516E7,0.9140972222222222,654731.9341319444
public goods network,2023-08-18T00:00:00Z,86400,613,43442690189,5335736,0.25086024949161647100,1.1905059E7,0.007094907407407407,502808.91422453703
zora network,2023-08-17T00:00:00Z,86400,136672,66631204215,375139532,14.8681853795331388,2.6419992E7,1.5818518518518518,771194.4932291667
public goods network,2023-08-17T00:00:00Z,86400,671,43448911007,6102620,0.29801828623729840700,1.1994471E7,0.007766203703703704,502880.9144328704
public goods network,2023-08-16T00:00:00Z,86400,828,43497761397,7195876,0.36185975905558871800,1.2132535E7,0.009583333333333333,503446.3124652778
zora network,2023-08-16T00:00:00Z,86400,112164,60885676380,308612032,10.9538255548059355,2.357952E7,1.2981944444444444,704695.3284722222
zora network,2023-08-15T00:00:00Z,86400,123919,63089271740,337587472,11.8921934659251890,2.4765632E7,1.434247685185185,730199.9043981482
public goods network,2023-08-15T00:00:00Z,86400,192,43266915061,1665168,0.09584501699180320900,1.1439668E7,0.0022222222222222222,500774.47987268516
zora network,2023-08-14T00:00:00Z,86400,102392,58267368831,298542720,8.7869030042063971,2.4788764E7,1.1850925925925926,674390.8429513889
public goods network,2023-08-14T00:00:00Z,86400,86,43243233386,696684,0.03337043224666579300,1.1300801E7,9.953703703703704E-4,500500.386412037
public goods network,2023-08-13T00:00:00Z,86400,134,43303750578,736084,0.02615732567722061200,1.134169E7,0.0015509259259259259,501200.816875
zora network,2023-08-13T00:00:00Z,86400,57127,56889224841,212700836,5.4200148781627474,2.5223689E7,0.6611921296296296,658440.1023263889
zora network,2023-08-12T00:00:00Z,86400,35560,54769955932,158436776,5.2960307342009141,2.3483318E7,0.4115740740740741,633911.5269907408
public goods network,2023-08-12T00:00:00Z,86400,151,43332657627,908656,0.04119200240642193400,1.140211E7,0.0017476851851851852,501535.38920138887
public goods network,2023-08-11T00:00:00Z,86400,98,43256974094,945848,0.03700125157954822100,1.1319192E7,0.0011342592592592593,500659.42238425923
zora network,2023-08-11T00:00:00Z,86400,32201,55967678955,144813344,5.2163235672319847,3.0875785E7,0.37269675925925927,647774.0619791667
zora network,2023-08-10T00:00:00Z,86400,29667,51800863621,126745024,5.6067014524522411,2.1221647E7,0.34336805555555555,599547.0326504629
public goods network,2023-08-10T00:00:00Z,86400,87,43247384474,640928,0.03090868843519614200,1.1300471E7,0.0010069444444444444,500548.43141203705
zora network,2023-08-09T00:00:00Z,86400,37800,53575292670,164665968,6.6449628074962188,2.3741967E7,0.4375,620084.4059027778
public goods network,2023-08-09T00:00:00Z,86400,147,43261082818,718732,0.03845975527418318800,1.1302103E7,0.0017013888888888888,500706.97706018516
public goods network,2023-08-08T00:00:00Z,86400,122,43257854340,473848,0.05075857366921296500,1.1284348E7,0.001412037037037037,500669.61041666666
zora network,2023-08-08T00:00:00Z,86400,31468,52575104264,136624288,5.0177603951373975,2.1567943E7,0.36421296296296296,608508.1512037037
zora network,2023-08-07T00:00:00Z,86400,22261,50592637225,101340344,4.1148345148009205,1.9058401E7,0.25765046296296296,585562.9308449074
public goods network,2023-08-07T00:00:00Z,86400,117,43256536093,495964,0.03387059026424531300,1.1290893E7,0.0013541666666666667,500654.3529282407
zora network,2023-08-06T00:00:00Z,86400,29453,51749893938,123753816,4.0266802760723143,2.0146144E7,0.3408912037037037,598957.1057638889
public goods network,2023-08-06T00:00:00Z,86400,108,43271334773,804244,0.04456549635895089200,1.1322505E7,0.00125,500825.6339467593
public goods network,2023-08-05T00:00:00Z,86400,185,43298188811,919812,0.05544532874191834500,1.1342727E7,0.0021412037037037038,501136.44457175926
zora network,2023-08-05T00:00:00Z,86400,26727,51524388387,117282860,3.9045466595533986,2.0236135E7,0.3093402777777778,596347.0878125
zora network,2023-08-04T00:00:00Z,86400,27708,51297585467,118043496,4.7799310008581430,1.9960201E7,0.32069444444444445,593722.0540162037
public goods network,2023-08-04T00:00:00Z,86400,314,43383174712,1932704,0.10742602258726863900,1.1456318E7,0.0036342592592592594,502120.0776851852
zora network,2023-08-03T00:00:00Z,86400,24146,50210022291,102422716,4.6549651105587003,1.8635519E7,0.2794675925925926,581134.5172569444
