,dt,blockchain,token_type,asset_id,address,usd_value,token_classification
55,2024-07-19,base,native,base:seam-seamless,0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85,47997073.0,Proxy
39,2024-07-19,base,canonical,usdc-usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,51105961.36,Proxy
49,2024-07-19,base,native,base:usdc-usd-coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,2945807390.43,Proxy
8,2024-07-19,base,canonical,cbeth-coinbase-wrapped-staked-eth,0xbe9895146f7af43049ca1c1ae358b0541ea49704,88899940.6,Proxy
45,2024-07-19,base,external,base:ezeth-renzo-restaked-eth,0x2416092f143378750bb29b79ed961ab195cceea5,4191263.25,Proxy
47,2024-07-19,base,external,base:weeth-wrapped-eeth,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,18782447.44,Proxy
151,2024-07-19,optimism,native,optimism:usdc-usd-coin,0x0b2c639c533813f4aa9d7837caf62653d097ff85,180512124.78,Proxy
152,2024-07-19,optimism,native,optimism:exa-exactly-token,0x1e925de1c68ef83bd98ee3e130ef14a50309c01b,1254570.42,Proxy
133,2024-07-19,optimism,external,optimism:tbtc-optimism-tbtc-v2,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,2982892.77,Proxy
85,2024-07-19,optimism,canonical,ens-ethereum-name-service,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,163234.8,Not Proxy or Factory
46,2024-07-19,base,external,base:sdex-smardex,0xfd4330b0312fdeec6d4225075b82e00493ff2e3f,2490032.73,Not Proxy or Factory
53,2024-07-19,base,native,base:friend-friend,0x0bd4887f7d41b35cd75dff9ffee2856106f86670,22739982.76,Not Proxy or Factory
48,2024-07-19,base,native,base:zro-layerzero,0x6985884c4392d348587b19cb9eaaf157f13271cd,26787951.36,Not Proxy or Factory
50,2024-07-19,base,native,base:tybg-base-god,0x0d97f261b1e88845184f678e2d1e7a98d9fd38de,11770854.22,Not Proxy or Factory
51,2024-07-19,base,native,base:brett-brett,0x532f27101965dd16442e59d40670faf5ebb142e4,1277936245.42,Not Proxy or Factory
52,2024-07-19,base,native,base:degen-degen,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,81690850.53,Not Proxy or Factory
106,2024-07-19,optimism,canonical,rai-rai-reflex-index,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,100833.81,Not Proxy or Factory
154,2024-07-19,optimism,native,optimism:kite-protocol-token,0xf467c7d5a4a9c4687ffc7986ac6ad5a4c81e1404,3470386.02,Not Proxy or Factory
56,2024-07-19,base,native,base:toshi-toshi,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,98582108.39,Not Proxy or Factory
57,2024-07-19,base,native,base:aero-aerodrome,0x940181a94a35a4569e4529a3cdfb74e38fd98631,501670856.78,Not Proxy or Factory
62,2024-07-19,optimism,canonical,aave-aave-token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1388761.46,Not Proxy or Factory
99,2024-07-19,optimism,canonical,pendle-pendle,0x808507121b80c02388fad14726482e061b8da827,2738635.84,Not Proxy or Factory
96,2024-07-19,optimism,canonical,mkr-maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,15825.81,Not Proxy or Factory
70,2024-07-19,optimism,canonical,link-chainlink-token,0x514910771af9ca656af840dff83e8264ecf986ca,5884199.3,Not Proxy or Factory
94,2024-07-19,optimism,canonical,lusd-lusd-stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,2717032.56,Not Proxy or Factory
153,2024-07-19,optimism,native,optimism:extra-extra-finance,0x2dad3a13ef0c6366220f989157009e501e7938f8,19980195.96,Not Proxy or Factory
77,2024-07-19,optimism,canonical,cyber-cyberconnect,0x14778860e937f509e651192a90589de711fb88a9,4.53,Not Proxy or Factory
90,2024-07-19,optimism,canonical,hop-hop,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,1671.29,Not Proxy or Factory
54,2024-07-19,base,native,base:mochi-mochi,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50,14010258.36,Not Proxy or Factory
34,2024-07-19,base,canonical,usdt-tether-usd,0xdac17f958d2ee523a2206206994597c13d831ec7,2526401.09,Not Proxy or Factory
108,2024-07-19,optimism,canonical,reth-rocket-pool-eth,0xae78736cd615f374d3085123a210448e74fc6393,16223526.9,Not Proxy or Factory
117,2024-07-19,optimism,canonical,thales-thales-dao-token,0x8947da500eb47f82df21143d0c01a29862a8c3c5,7209468.65,Not Proxy or Factory
142,2024-07-19,optimism,native,optimism:frax-frax,0x2e3d870790dc77a83dd1d18184acc7439a53f475,4663181.73,Not Proxy or Factory
116,2024-07-19,optimism,canonical,usdt-tether-usd,0xdac17f958d2ee523a2206206994597c13d831ec7,1053278230.37,Not Proxy or Factory
139,2024-07-19,optimism,native,optimism:kwenta-kwenta,0x920cf626a271321c151d027030d5d08af699456b,23024203.42,Not Proxy or Factory
138,2024-07-19,optimism,native,optimism:pika-pika,0x9a601c5bb360811d96a23689066af316a30c3027,10547031.09,Not Proxy or Factory
137,2024-07-19,optimism,external,optimism:usde-usde,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,15300.59,Not Proxy or Factory
136,2024-07-19,optimism,external,optimism:stg-stargatetoken,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,4644397.33,Not Proxy or Factory
143,2024-07-19,optimism,native,optimism:frxeth-frax-ether,0x6806411765af15bddd26f8f544a34cc40cb9838b,17179768.55,Not Proxy or Factory
146,2024-07-19,optimism,native,optimism:fxs-frax-share,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,478389.56,Not Proxy or Factory
140,2024-07-19,optimism,native,optimism:velo-velodrome-finance,0x9560e827af36c94d2ac33a39bce1fe78631088db,81391712.6,Not Proxy or Factory
147,2024-07-19,optimism,native,optimism:zro-layerzero,0x6985884c4392d348587b19cb9eaaf157f13271cd,23616525.38,Not Proxy or Factory
125,2024-07-19,optimism,canonical,wbtc-wrapped-btc,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,89954026.69,Not Proxy or Factory
121,2024-07-19,optimism,canonical,usdc-usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,174925102.74,Not Proxy or Factory
120,2024-07-19,optimism,canonical,uni-uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,716275.46,Not Proxy or Factory
149,2024-07-19,optimism,native,optimism:sfrxeth-staked-frax-ether,0x484c2d6e3cdd945a8b2df735e079178c1036578c,11374282.1,Not Proxy or Factory
150,2024-07-19,optimism,native,optimism:tarot-tarot,0x1f514a61bcde34f94bc39731235690ab9da737f7,6264955.89,Not Proxy or Factory
148,2024-07-19,optimism,native,optimism:sfrax-staked-frax,0x2dd1b4d4548accea497050619965f91f78b3b532,1702847.67,Not Proxy or Factory
95,2024-07-19,optimism,canonical,lyra-lyra-token,0x01ba67aac7f75f647d94220cc98fb30fcc5105bf,111051.91,Immutable Factory Created
93,2024-07-19,optimism,canonical,lrc-loopringcoin-v2,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,1367.01,Immutable Factory Created
97,2024-07-19,optimism,canonical,matic-matic-token,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,281.68,Immutable Factory Created
98,2024-07-19,optimism,canonical,ocean-ocean-token,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,779.51,Immutable Factory Created
92,2024-07-19,optimism,canonical,ldo-lido-dao-token,0x5a98fcbea516cf06857215779fd812ca3bef1b32,820406.42,Immutable Factory Created
91,2024-07-19,optimism,canonical,knc-kyber-network-crystal-v2,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,261427.46,Immutable Factory Created
89,2024-07-19,optimism,canonical,han-hanchain,0x0c90c57aaf95a3a87eadda6ec3974c99d786511f,7437857.65,Immutable Factory Created
88,2024-07-19,optimism,canonical,hair-hairdao-token,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,2295778.4,Immutable Factory Created
100,2024-07-19,optimism,canonical,pepe-pepe,0x6982508145454ce325ddbe47a25d4ec3d2311933,3070.63,Immutable Factory Created
101,2024-07-19,optimism,canonical,perp-perpetual,0xbc396689893d065f41bc2c6ecbee5e0085233447,18540323.25,Immutable Factory Created
105,2024-07-19,optimism,canonical,pstake-pstake-finance,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,39066.37,Immutable Factory Created
103,2024-07-19,optimism,canonical,pla-playdapp-token,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,53.65,Immutable Factory Created
113,2024-07-19,optimism,canonical,sushi-sushitoken,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,19504.29,Immutable Factory Created
111,2024-07-19,optimism,canonical,sdai-savings-dai,0x83f20f44975d03b1b09e64809b757c47f942beea,116380.87,Immutable Factory Created
110,2024-07-19,optimism,canonical,sand-sand,0x3845badade8e6dff049820680d1f14bd3903a5d0,116.91,Immutable Factory Created
118,2024-07-19,optimism,canonical,tusd-trueusd,0x0000000000085d4780b73119b644ae5ecd22b376,5521.85,Immutable Factory Created
109,2024-07-19,optimism,canonical,rpl-rocket-pool-protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,7815.34,Immutable Factory Created
119,2024-07-19,optimism,canonical,uma-uma-voting-token-v1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,72316.9,Immutable Factory Created
123,2024-07-19,optimism,canonical,woo-wootrade-network,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,416317.58,Immutable Factory Created
124,2024-07-19,optimism,canonical,wld-worldcoin,0x163f8c2467924be0ae7b5347228cabf260318753,605839702.98,Immutable Factory Created
126,2024-07-19,optimism,canonical,weeth-wrapped-eeth,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,95602.75,Immutable Factory Created
128,2024-07-19,optimism,canonical,wsteth-wrapped-liquid-staked-ether-2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,130059990.29,Immutable Factory Created
129,2024-07-19,optimism,canonical,toncoin-wrapped-ton-coin,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,1646.84,Immutable Factory Created
130,2024-07-19,optimism,canonical,xyo-xy-oracle,0x55296f69f40ea6d20e478533c15a6b08b654e758,17535.88,Immutable Factory Created
104,2024-07-19,optimism,canonical,premia-premia,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,195411.24,Immutable Factory Created
102,2024-07-19,optimism,canonical,pt-phemex-token,0xbbb32f99e6f2cb29337eebaa43c5069386de6e6c,176009249.99,Immutable Factory Created
84,2024-07-19,optimism,canonical,eqb-equilibria-token,0xfe80d611c6403f70e5b1b9b722d2b3510b740b2b,673953.06,Immutable Factory Created
1,2024-07-19,base,canonical,zrx-0x-protocol-token,0xe41d2489571d322189246dafa5ebde1f4699f498,2375.39,Immutable Factory Created
82,2024-07-19,optimism,canonical,dola-dola-usd-stablecoin,0x865377367054516e17014ccded1e7d814edc9ce4,4242995.57,Immutable Factory Created
29,2024-07-19,base,canonical,sdai-savings-dai,0x83f20f44975d03b1b09e64809b757c47f942beea,15012.26,Immutable Factory Created
28,2024-07-19,base,canonical,rpl-rocket-pool-protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,10953.56,Immutable Factory Created
27,2024-07-19,base,canonical,reth-rocket-pool-eth,0xae78736cd615f374d3085123a210448e74fc6393,13676394.61,Immutable Factory Created
26,2024-07-19,base,canonical,rsr-reserve-rights,0x320623b8e4ff03373931769a31fc52a4e78b5d70,1857687.21,Immutable Factory Created
24,2024-07-19,base,canonical,razor-razor,0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,57725.42,Immutable Factory Created
23,2024-07-19,base,canonical,pstake-pstake-finance,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,126008.58,Immutable Factory Created
22,2024-07-19,base,canonical,pepe-pepe,0x6982508145454ce325ddbe47a25d4ec3d2311933,137.4,Immutable Factory Created
21,2024-07-19,base,canonical,omi-omi-token,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,818516.21,Immutable Factory Created
20,2024-07-19,base,canonical,lusd-lusd-stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,435081.72,Immutable Factory Created
19,2024-07-19,base,canonical,lqty-lqty,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,30.43,Immutable Factory Created
18,2024-07-19,base,canonical,lrc-loopringcoin-v2,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.1,Immutable Factory Created
17,2024-07-19,base,canonical,knc-kyber-network-crystal-v2,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,6094.5,Immutable Factory Created
16,2024-07-19,base,canonical,hair-hairdao-token,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,200458.64,Immutable Factory Created
15,2024-07-19,base,canonical,gene-genomesdao,0x21413c119b0c11c5d96ae1bd328917bc5c8ed67e,0.97,Immutable Factory Created
14,2024-07-19,base,canonical,dola-dola-usd-stablecoin,0x865377367054516e17014ccded1e7d814edc9ce4,55864403.47,Immutable Factory Created
13,2024-07-19,base,canonical,dht-dhedge-dao-token,0xca1207647ff814039530d7d35df0e1dd2e91fa84,1057001.59,Immutable Factory Created
12,2024-07-19,base,canonical,dai-dai-stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,3658926.79,Immutable Factory Created
11,2024-07-19,base,canonical,crvusd-curve.fi-usd-stablecoin,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,1116595.07,Immutable Factory Created
10,2024-07-19,base,canonical,crv-curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,270772.51,Immutable Factory Created
9,2024-07-19,base,canonical,comp-compound,0xc00e94cb662c3520282e6f5717214004a7f26888,459774.75,Immutable Factory Created
6,2024-07-19,base,canonical,xcn-chain,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,535680.49,Immutable Factory Created
5,2024-07-19,base,canonical,ctsi-cartesi-token,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0.15,Immutable Factory Created
4,2024-07-19,base,canonical,bal-balancer,0xba100000625a3754423978a60c9317c58a424e3d,690905.12,Immutable Factory Created
