excess_blob_gas,blob_base_fee_dencun,blob_base_fee_pectra
0,1,1
131072,1,1
262144,1,1
393216,1,1
524288,1,1
655360,1,1
786432,1,1
917504,1,1
1048576,1,1
1179648,1,1
1310720,1,1
1441792,1,1
1572864,1,1
1703936,1,1
1835008,1,1
1966080,1,1
2097152,1,1
2228224,1,1
2359296,2,1
2490368,2,1
2621440,2,1
2752512,2,1
2883584,2,1
3014656,2,1
3145728,2,1
3276800,2,1
3407872,2,1
3538944,2,2
3670016,3,2
3801088,3,2
3932160,3,2
4063232,3,2
4194304,3,2
4325376,3,2
4456448,3,2
4587520,3,2
4718592,4,2
4849664,4,2
4980736,4,2
5111808,4,2
5242880,4,2
5373952,5,2
5505024,5,3
5636096,5,3
5767168,5,3
5898240,5,3
6029312,6,3
6160384,6,3
6291456,6,3
6422528,6,3
6553600,7,3
6684672,7,3
6815744,7,3
6946816,8,4
7077888,8,4
7208960,8,4
7340032,9,4
7471104,9,4
7602176,9,4
7733248,10,4
7864320,10,4
7995392,10,4
8126464,11,5
8257536,11,5
8388608,12,5
8519680,12,5
8650752,13,5
8781824,13,5
8912896,14,5
9043968,15,6
9175040,15,6
9306112,16,6
9437184,16,6
9568256,17,6
9699328,18,6
9830400,19,7
9961472,19,7
10092544,20,7
10223616,21,7
10354688,22,7
10485760,23,8
10616832,24,8
10747904,25,8
10878976,26,8
11010048,27,9
11141120,28,9
11272192,29,9
11403264,30,9
11534336,31,10
11665408,32,10
11796480,34,10
11927552,35,10
12058624,37,11
12189696,38,11
12320768,40,11
12451840,41,12
12582912,43,12
12713984,45,12
12845056,46,13
12976128,48,13
13107200,50,13
13238272,52,14
13369344,54,14
13500416,57,14
13631488,59,15
13762560,61,15
13893632,64,16
14024704,66,16
14155776,69,16
14286848,72,17
14417920,75,17
14548992,78,18
14680064,81,18
14811136,84,19
14942208,87,19
15073280,91,20
15204352,95,20
15335424,98,21
15466496,102,21
15597568,106,22
15728640,111,23
15859712,115,23
15990784,120,24
16121856,125,25
16252928,130,25
16384000,135,26
16515072,140,27
16646144,146,27
16777216,152,28
16908288,158,29
17039360,164,30
17170432,171,30
17301504,178,31
17432576,185,32
17563648,192,33
17694720,200,34
17825792,208,35
17956864,216,36
18087936,225,37
18219008,234,38
18350080,243,39
18481152,253,40
18612224,263,41
18743296,274,42
18874368,285,43
19005440,296,44
19136512,308,45
19267584,320,46
19398656,333,48
19529728,347,49
19660800,361,50
19791872,375,52
19922944,390,53
20054016,406,54
20185088,422,56
20316160,439,57
20447232,457,59
20578304,475,60
20709376,494,62
20840448,514,64
20971520,534,65
21102592,556,67
21233664,578,69
21364736,601,71
21495808,625,73
21626880,650,75
21757952,676,77
21889024,703,79
22020096,732,81
22151168,761,83
22282240,791,85
22413312,823,87
22544384,856,90
22675456,890,92
22806528,926,95
22937600,963,97
23068672,1002,100
23199744,1042,102
23330816,1084,105
23461888,1127,108
23592960,1172,111
23724032,1219,114
23855104,1268,117
23986176,1319,120
24117248,1372,123
24248320,1426,126
24379392,1484,130
24510464,1543,133
24641536,1605,137
