chains_filtered,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Aptos,0.004394524422719473,0.006681153057970094,0.010599882704716243,0.00862595925966827,0.007204455745697427,0.007463470499318255,0.007179654900367226,0.006823353420669398,0.008344771433555687,0.011565738334575955,0.010820796858179061,0.009190413029782428
Arbitrum,0.0535846295165011,0.049807658866536195,0.03551387824852948,0.03575484251661626,0.034100144230695954,0.03616521303223497,0.038335304249606725,0.04103265931558822,0.03990993004059135,0.03302295289942403,0.031036457734195416,0.027823926187394866
Avalanche,0.014070727678167421,0.01414413511341292,0.014266110988296927,0.009564412801810928,0.0076129659854426174,0.00788391040311994,0.00824447312828572,0.008790163243368539,0.009763838189458404,0.01011732399140951,0.010669148060764345,0.011231712194609358
BOB,0.0,0.0,0.0,0.0,4.205267757813576e-05,0.0010737149343690812,0.000997800227940144,0.001098764793995674,0.0011787080642427549,0.0013754219916515033,0.003938648584042447,0.004975941671142215
Base,0.012654483630856627,0.012224731883511081,0.022808101595533554,0.047634513297463515,0.05213282547796209,0.05392974609024235,0.04857775982219246,0.04981423526988944,0.05867735296539486,0.08546419176344298,0.09050816448088728,0.0889642801355567
Binance,0.1260464116575174,0.11640491067483022,0.11705421427478055,0.11421725339552631,0.10676152720493885,0.1082722545809442,0.09622019409524796,0.0997471509658088,0.10218670757328878,0.09629681604077271,0.08929281139411432,0.07899356922100043
Bitcoin,0.004146295770110738,0.004221863216494466,0.0049566793878050835,0.003487086991193022,0.003444018561750945,0.003172240254937863,0.0026176063970709436,0.00258635194424574,0.0027560239237546824,0.0028178562741919488,0.0030156812997813058,0.0027625709727307174
Blast,0.0,6.670497769864802e-05,0.00883961538541735,0.022683888768839845,0.029928193854760168,0.03827813883864887,0.022531188584506576,0.017619603494579954,0.01580807207178921,0.011979994071072121,0.008958114940382322,0.007566431941546207
Cardano,0.009649866499288187,0.009478170138540198,0.00853700160283345,0.00534622695032027,0.005410411648799204,0.005618917079000174,0.0058246875987568855,0.005992167677359603,0.005938492331323725,0.005774675322804521,0.0077359363735977375,0.009845533823491901
Cronos,0.014940728233018612,0.014081541970339843,0.017894788726766062,0.014561377024956983,0.014956243588252274,0.014194924368750106,0.012568837582575886,0.012790293678187133,0.012387230764781352,0.01108153496371912,0.014166164238914924,0.01359449835593324
EOS,0.001951826953728531,0.002298565470050915,0.0029691663626580113,0.0023894196143495966,0.0026363860806981267,0.003041266169856272,0.0025046956080792752,0.001994711560757886,0.0020943937336384178,0.0018282106263003161,0.001840894777303858,0.0021559824064846323
Elrond,0.0057807245601609785,0.0055535373010246955,0.005400215092478079,0.0033941172596442864,0.0028655954130059535,0.002605006816107893,0.002803379691289802,0.0026367682902057508,0.0026155581325059286,0.0022892675153639934,0.002280090133424096,0.002284063417999585
Ethereum,0.47032789139188297,0.4721672281833658,0.423876228976228,0.4346972605780158,0.42730355316129964,0.42163341946153476,0.40615946131503095,0.3950486971914879,0.38181839342379914,0.35855972582958723,0.3528549103955606,0.3308583156131213
Fantom,0.004206263730269485,0.003880342027023896,0.005938228886131361,0.004699578494706866,0.005092374262324508,0.00451005836136121,0.004050122630576692,0.004609004285399246,0.004105566863157657,0.004713405270272961,0.004611614124980265,0.00452433928825414
HydraDX,0.0012928625868130303,0.0016313638339446976,0.0017062591983731286,0.0011503076918557122,0.00135937647919278,0.0019607836004508043,0.00270355204939195,0.002612057278798461,0.0024873020159968725,0.0024423732615199826,0.0026278745572831225,0.002615756714772793
Hyperliquid,0.0,0.0,0.0,0.0035763929803900338,0.003956038620514074,0.005949673018828806,0.01014433063858909,0.009866967578190503,0.0071747409634411435,0.006814281794127178,0.010161569197696625,0.04805982244742927
Klaytn,0.004663354283833863,0.004166099187572369,0.004000112218331752,0.0027666957262903295,0.002543724621723909,0.00265120501068476,0.0018378476440181297,0.001807959526758273,0.0017787170725357617,0.0022106210419898828,0.003065973954561314,0.0038678889888257018
Linea,0.0015028013872579902,0.001448423486295378,0.002125793655783047,0.0027133796739324516,0.004809068574730824,0.007983185462826616,0.007465385510397134,0.0059577799111097274,0.004815738517794616,0.003974665445085629,0.0038559937117036707,0.0029316213836808012
Mantle,0.007388678295695111,0.006182896372759927,0.007141700236065947,0.006575608544183769,0.007577435659688418,0.008750451469609883,0.011707010427976934,0.013837447162456188,0.013398264019376452,0.011370842788564352,0.01740118209593604,0.00957043836100592
Near,0.0017798008085825612,0.0016253782201870522,0.0031703016027464785,0.0034069908047192083,0.0037785165253689935,0.003374229186075252,0.0016187795122404843,0.002436584756058509,0.003081477904625514,0.0017460636695453375,0.003054931937061436,0.0029174062544388055
Optimism,0.018543788763190454,0.0141883994836129,0.012162873498122964,0.013492274481139151,0.012823060684306213,0.011630354068313826,0.009274685715172114,0.008830596498512496,0.009576794907550534,0.00923521808153867,0.007843126558614029,0.006972817751483917
