chains_filtered,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Aptos,60467862.48143032,99061491.55381654,180448668.5922187,175649903.17788666,144068604.3396616,141337416.54235268,137771949.2998029,116371359.96502936,140588997.784619,213578537.24001807,220562353.528453,241234874.261055
Arbitrum,737314825.6887087,738498420.1547141,604575750.9790155,728073763.9868884,681905803.9230068,684868758.9971477,735624436.9348723,699806396.2321159,672384751.426344,609817875.1390184,632622001.203751,730337288.8154056
Avalanche,193610671.92125517,209715165.7679724,242861247.19867033,194759577.69084534,152237646.13490033,149299381.39772034,158204976.36671516,149915032.66513452,164496803.35968733,186831415.02594,217471267.344512,294815985.9869856
BOB,0.0,0.0,0.0,0.0,840933.8305736666,20333180.782389335,19147004.183734518,18739283.38104871,19858349.237245332,25399210.02591581,80282220.690732,130611177.04704
Base,174123409.5794661,181256163.97628793,388277085.764249,969978804.2990353,1042508091.1043997,1021279710.0057073,932169130.1595548,849574973.8559288,988569946.0727063,1578223243.0996625,1844845073.1570413,2335181983.9520707
Binance,1734375862.6031098,1725936223.2214677,1992689703.0279799,2325799241.1315746,2134926601.606517,2050375994.2622397,1846390096.2467785,1701174026.1564085,1721596201.7688422,1778263740.359245,1820072300.809495,2073465433.676065
Bitcoin,57052281.047340326,62597588.13087311,84380763.55033258,71007348.16123833,68870566.35855775,60073425.938446,50229814.77921064,44109878.90328968,46432265.32880667,52035901.53819516,61469203.57984067,72513439.72075126
Blast,0.0,989035.05541,150482497.92954227,461910698.393201,598478673.6509739,724881709.3868473,432355846.4028913,300499929.3305987,266327367.642818,221228384.71924356,182594954.91181567,198607750.5013875
Cardano,132780420.43102968,140532878.52829173,145330907.5123555,108864906.25819133,108192829.91793741,106406694.28305899,111771188.96091776,102195600.72038871,100049077.660202,106637957.11109161,157683057.51136833,258430835.071975
Cronos,205581722.4489377,208787096.90619656,304634578.55502963,296512467.49208033,299082292.40083,268812469.812333,241186140.31094065,218136710.48813033,208694554.71776265,204637002.7972816,288751610.9910117,356835660.2590375
EOS,26856786.417077094,34080842.321927585,50546042.054979675,48655611.65750167,52720216.00986613,57593140.282983,48063145.2509071,34019533.02905258,35285414.145028,33760624.70344613,37523307.202045,56591378.7608825
Elrond,79541726.04882903,82342326.79088035,91931359.11925742,69114210.962995,57303750.11331806,49331598.95219533,53794658.66482258,44969722.79266839,44065760.149854,42274724.97980032,46475509.398820005,59953317.621291876
Ethereum,6471626852.46065,7000825977.318125,7215919581.130718,8851714856.714663,8544854560.331181,7984566729.386132,7793881668.193772,6737501534.85036,6432706479.093172,6621337915.533338,7192308525.050067,8684545940.047405
Fantom,57877429.3499471,57533851.65714724,101090316.38826452,95697241.63105832,101832987.61831516,85407987.78641334,77718678.32940774,78605938.12300871,69168764.56412834,87040029.25907452,93999404.87764333,118757276.28121375
HydraDX,17789555.7259,24188240.15186,29046755.440290473,23423648.155162334,27183659.535479352,37131799.27644167,51879044.47317581,44548279.87064903,41904958.140676335,45102049.99451903,53564465.23564482,68659780.5931975
Hyperliquid,0.0,0.0,0.0,72825880.78856072,79109509.84904547,112670293.776845,194661752.66288194,168279783.41655868,120876844.79389533,125835834.75860548,207125191.16298833,1261499911.6518157
Klaytn,64166912.824335806,61770774.58055586,68096501.07696678,56338063.02770067,50867250.63098032,50206464.535306,35266855.57260936,30834502.614690967,29967034.155618668,40822401.03329419,62494328.29559467,101526417.89344876
Linea,20678275.708702255,21475782.654437933,36188762.23197839,55252391.376284994,96167680.41763097,151179375.49260035,143254895.71780258,101609122.06716001,81133420.75338866,73398101.1175071,78597450.75996166,76950765.27915312
Mantle,101666879.08111355,91673837.05985174,121577788.64000483,133898731.64854033,151527140.77213258,165709264.12945098,224648352.81330937,235995770.03609,225727993.33525166,209979501.4994884,354691593.194062,251209982.31078374
Near,24489737.724818386,24099491.42517276,53970097.51785678,69376354.20734566,75559573.33895195,63898535.677905336,31063109.854562577,41555619.97912322,51915369.253218,32243659.131953225,62269256.759792335,76577638.96761687
Optimism,255159184.69361806,210371473.81789345,207056473.18298548,274742395.0101873,256424707.34226775,220246626.23620865,177973948.31009805,150604616.30514678,161345581.3333977,170542019.18531582,159867935.37130833,183026247.9034956
Osmosis,202596070.23010346,200437367.31310377,207892267.11702228,164705817.931724,123195011.64734806,112340774.93476434,91034591.54573098,71804864.8041287,77467629.54243533,78047192.81401032,82483022.35165699,101844445.0604575
Others,1001693586.6148559,1041378033.4302114,1235197100.2719045,1306533534.107033,1330210988.5680845,1157792572.6294296,1121969362.4042537,982092914.9194639,1003480489.6343637,1027179864.1988474,1028913181.5045077,1316080679.3471131
Polygon,312694236.91335034,291758614.5695976,279277558.2372887,344987383.15028965,315267670.78776,284674720.80486065,290133697.37602746,318145075.6201487,350587822.52767867,371497692.2487945,407247881.046437,494576877.01469374
Pulse,212591197.41617936,324762618.5536004,419845962.371021,365836979.193986,301224946.3340045,275138302.78661966,261630767.5574358,228652409.18792742,256120122.36006668,317145923.8742929,426316284.2806597,779253512.0705056
Ripple,0.0,0.0,0.0,0.0,0.0,0.0,11880500.521192001,13705811.629673334,14564631.964618001,0.0,0.0,64088937.76935214
Ronin,149059168.21561608,193931372.3948911,229295241.90508613,205115427.9540476,188373746.64064217,194033479.76100376,165658619.55237454,132667631.33164999,131178872.354855,133810776.84590484,139137514.10529834,169937723.63036874
Sei,8930487.249062581,15055335.869169312,28331335.650969677,35424490.33879233,28175824.269650646,22888836.060907666,27063056.463582583,30727547.748826772,45217464.996275,49420296.87927774,73842440.29660667,97209928.60942875
Solana,414763271.12524223,481497554.5840693,938073887.5880058,1256282706.4294546,1362554914.1042554,918657162.369976,1820117595.9036152,1684048681.2237887,1635060046.396951,2163691669.663581,2363310776.394638,3194823131.4034963
Stacks,45693013.55631226,75612008.87506965,129045561.52255614,131538653.00141066,90058562.60054515,78880708.91544533,44109185.64895516,50002961.97473032,38963416.75979467,56625710.56679548,52132279.26908467,72978760.35228938
Starknet,26209031.324987743,38473058.84855586,84933402.50055258,88598372.48625067,73894254.30017646,74269105.32386367,92354686.55726226,102637369.72428,98342453.49852033,90015938.2974342,87007482.35334,100229126.82999
Sui,167663643.32250485,275988570.75868654,286427737.36832744,272344681.156265,285789242.95486706,230538064.08705667,190799470.09987676,156549068.1373742,209832472.00837502,335026234.24388456,454097918.2608297,460826297.7715925
TON,15345281.205775807,17406203.250837587,49634925.81859903,132071583.21696399,223860922.09672517,477247327.11086804,687260605.7150587,481854552.50070065,329160662.92548865,342021379.96017003,275079401.7917557,261188057.9566875
Taiko,0.0,0.0,0.0,0.0,635291.710006,8862667.715667667,11870586.49014226,10848520.23192387,9288931.051116668,6189665.986110322,66271638.01373533,130562777.53661437
Thorchain,155589268.87559128,164064301.11078897,225110293.78713226,187331472.01946133,176430169.10742775,150312881.84326467,126507608.33472678,110677271.53983775,117102797.396056,130045466.67314324,152483849.69259435,185852888.56240064
Tron,424491254.58079904,517431431.47745174,588073119.1296294,554569773.8872876,550505084.5960054,531740163.55263364,566850829.5323265,658564711.2728497,760833845.843375,749445193.44065,740986263.7360951,920027836.9661543
ZKsync Era,109235242.76407677,101397043.3018269,119976044.63179064,110635885.685869,106255120.61980806,98404958.929891,78301322.6737642,59103743.89509129,56854551.730812,54928332.34488452,56149597.933805995,66018139.914834
xDai,98104267.64557323,112075087.6469462,133428360.11342387,123368573.17120734,116058241.39517935,115832236.01413967,104616905.26403096,93732568.22319162,90403105.39119299,102403859.7289013,122459015.89404133,141502590.4630581
zkSync Era,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60199786.96221167
