"Date(UTC)","UnixTimeStamp","Value"
"8/20/2024","1724112000","30000000"
"8/21/2024","1724198400","30000000"
"8/22/2024","1724284800","30000000"
"8/23/2024","1724371200","30000000"
"8/24/2024","1724457600","30000000"
"8/25/2024","1724544000","30000000"
"8/26/2024","1724630400","30000000"
"8/27/2024","1724716800","30000000"
"8/28/2024","1724803200","30000000"
"8/29/2024","1724889600","30000000"
"8/30/2024","1724976000","30000000"
"8/31/2024","1725062400","30000000"
"9/1/2024","1725148800","30000000"
"9/2/2024","1725235200","30000000"
"9/3/2024","1725321600","30000000"
"9/4/2024","1725408000","30000000"
"9/5/2024","1725494400","30000000"
"9/6/2024","1725580800","30000000"
"9/7/2024","1725667200","30000000"
"9/8/2024","1725753600","30000000"
"9/9/2024","1725840000","30000000"
"9/10/2024","1725926400","30000000"
"9/11/2024","1726012800","30000000"
"9/12/2024","1726099200","30000000"
"9/13/2024","1726185600","30000000"
"9/14/2024","1726272000","30000000"
"9/15/2024","1726358400","30000000"
"9/16/2024","1726444800","30000000"
"9/17/2024","1726531200","30000000"
"9/18/2024","1726617600","30000000"
"9/19/2024","1726704000","30000000"
"9/20/2024","1726790400","30000000"
"9/21/2024","1726876800","30000000"
"9/22/2024","1726963200","30000000"
"9/23/2024","1727049600","30000000"
"9/24/2024","1727136000","30000000"
"9/25/2024","1727222400","30000000"
"9/26/2024","1727308800","30000000"
"9/27/2024","1727395200","30000000"
"9/28/2024","1727481600","30000000"
"9/29/2024","1727568000","30000000"
"9/30/2024","1727654400","30000000"
"10/1/2024","1727740800","30000000"
"10/2/2024","1727827200","30000000"
"10/3/2024","1727913600","30000000"
"10/4/2024","1728000000","30000000"
"10/5/2024","1728086400","30000000"
"10/6/2024","1728172800","30000000"
"10/7/2024","1728259200","30000000"
"10/8/2024","1728345600","30000000"
"10/9/2024","1728432000","30000000"
"10/10/2024","1728518400","30000000"
"10/11/2024","1728604800","30000000"
"10/12/2024","1728691200","30000000"
"10/13/2024","1728777600","30000000"
"10/14/2024","1728864000","30000000"
"10/15/2024","1728950400","30000000"
"10/16/2024","1729036800","30000000"
"10/17/2024","1729123200","30000000"
"10/18/2024","1729209600","30000000"
"10/19/2024","1729296000","30000000"
"10/20/2024","1729382400","30000000"
"10/21/2024","1729468800","33673611"
"10/22/2024","1729555200","60000000"
"10/23/2024","1729641600","60000000"
"10/24/2024","1729728000","60000000"
"10/25/2024","1729814400","60000000"
"10/26/2024","1729900800","60000000"
"10/27/2024","1729987200","60000000"
"10/28/2024","1730073600","60000000"
"10/29/2024","1730160000","60000000"
"10/30/2024","1730246400","60000000"
"10/31/2024","1730332800","60000000"
"11/1/2024","1730419200","60000000"
"11/2/2024","1730505600","60000000"
"11/3/2024","1730592000","60000000"
"11/4/2024","1730678400","60000000"
"11/5/2024","1730764800","60000000"
"11/6/2024","1730851200","60000000"
"11/7/2024","1730937600","60000000"
"11/8/2024","1731024000","60000000"
"11/9/2024","1731110400","60000000"
"11/10/2024","1731196800","60000000"
"11/11/2024","1731283200","60000000"
"11/12/2024","1731369600","60000000"
"11/13/2024","1731456000","60000000"
"11/14/2024","1731542400","60000000"
"11/15/2024","1731628800","60000000"
"11/16/2024","1731715200","60000000"
"11/17/2024","1731801600","60000000"
"11/18/2024","1731888000","60000000"
"11/19/2024","1731974400","60000000"
"11/20/2024","1732060800","60000000"
"11/21/2024","1732147200","60000000"
"11/22/2024","1732233600","60000000"
"11/23/2024","1732320000","60000000"
"11/24/2024","1732406400","60000000"
"11/25/2024","1732492800","60000000"
"11/26/2024","1732579200","60000000"
"11/27/2024","1732665600","60000000"
"11/28/2024","1732752000","60000000"
"11/29/2024","1732838400","60000000"
"11/30/2024","1732924800","60000000"
"12/1/2024","1733011200","60000000"
"12/2/2024","1733097600","60000000"
"12/3/2024","1733184000","60000000"
"12/4/2024","1733270400","60000000"
"12/5/2024","1733356800","60000000"
"12/6/2024","1733443200","60000000"
"12/7/2024","1733529600","60000000"
"12/8/2024","1733616000","60000000"
"12/9/2024","1733702400","60000000"
"12/10/2024","1733788800","60000000"
"12/11/2024","1733875200","60000000"
"12/12/2024","1733961600","60000000"
"12/13/2024","1734048000","60000000"
"12/14/2024","1734134400","60000000"
"12/15/2024","1734220800","60000000"
"12/16/2024","1734307200","60000000"
"12/17/2024","1734393600","60000000"
"12/18/2024","1734480000","60000000"
"12/19/2024","1734566400","60000000"
"12/20/2024","1734652800","60000000"
"12/21/2024","1734739200","60000000"
"12/22/2024","1734825600","60000000"
"12/23/2024","1734912000","60000000"
"12/24/2024","1734998400","60000000"
"12/25/2024","1735084800","60000000"
"12/26/2024","1735171200","60000000"
"12/27/2024","1735257600","60000000"
"12/28/2024","1735344000","60000000"
"12/29/2024","1735430400","60000000"
"12/30/2024","1735516800","60000000"
"12/31/2024","1735603200","60000000"
"1/1/2025","1735689600","60000000"
"1/2/2025","1735776000","60000000"
"1/3/2025","1735862400","60000000"
"1/4/2025","1735948800","60000000"
"1/5/2025","1736035200","60000000"
"1/6/2025","1736121600","60000000"
"1/7/2025","1736208000","60000000"
"1/8/2025","1736294400","60000000"
"1/9/2025","1736380800","60000000"
"1/10/2025","1736467200","60000000"
"1/11/2025","1736553600","60000000"
"1/12/2025","1736640000","60000000"
"1/13/2025","1736726400","60000000"
"1/14/2025","1736812800","60000000"
"1/15/2025","1736899200","60000000"
"1/16/2025","1736985600","60000000"
"1/17/2025","1737072000","60000000"
"1/18/2025","1737158400","60000000"
"1/19/2025","1737244800","60000000"
"1/20/2025","1737331200","60000000"
"1/21/2025","1737417600","60000000"
"1/22/2025","1737504000","60000000"
"1/23/2025","1737590400","60000000"
"1/24/2025","1737676800","60000000"
"1/25/2025","1737763200","60000000"
"1/26/2025","1737849600","60000000"
"1/27/2025","1737936000","60000000"
"1/28/2025","1738022400","60000000"
"1/29/2025","1738108800","60000000"
"1/30/2025","1738195200","60000000"
"1/31/2025","1738281600","60000000"
"2/1/2025","1738368000","60000000"
"2/2/2025","1738454400","60000000"
"2/3/2025","1738540800","60000000"
