"Date(UTC)","UnixTimeStamp","Value"
"12/1/2024","1733011200","60000000"
"12/2/2024","1733097600","60000000"
"12/3/2024","1733184000","60000000"
"12/4/2024","1733270400","60000000"
"12/5/2024","1733356800","60000000"
"12/6/2024","1733443200","60000000"
"12/7/2024","1733529600","60000000"
"12/8/2024","1733616000","60000000"
"12/9/2024","1733702400","60000000"
"12/10/2024","1733788800","60000000"
"12/11/2024","1733875200","60000000"
"12/12/2024","1733961600","60000000"
"12/13/2024","1734048000","60000000"
"12/14/2024","1734134400","60000000"
"12/15/2024","1734220800","60000000"
"12/16/2024","1734307200","60000000"
"12/17/2024","1734393600","60000000"
"12/18/2024","1734480000","60000000"
"12/19/2024","1734566400","60000000"
"12/20/2024","1734652800","60000000"
"12/21/2024","1734739200","60000000"
"12/22/2024","1734825600","60000000"
"12/23/2024","1734912000","60000000"
"12/24/2024","1734998400","60000000"
"12/25/2024","1735084800","60000000"
"12/26/2024","1735171200","60000000"
"12/27/2024","1735257600","60000000"
"12/28/2024","1735344000","60000000"
"12/29/2024","1735430400","60000000"
"12/30/2024","1735516800","60000000"
"12/31/2024","1735603200","60000000"
"1/1/2025","1735689600","60000000"
"1/2/2025","1735776000","60000000"
"1/3/2025","1735862400","60000000"
"1/4/2025","1735948800","60000000"
"1/5/2025","1736035200","60000000"
"1/6/2025","1736121600","60000000"
"1/7/2025","1736208000","60000000"
"1/8/2025","1736294400","60000000"
"1/9/2025","1736380800","60000000"
"1/10/2025","1736467200","60000000"
"1/11/2025","1736553600","60000000"
"1/12/2025","1736640000","60000000"
"1/13/2025","1736726400","60000000"
"1/14/2025","1736812800","60000000"
"1/15/2025","1736899200","60000000"
"1/16/2025","1736985600","60000000"
"1/17/2025","1737072000","60000000"
"1/18/2025","1737158400","60000000"
"1/19/2025","1737244800","60000000"
"1/20/2025","1737331200","60000000"
"1/21/2025","1737417600","60000000"
"1/22/2025","1737504000","60000000"
"1/23/2025","1737590400","60000000"
"1/24/2025","1737676800","60000000"
"1/25/2025","1737763200","60000000"
"1/26/2025","1737849600","60000000"
"1/27/2025","1737936000","60000000"
"1/28/2025","1738022400","60000000"
"1/29/2025","1738108800","60000000"
"1/30/2025","1738195200","60000000"
"1/31/2025","1738281600","60000000"
"2/1/2025","1738368000","60000000"
"2/2/2025","1738454400","60000000"
"2/3/2025","1738540800","60000000"
"2/4/2025","1738627200","60000000"
"2/5/2025","1738713600","60000000"
"2/6/2025","1738800000","60000000"
"2/7/2025","1738886400","60000000"
"2/8/2025","1738972800","60000000"
"2/9/2025","1739059200","60000000"
"2/10/2025","1739145600","60000000"
"2/11/2025","1739232000","60000000"
"2/12/2025","1739318400","60000000"
"2/13/2025","1739404800","60000000"
"2/14/2025","1739491200","60000000"
"2/15/2025","1739577600","60000000"
"2/16/2025","1739664000","42501389"
"2/17/2025","1739750400","30000000"
"2/18/2025","1739836800","30000000"
"2/19/2025","1739923200","30000000"
"2/20/2025","1740009600","30000000"
"2/21/2025","1740096000","30000000"
"2/22/2025","1740182400","30000000"
"2/23/2025","1740268800","30000000"
"2/24/2025","1740355200","30000000"
"2/25/2025","1740441600","36737037"
"2/26/2025","1740528000","40000000"
"2/27/2025","1740614400","40000000"
"2/28/2025","1740700800","40000000"
"3/1/2025","1740787200","40000000"
"3/2/2025","1740873600","40000000"
"3/3/2025","1740960000","40000000"
"3/4/2025","1741046400","40000000"
"3/5/2025","1741132800","40000000"
"3/6/2025","1741219200","40000000"
"3/7/2025","1741305600","40000000"
"3/8/2025","1741392000","40000000"
"3/9/2025","1741478400","40000000"
"3/10/2025","1741564800","40000000"
"3/11/2025","1741651200","40000000"
"3/12/2025","1741737600","40000000"
"3/13/2025","1741824000","40000000"
"3/14/2025","1741910400","40000000"
"3/15/2025","1741996800","40000000"
"3/16/2025","1742083200","40000000"
"3/17/2025","1742169600","40000000"
"3/18/2025","1742256000","40000000"
"3/19/2025","1742342400","40000000"
"3/20/2025","1742428800","40000000"
"3/21/2025","1742515200","40000000"
"3/22/2025","1742601600","40000000"
"3/23/2025","1742688000","40000000"
"3/24/2025","1742774400","40000000"
"3/25/2025","1742860800","40000000"
"3/26/2025","1742947200","40000000"
"3/27/2025","1743033600","40000000"
"3/28/2025","1743120000","40000000"
"3/29/2025","1743206400","40000000"
"3/30/2025","1743292800","40000000"
"3/31/2025","1743379200","40000000"
"4/1/2025","1743465600","40000000"
"4/2/2025","1743552000","40000000"
"4/3/2025","1743638400","40000000"
"4/4/2025","1743724800","40000000"
"4/5/2025","1743811200","40000000"
"4/6/2025","1743897600","40000000"
"4/7/2025","1743984000","40000000"
"4/8/2025","1744070400","40000000"
"4/9/2025","1744156800","40000000"
"4/10/2025","1744243200","40000000"
"4/11/2025","1744329600","40000000"
"4/12/2025","1744416000","40000000"
"4/13/2025","1744502400","40000000"
"4/14/2025","1744588800","40000000"
"4/15/2025","1744675200","40000000"
"4/16/2025","1744761600","40000000"
"4/17/2025","1744848000","40000000"
"4/18/2025","1744934400","40000000"
"4/19/2025","1745020800","40000000"
"4/20/2025","1745107200","40000000"
"4/21/2025","1745193600","40000000"
"4/22/2025","1745280000","40000000"
"4/23/2025","1745366400","40000000"
"4/24/2025","1745452800","40000000"
