"Date(UTC)","UnixTimeStamp","Value"
"11/4/2024","1730678400","30000000"
"11/5/2024","1730764800","30000000"
"11/6/2024","1730851200","30000000"
"11/7/2024","1730937600","30000000"
"11/8/2024","1731024000","30000000"
"11/9/2024","1731110400","0"
"11/10/2024","1731196800","30000000"
"11/11/2024","1731283200","30000000"
"11/12/2024","1731369600","30000000"
"11/13/2024","1731456000","30000000"
"11/14/2024","1731542400","30000000"
"11/15/2024","1731628800","30000000"
"11/16/2024","1731715200","30000000"
"11/17/2024","1731801600","30000000"
"11/18/2024","1731888000","30000000"
"11/19/2024","1731974400","30000000"
"11/20/2024","1732060800","30000000"
"11/21/2024","1732147200","30000000"
"11/22/2024","1732233600","30000000"
"11/23/2024","1732320000","30000000"
"11/24/2024","1732406400","30000000"
"11/25/2024","1732492800","30000000"
"11/26/2024","1732579200","30000000"
"11/27/2024","1732665600","30000000"
"11/28/2024","1732752000","30000000"
"11/29/2024","1732838400","30000000"
"11/30/2024","1732924800","30000000"
"12/1/2024","1733011200","30000000"
"12/2/2024","1733097600","30000000"
"12/3/2024","1733184000","30000000"
"12/4/2024","1733270400","30000000"
"12/5/2024","1733356800","30000000"
"12/6/2024","1733443200","30000000"
"12/7/2024","1733529600","30000000"
"12/8/2024","1733616000","30000000"
"12/9/2024","1733702400","30000000"
"12/10/2024","1733788800","30000000"
"12/11/2024","1733875200","30000000"
"12/12/2024","1733961600","30000000"
"12/13/2024","1734048000","30000000"
"12/14/2024","1734134400","30000000"
"12/15/2024","1734220800","30000000"
"12/16/2024","1734307200","30000000"
"12/17/2024","1734393600","30000000"
"12/18/2024","1734480000","30000000"
"12/19/2024","1734566400","30000000"
"12/20/2024","1734652800","30000000"
"12/21/2024","1734739200","30000000"
"12/22/2024","1734825600","30000000"
"12/23/2024","1734912000","30000000"
"12/24/2024","1734998400","30000000"
"12/25/2024","1735084800","30000000"
"12/26/2024","1735171200","30000000"
"12/27/2024","1735257600","30000000"
"12/28/2024","1735344000","30000000"
"12/29/2024","1735430400","30000000"
"12/30/2024","1735516800","30000000"
"12/31/2024","1735603200","30000000"
"1/1/2025","1735689600","30000000"
"1/2/2025","1735776000","30000000"
"1/3/2025","1735862400","30000000"
"1/4/2025","1735948800","30000000"
"1/5/2025","1736035200","30000000"
"1/6/2025","1736121600","30000000"
"1/7/2025","1736208000","30000000"
"1/8/2025","1736294400","30000000"
"1/9/2025","1736380800","30000000"
"1/10/2025","1736467200","30000000"
"1/11/2025","1736553600","30000000"
"1/12/2025","1736640000","30000000"
"1/13/2025","1736726400","30000000"
"1/14/2025","1736812800","30000000"
"1/15/2025","1736899200","30000000"
"1/16/2025","1736985600","30000000"
"1/17/2025","1737072000","30000000"
"1/18/2025","1737158400","30000000"
"1/19/2025","1737244800","30000000"
"1/20/2025","1737331200","30000000"
"1/21/2025","1737417600","30000000"
"1/22/2025","1737504000","30000000"
"1/23/2025","1737590400","30000000"
"1/24/2025","1737676800","30000000"
"1/25/2025","1737763200","30000000"
"1/26/2025","1737849600","30000000"
"1/27/2025","1737936000","30000000"
"1/28/2025","1738022400","30000000"
"1/29/2025","1738108800","30000000"
"1/30/2025","1738195200","30000000"
"1/31/2025","1738281600","30000000"
"2/1/2025","1738368000","30000000"
"2/2/2025","1738454400","30000000"
"2/3/2025","1738540800","30000000"
"2/4/2025","1738627200","30000000"
"2/5/2025","1738713600","30000000"
"2/6/2025","1738800000","30000000"
"2/7/2025","1738886400","30000000"
"2/8/2025","1738972800","30000000"
"2/9/2025","1739059200","30000000"
"2/10/2025","1739145600","30000000"
"2/11/2025","1739232000","30000000"
"2/12/2025","1739318400","30000000"
"2/13/2025","1739404800","30000000"
"2/14/2025","1739491200","30000000"
"2/15/2025","1739577600","30000000"
"2/16/2025","1739664000","30000000"
"2/17/2025","1739750400","30000000"
"2/18/2025","1739836800","30000000"
"2/19/2025","1739923200","30000000"
"2/20/2025","1740009600","30000000"
"2/21/2025","1740096000","30000000"
"2/22/2025","1740182400","30000000"
"2/23/2025","1740268800","30000000"
"2/24/2025","1740355200","30000000"
"2/25/2025","1740441600","30000000"
"2/26/2025","1740528000","30000000"
"2/27/2025","1740614400","30000000"
"2/28/2025","1740700800","30000000"
"3/1/2025","1740787200","30000000"
"3/2/2025","1740873600","30000000"
"3/3/2025","1740960000","30000000"
"3/4/2025","1741046400","30000000"
"3/5/2025","1741132800","30000000"
"3/6/2025","1741219200","30000000"
"3/7/2025","1741305600","30000000"
"3/8/2025","1741392000","30000000"
"3/9/2025","1741478400","30000000"
"3/10/2025","1741564800","30000000"
"3/11/2025","1741651200","30000000"
"3/12/2025","1741737600","30000000"
"3/13/2025","1741824000","30000000"
"3/14/2025","1741910400","30000000"
"3/15/2025","1741996800","30000000"
"3/16/2025","1742083200","30000000"
"3/17/2025","1742169600","30000000"
"3/18/2025","1742256000","30000000"
"3/19/2025","1742342400","30000000"
"3/20/2025","1742428800","30000000"
"3/21/2025","1742515200","30000000"
"3/22/2025","1742601600","30000000"
"3/23/2025","1742688000","30000000"
"3/24/2025","1742774400","30000000"
"3/25/2025","1742860800","30000000"
"3/26/2025","1742947200","30000000"
"3/27/2025","1743033600","30000000"
"3/28/2025","1743120000","30000000"
"3/29/2025","1743206400","30000000"
"3/30/2025","1743292800","30000000"
"3/31/2025","1743379200","30000000"
"4/1/2025","1743465600","30000000"
"4/2/2025","1743552000","30000000"
"4/3/2025","1743638400","30000000"
"4/4/2025","1743724800","30000000"
"4/5/2025","1743811200","30000000"
"4/6/2025","1743897600","30000000"
"4/7/2025","1743984000","30000000"
"4/8/2025","1744070400","30000000"
"4/9/2025","1744156800","30000000"
"4/10/2025","1744243200","30000000"
"4/11/2025","1744329600","30000000"
"4/12/2025","1744416000","30000000"
"4/13/2025","1744502400","30000000"
"4/14/2025","1744588800","30000000"
"4/15/2025","1744675200","30000000"
"4/16/2025","1744761600","30000000"
"4/17/2025","1744848000","30000000"
"4/18/2025","1744934400","30000000"
"4/19/2025","1745020800","30000000"
"4/20/2025","1745107200","30000000"
"4/21/2025","1745193600","30000000"
"4/22/2025","1745280000","30000000"
"4/23/2025","1745366400","30000000"
"4/24/2025","1745452800","30000000"
"4/25/2025","1745539200","30000000"
"4/26/2025","1745625600","30000000"
"4/27/2025","1745712000","30000000"
"4/28/2025","1745798400","30000000"
"4/29/2025","1745884800","30000000"
"4/30/2025","1745971200","30000000"
"5/1/2025","1746057600","30000000"
"5/2/2025","1746144000","30000000"
"5/3/2025","1746230400","30000000"
"5/4/2025","1746316800","30000000"
"5/5/2025","1746403200","30000000"
"5/6/2025","1746489600","30000000"
"5/7/2025","1746576000","30000000"
"5/8/2025","1746662400","30000000"
"5/9/2025","1746748800","30000000"
"5/10/2025","1746835200","30000000"
"5/11/2025","1746921600","30000000"
"5/12/2025","1747008000","30000000"
"5/13/2025","1747094400","30000000"
"5/14/2025","1747180800","30000000"
"5/15/2025","1747267200","30000000"
"5/16/2025","1747353600","30000000"
"5/17/2025","1747440000","30000000"
"5/18/2025","1747526400","30000000"
"5/19/2025","1747612800","30000000"
"5/20/2025","1747699200","30000000"
"5/21/2025","1747785600","30000000"
"5/22/2025","1747872000","30000000"
"5/23/2025","1747958400","30000000"
"5/24/2025","1748044800","30000000"
"5/25/2025","1748131200","30000000"
"5/26/2025","1748217600","30000000"
"5/27/2025","1748304000","30000000"
"5/28/2025","1748390400","30000000"
"5/29/2025","1748476800","30000000"
"5/30/2025","1748563200","30000000"
"5/31/2025","1748649600","30000000"
"6/1/2025","1748736000","30000000"
"6/2/2025","1748822400","30000000"
"6/3/2025","1748908800","30000000"
"6/4/2025","1748995200","30000000"
"6/5/2025","1749081600","30000000"
"6/6/2025","1749168000","30000000"
"6/7/2025","1749254400","30000000"
"6/8/2025","1749340800","30000000"
"6/9/2025","1749427200","30000000"
"6/10/2025","1749513600","30000000"
"6/11/2025","1749600000","30000000"
"6/12/2025","1749686400","30000000"
"6/13/2025","1749772800","30000000"
"6/14/2025","1749859200","30000000"
"6/15/2025","1749945600","30000000"
"6/16/2025","1750032000","30000000"
"6/17/2025","1750118400","30000000"
"6/18/2025","1750204800","30000000"
"6/19/2025","1750291200","30000000"
"6/20/2025","1750377600","30000000"
"6/21/2025","1750464000","30000000"
"6/22/2025","1750550400","30000000"
"6/23/2025","1750636800","30000000"
"6/24/2025","1750723200","30000000"
"6/25/2025","1750809600","30000000"
"6/26/2025","1750896000","30000000"
"6/27/2025","1750982400","30000000"
"6/28/2025","1751068800","30000000"
"6/29/2025","1751155200","30000000"
"6/30/2025","1751241600","30000000"
"7/1/2025","1751328000","30000000"
"7/2/2025","1751414400","30000000"
"7/3/2025","1751500800","30000000"
"7/4/2025","1751587200","30000000"
"7/5/2025","1751673600","30000000"
"7/6/2025","1751760000","30000000"
"7/7/2025","1751846400","30000000"
"7/8/2025","1751932800","30000000"
"7/9/2025","1752019200","30000000"
"7/10/2025","1752105600","30000000"
"7/11/2025","1752192000","30000000"
"7/12/2025","1752278400","30000000"
"7/13/2025","1752364800","30000000"
"7/14/2025","1752451200","30000000"
"7/15/2025","1752537600","30000000"
"7/16/2025","1752624000","30000000"
"7/17/2025","1752710400","30000000"
"7/18/2025","1752796800","30000000"
"7/19/2025","1752883200","30000000"
"7/20/2025","1752969600","30000000"
"7/21/2025","1753056000","30000000"
"7/22/2025","1753142400","30000000"
"7/23/2025","1753228800","30000000"
"7/24/2025","1753315200","30000000"
"7/25/2025","1753401600","30000000"
"7/26/2025","1753488000","30000000"
"7/27/2025","1753574400","30000000"
"7/28/2025","1753660800","30000000"
"7/29/2025","1753747200","30000000"
"7/30/2025","1753833600","30000000"
"7/31/2025","1753920000","30000000"
"8/1/2025","1754006400","30000000"
"8/2/2025","1754092800","30000000"
"8/3/2025","1754179200","30000000"
"8/4/2025","1754265600","30000000"
"8/5/2025","1754352000","30000000"
"8/6/2025","1754438400","30000000"
"8/7/2025","1754524800","30000000"
"8/8/2025","1754611200","30000000"
"8/9/2025","1754697600","30000000"
"8/10/2025","1754784000","30000000"
"8/11/2025","1754870400","30000000"
"8/12/2025","1754956800","30000000"
"8/13/2025","1755043200","30000000"
"8/14/2025","1755129600","30000000"
"8/15/2025","1755216000","30000000"
"8/16/2025","1755302400","30000000"
"8/17/2025","1755388800","30000000"
"8/18/2025","1755475200","30000000"
"8/19/2025","1755561600","30000000"
"8/20/2025","1755648000","30000000"
"8/21/2025","1755734400","30000000"
"8/22/2025","1755820800","30000000"
"8/23/2025","1755907200","30000000"
"8/24/2025","1755993600","30000000"
"8/25/2025","1756080000","30000000"
"8/26/2025","1756166400","30000000"
"8/27/2025","1756252800","30000000"
"8/28/2025","1756339200","30000000"
"8/29/2025","1756425600","30000000"
"8/30/2025","1756512000","30000000"
"8/31/2025","1756598400","30000000"
"9/1/2025","1756684800","30000000"
"9/2/2025","1756771200","30000000"
