"Date(UTC)","UnixTimeStamp","Value"
"6/25/2024","1719273600","0"
"6/26/2024","1719360000","0"
"6/27/2024","1719446400","100000000"
"6/28/2024","1719532800","100000000"
"6/29/2024","1719619200","0"
"6/30/2024","1719705600","0"
"7/1/2024","1719792000","100000000"
"7/2/2024","1719878400","100000000"
"7/3/2024","1719964800","100000000"
"7/4/2024","1720051200","0"
"7/5/2024","1720137600","0"
"7/6/2024","1720224000","0"
"7/7/2024","1720310400","0"
"7/8/2024","1720396800","100000000"
"7/9/2024","1720483200","100000000"
"7/10/2024","1720569600","0"
"7/11/2024","1720656000","100000000"
"7/12/2024","1720742400","100000000"
"7/13/2024","1720828800","0"
"7/14/2024","1720915200","0"
"7/15/2024","1721001600","0"
"7/16/2024","1721088000","100000000"
"7/17/2024","1721174400","100000000"
"7/18/2024","1721260800","100000000"
"7/19/2024","1721347200","100000000"
"7/20/2024","1721433600","0"
"7/21/2024","1721520000","0"
"7/22/2024","1721606400","100000000"
"7/23/2024","1721692800","100000000"
"7/24/2024","1721779200","100000000"
"7/25/2024","1721865600","100000000"
"7/26/2024","1721952000","100000000"
"7/27/2024","1722038400","100000000"
"7/28/2024","1722124800","100000000"
"7/29/2024","1722211200","100000000"
"7/30/2024","1722297600","100000000"
"7/31/2024","1722384000","100000000"
"8/1/2024","1722470400","100000000"
"8/2/2024","1722556800","100000000"
"8/3/2024","1722643200","0"
"8/4/2024","1722729600","0"
"8/5/2024","1722816000","0"
"8/6/2024","1722902400","100000000"
"8/7/2024","1722988800","100000000"
"8/8/2024","1723075200","100000000"
"8/9/2024","1723161600","100000000"
"8/10/2024","1723248000","100000000"
"8/11/2024","1723334400","100000000"
"8/12/2024","1723420800","100000000"
"8/13/2024","1723507200","100000000"
"8/14/2024","1723593600","100000000"
"8/15/2024","1723680000","100000000"
"8/16/2024","1723766400","100000000"
"8/17/2024","1723852800","100000000"
"8/18/2024","1723939200","100000000"
"8/19/2024","1724025600","100000000"
"8/20/2024","1724112000","100000000"
"8/21/2024","1724198400","100000000"
"8/22/2024","1724284800","100000000"
"8/23/2024","1724371200","100000000"
"8/24/2024","1724457600","100000000"
"8/25/2024","1724544000","100000000"
"8/26/2024","1724630400","100000000"
"8/27/2024","1724716800","100000000"
"8/28/2024","1724803200","100000000"
"8/29/2024","1724889600","100000000"
"8/30/2024","1724976000","100000000"
"8/31/2024","1725062400","100000000"
"9/1/2024","1725148800","100000000"
"9/2/2024","1725235200","100000000"
"9/3/2024","1725321600","100000000"
"9/4/2024","1725408000","100000000"
"9/5/2024","1725494400","100000000"
"9/6/2024","1725580800","100000000"
"9/7/2024","1725667200","100000000"
"9/8/2024","1725753600","100000000"
"9/9/2024","1725840000","100000000"
"9/10/2024","1725926400","100000000"
"9/11/2024","1726012800","100000000"
"9/12/2024","1726099200","100000000"
"9/13/2024","1726185600","100000000"
"9/14/2024","1726272000","100000000"
"9/15/2024","1726358400","100000000"
"9/16/2024","1726444800","100000000"
"9/17/2024","1726531200","100000000"
"9/18/2024","1726617600","100000000"
"9/19/2024","1726704000","100000000"
"9/20/2024","1726790400","100000000"
"9/21/2024","1726876800","100000000"
"9/22/2024","1726963200","100000000"
"9/23/2024","1727049600","100000000"
"9/24/2024","1727136000","100000000"
"9/25/2024","1727222400","100000000"
"9/26/2024","1727308800","100000000"
"9/27/2024","1727395200","100000000"
"9/28/2024","1727481600","100000000"
"9/29/2024","1727568000","100000000"
"9/30/2024","1727654400","100000000"
"10/1/2024","1727740800","100000000"
"10/2/2024","1727827200","100000000"
"10/3/2024","1727913600","100000000"
"10/4/2024","1728000000","100000000"
"10/5/2024","1728086400","100000000"
"10/6/2024","1728172800","100000000"
"10/7/2024","1728259200","100000000"
"10/8/2024","1728345600","100000000"
"10/9/2024","1728432000","100000000"
"10/10/2024","1728518400","100000000"
"10/11/2024","1728604800","100000000"
"10/12/2024","1728691200","100000000"
"10/13/2024","1728777600","100000000"
"10/14/2024","1728864000","100000000"
"10/15/2024","1728950400","100000000"
"10/16/2024","1729036800","100000000"
"10/17/2024","1729123200","100000000"
"10/18/2024","1729209600","100000000"
"10/19/2024","1729296000","100000000"
"10/20/2024","1729382400","100000000"
"10/21/2024","1729468800","100000000"
"10/22/2024","1729555200","100000000"
"10/23/2024","1729641600","100000000"
"10/24/2024","1729728000","100000000"
"10/25/2024","1729814400","100000000"
"10/26/2024","1729900800","100000000"
"10/27/2024","1729987200","100000000"
"10/28/2024","1730073600","100000000"
"10/29/2024","1730160000","100000000"
"10/30/2024","1730246400","100000000"
"10/31/2024","1730332800","100000000"
"11/1/2024","1730419200","100000000"
"11/2/2024","1730505600","100000000"
"11/3/2024","1730592000","100000000"
"11/4/2024","1730678400","100000000"
"11/5/2024","1730764800","100000000"
"11/6/2024","1730851200","100000000"
"11/7/2024","1730937600","114119820"
"11/8/2024","1731024000","150000000"
"11/9/2024","1731110400","150000000"
"11/10/2024","1731196800","150000000"
"11/11/2024","1731283200","150000000"
"11/12/2024","1731369600","150000000"
"11/13/2024","1731456000","150000000"
"11/14/2024","1731542400","150000000"
"11/15/2024","1731628800","150000000"
"11/16/2024","1731715200","150000000"
"11/17/2024","1731801600","150000000"
"11/18/2024","1731888000","150000000"
"11/19/2024","1731974400","150000000"
"11/20/2024","1732060800","150000000"
"11/21/2024","1732147200","150000000"
"11/22/2024","1732233600","150000000"
"11/23/2024","1732320000","150000000"
"11/24/2024","1732406400","150000000"
"11/25/2024","1732492800","150000000"
"11/26/2024","1732579200","150000000"
"11/27/2024","1732665600","150000000"
"11/28/2024","1732752000","150000000"
"11/29/2024","1732838400","150000000"
