campaignId,rewardToken,chainId,index,creator,campaignType,campaignSubType,amount,startTimestamp,endTimestamp,mainParameter,campaignParameters,computeChainId,amm,ammAlgo,ammAlgoName,ammName,apr,aprs,aprBreakdowns,blacklistedBalance0,blacklistedBalance1,blacklistedLiquidity,forwarders,isLive,isMock,poolBalanceToken0,poolBalanceToken1,poolTotalLiquidity,symbolToken0,symbolToken1,tick,priceRewardToken,tvl,rewardTokenSymbol,amountDecimal,appLink,tokenDecimals,symbol_onchain,name_onchain
0xd04f588ed2148036c11786af5ec5f92e74dac4462f1d43a99b1eba9427fae868,0x05225a6416EDaeeC7227027E86F7A47D18A06b91,9745,0,0xA9DdD91249DFdd450E81E1c56Ab60E1A62651701,18,0,9700000000,1758034800,1758060000,0x05225a6416EDaeeC7227027E86F7A47D18A06b91,"{'url': '', 'hooks': [], 'duration': 25200, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x05225a6416EDaeeC7227027E86F7A47D18A06b91', 'symbolRewardToken': 'aglaMerkl', 'symbolTargetToken': 'aglaMerkl', 'decimalsRewardToken': 6, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted'}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,aglaMerkl,9700.0,https://app.merkl.xyz/?chain=9745#0xd04f588ed2148036c11786af5ec5f92e74dac4462f1d43a99b1eba9427fae868,6.0,aglaMerkl,aglaMerkl
0xaff57ccfe9afc7b7bae6b97e7940c2fc73bcd1f6d203cf0dc1561716e30f7313,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,3,0x8cd34466193EC736dFc64bDf3892f0321FeE9c35,18,0,2910000000000000000,1758567600,1758571200,0x98879b8d2e04b79f000a4bd9518b1d65197e8e2f,"{'url': '', 'hooks': [], 'duration': 3600, 'blacklist': [], 'whitelist': ['0x097625C40b2A214e05764A4beb589BcD643Db23a', '0x9fEe3Cda5e2B1Cc29c2C75e95B210F3Ad22624D0', '0x653E924923e6c30320a92ec34e465C907F2C8D35', '0x647BFB616937AB7BF9c46F517D1B0DA444e8F7A9', '0xc63b4DAebd3efA8f932b4481a94648A78F39BA75', '0x32204e00a65c1F52092C5BD858ca7b0d9aF27d54'], 'forwarders': [], 'targetToken': '0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'USDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted'}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,2.91,https://app.merkl.xyz/?chain=9745#0xaff57ccfe9afc7b7bae6b97e7940c2fc73bcd1f6d203cf0dc1561716e30f7313,18.0,WXPL,Wrapped XPL
0x6b945b754338f44ab6743226a2581f872d833a30ea9b2904a729d72d1600bf36,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,2,0xdfA68cD659730E967F0d1213046E4363E424E5b6,18,0,9700000000000000000,1758286800,1758632400,0x187baae0ab5434a3955040b82ea299938f847f86,"{'url': '', 'hooks': [], 'duration': 345600, 'blacklist': [], 'whitelist': ['0x097625C40b2A214e05764A4beb589BcD643Db23a', '0x653E924923e6c30320a92ec34e465C907F2C8D35', '0x32204e00a65c1F52092C5BD858ca7b0d9aF27d54'], 'forwarders': [], 'targetToken': '0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'USDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted'}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,9.7,https://app.merkl.xyz/?chain=9745#0x6b945b754338f44ab6743226a2581f872d833a30ea9b2904a729d72d1600bf36,18.0,WXPL,Wrapped XPL
0x3e0ec6ec92715a069df2bc7c68568e681eae3ec4b66237d4135ddf93bcae76ac,0x05225a6416EDaeeC7227027E86F7A47D18A06b91,9745,7,0xA9DdD91249DFdd450E81E1c56Ab60E1A62651701,18,0,10000000000,1758790800,1758794400,0xa9C251F8304b1B3Fc2b9e8fcae78D94Eff82Ac66,"{'url': '', 'hooks': [], 'duration': 3600, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xa9C251F8304b1B3Fc2b9e8fcae78D94Eff82Ac66', 'symbolRewardToken': 'aglaMerkl', 'symbolTargetToken': 'tcUSDT0', 'decimalsRewardToken': 6, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted'}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,aglaMerkl,10000.0,https://app.merkl.xyz/?chain=9745#0x3e0ec6ec92715a069df2bc7c68568e681eae3ec4b66237d4135ddf93bcae76ac,6.0,aglaMerkl,aglaMerkl
0x18d74ff230386780ad1c3862f13902b4514766994daffc3a802f702ca86d5d12,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,27,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,81250000000000000000000,1758801600,1759406400,0xa9C251F8304b1B3Fc2b9e8fcae78D94Eff82Ac66,"{'url': 'https://app.euler.finance/?network=plasma', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xa9C251F8304b1B3Fc2b9e8fcae78D94Eff82Ac66', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'tcUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,81250.0,https://app.merkl.xyz/?chain=9745#0x18d74ff230386780ad1c3862f13902b4514766994daffc3a802f702ca86d5d12,18.0,WXPL,Wrapped XPL
0x8f93e29bc9cb1989c0b08c49aceb492954368b907c61a1ea97ba42f298970e3d,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,8,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,12500000000000000000000,1758801600,1759406400,0x76309A9a56309104518847BbA321c261B7B4a43f,"{'url': 'https://app.gearbox.fi/pools', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x76309A9a56309104518847BbA321c261B7B4a43f', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'dUSDT0-V3-0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,12499.999999999998,https://app.merkl.xyz/?chain=9745#0x8f93e29bc9cb1989c0b08c49aceb492954368b907c61a1ea97ba42f298970e3d,18.0,WXPL,Wrapped XPL
0x4184741cdd9eb93c1b65af721a98b58f51c88bc4cc977325b80c3c346acb40d5,0xBa3335588D9403515223F109EdC4eB7269a9Ab5D,1,2603,0x6f378f36899cEB7C6fB7D293aAE1ca86B0Edbf6D,18,0,1620000000000000000000000,1758808800,1759413600,0x76309A9a56309104518847BbA321c261B7B4a43f,"{'url': '', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x76309A9a56309104518847BbA321c261B7B4a43f', 'symbolRewardToken': 'GEAR', 'symbolTargetToken': 'dUSDT0-V3-0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted'}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,,,https://app.merkl.xyz/?chain=9745#0x4184741cdd9eb93c1b65af721a98b58f51c88bc4cc977325b80c3c346acb40d5,,,
0xdf9d406fdbf3cd394613e54b491126651facbcebd74f68a6baa81b9b448cd8b6,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,9,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,46875000000000000000000,1758801600,1759406400,0x89Eaa468B85b92aF8Ade75919Df50019141322C7,"{'url': 'https://app.term.finance/vaults', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x89Eaa468B85b92aF8Ade75919Df50019141322C7', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'tmvUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,46875.0,https://app.merkl.xyz/?chain=9745#0xdf9d406fdbf3cd394613e54b491126651facbcebd74f68a6baa81b9b448cd8b6,18.0,WXPL,Wrapped XPL
0x2b5b28273a5070ed78f11f67af6a6faeade104f615dffa91c0345941b384a976,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,20,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,75000000000000000000000,1758801600,1759406400,0xe14Ba497A7C51f34896D327ec075F3F18210a270,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xe14Ba497A7C51f34896D327ec075F3F18210a270', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'WXPL-USDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,75000.0,https://app.merkl.xyz/?chain=9745#0x2b5b28273a5070ed78f11f67af6a6faeade104f615dffa91c0345941b384a976,18.0,WXPL,Wrapped XPL
0x97d5d71daf5d7a9d805a21593b41c5e731d1190a0ecb3a4502043f0950b9abfd,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,21,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,75000000000000000000000,1758801600,1759406400,0x6a74BE33B5393D8A3EbA4D69B78f9D9da947C48c,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x6a74BE33B5393D8A3EbA4D69B78f9D9da947C48c', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'waPlaUSDe-waPlaUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,75000.0,https://app.merkl.xyz/?chain=9745#0x97d5d71daf5d7a9d805a21593b41c5e731d1190a0ecb3a4502043f0950b9abfd,18.0,WXPL,Wrapped XPL
0x9636fdd43d42ed1a2dc6966a96c07284819c191818ee3dde3e99719284dd4c67,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,22,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,62500000000000000000000,1758801600,1759406400,0xd9c4e277c93374a9f8C877a9D06707a88092E8F0,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xd9c4e277c93374a9f8C877a9D06707a88092E8F0', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'sUSDe-waPlaUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,62500.0,https://app.merkl.xyz/?chain=9745#0x9636fdd43d42ed1a2dc6966a96c07284819c191818ee3dde3e99719284dd4c67,18.0,WXPL,Wrapped XPL
0x7451c0515262720ef2e5db06dcd63e677368331c1e3a956c28c732e7530d1923,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,28,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,747500000000000000000000,1758801600,1759406400,0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B,"{'url': 'https://fluid.io/lending/9745', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x1DD4b13fcAE900C60a350589BE8052959D2Ed27B', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'fUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,747500.0000000001,https://app.merkl.xyz/?chain=9745#0x7451c0515262720ef2e5db06dcd63e677368331c1e3a956c28c732e7530d1923,18.0,WXPL,Wrapped XPL
0xaca8513e154b059e14c1cba3cedccbab7c61075382c37a9c400eff8ce8b3f620,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,29,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,40625000000000000000000,1758801600,1759406400,0xd8f824d4252caE7d5E49B95d47B0EfAfe6f2d570,"{'url': 'https://fluid.io/lending/9745', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xd8f824d4252caE7d5E49B95d47B0EfAfe6f2d570', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'fUSDe', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,40625.0,https://app.merkl.xyz/?chain=9745#0xaca8513e154b059e14c1cba3cedccbab7c61075382c37a9c400eff8ce8b3f620,18.0,WXPL,Wrapped XPL
0x169712f9cb0cf72f7d06aeb743c53657b6284c2cd6cd2bb65c98064c952cc5d9,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,30,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,24375000000000000000000,1758801600,1759406400,0x5E494e8912319cefb1d4Fa516807bB65A8CB9E40,"{'url': 'https://fluid.io/lending/9745', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x5E494e8912319cefb1d4Fa516807bB65A8CB9E40', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'fWETH', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,24375.0,https://app.merkl.xyz/?chain=9745#0x169712f9cb0cf72f7d06aeb743c53657b6284c2cd6cd2bb65c98064c952cc5d9,18.0,WXPL,Wrapped XPL
0xb84d3125eae76b523708e1f19931d4badf8763a56ee67f6e9979d5b5eda86c7f,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,31,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,12500000000000000000000,1758801600,1759406400,0xda51975D78Cb172b46d7292cEC9fa9E74723eF3b,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xda51975D78Cb172b46d7292cEC9fa9E74723eF3b', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'weETH-waPlaWETH', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,12499.999999999998,https://app.merkl.xyz/?chain=9745#0xb84d3125eae76b523708e1f19931d4badf8763a56ee67f6e9979d5b5eda86c7f,18.0,WXPL,Wrapped XPL
0x0394c105044cc5895a24a92e260681b5a261b13d30c452f4b63ff3d10925ddf0,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,32,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,31250000000000000000000,1758801600,1759406400,0x694c009aa31B3F80EE18C218B02390ca2D7151e7,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x694c009aa31B3F80EE18C218B02390ca2D7151e7', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'xUSD-waPlaUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,31250.0,https://app.merkl.xyz/?chain=9745#0x0394c105044cc5895a24a92e260681b5a261b13d30c452f4b63ff3d10925ddf0,18.0,WXPL,Wrapped XPL
0x210ee0e40acf985ace19b8d7659266561b0300d72f65cd0f6471fc324f287b55,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,33,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,118750000000000000000000,1758801600,1759406400,0x01E2C7fCde2B8D5d1413732c4e274Ba5B06B1E54,"{'url': 'https://balancer.fi/pools?networks=PLASMA', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x01E2C7fCde2B8D5d1413732c4e274Ba5B06B1E54', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'USDai-waPlaUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,118750.0,https://app.merkl.xyz/?chain=9745#0x210ee0e40acf985ace19b8d7659266561b0300d72f65cd0f6471fc324f287b55,18.0,WXPL,Wrapped XPL
0xcebf97c773a2248b028bcbfdd8bc1e3c4f7b25018f1c98d61fdbfa80a9fa517f,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,34,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,31250000000000000000000,1758801600,1759406400,0x2D84D79C852f6842AbE0304b70bBaA1506AdD457,"{'url': 'https://www.curve.finance/dex/plasma/pools/factory-stable-ng-0/deposit', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x2D84D79C852f6842AbE0304b70bBaA1506AdD457', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'USDT0-USDe', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,31250.0,https://app.merkl.xyz/?chain=9745#0xcebf97c773a2248b028bcbfdd8bc1e3c4f7b25018f1c98d61fdbfa80a9fa517f,18.0,WXPL,Wrapped XPL
0x608dbdf9b0ea356e880fe80c5bce6bf098b977d64131b95626f6814c4c9e362b,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,35,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,31250000000000000000000,1758801600,1759406400,0x1E8D78e9b3f0152D54d32904B7933f1cFE439Df1,"{'url': 'https://www.curve.finance/dex/plasma/pools/factory-stable-ng-1/deposit', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0x1E8D78e9b3f0152D54d32904B7933f1cFE439Df1', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'sUSDeUSDT0', 'decimalsRewardToken': 18, 'decimalsTargetToken': 18, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,31250.0,https://app.merkl.xyz/?chain=9745#0x608dbdf9b0ea356e880fe80c5bce6bf098b977d64131b95626f6814c4c9e362b,18.0,WXPL,Wrapped XPL
0xd5f0d6d9b3d540ecbf949ad5a504c1d33c65702d2ec7ff25c76c5249d8f4a03b,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,36,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,275000000000000000000000,1758801600,1759406400,0xe818ad0D20D504C55601b9d5e0E137314414dec4,"{'url': 'https://app.euler.finance/?network=plasma', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xe818ad0D20D504C55601b9d5e0E137314414dec4', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'k3USDT', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,275000.0,https://app.merkl.xyz/?chain=9745#0xd5f0d6d9b3d540ecbf949ad5a504c1d33c65702d2ec7ff25c76c5249d8f4a03b,18.0,WXPL,Wrapped XPL
0xc9826cd1eef7d6a02489fd2520c45d45b68f31eb09eaec6e24524b4161e517e7,0x6100E367285b01F48D07953803A2d8dCA5D19873,9745,37,0x8f457a595174f6D2590f3FEd803035935E9a1D57,18,0,175000000000000000000000,1758801600,1759406400,0xa5EeD1615cd883dD6883ca3a385F525e3bEB4E79,"{'url': 'https://app.euler.finance/?network=plasma', 'hooks': [], 'duration': 604800, 'blacklist': [], 'whitelist': [], 'forwarders': [], 'targetToken': '0xa5EeD1615cd883dD6883ca3a385F525e3bEB4E79', 'symbolRewardToken': 'WXPL', 'symbolTargetToken': 'Re7USDT0Core', 'decimalsRewardToken': 18, 'decimalsTargetToken': 6, 'computeScoreParameters': {'computeMethod': 'genericTimeWeighted', 'computeSettings': {}}, 'distributionMethodParameters': {'distributionMethod': 'DUTCH_AUCTION', 'distributionSettings': {}}}",9745,,,,,,,,,,,,,,,,,,,,,,WXPL,175000.0,https://app.merkl.xyz/?chain=9745#0xc9826cd1eef7d6a02489fd2520c45d45b68f31eb09eaec6e24524b4161e517e7,18.0,WXPL,Wrapped XPL
