token,project,source_protocol
WEETH,Ether-fi,ether-fi
GRT,The Graph,the-graph
PT-SUSDE-27MAR2025,Pendle,pendle
EURC,Circle,cirlce
FBOMB,Millennium Club,millenium-club
WETH-USDC-GMX-V2,GMX,gmx
USD0++,Usual,usual-money
WSTETH,Lido,lido
MGLP,Abracadabra Money,abracadabra
USDT,Tether,tether
AIXBT,Virtuals Protocol,virtuals-protocol
VAWSTETH,Metronome,metronome
MBTC,Merlin,merlin
FRAX,Frax Finance,frax-finance
AETHWSTETH,Ankr,ankr
USX,dForce,dforce
BEAN,Beanstalk,beanstalk
PENDLE,Pendle,pendle
GLP,GMX,gmx
OP,Optimism,optimism
WSUPEROETHB,Origin Protocol,origin-defi
WETH,Ethereum,ethereum
SOLVBTC.BBN,Solv,solv-protocol
LPT,Livepeer,livepeer
MIM,Abracadabra Money,abracadabra
LOTUS,Lotus,lotus
EBTC,eBTC,ebtc-protocol
SEAM,Seamless Protocol,seamless-protocol
SWETH,Swell Network,swell
PAXG,Paxos,paxos-gold
ARB,Arbitrum,abritrum
SUPEROETHB,Origin Protocol,origin-defi
NORMIE,Normie,normie
ETHX,Stader Labs,stader
LQDR,Abacus,abacus
GMX,GMX,gms
EETH,Ether-fi,ether-fi
SUSD,Synthetix,synthetix
PT-SUSDE-26DEC2024,Pendle,pendle
SOLVBTC,Solv,solv-protocol
DEGEN,Degen,degen
EUSD,Reserve Protocol,reserve-protocol
VELO,Velodrome Finance,velodrome
BPT-ETHTRI,Balancer,balancer
USDBC,Circle,cirlce
GRAIL,Camelot,camelot
USDC+,Overnight Finance,overnight-finance
AAVE,Aave,aave
RDNT,Radiant Capital,radiant
DEXE,Dexe.network,dexe
AMP,Amp,amp
RNDR,Render Network,render
ETH,Ethereum,ethereum
WSOL,Solana,solana
STETH,Lido,lido
ALUSD,Alchemix,alchemix
USDC.E,Circle,circle
RETH,Rocket Pool,rocket-pool
METH,Mantle,mantle-restaking
UNI,Uniswap,uniswap
WRSETH/WETH,Balancer,balancer
TBTC,Threshold Network,threshold-network
BPT-RETH-ETH,Balancer,balancer
CBBTC,Coinbase,coinbase
UNIBTC,Bedrock,bedrock
HEGIC,Hegic,hegic
SUSDE,Ethena,ethena
DAI,MakerDAO,maker
VIRTUAL,Virtuals Protocol,virtuals-protocol
USDM,Mountain Protocol,mountain-protocol
PZETH,Pendle,pendle
MSTETH,Magpie,magpie-ecosystem
WBTC-WBTC-GMX-V2,GMX,gmx
D2,D2 Finance,d2-finance
CRV,Curve Finance,curve-finance
MATIC,Polygon,polygon
LFBTC-AVALON-ETH,Avalon Finance,avalon-labs
EGETH,Magpie,magpie-ecosystem
LUNA,Terra,terra
AERO,Aerodrome Finance,aerodrome
CDXUSD,cod3x,cod3x
OGN,Origin Protocol,origin-defi
BSDETH,Reserve Protocol,reserve-protocol
PENDLE-LPT,Pendle,pendle
WETH-WETH-GMX-V2,GMX,gmx
EPENDLE,Equilibria Finance,equilibria
STAR,Preon,preon
MPENDLE,Magpie,magpie-ecosystem
PUMPBTC,Pump BTC,pumpbtc
WBTC,Wrapped Bitcoin,wrapped-bitcoin
XAUT,Tether Gold,tether-gold
RSETH,KelpDAO,kelp-dao
USDC,Circle,circle
USDZ,Anzen,anzen-finance
BRETT,Brett,brett
(=ↀΩↀ=),Nekodex,nekodex
OUSG,Ondo Finance,ondo-finance
CBETH,Coinbase,coinbase
MAI,Mai Finance,mai-finance
LBTC,Lombard,lombard-finance
BALD,Bald,balancer
USDE,Ethena,ethena
FSGLP,GMX,gmx
USYC,Hashnote,hashnote-usyc
USDY,Ondo Finance,ondo-finance
WBTC-USDC-GMX-V2,GMX,gmx
ENA,Ethena,ethena
WEETHS,Ether-fi,ether-fi
WRSETH,KelpDAO,kelp-dao
LINK,Chainlink,chainlink
DOLA,Inverse Finance,inverse-finance
SPEC,Spectral Labs,spectral-labs
WEETH.BASE,Ether-fi,ether-fi
TWETH,Twittereum,twittereum
SFRXETH,Frax Finance,frax-finance
WBETH,Binance,binance
EZETH,Renzo,renzo
USD+,Overnight Finance,overnight-finance
SNX,Synthetix,synthetix
