,dt,blockchain,token_type,asset_id,address,usd_value,token_classification,l1_token,l2_token
82,2024-07-19,base,native,base:seam-seamless,0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85,47842089.9,Proxy,0x6b66ccd1340c479b07b390d326eadcbb84e726ba,0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85
69,2024-07-19,base,canonical,usdc-usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,51116599.06,Proxy,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca
89,2024-07-19,base,native,base:usdc-usd-coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,2943629332.81,Proxy,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913
176,2024-07-19,optimism,external,optimism:ezeth-renzo-restaked-eth,0x2416092f143378750bb29b79ed961ab195cceea5,7885808.04,Proxy,,0x2416092f143378750bb29b79ed961ab195cceea5
190,2024-07-19,optimism,native,optimism:exa-exactly-token,0x1e925de1c68ef83bd98ee3e130ef14a50309c01b,1262839.28,Proxy,,0x1e925de1c68ef83bd98ee3e130ef14a50309c01b
189,2024-07-19,optimism,native,optimism:usdc-usd-coin,0x0b2c639c533813f4aa9d7837caf62653d097ff85,180733656.66,Proxy,,0x0b2c639c533813f4aa9d7837caf62653d097ff85
77,2024-07-19,base,external,base:ezeth-renzo-restaked-eth,0x2416092f143378750bb29b79ed961ab195cceea5,4221686.98,Proxy,,0x2416092f143378750bb29b79ed961ab195cceea5
175,2024-07-19,optimism,external,optimism:tbtc-optimism-tbtc-v2,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,3171222.73,Proxy,,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40
12,2024-07-19,base,canonical,cbeth-coinbase-wrapped-staked-eth,0xbe9895146f7af43049ca1c1ae358b0541ea49704,90300477.86,Proxy,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22
79,2024-07-19,base,external,base:weeth-wrapped-eeth,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,19004309.45,Proxy,,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a
83,2024-07-19,base,native,base:toshi-toshi,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,102089385.45,Not Proxy or Factory,,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4
84,2024-07-19,base,native,base:aero-aerodrome,0x940181a94a35a4569e4529a3cdfb74e38fd98631,537599371.06,Not Proxy or Factory,,0x940181a94a35a4569e4529a3cdfb74e38fd98631
85,2024-07-19,base,native,base:tybg-base-god,0x0d97f261b1e88845184f678e2d1e7a98d9fd38de,11939252.42,Not Proxy or Factory,,0x0d97f261b1e88845184f678e2d1e7a98d9fd38de
87,2024-07-19,base,native,base:mochi-mochi,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50,14227389.0,Not Proxy or Factory,,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50
153,2024-07-19,optimism,canonical,usdt-tether-usd,0xdac17f958d2ee523a2206206994597c13d831ec7,1055822039.26,Not Proxy or Factory,0xdac17f958d2ee523a2206206994597c13d831ec7,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58
154,2024-07-19,optimism,canonical,thales-thales-dao-token,0x8947da500eb47f82df21143d0c01a29862a8c3c5,7350442.65,Not Proxy or Factory,0x8947da500eb47f82df21143d0c01a29862a8c3c5,0x217d47011b23bb961eb6d93ca9945b7501a5bb11
88,2024-07-19,base,native,base:zro-layerzero,0x6985884c4392d348587b19cb9eaaf157f13271cd,27300403.67,Not Proxy or Factory,,0x6985884c4392d348587b19cb9eaaf157f13271cd
86,2024-07-19,base,native,base:degen-degen,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,84727564.04,Not Proxy or Factory,,0x4ed4e862860bed51a9570b96d89af5e1b0efefed
145,2024-07-19,optimism,canonical,reth-rocket-pool-eth,0xae78736cd615f374d3085123a210448e74fc6393,16291479.08,Not Proxy or Factory,0xae78736cd615f374d3085123a210448e74fc6393,0x9bcef72be871e61ed4fbbc7630889bee758eb81d
196,2024-07-19,optimism,native,optimism:kwenta-kwenta,0x920cf626a271321c151d027030d5d08af699456b,23315491.59,Not Proxy or Factory,,0x920cf626a271321c151d027030d5d08af699456b
157,2024-07-19,optimism,canonical,uni-uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,727674.11,Not Proxy or Factory,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6fd9d7ad17242c41f7131d257212c54a0e816691
81,2024-07-19,base,native,base:friend-friend,0x0bd4887f7d41b35cd75dff9ffee2856106f86670,23922571.32,Not Proxy or Factory,,0x0bd4887f7d41b35cd75dff9ffee2856106f86670
80,2024-07-19,base,native,base:brett-brett,0x532f27101965dd16442e59d40670faf5ebb142e4,1348095902.72,Not Proxy or Factory,,0x532f27101965dd16442e59d40670faf5ebb142e4
103,2024-07-19,optimism,canonical,link-chainlink-token,0x514910771af9ca656af840dff83e8264ecf986ca,6021902.88,Not Proxy or Factory,0x514910771af9ca656af840dff83e8264ecf986ca,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6
78,2024-07-19,base,external,base:sdex-smardex,0xfd4330b0312fdeec6d4225075b82e00493ff2e3f,2505135.07,Not Proxy or Factory,,0xfd4330b0312fdeec6d4225075b82e00493ff2e3f
136,2024-07-19,optimism,canonical,pendle-pendle,0x808507121b80c02388fad14726482e061b8da827,2829818.25,Not Proxy or Factory,0x808507121b80c02388fad14726482e061b8da827,0xbc7b1ff1c6989f006a1185318ed4e7b5796e66e1
133,2024-07-19,optimism,canonical,mkr-maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,16084.38,Not Proxy or Factory,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xab7badef82e9fe11f6f33f87bc9bc2aa27f2fcb5
