dt,chain,num_raw_txs,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,num_blocks,avg_l1_gas_price_on_l2,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second
2023-09-13,pgn,1541,1541,0,0,77503821,0,0.0,400660,0.0,0,0,0.0,0.0,0.0,1541,0.0,3082,0.0,0.0,50294.49772874756,25147.24886437378,0.0,0.0
2023-09-13,zora,6367,1543,0,4756,484634801,12118112,8288788.792907715,786068,8288788.792907715,12118112,384792,0.22322245136907662,0.07032947336419336,0.1528929780048819,1543,6.332991848917858E9,3086,3.082307193778354,1.541153596889177,314086.0667530784,157043.0333765392,1.4466782331113196E-4,7.233391165556598E-5
2023-09-12,pgn,43295,43200,31,64,2189828137,313016,214102.94877624512,11265920,214102.94877624512,313016,20900,0.02023158530486626,0.003780258381738311,0.01645132692312795,43200,2.348722996570043E7,86400,0.0014814814814814814,7.407407407407407E-4,50690.46613425926,25345.23306712963,4.683237339089412E-7,2.341618669544706E-7
2023-09-12,zora,135709,43200,9,89712,14734899261,301968860,2.0654670484767914E8,27750891,2.0654670484767914E8,301968860,16512687,5.818694218133133,2.993738768691796,2.8249554494424283,43200,9.299600277052996E9,86400,2.0766666666666667,1.0383333333333333,341085.63104166667,170542.81552083333,1.346919957901188E-4,6.73459978950594E-5
2023-09-11,zora,125391,43201,6,80053,13753890180,281727844,1.9270184959482574E8,27972887,1.9270184959482574E8,281727844,16736019,6.191824414912703,3.3358371006145133,2.8559873142984356,43200,1.0780656469320566E10,86400,1.8530787037037038,0.9265393518518519,318377.0875,159188.54375,1.4332926886371998E-4,7.166463443185999E-5
2023-09-11,pgn,43269,43200,20,49,2186637479,188004,128594.73886871338,11253484,128594.73886871338,188004,13020,0.015311530541981158,0.003475468340230532,0.011836062201750626,43200,2.156122137897802E7,86400,0.0011342592592592593,5.671296296296297E-4,50616.608310185184,25308.304155092592,3.54433577360675E-7,1.772167886803375E-7
2023-09-10,pgn,43283,43200,24,59,2186806823,214208,146518.2752685547,11257144,146518.2752685547,214208,15064,0.015078105102633703,0.00138796991257606,0.01369013519005765,43200,1.2900882342605641E7,86400,0.0013657407407407407,6.828703703703704E-4,50620.52831018518,25310.26415509259,3.490302107091135E-7,1.7451510535455675E-7
2023-09-10,zora,141464,43199,13,92993,17057836009,344125104,2.3538157638693237E8,32649091,2.3538157638693237E8,344125104,21407411,5.417414079659385,2.263936324568867,3.1534777550911968,43200,6.314904007929162E9,86400,2.1526157407407407,1.0763078703703703,394857.31502314814,197428.65751157407,1.2540310369581908E-4,6.270155184790954E-5
2023-09-09,zora,126270,43200,7,79031,14796402611,298317316,2.04049048695961E8,30030104,2.04049048695961E8,298317316,18791436,5.435337957107965,2.140168451269548,3.295169505839043,43200,6.501002434083393E9,86400,1.8294212962962964,0.9147106481481482,342509.3196990741,171254.65984953704,1.2581800826638807E-4,6.290900413319403E-5
2023-09-09,pgn,43283,43212,27,44,2185328252,166288,113740.99453735352,11258260,113740.99453735352,166288,11736,0.009106010164883696,0.001196465352792225,0.00790954481209147,43200,1.070776419631264E7,86400,0.0010185185185185184,5.092592592592592E-4,50586.30212962963,25293.151064814814,2.1078727233527076E-7,1.0539363616763538E-7
2023-09-08,zora,125850,43200,9,77584,14589374560,284926756,1.9488990545163727E8,28357787,1.9488990545163727E8,284926756,17118323,6.785386076340807,2.8371743945927896,3.948211681748661,43200,8.711361198604616E9,86400,1.795925925925926,0.897962962962963,337717.0037037037,168858.50185185185,1.5706912213751868E-4,7.853456106875934E-5
2023-09-08,pgn,43281,43200,19,62,2200822554,339056,231914.30917358398,11265281,231914.30917358398,339056,25237,0.01562611591526752,0.003118743338153197,0.012507372577114316,43200,2.065194930479887E7,86400,0.0014351851851851852,7.175925925925926E-4,50944.966527777775,25472.483263888887,3.617156461867482E-7,1.808578230933741E-7
2023-09-07,zora,145396,43200,26,96359,18153516760,332672436,2.2754795130017853E8,29555694,2.2754795130017853E8,332672436,18305698,9.617981953246876,3.9204940525228396,5.697487900724619,43200,1.1336760437289333E10,86400,2.2305324074074075,1.1152662037037038,420220.2953703704,210110.1476851852,2.2263847113997398E-4,1.1131923556998699E-4
2023-09-07,pgn,43251,43200,14,37,2182925026,155488,106353.7943725586,11247144,106353.7943725586,155488,9200,0.01171407653340084,0.001757973381589339,0.0099561031518115,43200,1.3727233887031514E7,86400,8.564814814814815E-4,4.2824074074074075E-4,50530.671898148146,25265.335949074073,2.711591790139083E-7,1.3557958950695416E-7
2023-09-06,pgn,43281,43200,22,59,2191988108,605848,414400.04124450684,11282008,414400.04124450684,605848,40768,0.030510543601744343,0.006788044324059396,0.023722499277684946,43200,2.2125484325200435E7,86400,0.0013657407407407407,6.828703703703704E-4,50740.465462962966,25370.232731481483,7.062625833737116E-7,3.531312916868558E-7
2023-09-06,zora,156738,43200,24,107701,17690924736,379702868,2.5971676750580597E8,33253067,2.5971676750580597E8,379702868,22004278,11.834740396692332,4.678973597131514,7.155766799560534,43200,1.2415752476661926E10,86400,2.493078703703704,1.246539351851852,409512.14666666667,204756.07333333333,2.739523239975077E-4,1.3697616199875385E-4
2023-09-05,pgn,43286,43200,29,57,2184904748,201204,137623.5390701294,11256652,137623.5390701294,201204,12472,0.01247242733488492,0.001759302809818521,0.0107131245250664,43200,1.7230395942105994E7,86400,0.0013194444444444445,6.597222222222222E-4,50576.4987962963,25288.24939814815,2.887135957149287E-7,1.4435679785746435E-7
