chain_name                     ,display_name         ,mainnet_chain_id ,public_mainnet_launch_date ,op_based_version ,has_mods ,is_law_of_chains ,is_op_chain ,raas_deployer ,rpc_url                                ,product_website                            ,defillama_slug    ,l2beat_slug        ,growthepie_alias     ,gas_token ,chain_layer ,da_layer          ,is_in_superchain_registry_repo ,batchinbox_from                            ,batchinbox_to                              ,outputoracle_from                          ,outputoracle_to_proxy                      ,l1_standard_bridge                         ,system_config_proxy
op mainnet                     ,OP Mainnet           ,              10 ,2021-06-23                 ,bedrock          ,no       ,yes              ,yes         ,              ,https://mainnet.optimism.io            ,https://optimism.io                        ,Optimism          ,optimism           ,Optimism             ,ETH       ,L2          ,ethereum          ,yes                            ,0x6887246668a3b87F54DeB3b94Ba47a6f63F32985 ,0xff00000000000000000000000000000000000010 ,0x473300df21D047806A082244b417f96b32f13A33 ,0xdfe97868233d1aa22e815a266982f2cf17685a27 ,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1 ,
base                           ,Base                 ,            8453 ,2023-08-09                 ,bedrock          ,no       ,yes              ,yes         ,              ,https://mainnet.base.org/              ,https://base.org                           ,Base              ,base               ,Base                 ,ETH       ,L2          ,ethereum          ,yes                            ,0x5050F69a9786F081509234F1a7F4684b5E5b76C9 ,0xFf00000000000000000000000000000000008453 ,0x642229f238fb9dE03374Be34B0eD8D9De80752c5 ,0x56315b90c40730925ec5485cf004d835058518A0 ,0xfA6D8Ee5BE770F84FC001D098C4bD604Fe01284a ,
zora                           ,ZORA                 ,         7777777 ,2023-06-14                 ,bedrock          ,no       ,                 ,yes         ,conduit       ,https://rpc.zora.energy/               ,https://zora.energy                        ,Zora              ,zora               ,Zora                 ,ETH       ,L2          ,ethereum          ,yes                            ,0x625726c858dBF78c0125436C943Bf4b4bE9d9033 ,0x6F54Ca6F6EdE96662024Ffd61BFd18f3f4e34DFf ,0x48247032092e7b0ecf5dEF611ad89eaf3fC888Dd ,0x9E6204F750cD866b299594e2aC9eA824E2e5f95c ,0x3e2Ea9B92B7E48A52296fD261dc26fd995284631 ,
public goods network           ,Public Goods Network ,             424 ,2023-07-25                 ,bedrock          ,yes      ,                 ,            ,conduit       ,https://rpc.publicgoods.network/       ,https://publicgoods.network/               ,                  ,publicgoodsnetwork ,Public Goods Network ,ETH       ,L2          ,ethereum          ,yes                            ,0x99526b0e49A95833E734EB556A6aBaFFAb0Ee167 ,0xC1B90E1e459aBBDcEc4DCF90dA45ba077d83BFc5 ,0x69968Ce0E92d9c101BAd81de55EFbcb69603cFe3 ,0xA38d0c4E6319F9045F20318BA5f04CDe94208608 ,0xD0204B9527C1bA7bD765Fa5CCD9355d38338272b ,
aevo network                   ,Aevo                 ,                 ,2023-04-07                 ,legacy bedrock   ,yes      ,                 ,            ,conduit       ,https://api.aevo.xyz                   ,https://www.aevo.xyz/                      ,protocols/aevo    ,aevo               ,                     ,ETH       ,L2          ,ethereum          ,no                             ,0x889e21d7BA3d6dD62e75d4980A4Ad1349c61599d ,0x253887577420Cb7e7418cD4d50147743c8041b28 ,0x75ACb7ae6C76B3f5cA049431FE2c0797dD002b90 ,0x909E51211e959339EFb14b36f5A50955a8ae3770 ,0x4082C9647c098a6493fb499EaE63b5ce3259c574 ,
opbnb                          ,opBNB                ,             204 ,2023-09-11                 ,bedrock          ,yes      ,                 ,            ,              ,https://opbnb-mainnet-rpc.bnbchain.org ,https://opbnb.bnbchain.org/en              ,opBNB             ,opbnb              ,                     ,BNB       ,L2          ,bnb               ,no                             ,0x1Fd6A75CC72f39147756A663f3eF1fc95eF89495 ,0xfF00000000000000000000000000000000005611 ,0x4ae49f1f57358c13a5732cb12e656cf8c8d986df ,0x153CAB79f4767E2ff862C94aa49573294B13D169 ,0x1876EA7702C0ad0C6A2ae6036DE7733edfBca519 ,
manta pacific                  ,Manta Pacific        ,             169 ,2023-09-08                 ,bedrock          ,yes      ,                 ,            ,caldera       ,https://pacific-rpc.manta.network/http ,https://pacific.manta.network/             ,Manta             ,mantapacific       ,                     ,ETH       ,L2          ,celestia          ,no                             ,0xA76E31D8471D569EfDd3D95d1b11Ce6710f4533F ,0xAEbA8e2307A22B6824a9a7a39f8b016C357Cd1Fe ,0x853bDfF715eFeDc280C16241dD30A6d651f90aCa ,0x30c789674ad3B458886BBC9abf42EEe19EA05C1D ,0x3B95bC951EE0f553ba487327278cAc44f29715E5 ,
loot chain                     ,Loot Chain           ,         5151706 ,2023-05-15                 ,bedrock          ,yes      ,                 ,            ,caldera       ,https://rpc.lootchain.com/http         ,https://adventuregold.org/                 ,                  ,                   ,                     ,ETH       ,L2          ,polygon           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
kroma network                  ,Kroma                ,             255 ,2023-09-05                 ,bedrock          ,yes      ,                 ,            ,              ,https://api.kroma.network/             ,https://kroma.network/                     ,Kroma             ,kroma              ,                     ,ETH       ,L2          ,ethereum          ,no                             ,0x41b8cD6791De4D8f9E0eaF7861aC506822AdcE12 ,0xfF00000000000000000000000000000000000255 ,                                           ,0x180c77aE51a9c505a43A2C7D81f8CE70cacb93A6 ,0x827962404D7104202C5aaa6b929115C8211d9596 ,
vienna                         ,Vienna               ,                 ,                           ,bedrock          ,yes      ,                 ,            ,caldera       ,https://vienna.calderachain.xyz/http   ,https://vienna.caldera.dev/                ,                  ,                   ,                     ,ETH       ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
orderly network                ,Orderly              ,             291 ,2023-10-16                 ,bedrock          ,yes      ,                 ,            ,conduit       ,https://rpc.orderly.network            ,https://orderly.network/                   ,                  ,                   ,                     ,ETH       ,L2          ,alt-da unknown    ,yes                            ,0xf8dB8Aba597fF36cCD16fECfbb1B816B3236E9b8 ,0x08aA34cC843CeEBcC88A627F18430294aA9780be ,0x74BaD482a7f73C8286F50D8Aa03e53b7d24A5f3B ,0x5e76821C3c1AbB9fD6E310224804556C61D860e0 ,0xe07eA0436100918F157DF35D01dCE5c11b16D1F1 ,
mantle network                 ,Mantle               ,            5000 ,2023-07-17                 ,legacy ovm       ,yes      ,                 ,            ,              ,https://rpc.mantle.xyz                 ,https://mantle.xyz                         ,Mantle            ,mantle             ,Mantle               ,MNT       ,L2          ,eigenda           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
metis andromeda                ,Metis                ,            1088 ,2021-11-19                 ,legacy ovm       ,yes      ,                 ,            ,              ,https://andromeda.metis.io/?owner=1088 ,https://www.metis.io/                      ,Metis             ,metis              ,                     ,ETH       ,L2          ,alt-da            ,no                             ,0xcdf02971871b7736874e20b8487c019d28090019 ,0x6a1db7d799fba381f2a518ca859ed30cb8e1d41a ,0x9cb01d516d930ef49591a05b09e0d33e6286689d ,0xf209815e595cdf3ed0aaf9665b1772e608ab9380 ,0x3980c9ed79d2c191A89E02Fa3529C60eD6e9c04b ,
boba network                   ,Boba                 ,             288 ,2021-09-20                 ,legacy ovm       ,yes      ,                 ,            ,              ,https://mainnet.boba.network           ,https://boba.network/                      ,Boba              ,bobanetwork        ,                     ,ETH       ,L2          ,ethereum          ,no                             ,0xfa46908b587f9102e81ce6c43b7b41b52881c57f ,0xfbd2541e316948b259264c02f370ed088e04c3db ,0x5558c63d5bf229450995adc160c023C9F4d4bE80 ,0xdE7355C971A5B733fe2133753Abd7e5441d441Ec ,0xdc1664458d2f0B6090bEa60A8793A4E66c2F1c00 ,
curio                          ,Curio                ,                 ,                           ,unknown          ,yes      ,                 ,            ,caldera       ,                                       ,https://www.curio.gg/                      ,                  ,                   ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
giant leap gaming / underverse ,Giant Leap           ,                 ,                           ,unknown          ,yes      ,                 ,            ,caldera       ,                                       ,https://giantleap.gg/underverse            ,                  ,                   ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
