,to_address,chain_id,num_blocks,min_block_number,max_block_number,min_block_time,max_block_time,num_user_transactions,num_success_user_transactions,num_success_event_transactions,num_success_qualified_transactions,num_senders,total_gas_used,user_gas_used,total_gas_used_per_block,user_gas_used_per_block
64,0x5dae94e149cf2112ec625d46670047814aa9ac2a,666666666,22614,14551890,14583365,1715292015,1715300140,84144,84137,84137,84137,84083,8150430887,8150430887,360415.26872733707,360415.26872733707
104,0xefc52ff373b19ce2164cea71b098a776969cd2a9,666666666,17784,14551901,14583365,1715292018,1715300140,82903,82841,82841,82841,82903,2676086155,2676086155,150477.17920602788,150477.17920602788
83,0x6ac1c44f2e0a79a682dd6bc4a4267673b2167677,666666666,28411,14551835,14583365,1715292000,1715300140,28411,28411,11,11,2,14730175853,14730175853,518467.3490197459,518467.3490197459
12,0x831f011b38fd707229b2d1fcf3c8a1964200c9fe,666666666,962,14551850,14583360,1715292004,1715300139,962,962,962,962,1,121179612,121179612,125966.33264033264,125966.33264033264
111,0x5a8e4e0dd630395b5afb8d3ac5b3ef269f0c8356,666666666,783,14551843,14583256,1715292002,1715300111,793,793,793,793,379,94392547,94392547,120552.42273307791,120552.42273307791
74,0x6fb0f96bb2dcd32388ebbb6b13608928ed538218,666666666,157,14551930,14583312,1715292026,1715300127,157,157,157,157,10,16807086,16807086,107051.50318471338,107051.50318471338
1,0x2a3b6469f084fe592bc50eeabc148631adacb92e,666666666,135,14552024,14583175,1715292049,1715300091,135,135,135,135,1,4783459,4783459,35433.02962962963,35433.02962962963
58,0x3c2269811836af69497e5f486a85d7316753cf62,666666666,44,14551857,14583236,1715292005,1715300106,123,123,0,0,1,4697754,4697754,106767.13636363637,106767.13636363637
3,0x6dce9f6579ad1d256a4233ac775d095174e3d720,666666666,123,14551868,14583299,1715292008,1715300122,123,123,0,0,1,3030618168,3030618168,24639172.097560976,24639172.097560976
72,0x31834c4f583b9c0565eacb28fac24c1df97cb884,666666666,61,14555281,14577604,1715292887,1715298659,62,60,60,60,3,17167642,17167642,281436.75409836066,281436.75409836066
114,0x7a1dbb83dbb1d4e3e692455533ba18f2fdf19dc9,666666666,49,14552651,14582656,1715292211,1715299957,49,49,49,49,11,3200186,3200186,65309.91836734694,65309.91836734694
42,0x053cd976a539cc885dd141be360635fe9d259714,666666666,47,14551857,14581825,1715292005,1715299744,47,46,46,46,1,30915194,30915194,657770.085106383,657770.085106383
16,0x9c0df4b950ca19db6fec13ab79ad180a9c15a41e,666666666,24,14555269,14563788,1715292884,1715295075,24,24,24,24,7,3116160,3116160,129840.0,129840.0
6,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,666666666,16,14557005,14581999,1715293332,1715299789,16,16,16,16,3,2316479,2316479,144779.9375,144779.9375
71,0x000000000000000000000000000000000000006e,666666666,14,14553249,14581569,1715292364,1715299678,14,14,14,14,2,360000,360000,25714.285714285714,25714.285714285714
62,0xe3aafe6b98a416b7f53678666211972264da85c4,666666666,13,14555540,14557198,1715292953,1715293379,13,13,11,11,1,3442859,3442859,264835.3076923077,264835.3076923077
11,0x4c57405304e2f1defa478c0cdebd490ff3b7ac5c,666666666,11,14566082,14580908,1715295682,1715299507,11,11,11,11,2,2438871,2438871,221715.54545454544,221715.54545454544
41,0xf44939c1613143ad587c79602182de7dcf593e33,666666666,11,14558063,14579297,1715293604,1715299093,11,11,11,11,2,712707,712707,64791.545454545456,64791.545454545456
65,0xc3da629c518404860c8893a66ce3bb2e16bea6ec,666666666,10,14555810,14570827,1715293023,1715296910,10,10,9,9,1,2372631,2372631,237263.1,237263.1
76,0x0000000000000000000000000000000000000064,666666666,9,14552975,14571703,1715292294,1715297137,9,9,9,9,8,677379,677379,75264.33333333333,75264.33333333333
9,0x533fabd39f810481d25e0aad836318867e0c6469,666666666,17,14555273,14570722,1715292885,1715296884,17,9,9,9,1,4071176,4071176,239480.9411764706,239480.9411764706
86,0x000006f35da787ce9310dfc45b95760045a3201a,666666666,9,14552822,14571273,1715292254,1715297026,9,9,9,9,1,955872,955872,106208.0,106208.0
96,0x5f6cc7a76c15eeb976c60abdc71a7d349e02d763,666666666,8,14558372,14573956,1715293682,1715297720,8,8,8,8,2,14433872,14433872,1804234.0,1804234.0
108,0x8a53ed5189ca8d5cac4149d75408cec047cd5b2e,666666666,7,14553137,14575786,1715292335,1715298191,7,7,7,0,4,321802,321802,45971.71428571428,45971.71428571428
17,0xfbb819811595c18cf425a682b9ec696ad724883e,666666666,5,14555430,14570702,1715292924,1715296879,7,7,7,7,7,1810400,1810400,362080.0,362080.0
73,0x84a2763bcb88040b1f3d1b4d03c82bb3646383d1,666666666,6,14555714,14570703,1715292999,1715296879,6,6,2,2,5,575039,575039,95839.83333333333,95839.83333333333
60,,666666666,6,14554498,14572532,1715292686,1715297351,6,6,4,4,3,4904316,4904316,817386.0,817386.0
