avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_num_success_txs_per_day,l2_eth_fees_per_second,chain_name,l2_eth_fees_per_block,chain_gs,l2_num_txs_per_day_per_block,tvl,chain_dfl,layer,defillama_slug,source,distinct_protocol,distinct_parent_protocol,sum_token_value_usd_flow,sum_price_usd_flow,sum_usd_value_check,chain_l2b,valueUsd_l2b,cbvUsd_l2b,ebvUsd_l2b,nmvUsd_l2b,valueEth_l2b,cbvEth_l2b,ebvEth_l2b,nmvEth_l2b,transactions_l2b,dune_schema,qualified_transactions,qualified_sum_gas_used,alignment,display_name,mainnet_chain_id,op_based_version,is_op_chain
0.0,"243,345","43,200","199,559","82,389,423,022",0,2024-04-28,2.809905434e-07,"39,075,606.25",0.66,6.64,"16,401","80,375,831,423",2.31,"86,400","43,200","761,661,880","1,907,162.57",0.56,mainnet,586,0,"408,089,508",0.0070018,"46,880,754",0.0,0.1011502950043,"54,223,290","46,387,068.75",2.313776042e-05,"953,581.28","529,153,299,327",0.56277162491028,"477,433,740","761,661,880","189,977",7.6842814804e-06,mode,1.53685629609e-05,mode,4.62,358148306.6803942,Mode,L2,Mode,chain,13.0,13.0,-3063803.1089342223,9490998.273664244,480673364.73337,mode,422549220.13,144356148.45,270754977.34,7438094.34,129956.072632,44397.095579,83271.372476,2287.604577,200145.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"224,676","43,200","180,771","103,171,395,759",0,2024-04-27,2.8e-07,"30,982,247",0.54077,5.99,"10,867","101,144,838,321",2.09,"86,400","43,200","620,246,220","2,388,226.75",0.47,mainnet,705,0,"299,037,104",0.004612408017,"39,295,421",0.0,0.0742480067,"46,691,361","38,325,400.5",2.93053e-05,"1,194,113.38","606,712,440,587.37",0.4665212631019,"368,758,920","620,246,220","173,450",6.2589036e-06,mode,1.25178071705e-05,mode,4.18,349077667.0966836,Mode,L2,Mode,chain,13.0,13.0,915517.9065234908,-3956642.625703489,474246169.56914,mode,415415550.24,139564851.23,269206324.94,6644374.07,132598.68314,44548.44186,85929.388432,2120.852848,181476.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"473,057","43,200","429,062","125,608,248,573",0,2024-04-26,0.0006199759026314,"52,809,467.5",0.98641054,7.56,"120,482","123,571,491,056",4.97,"86,400","43,200","1,138,162,432","2,907,598.35",0.7369270083,mainnet,795,0,"378,132,024",0.006589358794038,"50,696,628",0.0,0.172153643962746,"58,130,016","60,174,337.75",0.07732988294058,"1,453,799.17","925,515,766,673.69",0.81,"448,103,388","1,138,162,432","418,696",1.14167886023e-05,mode,2.28335772047e-05,mode,9.93,338115245.25020313,Mode,L2,Mode,chain,13.0,13.0,3913378.17861244,9087843.933827551,477287294.29057,mode,418009624.95,140348355.35,271347657.22,6313612.38,132414.779738,44458.776668,85956.011817,1999.991253,429857.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"292,438","43,200","248,463","121,232,779,752",0,2024-04-25,3.3e-07,"40,491,132",1.61,11.64,"16,888","119,198,092,917",2.88,"86,400","43,200","816,086,508","2,806,314.35",1.42,mainnet,775,0,"377,530,368",0.011941420098,"48,717,036",0.0,0.19,"56,142,504","47,851,844",4e-05,"1,403,157.17","1,388,899,710,577.51",1.42,"447,456,960","816,086,508","239,076",1.9e-05,mode,3.73453294257e-05,mode,5.75,342516087.7134508,Mode,L2,Mode,chain,13.0,13.0,16850884.553782646,-21412535.64207264,464286072.17783,mode,411291484.09,138709571.32,266615431.0,5966481.77,131023.104929,44188.025823,84934.366357,1900.712749,249238.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"317,977","43,200","273,838","178,559,408,661",0,2024-04-24,2e-05,"44,549,167.25",6.81,14.65,"14,527","176,504,865,459",3.17,"86,400","43,200","899,290,316","4,133,319.64",6.54,mainnet,939,0,"414,850,932",0.037099,"52,628,349",0.0,0.26,"60,126,025","51,951,900.75",0.0035429345703835,"2,066,659.82","2,488,380,844,037.14",6.55,"485,271,436","899,290,316","257,432",7.88386649463e-05,mode,0.0001576773298927,mode,6.34,337927785.7961996,Mode,L2,Mode,chain,13.0,13.0,51501708.29340385,-2005203.401073833,468847723.27433,mode,423897238.86,138126650.28,279733864.57,6036724.01,131687.339255,42910.237171,86901.741616,1875.360468,274777.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"232,047","43,200","187,998","198,538,705,719",0,2024-04-23,1.67039045e-05,"33,344,904.5",0.601419910862057,12.45,"12,649","196,496,514,909",2.18,"86,400","43,200","661,924,432","4,595,803.37",0.43,mainnet,849,0,"328,976,648",0.0022218740719028,"40,971,254",0.0,0.16,"48,427,130","40,722,977",0.003313084,"2,297,901.69","2,507,747,347,526.41",0.43659051,"399,100,496","661,924,432","182,446",6.9608785979e-06,mode,1.39217571958e-05,mode,4.35,325407783.44623005,Mode,L2,Mode,chain,13.0,13.0,8330835.6757442625,7858479.61583572,419351218.38397,mode,399509143.42,132966108.42,261143847.75,5399187.25,124814.736673,41541.30158,81586.619793,1686.8153,188847.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"225,404","43,200","181,399","178,597,448,994",0,2024-04-22,8.205617298e-07,"31,569,166.75",0.570085405,10.6,"11,101","176,557,970,475",2.1,"86,400","43,200","629,719,184","4,134,200.21",0.4364474558486073,mainnet,805,0,"307,744,556",0.0024728072,"40,494,173",0.0,0.13,"47,933,777","38,938,728",0.00014636275046,"2,067,100.1","1,839,969,039,254.12",0.4365938185990609,"377,780,096","629,719,184","176,519",6.5982107055e-06,mode,1.3196421411e-05,mode,4.2,280170319.5580932,Mode,L2,Mode,chain,13.0,13.0,6208170.946362724,997330.8258272804,403161902.81994,mode,387229494.06,128756282.6,252832199.04,5641012.42,123041.802109,40912.185898,80337.1899,1792.426311,182204.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"205,567","43,200","161,332","174,122,394,086",0,2024-04-21,4.9698092e-07,"25,930,544.75",0.29221759063,7.63,"11,019","172,058,522,596",1.87,"86,400","43,200","525,283,040","4,030,610.97",0.2119245470267301,mainnet,"1,035",0,"239,359,500",0.0012322028,"31,506,096",0.0,0.0802066,"39,046,172","33,358,721.5",8.6e-05,"2,015,305.49","1,303,512,241,517.6",0.212010993191098,"310,082,648","525,283,040","157,397",3.38214804e-06,mode,6.764296079e-06,mode,3.73,277966237.3458852,Mode,L2,Mode,chain,13.0,13.0,2980677.7900681435,5719526.099221843,395956401.04775,mode,372308979.66,129054039.89,238351586.95,4903352.82,117928.239185,40877.648723,75497.461755,1553.128707,162367.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"216,835","43,200","172,475","182,968,397,298",0,2024-04-20,4.9e-07,"26,665,192.75",0.271134384232052,7.64,"12,769","180,890,063,670",2.0,"86,400","43,200","544,330,364","4,235,379.57",0.19,mainnet,"1,160",0,"238,990,284",0.00103907476209,"30,724,704",0.0,0.083176084,"38,323,744","34,129,744.5",8.9e-05,"2,117,689.78","1,396,683,291,967.55",0.1879582998723011,"310,159,432","544,330,364","167,789",3.1381294471e-06,mode,6.2762588942e-06,mode,3.99,272476346.8352238,Mode,L2,Mode,chain,13.0,13.0,24577655.252403,2888637.7649370013,387256197.15846,mode,361240929.84,125538442.44,231194026.23,4508461.17,118133.261813,41053.66935,75605.232332,1474.360131,173635.0,,,,OP Chain,Mode,34443.0,modern,yes
0.0,"186,327","43,200","142,430","175,549,794,234",0,2024-04-19,2.0039401704e-06,"25,210,545.25",0.4211915030577005,11.57,"10,239","173,520,376,075",1.65,"86,400","43,200","500,036,428","4,063,652.64",0.30509065152013,mainnet,697,0,"248,404,884",0.0017602646486428,"32,575,395",0.0,0.12,"39,968,327","32,552,823.5",0.0003511323039,"2,031,826.32","1,957,354,023,198.32",0.305441783824013,"318,121,400","500,036,428","137,040",4.8749016557e-06,mode,9.7498033115e-06,mode,3.3,261196131.9962704,Mode,L2,Mode,chain,13.0,13.0,40394697.43764817,7528263.204091828,359789904.14112,mode,293360539.5,127397293.66,161371730.11,4591515.73,95662.445081,41543.203556,52621.986226,1497.255299,143127.0,,,,OP Chain,Mode,34443.0,modern,yes
