,date,tx_count,chain
0,2023-08-16,114977.0,Zora Network
1,2023-08-15,128917.0,Zora Network
2,2023-08-14,106725.0,Zora Network
3,2023-08-13,64933.0,Zora Network
4,2023-08-12,42360.0,Zora Network
5,2023-08-11,49757.0,Zora Network
6,2023-08-10,34543.0,Zora Network
7,2023-08-09,43025.0,Zora Network
8,2023-08-08,35219.0,Zora Network
9,2023-08-07,25606.0,Zora Network
10,2023-08-06,36097.0,Zora Network
11,2023-08-05,31631.0,Zora Network
12,2023-08-04,33131.0,Zora Network
13,2023-08-03,30141.0,Zora Network
14,2023-08-02,25050.0,Zora Network
15,2023-08-01,21577.0,Zora Network
16,2023-07-31,26826.0,Zora Network
17,2023-07-30,37107.0,Zora Network
18,2023-07-29,35706.0,Zora Network
19,2023-07-28,27502.0,Zora Network
20,2023-07-27,24761.0,Zora Network
21,2023-07-26,23169.0,Zora Network
22,2023-07-25,15071.0,Zora Network
23,2023-07-24,14682.0,Zora Network
24,2023-07-23,24230.0,Zora Network
25,2023-07-22,32049.0,Zora Network
26,2023-07-21,12045.0,Zora Network
27,2023-07-20,10627.0,Zora Network
28,2023-07-19,11016.0,Zora Network
29,2023-07-18,11231.0,Zora Network
30,2023-07-17,15568.0,Zora Network
0,2023-08-16,1086.0,Public Goods Network
1,2023-08-15,243.0,Public Goods Network
2,2023-08-14,138.0,Public Goods Network
3,2023-08-13,287.0,Public Goods Network
4,2023-08-12,355.0,Public Goods Network
5,2023-08-11,165.0,Public Goods Network
6,2023-08-10,150.0,Public Goods Network
7,2023-08-09,219.0,Public Goods Network
8,2023-08-08,172.0,Public Goods Network
9,2023-08-07,183.0,Public Goods Network
10,2023-08-06,206.0,Public Goods Network
11,2023-08-05,324.0,Public Goods Network
12,2023-08-04,574.0,Public Goods Network
13,2023-08-03,620.0,Public Goods Network
14,2023-08-02,528.0,Public Goods Network
15,2023-08-01,476.0,Public Goods Network
16,2023-07-31,663.0,Public Goods Network
17,2023-07-30,714.0,Public Goods Network
18,2023-07-29,596.0,Public Goods Network
19,2023-07-28,537.0,Public Goods Network
20,2023-07-27,863.0,Public Goods Network
21,2023-07-26,569.0,Public Goods Network
22,2023-07-25,87.0,Public Goods Network
23,2023-07-24,5.0,Public Goods Network
24,2023-07-23,0.0,Public Goods Network
25,2023-07-22,12.0,Public Goods Network
26,2023-07-21,22.0,Public Goods Network
27,2023-07-20,19.0,Public Goods Network
28,2023-07-19,12.0,Public Goods Network
29,2023-07-18,7.0,Public Goods Network
30,2023-07-17,12.0,Public Goods Network
