avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_num_success_txs_per_day,l2_eth_fees_per_second,chain_name,l2_eth_fees_per_block,chain,l2_num_txs_per_day_per_block
0.684000015,"224,611","28,705","195,436","49,387,587,604","648,773,606.81",2024-02-01,0.00000027822515446301,"48,420,647.25",17.42,23.42,"43,759","47,929,526,514",3.4,"57,410","28,705","948,499,404","1,720,522.13",2.22,mainnet,48,"648,773,606.81","562,095,988",0.04634041,"71,746,954",0,15.2,"79,232,585","53,866,837",0.000014,"860,261.06","1,116,826,873,739.87",2.22,"617,492,624","948,499,404","191,167",0.00030337768697186104,base,0.0006068,base,6.81
0.684000015,"338,088","43,200","294,157","83,002,056,718","1,000,315,452.96",2024-01-31,0.00000029,"75,098,474.25",27.54,24.59,"68,599","80,809,776,687",3.4,"86,400","43,200","1,462,449,460","1,921,343.91",2.94,mainnet,50,"1,000,315,452.96","881,532,772",0.03637077052,"108,616,789",0,24.6,"119,871,174","83,291,364.75",0.000024,"960,671.95","1,996,653,059,598.49",2.94,"964,822,092","1,462,449,460","288,125",0.00031872286613191057,base,0.00064,base,6.81
0.684000015,"322,945","43,200","278,906","78,834,766,181","958,957,589.02",2024-01-30,0.000000276046435046,"72,060,878.75",30.42,26.55,"66,022","76,638,505,675",3.23,"86,400","43,200","1,401,984,748","1,824,878.85",4.96,mainnet,58,"958,957,589.02","849,524,332",0.065,"104,792,659",0,25.46,"116,050,843","80,262,774",0.000021754258340803,"912,439.42","2,067,113,929,996.64",4.96,"932,840,224","1,401,984,748","273,310",0.0003520810546431502,base,0.0007041621092863004,base,6.46
0.684000015,"461,437","43,200","416,832","127,201,437,308","1,379,189,997.17",2024-01-29,0.0000042711224549034,"102,581,022.75",22.24,13.21,"82,069","124,993,031,159",4.82,"86,400","43,200","2,016,359,600","2,944,477.72",4.02,mainnet,66,"1,379,189,997.17","1,187,783,148",0.03216799083,"139,859,295",0,18.22,"151,121,198","110,823,572.5",0.0005396936795043,"1,472,238.86","1,654,883,737,472.81",4.02,"1,271,133,704","2,016,359,600","410,306",0.00026,base,0.0005147915036,base,9.65
0.684000015,"443,948","43,200","399,296","112,603,336,695","1,346,828,692.41",2024-01-28,0.0000007835500055,"100,566,734.5",18.7,12.08,"72,261","110,396,584,214",4.62,"86,400","43,200","1,969,047,752","2,606,558.72",2.43,mainnet,40,"1,346,828,692.41","1,174,633,704",0.02197648620095,"138,784,722",0,16.27,"150,034,952","108,807,231.75",0.000087711,"1,303,279.36","1,304,205,022,395.65",2.43,"1,257,900,284","1,969,047,752","393,748",0.00021639456841909,base,0.00043,base,9.24
0.684000015,"364,933","43,200","320,451","93,469,130,864","1,110,240,326.59",2024-01-27,0.0000030277093,"83,453,542",16.95,13.36,"68,953","91,262,038,249",3.71,"86,400","43,200","1,623,158,336","2,163,637.29",2.11,mainnet,74,"1,110,240,326.59","986,605,984",0.023,"119,051,884",0,14.83,"130,316,764","91,688,587.5",0.00028,"1,081,818.64","1,197,200,266,824.18",2.11,"1,069,970,296","1,623,158,336","316,070",0.00019612566132199108,base,0.00039,base,7.42
0.684000015,"378,570","43,200","334,589","74,434,355,105","1,343,223,725.05",2024-01-26,0.0000002735386064,"103,647,331",28.86,19.31,"70,098","72,238,568,406",3.87,"86,400","43,200","1,963,777,332","1,723,017.48",2.93,mainnet,65,"1,343,223,725.05","1,294,324,464",0.04049232422077,"147,947,373",0,25.93,"159,208,123","111,846,139.75",0.000020350831094,"861,508.74","1,384,528,195,586.78",2.93,"1,377,654,076","1,963,777,332","330,308",0.000334009,base,0.000668018,base,7.75
0.684000015,"391,018","43,200","347,030","81,952,683,035","1,512,500,212.99",2024-01-25,0.00000028,"118,364,987.5",45.16,23.3,"70,188","79,757,375,865",4.02,"86,400","43,200","2,211,257,572","1,897,052.85",9.92,mainnet,70,"1,512,500,212.99","1,516,271,160",0.12,"172,647,945",0,35.23,"183,911,644","126,565,731.75",0.000023,"948,526.42","1,856,933,424,334.43",9.92,"1,599,624,124","2,211,257,572","339,545",0.000522655650049,base,0.001045311300098,base,8.03
0.684000015,"530,287","43,200","485,827","115,770,661,752","1,617,364,011.82",2024-01-24,0.000004220305017,"119,568,803.25",22.91,12.23,"116,029","113,564,984,997",5.62,"86,400","43,200","2,364,567,216","2,679,876.43",3.13,mainnet,63,"1,617,364,011.82","1,384,521,076",0.02752278404076064,"155,303,926",0,19.78,"166,564,859","127,800,854.5",0.00048455128021084,"1,339,938.21","1,309,725,291,141.99",3.13,"1,467,861,416","2,364,567,216","480,603",0.00027,base,0.00053023,base,11.25
0.684000015,"409,456","43,200","364,975","109,846,557,840","1,223,642,560.55",2024-01-23,0.00000063,"90,992,910.5",23.6,15.06,"69,161","107,641,392,840",4.22,"86,400","43,200","1,788,951,072","2,542,744.39",5.17,mainnet,76,"1,223,642,560.55","1,058,793,768",0.04805451034,"123,176,493",0,18.43,"134,443,250","99,227,770.75",0.000068692983746023,"1,271,372.2","1,664,007,302,427.46",5.17,"1,142,156,204","1,788,951,072","356,797",0.0002731343096,base,0.00055,base,8.45
