dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-08-19,Base,mainnet,8453,2.0,4119094,43200,43200,576,4074738,3848445,743393,868214303671,24757148391,56173969699179.0,2.6137656499578944e+16,3604402617,1547402507.371015,3511056289224.8657,1633688765987035.2,0.0,2.6137656499578944e+16,24757148391,3597056716,866182252986,18.037057305738227,5.628074617435e-07,0.08956016642592671,17.947497139312304,0.0895601647155958,1.710330485294744e-09,3.222532456481899,14.72496468282995,32822591400,32753745184,1547321774.4375,1547321774.4375,1.5942516245110074,1.0469134453880908e-09,0.020720231888198715,0.0037203861489575,1389.0021809063933,2269.0,1055762.0,86400.0,94.32263888888889,47.161319444444445,20097553.32571759,10048776.662858795,0.00041752447466986636,0.00020876223733493318,base,base
2024-08-11,Base,mainnet,8453,2.0,3778342,43200,43200,639,3733828,3528268,742789,869804824722,22551877569,51170210204061.0,2.3809415366002576e+16,3211245875,1409564809.480129,3198302552710.426,1488164962386362.8,0.0,2.3809415366002576e+16,22551877569,3203869591,867760140908,17.73924506872867,5.099116898955e-07,0.07092115887395128,17.668323909854678,0.07092115736959657,1.504355194417223e-09,2.8657626612231186,14.802561248631688,30646357424,30577287196,1409492348.0625,1409492348.0625,1.3859131044995654,1.010879314382928e-09,0.02036083829728241,0.003302482478884633,1205.980099566791,2269.0,1055762.0,86400.0,86.4312037037037,43.21560185185185,20134370.94263889,10067185.471319444,0.0004106306728872378,0.0002053153364436189,base,base
2024-08-27,Base,mainnet,8453,2.0,4380176,43200,43200,760,4335514,4149886,922695,871651615780,21932210095,49764184705555.0,2.3155193994317384e+16,3224112980,1370852820.3808703,3110465049444.183,1447294315350930.5,0.0,2.3155193994317384e+16,21932210095,3216681889,869598424887,35.13922267483145,1.1987956813655e-06,0.08848022830238533,35.05074244652867,0.08848022684407422,1.4583111829466955e-09,7.510125157684498,27.540617288844015,29550376808,29480912128,1370763130.9375,1370763130.9375,1.7778663592092006,1.0076119573574138e-09,0.04030681455188197,0.008636314122418444,1612.2216465910792,2269.0,1055762.0,86400.0,100.35912037037038,50.17956018518519,20177120.735648148,10088560.367824074,0.000813407932287765,0.0004067039661438825,base,base
2024-08-10,Base,mainnet,8453,2.0,3481806,43200,43200,631,3437209,3304086,692758,860583358269,21003103392,47656041596448.0,2.21742784433447e+16,2998508173,1312760764.3349903,2978654174276.094,1385962930075845.8,0.0,2.21742784433447e+16,21003103392,2991136827,858543007991,11.554811150415432,3.64230379836e-07,0.054132500510548624,11.500678649904875,0.054132499105599856,1.4049491525726067e-09,1.621051515583222,9.879627134321373,28467376072,28398357252,1312693962.0,1312693962.0,1.1358419187248254,1.0136988889986693e-09,0.013395576625586448,0.0018881424698530699,973.8251345423447,2269.0,1055762.0,86400.0,79.56502314814814,39.78251157407407,19920911.071041666,9960455.535520833,0.00026747248033369056,0.00013373624016684528,base,base
2024-08-16,Base,mainnet,8453,2.0,4057783,43200,43200,560,4013332,3780976,789822,864349777189,24554940533,55715160069377.0,2.592417312700115e+16,3673346096,1534765982.7968423,3482384014965.9985,1620347603529551.2,0.0,2.592417312700115e+16,24554940533,3666007563,862316719281,23.971623453007926,6.82656221972e-07,0.09244253522722876,23.879180917780772,0.09244253354383537,1.6833932797565395e-09,4.3102469567664015,19.568933961014224,33039968456,32971154856,1534683783.3125,1534683783.3125,1.659107587101338,1.0389083132463752e-09,0.027691891371062774,0.004998449943496707,1426.8838719585735,2269.0,1055762.0,86400.0,92.9012037037037,46.45060185185185,20008096.694189813,10004048.347094906,0.0005548986910418501,0.00027744934552092506,base,base
2024-09-04,Base,mainnet,8453,2.0,4011436,43200,43200,551,3967158,3696464,783561,864438337541,23968706080,54384994095520.0,2.530524906843295e+16,3267716641,1498127054.461971,3399250286574.2637,1581665615272894.5,0.0,2.530524906843295e+16,23968706080,3260379997,862403593993,28.58688240065579,6.675358466780001e-07,0.20654828631355562,28.380334114342496,0.20654828469416084,1.619395174396193e-09,3.8068863710309087,24.573447743310755,30809125144,30740162836,1498044130.0,1498044130.0,3.797674335156827,1.0238541596318875e-09,0.03290841354561095,0.004414274705656918,3336.0473747827427,2269.0,1055762.0,86400.0,91.83236111111111,45.916180555555556,20010146.70233796,10005073.35116898,0.0006617333889040692,0.0003308666944520346,base,base
2024-08-23,Base,mainnet,8453,2.0,4024141,43200,43200,635,3979515,3811910,878220,872925942763,22149949642,50258235737698.0,2.3385075133937204e+16,3206719449,1384452478.3966448,3141322673482.0283,1461652317497006.8,0.0,2.3385075133937204e+16,22149949642,3199345824,870883822117,23.64166898755434,7.372858863445e-07,0.08527214912268474,23.556396838431752,0.08527214752454264,1.5981442888652903e-09,5.064660094346759,18.491736744084484,29716277424,29647208676,1384371852.625,1384371852.625,1.6965754672228268,1.0933818413780193e-09,0.027048839627275723,0.005815540449511695,1498.4405877319655,2269.0,1055762.0,86400.0,92.11840277777777,46.05920138888889,20206619.045439813,10103309.522719907,0.0005472608561933875,0.00027363042809669375,base,base
2024-08-28,Base,mainnet,8453,2.0,4297659,43200,43200,604,4253224,4013968,792065,853633525520,22172614305,50309661858045.0,2.340900362387541e+16,3270343195,1385878193.8162,3144557621768.976,1463157533659769.5,0.0,2.340900362387541e+16,22172614305,3262983466,851590047328,38.82491449358903,1.217299833784e-06,0.0864419665108147,38.73847252707906,0.08644194471102706,2.1799789176287785e-08,7.982117855628017,30.75635467144909,29600526580,29531563396,1385788394.0625,1385788394.0625,1.7180831887338452,1.4899139697276226e-08,0.045489578757557145,0.009373192982554386,1463.6850593153613,2269.0,1055762.0,86400.0,98.45425925925926,49.22712962962963,19760035.312962964,9880017.656481482,0.000898724872536783,0.0004493624362683915,base,base
2024-08-08,Base,mainnet,8453,2.0,3651688,43200,43200,534,3607172,3376887,576776,876136981291,23373939453,53035468618857.0,2.4677317064778184e+16,3774580168,1460946714.5892863,3314888095403.131,1542412025288230.8,0.0,2.4677317064778184e+16,23373939453,3767251652,874103645900,39.00280855103809,1.0729726003035e-06,0.3043118049945014,38.69849674604352,0.30431180310454947,1.8899510091114147e-09,7.797226019195323,30.901270726847265,34910043904,34841098496,1460871215.8125,1460871215.8125,5.737588792394714,1.2253216469392146e-09,0.04427220607940428,0.008920253399889574,5028.760036297548,2269.0,1055762.0,86400.0,83.49935185185186,41.74967592592593,20280948.640995372,10140474.320497686,0.0009028427905332892,0.0004514213952666446,base,base
2024-09-03,Base,mainnet,8453,2.0,4043496,43200,43200,681,3999040,3783379,972145,862826650813,22530798971,51122382865199.0,2.3787161383220904e+16,3032849360,1408252211.6322315,3195324268193.5483,1486779171457275.0,0.0,2.3787161383220904e+16,22530798971,3025450290,860776925011,17.456377392787648,3.901987722275e-07,0.10048170986681766,17.35589568292093,0.10048170837198539,1.4948308003041933e-09,2.372026737831841,14.983868945088949,28659917132,28590658788,1408174935.6875,1408174935.6875,1.9654028365091838,1.005415462148255e-09,0.020163058718957908,0.0027556811398046248,1684.1809243087735,2269.0,1055762.0,86400.0,92.57037037037037,46.285185185185185,19972839.139189813,9986419.569594907,0.0004040828100182326,0.0002020414050091163,base,base
