dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2023-10-09,Orderly,mainnet,291,2.0,43200,43200,43200,0,0,0,1,2173236992,,,,11232000,0.0,,,0.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,83127192,0,,0.0,,,,,0.0,,0.0,86400.0,0.0,0.0,50306.41185185185,25153.205925925926,,,orderly,orderly
2023-10-07,Orderly,mainnet,291,2.0,43200,43200,43200,0,0,0,1,2173222844,,,,11232000,0.0,,,0.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,83132844,0,,0.0,,,,,0.0,,0.0,86400.0,0.0,0.0,50306.08435185185,25153.042175925926,,,orderly,orderly
2023-10-11,Orderly,mainnet,291,2.0,43567,43200,43200,2,365,365,6,2191135648,1252168,856482.912,,11316523,78260499999.9978,53530181999.998505,,856482.912,0.0,1252168,83683,17563876,0.008792574041173408,1.9632892205459e-05,0.006655927867550847,0.0021366461736225598,415.9954917219279,0.0,8.781937999999999e-10,0.0021366452954287604,83691820,560248,78260.5,78260.5,7.771232530499134,,0.12165003747592848,5.000000000000001e-08,0.13326449336029816,0.6839999999999997,0.0,86400.0,0.008449074074074074,0.004224537037037037,50720.73259259259,25360.366296296295,2.035318065086437e-07,1.0176590325432185e-07,orderly,orderly
2023-10-10,Orderly,mainnet,291,2.0,43302,43200,43200,3,99,99,4,2202104456,1815764,1241982.5760000001,,11350316,113485249999.99944,77623910999.99963,,1241982.5760000001,0.0,1815764,117056,28069802,0.23897890655700973,2.0554270292469e-05,0.009744176124649662,0.22923473043236006,609.0110077906037,0.0,1.4034901000000005e-09,0.22923472902887,84759104,1624100,113485.25,113485.25,7.8456625019912565,,8.166595918003273,5.0000000000000004e-08,0.21908524307028082,0.684,0.0,86400.0,0.0022916666666666667,0.0011458333333333333,50974.640185185184,25487.320092592592,5.531919133264114e-06,2.765959566632057e-06,orderly,orderly
2023-10-12,Orderly,mainnet,291,2.0,43537,43199,43199,0,338,338,2,2185837477,995076,680631.984,,11297988,62192249999.998024,42539498999.99865,,680631.984,0.0,995076,66248,12933114,0.007625331100042585,1.8736197639076998e-05,0.006073356644055745,0.0015519744559868399,379.58479025348396,0.0,6.466556999999998e-10,0.0015519738093311402,83469396,348548,62192.25,62192.25,8.923113792513032,,0.12000006000000002,5e-08,0.11554045956116525,0.6839999999999997,0.0,86398.0,0.007824255191092387,0.003912127595546194,50599.26102456075,25299.630512280375,1.765163800097823e-07,8.825819000489115e-08,orderly,orderly
2023-10-08,Orderly,mainnet,291,2.0,43200,43200,43200,0,0,0,1,2173529056,,,,11232000,0.0,,,0.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,83132556,0,,0.0,,,,,0.0,,0.0,86400.0,0.0,0.0,50313.17259259259,25156.586296296296,,,orderly,orderly
2023-10-06,Orderly,mainnet,291,2.0,14287,14286,14286,1,0,0,2,718712072,,,,3714780,0.0,,,0.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,27491712,0,,0.0,,,,,0.0,,0.0,28572.0,0.0,0.0,50308.838863222736,25154.419431611368,,,orderly,orderly
2023-10-17,Orderly,mainnet,291,2.0,43553,43200,43200,0,353,353,2,2186711122,1039028,710695.152,,11301188,64939249999.99803,44418446999.99867,,710695.152,0.0,1039028,69188,13489454,0.008526286969090196,2.0987033757231e-05,0.006907551679722957,0.0016187352893672405,431.72197998268473,0.0,6.744726999999999e-10,0.0016187346148945404,83491292,363824,64939.25,64939.25,9.719429857209901,,0.12000006,5.0000000000000004e-08,0.13125874943778582,0.6839999999999998,0.0,86400.0,0.008171296296296296,0.004085648148148148,50618.31300925926,25309.15650462963,1.9736775391412492e-07,9.868387695706246e-08,orderly,orderly
2023-10-16,Orderly,mainnet,291,2.0,43552,43200,43200,0,352,352,3,2179172162,1035532,708303.8880000003,,11300796,64720749999.9982,44268992999.99877,,708303.8880000003,0.0,1035532,68796,13488858,0.012790513054671451,2.20506855570445e-05,0.011171849285339971,0.0016186637693314803,698.2405803337482,0.0,6.744428999999999e-10,0.0016186630948885805,83493360,362256,64720.75,64720.75,15.772678188856906,,0.12000005999999999,5.0000000000000004e-08,0.2144067362052337,0.6839999999999999,0.0,86400.0,0.008148148148148147,0.004074074074074074,50443.800046296295,25221.900023148148,2.9607669108035765e-07,1.4803834554017882e-07,orderly,orderly
2023-10-18,Orderly,mainnet,291,2.0,43935,43200,43200,3,732,731,13,2263047660,5209200,3563092.8000000007,,11595026,325574999999.9961,222693299999.99728,,3563092.8000000007,0.0,5209200,361734,89593930,0.0864892934642049,4.53117377505705e-05,0.029895419033739167,0.05659387443046575,1868.4636896086977,0.0,4.4796965e-09,0.05659386995076923,86936852,3801144,325575.0,325575.0,8.390300424883549,,0.6316708557205354,5.0000000000000004e-08,0.7410985265768233,0.684,0.0,86400.0,0.016944444444444446,0.008472222222222223,52385.3625,26192.68125,2.0020669783380764e-06,1.0010334891690382e-06,orderly,orderly
