dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-09-17,OP Mainnet,mainnet,10,2.0,619333,43200,43200,111,576020,550694,45744,216334077278,3666235010,19163410397270.0,3718343208197130.0,555798508,229149695.3171185,1197765457422.5793,232406599936661.0,0.0,3718343208197130.0,3666235010,548667304,214366519689,8.884161586544268,1.585032554444e-06,0.16676326254068746,8.717398324003586,0.16676326230828079,2.3240659993665986e-10,2.134929621446577,6.582468702557012,4751810884,4684179988,229139688.125,229139688.125,8.701702554438164,9.999999999999934e-10,0.040665857413977984,0.009959249348004075,1805.2091904256038,5227.0,1014213.0,86400.0,13.333796296296295,6.666898148148148,5007733.270324074,2503866.635162037,0.0002056518885774136,0.0001028259442887068,op,op
2024-09-18,OP Mainnet,mainnet,10,2.0,703127,43199,43199,108,659820,626943,59147,216966302189,3613561054,18888083629258.0,3664920597260502.0,562167740,225859292.96891063,1180566524348.496,229069431099877.8,0.0,3664920597260502.0,3613561054,555040912,215000704945,9.144894731534707,1.7521486341575e-06,0.15822205684952023,8.9866726746852,0.15822205661971342,2.2980675050981486e-10,2.0635278631171157,6.923144811568134,4656928976,4589149300,225847565.875,225847565.875,8.376343525182481,1.0032187022236927e-09,0.04179834050769325,0.009597772545187667,1787.1942070689793,5227.0,1014213.0,86398.0,15.27396467510822,7.63698233755411,5022484.367439061,2511242.1837195307,0.00021169227832900546,0.00010584613916450273,op,op
2024-09-17,Zora,mainnet,7777777,2.0,152908,43200,43200,25,109662,109429,26376,34593102483,264980987,5299619740000.0,167908912146368.0,33549697,16563055.857961537,331261117159.2311,10495412227179.348,0.0,167908912146368.0,264980987,26455805,32639415421,0.10846728244389349,5.48724982431e-07,0.04620259011335747,0.06226469233053599,0.04620259010286202,1.0495412227179341e-11,8.35785180211002e-06,0.06225633447873405,265597576,198232460,16561311.6875,16561311.6875,8.717111231437082,1.0000000000000052e-09,0.0019076534161967715,2.560662222134226e-07,293.90706654284764,20000.0,633664.0,86400.0,2.538472222222222,1.269236111111111,800766.2611805556,400383.1305902778,2.5108167232382754e-06,1.2554083616191377e-06,zora,zora
2024-09-18,Zora,mainnet,7777777,2.0,149440,43199,43199,26,106209,105758,31091,40013228088,271034805,5420696100000.0,171744998675520.0,36677156,16941480.405777685,338829608115.5535,10735206239846.71,0.0,171744998675520.0,271034805,29583104,38059500607,0.1193772851744463,5.094371036100001e-07,0.04379176622450699,0.07558551894993902,0.04379176621375099,1.0755983926525341e-11,9.746910774495008e-06,0.07557577203916475,290412596,222866408,16939675.3125,16939675.3125,8.077780235811368,1.0019355152560622e-09,0.0019859829410383114,2.5609665442384497e-07,310.48137748007264,20000.0,633664.0,86398.0,2.4585985786708027,1.2292992893354013,926253.5727215908,463126.7863607954,2.7634270509605847e-06,1.3817135254802923e-06,zora,zora
2024-09-18,Base,mainnet,8453,2.0,4907189,43199,43199,415,4863122,4662109,1511373,865276916061,21658105569,49142241536061.0,2.2865804851738576e+16,2982401763,1353711523.3263423,3071571446427.502,1429197185290088.2,0.0,2.2865804851738576e+16,21658105569,2975128456,863266736651,31.59258611792152,6.646968058349999e-07,0.39306539570570986,31.19952072221569,0.39306539427240084,1.4333122572956064e-09,6.000061106265414,25.19945961594848,26582956140,26514175408,1353631598.0625,1353631598.0625,7.998034687198394,1.0028792500704687e-09,0.036141228889755246,0.006950413877340321,7171.936605947622,2269.0,1055762.0,86398.0,112.57487441838931,56.28743720919466,20030021.900067132,10015010.950033566,0.0007313267927017181,0.00036566339635085905,base,base
2024-09-17,Base,mainnet,8453,2.0,4457209,43200,43200,419,4413171,4223674,1336830,862041028016,19832108349,44999053843881.0,2.0937986374756936e+16,2608052346,1239577274.0186474,2812600834748.3516,1308698581972477.0,0.0,2.0937986374756936e+16,19832108349,2600774854,860030352063,21.25019136229824,5.36590253509e-07,0.39182542804282167,20.858365934255367,0.39182542673412324,1.3086985819724588e-09,3.8935505399164794,16.964815394339045,23571552708,23502914392,1239506771.8125,1239506771.8125,8.706904197785466,9.99999999999439e-10,0.02425305791152761,0.004527224568966453,7248.941611483693,2269.0,1055762.0,86400.0,102.15673611111112,51.07836805555556,19954653.426296297,9977326.713148149,0.0004919025778309777,0.00024595128891548887,base,base
2024-02-27,Kroma,mainnet,255,2.0,47343,43200,0,0,4107,4086,1346,2947760459,16214536,11090742.623999998,,13596399,1013408499999.9957,693171413999.9977,,11090742.623999998,0.0,16214536,978983,667990879,0.8090148300096186,9.7034892147977e-05,0.5306342595935373,0.2783805704160811,33164.641224596075,0.0,1.9472765941000006e-08,0.27838055094331504,97852356,8139560,1013408.5,1013408.5,47.84479070366887,,0.4167430711521454,2.9151245253754424e-08,31.441145177481573,0.6839999999999994,0.0,86400.0,0.09506944444444444,0.04753472222222222,68235.19581018519,34117.597905092596,1.872719513911154e-05,9.36359756955577e-06,kroma,kroma
2024-02-28,Kroma,mainnet,255,2.0,48284,43200,0,0,5046,5013,1537,3200216119,20197304,13814955.936000004,,13825363,1262331499999.9968,863434745999.9982,,13814955.936000004,0.0,20197304,1209263,921081871,1.2575603156657076,0.000120824056349744,0.8233350701056404,0.43422524556006703,51458.44188160253,0.0,2.7280973707000004e-08,0.4342252182790933,99998800,10287752,1262331.5,1262331.5,59.59737214652544,,0.4714295864803392,2.9618402626230817e-08,54.871121331284044,0.6839999999999992,0.0,86400.0,0.11680555555555555,0.058402777777777776,74079.0768287037,37039.53841435185,2.9110192492261748e-05,1.4555096246130874e-05,kroma,kroma
2024-03-01,Kroma,mainnet,255,2.0,52624,43200,0,0,9398,9388,2342,2721304115,21895016,14976190.943999995,,13109777,1368438499999.9941,936011933999.9948,,14976190.943999995,0.0,21895016,493745,442784359,0.8821239044998361,7.2106536366313e-05,0.8048823937960324,0.07724151070380422,50305.149612252004,0.0,1.385233933e-08,0.07724149685146486,93323408,3617468,1368438.5,1368438.5,53.74413272411578,,0.17444498463823152,3.1284617553530173e-08,23.891795402641296,0.6839999999999984,0.0,86400.0,0.2175462962962963,0.10877314814814815,62993.15081018519,31496.575405092593,2.0419534826385096e-05,1.0209767413192548e-05,kroma,kroma
2024-03-02,Kroma,mainnet,255,2.0,46217,43200,0,0,2993,2982,1334,2603657332,9602292,6567967.728000003,,13153772,600143249999.997,410497982999.9982,,6567967.728000003,0.0,9602292,537740,324209680,0.3763953925394573,8.1589240133605e-05,0.3127739835522478,0.06362140898720932,19548.373972015488,0.0,1.0426597446999997e-08,0.06362139856061186,93498200,3787664,600143.25,600143.25,47.621120642669716,,0.196235377633417,3.216004360819825e-08,15.462193595314648,0.6839999999999997,0.0,86400.0,0.0692824074074074,0.0346412037037037,60269.84564814815,30134.922824074074,8.712856308783734e-06,4.356428154391867e-06,kroma,kroma
2024-03-03,Kroma,mainnet,255,2.0,46504,43200,0,0,3275,3244,1379,2628837375,10820536,7401246.624000003,,13232298,676283499999.9971,462577913999.99817,,7401246.624000003,0.0,10820536,616334,349543935,0.4551148884725397,9.1890864265459e-05,0.3764111829072216,0.0787037055653182,23525.69893170135,0.0,1.0665605634000003e-08,0.07870369489971259,94176516,4471508,676283.5,676283.5,50.8578084246829,,0.22516112478197683,3.05129185949114e-08,17.761615103730865,0.6839999999999999,0.0,86400.0,0.07581018518518519,0.037905092592592594,60852.71701388889,30426.358506944445,1.0535066862790271e-05,5.267533431395136e-06,kroma,kroma
2024-03-04,Kroma,mainnet,255,2.0,45965,43199,0,0,2740,2709,1253,2565176935,9728684,6654419.856,,13160512,608042749999.9988,415901240999.9991,,6654419.856,0.0,9728684,544704,285685364,0.55770844638176,0.000140150821728508,0.5115416451604684,0.046166801221291555,31971.352822529287,0.0,8.724523963e-09,0.0461667924967676,94138060,4434468,608042.75,608042.75,76.87246314932096,,0.1616001624125608,3.053892520374268e-08,21.945266218705033,0.6840000000000003,0.0,86398.0,0.06342739415264242,0.03171369707632121,59380.4702655154,29690.2351327577,1.291021658792472e-05,6.45510829396236e-06,kroma,kroma
2024-02-29,Kroma,mainnet,255,2.0,53756,43200,0,0,10521,10319,2657,3338310771,30679600,20984846.399999972,,13923453,1917474999999.9983,1311552899999.9988,,20984846.399999972,0.0,30679600,1305969,1058187271,1.7881247108113387,0.0001096541766891565,1.41748925475893,0.3706354560524086,88593.0784224331,0.0,3.261328003899998e-08,0.3706354234391285,99798888,10100856,1917475.0,1917475.0,67.54823112543419,,0.35025506940955137,3.08199511870711e-08,67.84674628451619,0.6839999999999983,0.0,86400.0,0.24354166666666666,0.12177083333333333,77275.71229166667,38637.856145833335,4.1391775713225435e-05,2.0695887856612718e-05,kroma,kroma
2024-03-05,Kroma,mainnet,255,2.0,45825,43200,0,0,2597,2586,1096,2595450187,11740972,8030824.848,,13269015,733810749999.9994,501926552999.99963,,8030824.848,0.0,11740972,652983,315294447,0.7406435673100823,0.000138956799898913,0.6983335821323174,0.042309985177764874,43645.848883269835,0.0,1.1033176336e-08,0.04230997414458854,96454020,6744996,733810.75,733810.75,86.95664459750134,,0.13419197699274696,3.4993246601644095e-08,26.703418780938065,0.6840000000000003,0.0,86400.0,0.06011574074074074,0.03005787037037037,60079.865439814814,30039.932719907407,1.714452702106672e-05,8.57226351053336e-06,kroma,kroma
2024-03-11,Kroma,mainnet,255,2.0,45997,43199,0,0,2765,2734,1190,2551432508,8944396,6117966.864000001,,13097112,559024749999.9978,382372928999.99866,,6117966.864000001,0.0,8944396,481440,271266993,0.4229882558808319,0.000107849447074888,0.38247080983300513,0.04051744604782655,23904.42561456282,0.0,8.450069824e-09,0.04051743759775671,93316824,3610920,559024.75,559024.75,62.51599891519233,,0.1493637157979871,3.1150379670408336e-08,16.7308923633813,0.6840000000000002,0.0,86398.0,0.06400611125257528,0.03200305562628764,59062.30486816824,29531.15243408412,9.791621469960691e-06,4.895810734980346e-06,kroma,kroma
2024-03-06,Kroma,mainnet,255,2.0,45306,43200,0,0,2083,2080,1061,2464870265,6312020,4317421.680000001,,12942623,394501249999.99896,269838854999.99927,,4317421.680000001,0.0,6312020,326659,186405785,0.33451786398237504,0.000130307907447982,0.3177597326418096,0.016758131340565568,19859.983290113105,0.0,5.737229183999999e-09,0.01675812560333638,91992764,2285416,394501.25,394501.25,73.59942025440763,,0.08990134796817364,3.077817131050949e-08,13.343632389441355,0.6839999999999999,0.0,86400.0,0.04821759259259259,0.024108796296296295,57057.18206018519,28528.591030092593,7.74346907366609e-06,3.871734536833045e-06,kroma,kroma
