time_period,l2_gas_used,num_txs,example_contract,contract_address,creator_address,fees_eth,trace_creator_address,chain,num_addr
prior 30,"2,831,548",2,0xb455fa13a0225ca1b753369ef3862f3006dac142,0xb455fa13a0225ca1b753369ef3862f3006dac142,0x9b506a03bbff2a842866b10bc6732da72640cd45,0.00000063,0x9b506a03bbff2a842866b10bc6732da72640cd45,Mode,1
prior 30,"172,881",1,0x29003f964d6a3580bb9ace701875771c269c3304,0x29003f964d6a3580bb9ace701875771c269c3304,0x9168b6ca5496585d0db404c88da9f0363f298a3e,0.0000008006336046,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"43,973",1,0xfe8aba97d740527abd6c70b4f338ac7e67dbbd79,0xfe8aba97d740527abd6c70b4f338ac7e67dbbd79,0x2cb11d4b522d74db43cd440604a1fd65b26c1b3e,0.0000002548918043,0x2cb11d4b522d74db43cd440604a1fd65b26c1b3e,Mode,1
prior 30,"140,637",3,0xcfd9206b0fb0f109196467ca68a461f65b8f6a32,0xcfd9206b0fb0f109196467ca68a461f65b8f6a32,0xa88856a1a05c152b71cfd68cb3770dad7269d98e,0.0000082852049,0xa88856a1a05c152b71cfd68cb3770dad7269d98e,Mode,1
prior 30,"259,517",1,0x391a7f21dc2d9486f23d96dab5fdcbcce4f1b45c,0x391a7f21dc2d9486f23d96dab5fdcbcce4f1b45c,0xf82b3a0cd76ef3dcfaf772c27b2a39f1e1915494,0.0000007113096,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"43,973",1,0x02265b3c73ad118b13983a0b0eeecc6632120840,0x02265b3c73ad118b13983a0b0eeecc6632120840,0xe58b1554f000ba9197c12783e7c8d44621152937,0.00000072860900053,0xe58b1554f000ba9197c12783e7c8d44621152937,Mode,1
prior 30,"43,973",1,0x14aa488a625979444cdf7436c4f11253deb2b6b3,0x14aa488a625979444cdf7436c4f11253deb2b6b3,0x64d583e978031098ae820dcf2975f39f72dee970,0.00000072,0x64d583e978031098ae820dcf2975f39f72dee970,Mode,1
last 7,"1,114,713",3,0xac124890bbee99eafcf670d660bf8833d3529826,0xac124890bbee99eafcf670d660bf8833d3529826,0x34ccca03631830cd8296c172bf3c31e126814ce9,0.000001013668061,0x34ccca03631830cd8296c172bf3c31e126814ce9,Mode,1
prior 30,"400,696",8,0x8d575d202b7653fb2e076be451b006626cc31858,0x8d575d202b7653fb2e076be451b006626cc31858,0xa8979df21b6dc13935a17f9c13ec6c82942eb9f5,0.0000256088026,0xa8979df21b6dc13935a17f9c13ec6c82942eb9f5,Mode,1
last 7,"43,900",1,0x14de62220714c18eff29213f7b2aef276b63080a,0x14de62220714c18eff29213f7b2aef276b63080a,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,0.0000002301633075,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,Mode,1
prior 30,"65,960",1,0xb464bcb40760a6894680593f826078948a06527d,0xb464bcb40760a6894680593f826078948a06527d,0x826d2da3956d3870657a316eba2f4f1f6edc5ce1,0.00000028115117082,0x826d2da3956d3870657a316eba2f4f1f6edc5ce1,Mode,1
prior 30,"142,065",2,0x290aa7905055b8231d98b6133e3f347d23aa5bf2,0x290aa7905055b8231d98b6133e3f347d23aa5bf2,0x5bbf4dfe0271ec3df356900640145760102a1af9,0.00000110425298015,0x00000000001594c61dd8a6804da9ab58ed2483ce,Mode,2
prior 30,"8,874,491",1,0x3eeb01b10cfed0b9cf9083e2faee82cd1e2c643a,0x3eeb01b10cfed0b9cf9083e2faee82cd1e2c643a,0xbde3ad8d035905d5922f38a1fff7904387514ec4,0.0000017388533062,0xbde3ad8d035905d5922f38a1fff7904387514ec4,Mode,1
