dt,chain,network,gas_token_symbol,num_raw_txs,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_users_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,num_blocks,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,is_initial_day,chain_name,chain_raw
2024-05-07 00:00:00+00:00,Fraxtal,mainnet,frxETH,45840,43200,40,2593,2554,170,2900480407.000000000,14233512.000000000,711675.5999999999,,12428073.0,711675.5999999999,0E-9,14233512.000000000,1177417.0,413086845.000000000,0.016166397,0.004713323,0.004713322364124504,,0.011453584,0E-9,0.009985857,889594.500000000,889594.500000000,43200,0.05,0.0,6.622852272,0.027725516,7.9E-8,2.620860114,86400,0.060023148148148145,0.030011574074074072,67140.750162037,33570.375081019,3.74E-7,1.87E-7,0,frax,frax
2024-04-11 00:00:00+00:00,Fraxtal,mainnet,frxETH,46999,43200,36,3757,3683,207,3842705017.000000000,27838548.000000000,1391927.3999999946,,13845612.0,1391927.3999999946,0E-9,27838548.000000000,2596572.0,1356265785.000000000,0.111224058,0.026834661,0.02683464058131021,,0.084389956,1.7E-8,0.075364716,1739909.250000000,1739909.250000000,43200,0.05,0.0,19.278764526,0.062221887,5.1E-8,23.372139654,86400,0.0869675925925926,0.0434837962962963,88951.505023148,44475.752511574,0.000002575,0.000001287,0,frax,frax
2024-05-03 00:00:00+00:00,Fraxtal,mainnet,frxETH,46258,43200,14,3042,2952,149,2996466446.000000000,20981480.000000000,1049073.999999995,,12972556.0,1049073.999999995,0E-9,20981480.000000000,1733972.0,512297374.000000000,0.019949139,0.007772383,0.007772401081030901,,0.012177285,1.6E-8,0.011007680,1311342.500000000,1311342.500000000,43200,0.05,0.0,7.408820618,0.023768885,1.00E-7,3.792315051,86400,0.07041666666666667,0.035208333333333335,69362.649212963,34681.324606481,4.62E-7,2.31E-7,0,frax,frax
2024-05-09 00:00:00+00:00,Fraxtal,mainnet,frxETH,12573,11894,30,646,641,67,788069026.000000000,4003376.000000000,200168.80000000008,,3448837.0,200168.80000000008,0E-9,4003376.000000000,342005.0,100689096.000000000,0.004125484,0.000815378,0.0008153776920738719,,0.003310235,0E-9,0.002564232,250211.000000000,250211.000000000,11894,0.05,0.0,4.073450468,0.032874616,9.8E-8,0.409910164,23788,0.054313099041533544,0.027156549520766772,66257.695140407,33128.847570203,3.47E-7,1.73E-7,0,frax,frax
2024-04-19 00:00:00+00:00,Fraxtal,mainnet,frxETH,46811,43200,15,3591,3508,149,3685779799.000000000,28776976.000000000,1438848.800000001,,13863556.0,1438848.800000001,0E-9,28776976.000000000,2624744.0,1200680804.000000000,0.054184180,0.017069171,0.0170691465222529,,0.037115705,1.0E-8,0.031121363,1798561.000000000,1798561.000000000,43200,0.05,0.0,11.863057829,0.030911693,3.7E-8,13.692782526,86400,0.083125,0.0415625,85318.976828704,42659.488414352,0.000001254,6.27E-7,0,frax,frax
2024-03-19 00:00:00+00:00,Fraxtal,mainnet,frxETH,47065,43200,27,3834,3778,196,6480845454.000000000,33657712.000000000,1682885.5999999896,,13934413.0,1682885.5999999896,0E-9,33657712.000000000,2689857.0,3997002866.000000000,0.102005037,0.065538925,0.0655389484948065,,0.036466741,9.23E-7,0.035699645,2103607.000000000,2103607.000000000,43200,0.05,0.0,38.944387245,0.009123358,2.37E-7,162.932172725,86400,0.08875,0.044375,150019.570694444,75009.785347222,0.000002361,0.000001181,0,frax,frax
2024-05-08 00:00:00+00:00,Fraxtal,mainnet,frxETH,46105,43200,38,2866,2850,153,13247752207.000000000,15776768.000000000,788838.400000005,,12451990.0,788838.400000005,0E-9,15776768.000000000,1202494.0,10762376838.000000000,0.024190727,0.004095519,0.0040955194707294725,,0.020095645,6.48E-7,0.014243139,986048.000000000,986048.000000000,43200,0.05,0.0,5.191835832,0.001867171,6.3E-8,53.284844452,86400,0.06634259259259259,0.033171296296296296,306660.930717593,153330.465358796,5.60E-7,2.80E-7,0,frax,frax
2024-04-26 00:00:00+00:00,Fraxtal,mainnet,frxETH,46860,43200,27,3631,3580,181,3803870278.000000000,29263828.000000000,1463191.400000017,,14015621.0,1463191.400000017,0E-9,29263828.000000000,2771129.0,1319072433.000000000,0.179005735,0.010183936,0.01018397126745355,,0.168822311,3.3E-8,0.164619651,1828989.250000000,1828989.250000000,43200,0.05,0.0,6.960108751,0.127985204,6.4E-8,8.383375604,86400,0.08405092592592593,0.042025462962962966,88052.552731481,44026.276365741,0.000004144,0.000002072,0,frax,frax
2024-03-05 00:00:00+00:00,Fraxtal,mainnet,frxETH,47686,43200,102,4361,4336,246,2977616448.000000000,24444072.000000000,12222036.0,,13006178.0,12222036.0,0E-9,24444072.000000000,1730826.0,481679006.000000000,1.380314424,1.102116870,1.1021168809089164,,0.278197887,1.6E-8,0.277866809,1527754.500000000,1527754.500000000,43200,0.5,0.0,90.174573280,0.577557844,1.07E-7,42.850706616,86400,0.10094907407407408,0.05047453703703704,68926.306666667,34463.153333333,0.000031952,0.000015976,0,frax,frax
2024-02-03 00:00:00+00:00,Fraxtal,mainnet,frxETH,14413,14413,0,0,0,1,827043690.000000000,,,,3747380.0,0.0,0E-9,0E-9,0.0,0E-9,,,,,0E-9,,,0E-9,0E-9,14413,0.0,0.0,0E-9,0E-9,0E-9,0E-9,28826,0.0,0.0,57381.786581558,28690.893290779,,,1,frax,frax
2024-03-30 00:00:00+00:00,Fraxtal,mainnet,frxETH,46596,43200,29,3364,3299,167,3721216013.000000000,63381960.000000000,3169098.0000000237,,16293164.0,3169098.0000000237,0E-9,63381960.000000000,5047896.0,1238299252.000000000,0.072471701,0.068449168,0.06844918479431876,,0.004023016,1.09E-7,0.003104107,3961372.500000000,3961372.500000000,43200,0.05,0.0,21.598948595,0.003248403,1.14E-7,27.822733035,86400,0.07787037037037037,0.038935185185185184,86139.259560185,43069.629780093,0.000001678,8.39E-7,0,frax,frax
2024-02-04 00:00:00+00:00,Fraxtal,mainnet,frxETH,41475,41452,0,23,23,3,2380569451.000000000,116156.000000000,116156.0,,10782372.0,116156.0,0E-9,116156.000000000,4852.0,1464247.000000000,0.004797522,0.001491714,0.0014917143123172162,,0.003305809,0E-9,0.003305809,7259.750000000,7259.750000000,41452,1.0,0.0,12.842335414,2.257684960,2.04E-7,0.018644894,82904,0.0005548586316703657,0.00027742931583518287,57429.543833832,28714.771916916,1.16E-7,5.8E-8,0,frax,frax
