avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_num_success_txs_per_day,l2_eth_fees_per_second,chain_name,l2_eth_fees_per_block,chain,l2_num_txs_per_day_per_block
0,"43,325","43,200",124,"1,957,587,766",0,2024-05-11,0.000000053,"17,876",0.0012,4.8,32,"5,931,181",0.0014,"86,400","43,200","367,588","45,314.53",0.000006187757968309,mainnet,0,0,"151,104",0.0010607516647876704,"22,593",0,0.0012060027,"7,107,557","7,104,089.25",0.0000001038,"22,657.27","28,519,846.21",0.000006291510119907,"66,527,828","367,588",124,0.000000014031,pgn,0.000000028062,pgn,0.0028703703703703703
0,"43,377","43,200",176,"1,959,721,213",0,2024-05-10,0.000000053,"25,826.25",0.002622015844554024,7.25,16,"8,223,995",0.002037037037037037,"86,400","43,200","526,864","45,363.92",0.0000094,mainnet,1,0,"221,732",0.0011540674022,"36,221",0,0.0026125248000083,"7,121,473","7,111,669",0.0000001039,"22,681.96","59,893,969.81",0.000009491045,"66,592,528","526,864",176,0.0000000303474056083,pgn,0.00000006069,pgn,0.004074074074074074
0,"43,358","43,200",155,"1,960,297,405",0,2024-05-09,0.000000053,"26,331",0.001834062031,5.12,20,"8,600,155",0.0018,"86,400","43,200","520,852","45,377.25",0.0000082,mainnet,1,0,"252,656",0.000968067,"33,569",0,0.001825736504043062,"7,119,213","7,105,724.5",0.0000001039,"22,688.63","44,262,864.37",0.0000083,"66,518,088","520,852",155,0.0000000212275698087,pgn,0.000000042,pgn,0.0036
0,"43,360","43,200",159,"1,958,560,513",0,2024-05-08,0.000000053,"22,443.75",0.00170245136838092,5.3,21,"7,163,987",0.00184028,"86,400","43,200","461,276","45,337.05",0.000029,mainnet,1,0,"186,108",0.00408135037,"30,012",0,0.0017,"7,115,232","7,107,629",0.0000001038037072,"22,668.52","37,913,708.77",0.00002923874098,"66,546,384","461,276",159,0.0000000197043,pgn,0.0000000394085964903,pgn,0.00368056
0,"43,397","43,200",197,"1,960,005,875",0,2024-05-07,0.000000053,"26,445.75",0.0026,6.88,53,"8,588,075",0.002280093,"86,400","43,200","554,340","45,370.51",0.00003,mainnet,0,0,"208,796",0.00347587262043,"33,656",0,0.0026069,"7,118,456","7,114,808.25",0.00000010388031,"22,685.25","58,996,109.91",0.000029851055,"66,620,996","554,340",197,0.000000030518084,pgn,0.000000061036,pgn,0.00456019
0,"43,321","43,200",121,"1,956,131,147",0,2024-05-06,0.000000053,"15,052.25",0.00144039,6.56,25,"4,853,995",0.00140046,"86,400","43,200","319,956","45,280.81",0.00000552372063,mainnet,0,0,"109,188",0.001159332793599087,"20,061",0,0.0014347606043,"7,104,861","7,105,999.25",0.00000010367495079,"22,640.41","31,789,885.52",0.0000056,"66,562,740","319,956",121,0.0000000166711574059,pgn,0.000000033,pgn,0.00280093
0,"43,538","43,200",338,"1,966,548,727",0,2024-05-05,0.000000053,"39,159.25",0.0033,5.66,76,"15,321,827",0.003912037037037037,"86,400","43,200","849,360","45,521.96",0.00003316554529053,mainnet,0,0,"258,804",0.002171397208248401,"49,023",0,0.0032879753910066,"7,133,823","7,132,565.5",0.000000104227083,"22,760.98","85,160,093.97",0.000033269772373065,"66,751,704","849,360",338,0.00000003844034,pgn,0.000000076880675078,pgn,0.007824074074074074
0,"43,503","43,200",302,"1,965,080,313",0,2024-05-04,0.000000053,"43,189.75",0.00349029029,5.74,17,"13,419,062",0.0034953703703703705,"86,400","43,200","885,060","45,487.97",0.000015872037,mainnet,0,0,"362,460",0.001190559068,"62,223",0,0.0034743141075,"7,147,251","7,138,252.5",0.0000001041,"22,743.99","76,986,206.48",0.000016,"66,880,776","885,060",302,0.0000000404,pgn,0.00000008079,pgn,0.00699074074074074
0,"43,531","43,200",331,"1,971,011,632",0,2024-05-03,0.000000053,"59,165.75",0.00546073033,6.85,20,"19,478,452",0.003831019,"86,400","43,200","1,160,532","45,625.27",0.000022344418051,mainnet,0,0,"586,524",0.0011524982410251081,"84,078",0,0.0054,"7,168,878","7,153,689.5",0.0000001045,"22,812.63","132,579,834.65",0.000022,"67,097,304","1,160,532",331,0.0000000632029,pgn,0.0000001264058,pgn,0.007662037037037037
0,"43,484","43,200",283,"1,968,035,718",0,2024-05-02,0.000000053,"50,902.75",0.005965209,8.71,24,"16,582,848",0.0033,"86,400","43,200","997,840","45,556.38",0.000019098249078,mainnet,1,0,"506,540",0.001157976903083,"71,441",0,0.0059460064188034,"7,156,693","7,146,923.75",0.000000104305893054,"22,778.19","146,284,016.65",0.0000192026,"67,040,188","997,840",283,0.00000006904177053,pgn,0.00000013808354106,pgn,0.00655093
