time_period,l2_gas_used,num_txs,contract_address,creator_address,fees_eth,trace_creator_address,chain,num_addr
last 7,"156,191",3,0x6e2d829db8ef2cf075903ad062e06066aafa760f,0xe584b655a6d3d818998670f73c9c0702b66498e2,0.000030444116086607,0xe584b655a6d3d818998670f73c9c0702b66498e2,Public Goods Network,2
prior 30,"26,839",1,0xec31994089a5925cf892de5fb6ebc21a1c8c3972,0xff03eb7fd695dea330c8e383c453b65dfbe4dce6,0.00001440444408,0xff03eb7fd695dea330c8e383c453b65dfbe4dce6,Public Goods Network,1
prior 30,"15,285,256",130,0xcfe161b2643d50acb4ef92627386c4af68557cfd,0xc4fc57dedd2463314a3fd2dbadb86b4404c257e5,0.0033,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Public Goods Network,4
last 7,"58,367,876",57,0xa658742d33ebd2ce2f0bdff73515aa797fd161d9,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,0.001410161314072,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,Public Goods Network,1
prior 30,"43,973",1,0xdf2ff4fb7ac7b88b895a36bfda3c4175d0f028e0,0x154beafe33c12230f2b4cc758ec0ec41a65ba7dc,0.0000073,0x154beafe33c12230f2b4cc758ec0ec41a65ba7dc,Public Goods Network,1
prior 30,"72,867",3,0x20a66b2ba6d2dad5207b4928f7c2142fbc8bafe8,0xe584b655a6d3d818998670f73c9c0702b66498e2,0.000088855228233064,0xe584b655a6d3d818998670f73c9c0702b66498e2,Public Goods Network,1
last 7,"654,468",2,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,0xad031eee55f595df6dbd61e9ef3b908fad1b3671,0.00003022,0x4e59b44847b379578588920ca78fbf26c0b4956c,Public Goods Network,2
last 7,"43,973",1,0xd71937912f469077c06c4cc63e064bbdfcc0a0ec,0x4b9c306cc94a0a420e4c018d946a0d22370eb46a,0.000004954970704,0x4b9c306cc94a0a420e4c018d946a0d22370eb46a,Public Goods Network,1
last 7,"217,348",4,0x6c121674ba6736644a7e73a8741407fe8a5ee5ba,0x555277050af4f7a11db559d5ca1e4c4833a4dbdd,0.000049911742587056,0x555277050af4f7a11db559d5ca1e4c4833a4dbdd,Public Goods Network,4
last 7,"87,946",2,0x46abf84d03663a61bd8f9b729520daa44c5e2a12,0xc3c252d020add12f1fae475df2dd1f7f2ba6a19b,0.00001206063066,0xc3c252d020add12f1fae475df2dd1f7f2ba6a19b,Public Goods Network,2
prior 30,"378,898",4,0x9286d59a3cf03e5c08051bbfa63efeaeb9f80393,0xb16fd9113c315861b0e543c075400da90451cfa6,0.00006843027072,0x2269bceb3f4e0aa53d2fc43b1b7c5c5d13b119a5,Public Goods Network,3
prior 30,"1,741,915",4,0x76f948e5f13b9a84a81e5681df8682bbf524805e,0x72a0b75e4c7229219678e7194c05df2f54a9bce0,0.00015,0x4e59b44847b379578588920ca78fbf26c0b4956c,Public Goods Network,1
last 7,"41,250",1,0x047bbcd3e7649251c6bc27c7acb4057be9c532d5,0xc2172a6315c1d7f6855768f843c420ebb36eda97,0.000013506544057,0xc2172a6315c1d7f6855768f843c420ebb36eda97,Public Goods Network,1
last 7,"43,973",1,0xa6610c7ab60f2c93cc0c877427bb280792dc2144,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,0.0000050900465024,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,Public Goods Network,1
last 7,"43,973",1,0x351093a2647895004a6b199d4d3df81ac30ea01a,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,0.0000055,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,Public Goods Network,1
prior 30,"244,881",3,0xe39e30c9d106303797b34298ff581fbab4748193,0xef87243fe29c2453f87549e02982108a3b832952,0.000089083,0x2269bceb3f4e0aa53d2fc43b1b7c5c5d13b119a5,Public Goods Network,2
prior 30,"4,221,675,808","2,374",0xcb566e3b6934fa77258d68ea18e931fa75e1aaaa,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,0.15,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,Public Goods Network,1
prior 30,"26,839",1,0x4b10c798dc33dc88ee07b52fddc26f973d058043,0x5b76a13b3ff3678c9f10e5205bd34951367c105c,0.000009935643644042,0x5b76a13b3ff3678c9f10e5205bd34951367c105c,Public Goods Network,1
last 7,"43,973",1,0x49af6aefa098bfef54090d17bb9d94d25bc05bd8,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,0.000005327519067,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,Public Goods Network,1
last 7,"43,973",1,0xb06da0b2ca91d0b80ed86bc9df93f9813f25c7d4,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,0.000005327519067,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,Public Goods Network,1
prior 30,"2,697,046",20,0xfad37e432082acf79063044f07f927d73048504e,0x30e0a6ffb5a2030feb67b01529c8709265f474fd,0.000124045040035,0x2269bceb3f4e0aa53d2fc43b1b7c5c5d13b119a5,Public Goods Network,20
prior 30,"594,465",4,0x649bb76613760b2041a190b1a40605443486cdd6,0xc4fc57dedd2463314a3fd2dbadb86b4404c257e5,0.00037,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Public Goods Network,1
last 7,"43,973",1,0x0f4ee0056e02d405dde69f996a5c7bb30a084e82,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,0.0000050900465024,0xec58e1c06a97545b4e550fd8bb11fcb56285560b,Public Goods Network,1
prior 30,"116,537",1,0x2b92d36ea73ee06cab0aeb91c67b1933c2f66250,0x3fbe44678dc0010777758ca5d53f421c9e0c7ef6,0.000017,0x2269bceb3f4e0aa53d2fc43b1b7c5c5d13b119a5,Public Goods Network,1
last 7,"33,076",1,0x8c0241c47e42fffd3cde31ec8cca32dfd7ed17f1,0xe584b655a6d3d818998670f73c9c0702b66498e2,0.000005051055,0xe584b655a6d3d818998670f73c9c0702b66498e2,Public Goods Network,1
last 7,"53,793",1,0x1a0c4a4def4941296b69f0cf0d5995a069ddd102,0xf75028beeaf95e861400fca653ef12dd44c18a48,0.0000052,0xf75028beeaf95e861400fca653ef12dd44c18a48,Public Goods Network,1
prior 30,"53,678",2,0x0401921a6412dcfbe393a0e45a6ce2c75caf9af7,0x52b82643627b1f9f17e012481d97211216909cf9,0.0000200093,0x52b82643627b1f9f17e012481d97211216909cf9,Public Goods Network,1
prior 30,"26,839",1,0x3958ddaedc4723d4fe8884078037a0fbd87ffe63,0x67f5bb93427cae63d7085fa84fb0575e084b0a35,0.000007908094,0x67f5bb93427cae63d7085fa84fb0575e084b0a35,Public Goods Network,1
prior 30,"574,493",2,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,0xad031eee55f595df6dbd61e9ef3b908fad1b3671,0.00030897181552290204,0x4e59b44847b379578588920ca78fbf26c0b4956c,Public Goods Network,2
prior 30,"2,761,067,722","2,368",0xa658742d33ebd2ce2f0bdff73515aa797fd161d9,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,0.13053,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,Public Goods Network,1
prior 30,"26,839",1,0xf0646c92000dc95558bb8a6ed174ee414fc82bea,0xb5b00273630496721ce1f87711bee0aaa531eff7,0.000017,0xb5b00273630496721ce1f87711bee0aaa531eff7,Public Goods Network,1
