chain_name,display_name,mainnet_chain_id,public_mainnet_launch_date,op_based_version,chain_type,op_chain_start,has_mods,raas_deployer,rpc_url,product_website,block_explorer_url,github_url,defillama_slug,l2beat_slug,growthepie_origin_key,gas_token,chain_layer,block_time_sec,da_layer,output_root_layer,system_config_proxy,oplabs_db_schema,goldsky_schema,dune_schema,flipside_schema,oso_schema,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,optimism_portal,dispute_game_factory,is_op_chain,alignment
op,OP Mainnet,10,2021-06-23,modern,OP Mainnet,2021-06-23,no,OP Mainnet,https://mainnet.optimism.io,https://optimism.io,https://explorer.optimism.io/,,Optimism,optimism,optimism,ETH,L2,2.0,ethereum,ethereum,0x229047fed2591dbec1eF1118d64F7aF3dB9EB290,op,optimism,optimism,optimism,optimism,0x6887246668a3b87F54DeB3b94Ba47a6f63F32985,0xff00000000000000000000000000000000000010,0x473300df21D047806A082244b417f96b32f13A33,0xdfe97868233d1aa22e815a266982f2cf17685a27,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,,0xe5965Ab5962eDc7477C8520243A95517CD252fA9,True,OP Chain
zora,Zora,7777777,2023-06-21,modern,Standard,2023-06-14,no,Conduit,https://rpc.zora.energy/,https://zora.energy,https://explorer.zora.energy/,,Zora,zora,zora,ETH,L2,2.0,ethereum,ethereum,0xA3cAB0126d5F504B071b81a3e8A2BBBF17930d86,zora,zora,zora,,zora,0x625726c858dBF78c0125436C943Bf4b4bE9d9033,0x6F54Ca6F6EdE96662024Ffd61BFd18f3f4e34DFf,0x48247032092e7b0ecf5dEF611ad89eaf3fC888Dd,0x9E6204F750cD866b299594e2aC9eA824E2e5f95c,0x3e2Ea9B92B7E48A52296fD261dc26fd995284631,,,True,OP Chain
base,Base,8453,2023-08-09,modern,Standard,2023-06-15,no,Self-Hosted,https://mainnet.base.org/,https://base.org,https://basescan.org/,,Base,base,base,ETH,L2,2.0,ethereum,ethereum,0x73a79Fab69143498Ed3712e519A88a918e1f4072,base,base,base,base,base,0x5050F69a9786F081509234F1a7F4684b5E5b76C9,0xFf00000000000000000000000000000000008453,0x642229f238fb9dE03374Be34B0eD8D9De80752c5,0x56315b90c40730925ec5485cf004d835058518A0,0x3154Cf16ccdb4C6d922629664174b904d80F2C35,,,True,OP Chain
mode,Mode,34443,2024-01-31,modern,Standard,2024-01-31,no,Conduit,https://mainnet.mode.network,https://www.mode.network/,https://explorer.mode.network/,,Mode,mode,mode,ETH,L2,2.0,ethereum,ethereum,0x5e6432F18Bc5d497B1Ab2288a025Fbf9D69E2221,mode,mode,mode,,mode,0x99199a22125034c808ff20f377d91187E8050F2E,0x24E59d9d3Bd73ccC28Dc54062AF7EF7bFF58Bd67,0x674F64D64Ddc198db83cd9047dF54BF89cCD0ddB,0x4317ba146D4933D889518a3e5E11Fe7a53199b04,0x735aDBbE72226BD52e818E7181953f42E3b0FF21,,,True,OP Chain
pontem,Pontem,8866,2024-02-28,modern,Standard,2024-02-28,unknown,Conduit,https://mainnet.lumio.io/,https://lumio.io/,https://explorer.lumio.io/,,,,,ETH,L2,2.0,ethereum,ethereum,0xFb252d6199AEfeE6938a1c57213AAd96ecD2650c,,,,,,0x5c53f2fF1030C7fbC0616fD5B8fC6bE97aa27e00,0x5c53f2fF1030C7fbC0616fD5B8fC6bE97aa27e00,0xb6E2Eee22b684f6AAb2083097F7E874994bA930e,0xffB004874CbBF8692B5f397B602f4B8a630aeD59,0xdB5C6b73CB1c5875995a42D64C250BF8BC69a8bc,,,True,OP Chain
lisk,Lisk,1135,2024-05-03,modern,Standard,2024-05-03,no,Gelato,https://rpc.api.lisk.com,https://lisk.com/,https://blockscout.lisk.com/,,,lisk,,ETH,L2,2.0,ethereum,ethereum,0x05f23282FFDCA8286E4738C1aF79079f3d843750,lisk,lisk,,,,0xa6Ea2f3299b63c53143c993d2d5E60A69Cd6Fe24,0xFf00000000000000000000000000000000001135,0x0AbD6da1cE10D1cD6c7C9C14b905786D20f3EB23,0x113cB99283AF242Da0A0C54347667edF531Aa7d6,0x2658723Bf70c7667De6B25F99fcce13A16D25d08,,,True,OP Chain
metal,Metal,1750,2024-03-27,modern,Standard,2024-05-09,no,Conduit,https://rpc.metall2.com/,https://metall2.com/,,,,metal,,ETH,L2,2.0,ethereum,ethereum,0x7BD909970B0EEdcF078De6Aeff23ce571663b8aA,metal,metal,,,metal,0xC94C243f8fb37223F3EB2f7961F7072602A51B8B,0xc83f7D9F2D4A76E81145849381ABA02602373723,0xC8187d40AD440328104A52BBed2D8Efc5ab1F1F6,0x3B1F7aDa0Fcc26B13515af752Dd07fB1CAc11426,0x6d0f65D59b55B0FEC5d2d15365154DcADC140BF3,,,True,OP Chain
mint,Mint,185,2024-05-13,modern,Standard,2024-05-15,no,Conduit,https://rpc.mintchain.io,https://www.mintchain.io/,,,Mint,mint,,ETH,L2,2.0,ethereum,ethereum,0xC975862927797812371A9Fb631f83F8f5e2240D5,mint,mint,,,,0x68bdFecE01535090c8f3C27ec3b1AE97E83fA4aA,0x4e31448a098393727b786e25B54E59DcA1b77FE1,0x3d53Df1e69A32F98dFCcf23CCB689763E21A78bA,0xB751A613f2Db932c6cdeF5048E6D2af05F9B98ED,0x2b3F201543adF73160bA42E1a5b7750024F30420,,,True,OP Chain
xterio,Xterio,2702128,2024-06-11,modern,Standard,2024-05-24,no,AltLayer,https://xterio-eth.alt.technology,https://xter.io/,https://eth.xterscan.io/,,,xterio,,ETH,L2,2.0,altda,ethereum,0x6E99cdE188DAAFeEcb6eD8AC28B98dE4c8eE5D6C,xterio,xterio,,,,0x7d6251D49A102a330CfB46d132982781620700Cb,0xfF00000000000000000000000000000000293b30,0x7d2f9b38866141Bf090DD670A826F27eA2408Ad4,0x5A0492D20D984eE904E46E6Ff24572bc755abb28,,,,True,OP Chain
campaign,Camp Network,,,modern,Standard,,yes,,,https://www.campnetwork.xyz/,,,,camp,,ETH,L2,2.0,op-plasma,ethereum,,,,,,,,,,,,,,True,OP Chain
worldchain,World Chain,480,,modern,Standard,,yes,Alchemy,,https://worldcoin.org/world-chain,,,,world,,ETH,L2,2.0,ethereum,ethereum,,,,,,,0xdBBE3D8c2d2b22A2611c5A94A9a12C2fCD49Eb29,0xff00000000000000000000000000000000000480,,,,,,True,OP Chain
kroma,Kroma,255,2023-09-05,modern,Non-Standard,2024-05-29,yes,Self-Hosted,https://api.kroma.network/,https://kroma.network/,,,Kroma,kroma,,ETH,L2,2.0,ethereum,ethereum,,kroma,kroma,,,,0x41b8cD6791De4D8f9E0eaF7861aC506822AdcE12,0xfF00000000000000000000000000000000000255,0x,0x180c77aE51a9c505a43A2C7D81f8CE70cacb93A6,0x827962404D7104202C5aaa6b929115C8211d9596,,,True,OP Chain
orderly,Orderly,291,2023-10-06,modern,Non-Standard,2024-07-09,yes,Conduit,https://rpc.orderly.network,https://orderly.network/,,,protocols/orderly-network,orderly,,ETH,L2,2.0,celestia,ethereum,0x886B187C3D293B1449A3A0F23Ca9e2269E0f2664,orderly,orderly,,,,0xf8dB8Aba597fF36cCD16fECfbb1B816B3236E9b8,0x08aA34cC843CeEBcC88A627F18430294aA9780be,0x74BaD482a7f73C8286F50D8Aa03e53b7d24A5f3B,0x5e76821C3c1AbB9fD6E310224804556C61D860e0,0xe07eA0436100918F157DF35D01dCE5c11b16D1F1,,,True,OP Chain
fraxtal,Fraxtal,252,2024-02-01,modern,Non-Standard,2024-02-01,yes,Self-Hosted,https://rpc.frax.com,https://www.frax.com/,,,Fraxtal,fraxtal,,frxETH,L2,2.0,fraxtalda,ethereum,0x34a9f273cbD847d49c3De015FC26c3E66825f8b2,fraxtal,frax,,,frax,0x6017f75108f251a488B045A7ce2a7C15b179d1f2,0xfF000000000000000000000000000000000420fC,0xFb90465f3064fF63FC460F01A6307eC73d64bc50,0x66CC916Ed5C6C2FA97014f7D1cD141528Ae171e4,0x34C0bD5877A5Ee7099D0f5688D65F4bB9158BDE2,,,True,OP Chain
redstone,Redstone,690,2024-05-01,modern,Non-Standard,2024-05-01,yes,Self-Hosted,https://rpc.redstonechain.com,https://redstone.xyz/,,,,redstone,redstone,ETH,L2,2.0,op-plasma,ethereum,0x8f2428F7189c0d92D1c4a5358903A8c80Ec6a69D,redstone,redstone,,,,0xA31cb9Bc414601171D4537580f98F66C03aECd43,0xff00000000000000000000000000000000000690,,0xa426A052f657AEEefc298b3B5c35a470e4739d69,0xc473ca7E02af24c129c2eEf51F2aDf0411c1Df69,,,True,OP Chain
cyber,Cyber,7560,2024-05-15,modern,Non-Standard,2024-05-15,yes,AltLayer,https://cyber.alt.technology/,https://cyber.co/,,,Cyber,cyber,,ETH,L2,2.0,eigenda,ethereum,0x5D1F4bbaF6D484fA9D5D9705f92dE6063bff6055,cyber,cyber,,,cyber,0xf0748C52EDC23135d9845CDFB91279Cf61ee14b4,0xfF00000000000000000000000000000000001d88,0xF2987f0A626c8D29dFB2E0A21144ca3026d6F1E1,0xa669A743b065828682eE16109273F5CFeF5e676d,0x12a580c05466eefb2c467C6b115844cDaF55B255,,,True,OP Chain
ham,Ham,5112,2024-06-05,modern,Non-Standard,2024-06-05,yes,Syndicate,https://rpc.ham.fun,https://ham.fun/,,,Ham,ham,,ETH,L3,2.0,unknown,base,0xad22377De22537e4e6bd192AeBCa524a79B0d3Fd,ham,ham,,,,,0x115Fc56fFcdE2A24100524a610b89040cb29D501,0x78c6285Cc98Ec52De9Cf2E40b763D509489C47fB,0x38893659CF2b4b3E02B2dC93fe9A55Ea155a3daF,0x936c137699230c4732d534c7E968cC7cEAa6Cf45,,,True,OP Chain
celol2,Celo L2,,,modern,Non-Standard,,yes,,,https://celo.org/,,,,celo,,CELO,L2,2.0,eigenda,ethereum,,,,,,,,,,,,,,True,OP Chain
gameswift,GameSwift,,,modern,Non-Standard,,yes,,,https://gameswift.io/,,,,,,GSWIFT,L2,2.0,,ethereum,,,,,,,,,,,,,,True,OP Chain
lyra,Derive,957,2023-12-13,modern,Non-Standard,2024-06-18,yes,Conduit,https://rpc.lyra.finance/,https://www.derive.xyz/,,,protocols/lyra-v2,lyra,,ETH,L2,2.0,celestia,ethereum,0x0e4C4CDd01ceCB01070E9Fdfe7600871e4ae996e,lyra,lyra,,,,0x14e4E97bDc195d399Ad8E7FC14451C279FE04c8e,0x5f7f7f6DB967F0ef10BdA0678964DBA185d16c50,0x03e820562ffd2e0390787caD706EaF1FF98C2608,0x1145E7848c8B64c6cab86Fd6D378733385c5C3Ba,0x61E44dC0dae6888B5a301887732217d5725B0bFf,,,True,OP Chain
