alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,chain_id,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
Legacy OP Mainnet,,16.658675844591006,15.876298112916135,15.70890994142831,66768155,10.0,ethereum,ethereum,2022-12-12 00:00:00.000 UTC,,,,20.85242638664219,26143.59862769843,31.446634290866374,21.906691953657944,9.53994233720843,1987131261,1379836269,607294992.0,1.0542655670157663,1322.8784968236148,39422.30005642134,27466.477124522065,11955.82293189928,OP Mainnet (OVM2),3086,3548,3086,462.0,ethereum,ethereum,27.997407647440053,187.01298701298703,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,71.9696290887193,68.81605999389414,66.8166766873583,18118514,10.0,ethereum,ethereum,2022-02-28 00:00:00.000 UTC,,,,14.898439305,41108.276014760995,19.288346327,15.533668305,3.7546780220000002,281921097,225727371,56193726.0,0.635229,1743.7884590699996,53236.01971739415,42852.064473831,10383.95524356315,OP Mainnet (OVM2),471,513,471,42.0,ethereum,ethereum,183.43949044585986,2057.1428571428573,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,13.258281130674336,12.745872022303791,12.99210149745021,18855627,10.0,ethereum,ethereum,2022-07-23 00:00:00.000 UTC,,,,4.616976566399541,7092.063217393141,6.951072817822955,4.799264296268519,2.151808521554436,542159156,376534794,165624362.0,0.1822877298689789,280.14958029083823,10676.650688438142,7372.2127976839765,3304.437890754165,OP Mainnet (OVM2),693,819,693,126.0,ethereum,ethereum,124.67532467532467,685.7142857142857,,2024-08-22 20:54:20.250727
OP Stack fork,,162.4249301279299,4.473337379345863,4.957580709579873,779,424.0,ethereum,ethereum,2024-05-12 00:00:00.000 UTC,,,,5.0552306905607996e-05,0.14800284101432776,0.011307264878854723,0.001835410326745608,0.009471854552109115,2320880,410300,1910580.0,0.00178485801984,5.2255348659919,33.1143521531083,5.3735377070062285,27.740814446102068,Public Goods Network,19,41,19,22.0,ethereum,ethereum,4547.368421052632,3927.2727272727275,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,34.70671047664696,32.57256583798107,32.57171031333928,39336459,10.0,ethereum,ethereum,2023-03-08 00:00:00.000 UTC,,,,27.347464634613605,42523.21165946279,39.40906474561786,29.133461830720066,10.275602914897794,1209893468,894417160,315476308.0,1.7859971961064365,2778.1122779693897,61274.36678315691,45301.32393743215,15973.042845724764,OP Mainnet (OVM2),2619,2859,2619,240.0,ethereum,ethereum,32.98969072164948,360.0,,2024-08-22 20:54:20.250727
OP Stack fork,,35.826552121486614,30.318802287746554,30.212974941785212,45441,288.0,ethereum,ethereum,2023-05-26 00:00:00.000 UTC,,,,0.08417293990759243,153.2680174831207,0.20278157899050586,0.09939664600050943,0.10338493298999643,6700255,3278383,3421872.0,0.015223706092917,27.720878329828214,369.26352628003235,180.98889581294893,188.2746304670834,Boba,24,48,24,24.0,ethereum,ethereum,3600.0,3600.0,,2024-08-22 20:54:20.250727
OP Chain,1.945e-08,Infinity,7.4835361139,6.061805929542505,0,34443.0,ethereum,ethereum,2024-06-25 00:00:00.000 UTC,2.0394803200000008e-10,10485760.0,6.883967028428799e-07,0.0,0.0,0.019844054176086236,0.006286170539624033,0.013557883636462204,3076608,840000,2236608.0,0.006286170335676001,21.29964576499839,67.23681906814583,21.299646453395084,45.93717261475075,Mode,80,64,40,24.0,ethereum,ethereum,2160.0,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,26.29358970354692,23.557841055718473,23.303124138494393,114449,288.0,ethereum,ethereum,2023-01-09 00:00:00.000 UTC,,,,0.09827444788015849,129.92503080111288,0.20394386810951665,0.1093586078156645,0.09458526029385214,8701041,4642132,4058909.0,0.011084159935506,14.64797310017053,269.56155880541314,144.57300390128347,124.98855490412964,Boba,23,46,23,23.0,ethereum,ethereum,3756.521739130435,3756.521739130435,,2024-08-22 20:54:20.250727
OP Stack fork,,22.099639464660655,21.57586034609685,,596377,,ethereum,ethereum,2023-03-23 00:00:00.000 UTC,,,,0.20527532767970103,369.0323010725275,0.21028083773286,0.21028083773286,,9746116,9746116,,0.005005510053158999,9.006835580425232,378.03913665295266,378.03913665295266,,Aevo,11,11,11,,,,7854.545454545455,,,2024-08-22 20:54:20.250727
OP Chain,1e-09,Infinity,14.740058936703704,12.877935965225037,0,34443.0,ethereum,ethereum,2024-04-23 00:00:00.000 UTC,2.1233664e-11,21233664.0,6.803649724416e-08,0.0,0.0,0.037160662576886286,0.008357613438344662,0.028803049138541623,2803620,567000,2236620.0,0.008357613417110998,26.81928192691555,119.28774250870838,26.81928199495205,92.46846051375633,Mode,162,51,27,24.0,ethereum,ethereum,3200.0,3600.0,,2024-08-22 20:54:20.250727
OP Chain,5.406000000000001e-07,Infinity,7.3105903560000005,3.4593376589118807,0,1135.0,ethereum,ethereum,2024-07-09 00:00:00.000 UTC,3.5428761600000004e-10,655360.0,1.0867725697024e-06,0.0,0.0,0.002057101210052973,0.0007676123416676161,0.001289488868385357,477756,105000,372756.0,0.0007676119873800001,2.351762958802523,6.304178962853873,2.3517640455750928,3.952414917278781,Lisk,5,9,5,4.0,ethereum,ethereum,17280.0,21600.0,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,8.51329499107051,8.044048651184292,8.097061964579071,48099152,10.0,ethereum,ethereum,2022-10-30 00:00:00.000 UTC,,,,8.000139998725597,12826.643543136832,11.593589585228152,8.464377237300239,3.129212347927914,1438716052,1052253362,386462690.0,0.46423723857464133,744.1357323541692,18589.21479370969,13570.779275490991,5018.435518218697,OP Mainnet (OVM2),2762,3056,2762,294.0,ethereum,ethereum,31.281679942070962,293.8775510204082,,2024-08-22 20:54:20.250727
OP Stack fork,,54.14312958461128,52.32815802129145,,796935,,ethereum,ethereum,2023-05-23 00:00:00.000 UTC,,,,0.6653924523572983,1233.082851836652,0.6884026642238354,0.6884026642238354,,13155492,13155492,,0.023010211866536998,42.62369167975618,1275.706543516408,1275.706543516408,,Aevo,21,21,21,,,,4114.285714285715,,,2024-08-22 20:54:20.250727
OP Stack fork,,14.062740060970782,12.99411251612756,12.954170635009488,2334644,424.0,ethereum,ethereum,2023-08-26 00:00:00.000 UTC,,,,0.48439748608289446,799.7592095584364,0.5512699342734108,0.5242685719018922,0.02700136237151854,42431000,40346624,2084376.0,0.03987108581899799,65.82816373719157,910.1635990842796,865.5873732956279,44.576225788651634,Public Goods Network,146,170,146,24.0,ethereum,ethereum,591.7808219178082,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,1.5857142857142854e-09,Infinity,5.64432175067143,5.498145945811775,0,62050.0,ethereum,ethereum,2024-06-15 00:00:00.000 UTC,1.4548992000000007e-11,9175040.0,5.1607602462720004e-08,0.0,0.0,0.020594350195606174,0.008297152988035992,0.012297197207570183,3706608,1470000,2236608.0,0.008297152973486998,29.392643292543553,72.94658407157314,29.392643344151164,43.55394072742198,Optopia,70,94,70,24.0,ethereum,ethereum,1234.2857142857142,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,8.627537827458083,8.506382950280246,8.110181582870004,99891593,81457.0,ethereum,ethereum,2024-05-13 00:00:00.000 UTC,,,,13.555098846899739,40039.24872126381,13.766001965876416,13.748667815253537,0.01733415062287871,1618413944,1616276612,2137332.0,0.19356896835378892,571.7436454702831,40662.1683246683,40610.9923667341,51.17595793420461,Blast,1081,1105,1081,24.0,ethereum,ethereum,79.92599444958371,3600.0,,2024-08-22 20:54:20.250727
OP Chain,1e-09,Infinity,8.533630776,6.103579152305177,0,1135.0,ethereum,ethereum,2024-07-19 00:00:00.000 UTC,6.5536e-13,655360.0,2.25542012928e-09,0.0,0.0,0.0031712502255818557,0.00089603123213536,0.002275218993446496,477768,105000,372768.0,0.0008960312314799999,3.081681304006706,10.894874280782432,3.0816813062621264,7.813192974520304,Lisk,5,9,5,4.0,ethereum,ethereum,17280.0,21600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,15.27972483386802,14.927113936293091,,1114366,,ethereum,ethereum,2023-09-20 00:00:00.000 UTC,,,,0.2654860491419314,432.8492409797857,0.2716558596460894,0.2716558596460894,,18198820,18198820,,0.0061698105041580005,10.06170565922645,442.91094663901197,442.91094663901197,,Aevo,20,20,20,,,,4320.0,,,2024-08-22 20:54:20.250727
OP Stack fork,,26.69595278025676,22.332911143898674,21.459496709785306,34726,288.0,ethereum,ethereum,2024-02-02 00:00:00.000 UTC,,,,0.057735810983971014,133.0856688352659,0.13762003197321743,0.06886996339062101,0.06875006858259643,6287501,3083788,3203713.0,0.011134152406650001,25.66310287765964,317.3011378166644,158.74877171292553,158.55236610373885,Boba,24,47,24,23.0,ethereum,ethereum,3600.0,3756.521739130435,,2024-08-22 20:54:20.250727
OP Chain,1.000000000000003e-09,Infinity,21.84190729273739,20.07752519273031,0,8453.0,ethereum,ethereum,2024-04-17 00:00:00.000 UTC,5.151129600000019e-10,515112960.0,1.5689271528652816e-06,0.0,0.0,0.3422833423263267,0.3004354353267158,0.04184790699961087,15839316,13755000,2084316.0,0.30043543481160306,911.0647503706141,1037.9485711992731,911.0647519395413,126.88381925973187,Base,3930,679,655,24.0,ethereum,ethereum,131.9083969465649,3600.0,,2024-08-22 20:54:20.250727
