alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_secs_between_l1_txs_inbox,avg_secs_between_l1_txs_output,calldata_bytes_l1_inbox,chain_id,chain_version,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,share_elapsed,last_updated
OP Chain,,3.48416445821156,1.0174328929976397,1.0216188404999997,1489.655172413793,43200.0,31691.0,42026,modern,base,eigenda base,2024-07-22 00:00:00.000 UTC,,,,0.000511117734151992,1.7829442782887233,0.0019278101141238424,0.0017503549215289924,0.00017745519259484998,1894064,1720364.0,173700.0,0.001239237187377,4.323085832511817,6.7269418488918005,6.106030110800537,0.6209117380912632,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.410150528817694,1.006011564002244,1.007827514,1464.406779661017,43200.0,32714.0,42026,modern,base,eigenda base,2024-08-30 00:00:00.000 UTC,,,,0.00052162302441836,1.3106231305312765,0.0019430444384078232,0.0017680089870863592,0.00017503545132146401,1931120,1757444.0,173676.0,0.0012463859626680002,3.1325734124374134,4.883459330502867,4.44319654296869,0.44026278753417725,Donatuz,59.0,61,59.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,35.822662139123494,1.1272108093794233,1.1298285278611908,1800.0,7200.0,2238.0,4653,modern,base,celestia,2024-04-11 00:00:00.000 UTC,,,,3.7026392453016e-05,0.13108396144132886,0.002350446318041933,0.0011731423954400154,0.0011773039226019178,2082768,1040748.0,1042020.0,0.0011361160029870001,4.023243792248894,8.322180582410013,4.154327753690223,4.16785282871979,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.46644817783318,1.0023896009845152,1.0023292204243959,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-06-09 00:00:00.000 UTC,,,,2.9153536099100002e-05,0.10769662465707577,0.002105047464884084,0.0010606123985680998,0.001044435066315984,2100092,1058084.0,1042008.0,0.001031458862469,3.810332474204225,7.776934283550912,3.9180290988613007,3.8589051846896116,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,41.04321427548436,1.130456400895073,1.1356749936119461,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-05-03 00:00:00.000 UTC,,,,3.2945930498716006e-05,0.10002914480569981,0.0023795408304124657,0.0011961856578687159,0.00118335517254375,2100128,1058144.0,1041984.0,0.0011632397273699997,3.5317973451053075,7.219807969281801,3.6318264899110075,3.5879814793707934,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.6113163053530237,1.0035393396637369,1.0028458772853046,1489.655172413793,43200.0,29588.0,42026,modern,base,eigenda base,2024-09-15 00:00:00.000 UTC,,,,0.000470363009327184,1.1292521366677384,0.0018668561131021141,0.001692673818368184,0.00017418229473393002,1860392,1686704.0,173688.0,0.0012223108090410003,2.9345417016311837,4.483933335736138,4.063793838298921,0.4201394974372161,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,37.916957679381255,1.044769428492623,1.0450914516632406,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-04-14 00:00:00.000 UTC,,,,3.0461291811039998e-05,0.09310581686554424,0.00219449761054591,0.00110552903937604,0.00108896857116987,2100140,1058156.0,1041984.0,0.001075067747565,3.2859300575849657,6.706277658746711,3.3790358744505093,3.327241784296201,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.56999572439831,1.0062498022033726,1.0060500068600382,1200.0,7200.0,2952.0,4653,modern,base,celestia,2024-07-14 00:00:00.000 UTC,,,,4.3047279464760005e-05,0.13772319890151583,0.0026129420216188795,0.0015644970674697596,0.00104844495414912,2596920,1554780.0,1042140.0,0.0015214497880050002,4.867669896723136,8.35890395167922,5.005393095624651,3.353510856054569,Gold,72.0,84,72.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,40.71362192472418,1.1199566961788536,1.159138294233794,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-04-22 00:00:00.000 UTC,,,,3.192060963773599e-05,0.10202517255890438,0.0023686938404272337,0.001160848555069736,0.001207845285357498,2078532,1036512.0,1042020.0,0.0011289279454319999,3.6083033465511107,7.567975595362849,3.7103285191100155,3.857647076252834,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.65647254827052,1.0076128807900886,1.0071912402354288,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-06-05 00:00:00.000 UTC,,,,2.9305514700899995e-05,0.1119761249433952,0.002115628310918256,0.0010661390673578999,0.001049489243560356,2100080,1058084.0,1041996.0,0.001036833552657,3.9617283078996746,8.08389974635326,4.073704432843071,4.01019531351019,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,43.108988015107144,1.1863329176622208,1.2282556944707528,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-04-24 00:00:00.000 UTC,,,,3.382561619291601e-05,0.10887006129219097,0.0025094411054893285,0.0012296625411469164,0.0012797785643424119,2078472,1036524.0,1041948.0,0.0011958369249540004,3.8488677069122623,8.0836378279003,3.9577377682044537,4.125900059695846,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.4506990698673228,1.005831278568099,1.0082370715,1464.406779661017,43200.0,32164.0,42026,modern,base,eigenda base,2024-08-23 00:00:00.000 UTC,,,,0.0005126940382374921,1.3767521834863223,0.001934019831762326,0.0017589132501324922,0.000175106581629834,1922392,1748716.0,173676.0,0.0012462192118949998,3.3459203999456957,5.188949119822796,4.722672583432019,0.466276536390777,Donatuz,59.0,61,59.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.4540854560985785,1.0035271783347401,1.0036899713339782,1489.655172413793,43200.0,31464.0,42026,modern,base,eigenda base,2024-09-22 00:00:00.000 UTC,,,,0.000500527358499376,1.293871530173968,0.001897152250636432,0.001722823346895376,0.000174328903741056,1890456,1716768.0,173688.0,0.001222295988396,3.159659133340679,4.904274014728449,4.453530663514647,0.4507433512138008,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.54343513936386,1.004868520933629,1.0052087458619479,1234.2857142857142,7200.0,2870.0,4653,modern,base,celestia,2024-08-13 00:00:00.000 UTC,,,,4.1766246158520006e-05,0.11174812975604498,0.00256647926088414,0.00151892308097652,0.0010475561799076199,2553692,1511564.0,1042128.0,0.001477156834818,3.95213144675119,6.8708316714796105,4.063879576507235,2.806952094972376,Gold,70.0,82,70.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.53587425468656,1.00650485920333,1.006245999411185,1329.2307692307693,7200.0,2665.0,4653,modern,base,celestia,2024-09-27 00:00:00.000 UTC,,,,3.891961509722002e-05,0.10386978528059765,0.0024616289928144864,0.0014127986627082202,0.001048830330106266,2445988,1403668.0,1042320.0,0.001373879047611,3.6666351684951506,6.565242174092873,3.7705049537757476,2.794737220317125,Gold,65.0,77,65.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.4577372060600102,1.0057728503634094,1.0087389860171736,1800.0,43200.0,26133.0,42026,modern,base,eigenda base,2024-07-02 00:00:00.000 UTC,,,,0.000415846824429572,1.4290431977760976,0.0016048233134095934,0.0014296658758775715,0.000175157437532022,1595100,1421460.0,173640.0,0.001013819051448,3.4839542812098405,5.514341781616821,4.912997478985939,0.6013443026308818,Donatuz,48.0,50,48.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.36592427769585,1.0025748278872382,1.002565899257876,1167.5675675675675,7200.0,3034.0,4653,modern,base,celestia,2024-09-02 00:00:00.000 UTC,,,,4.4169480689168005e-05,0.11014611059516112,0.0026469967761975615,0.0016021707191541676,0.0010448260570433939,2640208,1598056.0,1042152.0,0.0015580012384650002,3.8851976956908523,6.597208156169804,3.9953438062860154,2.6018643498837886,Gold,74.0,86,74.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.458106832432116,1.0083414212096076,1.0136625664999999,2160.0,43200.0,21833.0,42026,modern,base,eigenda base,2024-06-28 00:00:00.000 UTC,,,,0.00034862123329207996,1.1944410253812485,0.0013716796166845342,0.0011956307567850802,0.000176048859899454,1359416,1185740.0,173676.0,0.000847009523493,2.9019778299711585,4.702925345699458,4.096418855352407,0.6065064903470512,Donatuz,40.0,42,40.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.444860267089699,1.0037193522315238,1.0049556844999998,1489.655172413793,43200.0,31585.0,42026,modern,base,eigenda base,2024-08-19 00:00:00.000 UTC,,,,0.000502653033923316,1.3130694169100852,0.0018997415803809659,0.001725180777983316,0.00017456080239765,1892488,1718788.0,173700.0,0.00122252774406,3.1936525341271484,4.961773782028303,4.506721951037235,0.4550518309910682,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.34769583531853,1.0019613771800948,1.0019388828124172,1289.55223880597,7200.0,2747.0,4653,modern,base,celestia,2024-08-10 00:00:00.000 UTC,,,,3.9962177777843995e-05,0.10448078650970917,0.0024939065191271646,0.0014497218852598445,0.00104418463386732,2489048,1446884.0,1042164.0,0.001409759707482,3.685805099195263,6.519757072141253,3.790285885704971,2.729471186436282,Gold,67.0,79,67.0,12.0,base,base,,2024-10-07 02:35:37.299792
