alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_secs_between_l1_txs_inbox,avg_secs_between_l1_txs_output,calldata_bytes_l1_inbox,chain_id,chain_version,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,share_elapsed,last_updated
OP Chain,5.4e-09,Infinity,7.9509665946,4.84062674075,17280.0,21600.0,0.0,1135,modern,ethereum,ethereum,2024-07-24 00:00:00.000 UTC,3.5389440000000006e-12,655360.0,1.221724995584e-08,0.0,0.0,0.002639340332388729,0.000834851495971944,0.001804488836416785,477780,105000.0,372780.0,0.000834851492433,2.867307110947876,9.076251006646846,2.8673071231651264,6.2089438834817186,Lisk,5.0,9,5.0,4.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.01570680628272e-09,Infinity,6.071179795507856,2.9028801539497846,452.35602094240835,3600.0,0.0,10,modern,ethereum,ethereum,2024-06-29 00:00:00.000 UTC,1.271398399999999e-10,125173760.0,4.307772112896001e-07,0.0,0.0,0.05367708268183889,0.024351502286921834,0.029325580394917058,14113236,4011000.0,10102236.0,0.024351502159781997,82.51006304142065,181.89521343012893,82.51006347219786,99.38514995793106,OP Mainnet,955.0,215,191.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,242.75621003522173,6.683872095053683,6.6813026468427985,1289.55223880597,3600.0,2747.0,291,modern,ethereum,celestia,2024-06-26 00:00:00.000 UTC,,,,0.000266292597444092,0.8990534275849098,0.02359649294980764,0.009670466766519087,0.013926026183288554,3531164,1446836.0,2084328.0,0.009404174169075,31.750388222275703,79.68616349646175,32.64944164986063,47.03672184660112,Orderly,67.0,91,67.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1e-09,Infinity,10.64022842925,10.964616173977822,10800.0,43200.0,0.0,185,modern,ethereum,ethereum,2024-06-14 00:00:00.000 UTC,1.048576e-12,1048576.0,3.6569625395200002e-09,0.0,0.0,0.003691980631188436,0.0017875583771625758,0.00190442225402586,341688,168000.0,173688.0,0.001787558376114,6.227988367212197,12.848188303520967,6.227988370869161,6.620199932651806,Mint,8.0,10,8.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1e-09,Infinity,22.321403211666667,12.731059768000001,3600.0,86400.0,0.0,624,modern,ethereum,ethereum,2024-09-25 00:00:00.000 UTC,3.145728000000001e-12,3145728.0,8.22541418496e-09,0.0,0.0,0.01243645833690449,0.01124998722182573,0.00118647111507876,597195,504000.0,93195.0,0.011249987218680002,29.37656722480958,32.51309854343491,29.376567233035,3.136531310399908,Binary,24.0,25,24.0,1.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,170.2740892038945,4.6838595193624775,4.932115101603081,3600.0,6171.428571428572,984.0,2999,modern,ethereum,ethereum,2024-09-12 00:00:00.000 UTC,,,,6.679231911572001e-05,0.1571212689757288,0.008424278680343468,0.00242743829906672,0.005996840381276748,1734132,518256.0,1215876.0,0.002360645979951,5.553121325576548,19.789943877807826,5.710242594552275,14.07970128325555,Aevo,24.0,38,24.0,14.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.6058091286307066e-09,Infinity,6.966725447031252,6.2348450118501715,540.0,3200.0,0.0,255,modern,ethereum,ethereum,2024-07-22 00:00:00.000 UTC,5.072486400000002e-11,31588352.0,1.7687670816768002e-07,0.0,0.0,0.05907737177484398,0.023408197552749865,0.03566917422209411,9080940,3360000.0,5720940.0,0.023408197502025,81.61555205669806,205.8491225887028,81.61555223357479,124.23357035512804,Kroma,241.0,187,160.0,27.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,209.1872421314807,5.757243510184648,4.962103976560072,505.2631578947368,1200.0,7011.0,169,modern,ethereum,celestia,2024-08-04 00:00:00.000 UTC,,,,0.000585396188148116,1.6211402834330784,0.05228707717930173,0.021259358588526112,0.03102771859077562,9945564,3692628.0,6252936.0,0.020673962400378006,57.25334189978725,144.88277580779402,58.87448218322032,86.00829362457368,Manta Pacific,171.0,243,171.0,72.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,436.21699089562105,12.038608079727272,10.159230292314135,7854.545454545455,3456.0,451.0,957,modern,ethereum,celestia,2024-06-14 00:00:00.000 UTC,,,,7.8925114570692e-05,0.27336760415240247,0.024917462799357217,0.002859843580987692,0.022057619218369524,2408746,237556.0,2171190.0,0.0027809184664169995,9.632080012081298,86.4911638066993,9.9054476162337,76.5857161904656,Derive,11.0,36,11.0,25.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,9.999999999999999e-10,Infinity,4.083199333117647,3.0094775695,5082.35294117647,43200.0,0.0,185,modern,ethereum,ethereum,2024-08-27 00:00:00.000 UTC,2.3592960000000004e-12,2359296.0,6.1888226918399995e-09,0.0,0.0,0.001980376190642778,0.0014577021642822958,0.000522674026360482,530676,357000.0,173676.0,0.0014577021619229997,3.7757097140761613,5.144830690403631,3.7757097202649836,1.369120970138647,Mint,18.0,19,17.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.0129870129870135e-09,Infinity,2.6574996870649357,2.55890594481176,1122.077922077922,3600.0,0.0,6805,modern,ethereum,ethereum,2024-07-28 00:00:00.000 UTC,1.0223615999999996e-11,10092544.0,3.327185649664e-08,0.0,0.0,0.010020385097878483,0.004297177004207615,0.005723208093670867,3853584,1617000.0,2236584.0,0.004297176993983999,13.988734601457882,32.6167322037518,13.98873463472974,18.627997569022064,Race,77.0,101,77.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.0000000000000009e-09,Infinity,3.6827435001420596,2.6459251150000003,240.66852367688023,43200.0,0.0,1750,modern,ethereum,ethereum,2024-09-14 00:00:00.000 UTC,4.7054848e-11,47054848.0,1.1390966038528002e-07,0.0,0.0,0.028257377276810675,0.027764203294625825,0.00049317398218485,7725390,7539000.0,186390.0,0.02776420324757099,67.20232033828611,68.39062548092609,67.20232045219578,1.188305028730309,Metal,359.0,361,359.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,6.7021276595744696e-09,Infinity,10.647745520531917,8.593578927932214,1838.2978723404256,3600.0,0.0,34443,modern,ethereum,ethereum,2024-07-03 00:00:00.000 UTC,8.257536000000002e-11,12320768.0,2.7393744175104004e-07,0.0,0.0,0.029730204781973517,0.010509324911340361,0.019220879870633156,3223656,987000.0,2236656.0,0.010509324828765,34.83971397508215,98.62068800470539,34.839714249019586,63.78097375568579,Mode,94.0,71,47.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,473.5387980922199,13.02846518613846,13.193178518945983,169.41176470588235,3456.0,20910.0,291,modern,ethereum,celestia,2024-04-18 00:00:00.000 UTC,,,,0.003948498296766676,11.95295227186074,0.17212722604535072,0.14348248709494263,0.028644738950408095,13184178,11013000.0,2171178.0,0.13953398879817605,422.39763863558164,521.1211004553583,434.3505909074422,86.77050954791605,Orderly,510.0,535,510.0,25.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,86.63182539325892,2.1404692216800005,2.2276205507406224,3456.0,3600.0,850.0,2702128,modern,ethereum,altda,2024-08-18 00:00:00.000 UTC,,,,2.8468240648343998e-05,0.07528365710265791,0.006134501795334616,0.001152214582030344,0.004982287213304272,2774896,538300.0,2236596.0,0.001123746341382,2.9717233066838635,16.21711065847785,3.0470069637865222,13.17010369469133,Xterio,25.0,49,25.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,1.0000000000000003e-09,Infinity,2.8342121073571427,2.714807923003011,6171.428571428572,3756.521739130435,0.0,56026,modern,ethereum,ethereum,2024-08-29 00:00:00.000 UTC,1.8350080000000007e-12,1835008.0,4.67696484352e-09,0.0,0.0,0.006652115222980432,0.0008332583613980081,0.005818856861582424,2437377,294000.0,2143377.0,0.0008332583595630001,2.1294705931898577,17.011944865777153,2.1294705978668227,14.882474267910329,Lambda Chain,14.0,37,14.0,23.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,230.76330913477705,6.358167280860954,7.043518744130355,7200.0,3756.521739130435,492.0,424,modern,ethereum,ethereum,2024-09-16 00:00:00.000 UTC,,,,4.5435824696308e-05,0.10426852911251563,0.01571912678099849,0.0016476554691623082,0.014071471311836184,2256930,259140.0,1997790.0,0.0016022196444659999,3.6768527500601156,36.06886598150714,3.781121279172632,32.28774470233451,Public Goods Network,12.0,35,12.0,23.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,330.95446490130604,9.036035006922857,9.121791722896251,2618.181818181818,3756.521739130435,1221.0,252,modern,ethereum,fraxtalda,2024-07-16 00:00:00.000 UTC,,,,0.000175720342101204,0.60428643718223,0.025989398713399753,0.006437741212752203,0.01955165750064755,2855853,712452.0,2143401.0,0.006262020870651,21.534325225108315,89.34360912421214,22.138611662290547,67.2049974619216,Fraxtal,33.0,56,33.0,23.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.8000000000000002e-09,Infinity,6.210117673599999,5.330982011593217,17280.0,17280.0,0.0,1135,modern,ethereum,ethereum,2024-07-01 00:00:00.000 UTC,1.1796480000000002e-12,655360.0,4.09081741312e-09,0.0,0.0,0.003136102727975658,0.000652062356907648,0.00248404037106801,570963,105000.0,465963.0,0.000652062355728,2.266940749089692,10.893584999943247,2.2669407531805095,8.626644246762737,Lisk,5.0,10,5.0,5.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,1.0000000000000003e-09,Infinity,4.674720179533333,4.743240416744771,5760.0,3456.0,0.0,56026,modern,ethereum,ethereum,2024-06-16 00:00:00.000 UTC,1.966080000000001e-12,1966080.0,7.036964700160001e-09,0.0,0.0,0.012523466448942304,0.00147253685851908,0.011050929590423223,2644827,315000.0,2329827.0,0.0014725368565530002,5.272056784339719,44.89564669757983,5.272056791376685,39.623589906203144,Lambda Chain,15.0,40,15.0,25.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,304.4824247538704,8.385717806528726,8.390081625945934,4547.368421052632,3456.0,779.0,424,modern,ethereum,ethereum,2024-04-21 00:00:00.000 UTC,,,,9.4796444310736e-05,0.29976705456810293,0.02165691997949726,0.0034406600160187353,0.018216259963478525,2581466,410300.0,2171166.0,0.003345863571708,10.580347598588979,68.47143349364599,10.880114653157085,57.59131884048891,Public Goods Network,19.0,44,19.0,25.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,1.3061224489795923e-09,Infinity,11.476760731428572,8.541529300279548,1763.265306122449,3600.0,0.0,328527,modern,ethereum,ethereum,2024-07-15 00:00:00.000 UTC,8.388608000000002e-12,6422528.0,2.8161884815359997e-08,0.0,0.0,0.03091333207121344,0.01180958680102861,0.019103745270184828,3265572,1029000.0,2236572.0,0.01180958679264,39.91955163989926,104.4425351818771,39.919551668061125,64.52298351381599,Nal,49.0,73,49.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.1355932203389835e-09,Infinity,8.986658338114285,6.283087484444379,2468.5714285714284,43200.0,0.0,8008,modern,ethereum,ethereum,2024-09-04 00:00:00.000 UTC,8.781824e-12,7733248.0,2.121539780608e-08,0.0,0.0,0.007696415389244185,0.006605193887295823,0.001091221501948362,908676,735000.0,173676.0,0.006605193878514,16.035667489128848,18.723261152929453,16.03566751034424,2.6875936425852136,Polynomial Chain,59.0,37,35.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,1.2197580645161294e-09,Infinity,5.506374449151208,4.5136619124782404,174.19354838709677,800.0,0.0,48900,modern,ethereum,ethereum,2024-08-07 00:00:00.000 UTC,7.929856000000023e-11,65011712.0,1.9445720285183996e-07,0.0,0.0,0.20895266465693682,0.057354396341657565,0.15159826831527926,44002536,10416000.0,33586536.0,0.057354396262358984,138.84002960137877,504.8964853647646,138.8400297958359,366.0564555689287,Zircuit,496.0,604,496.0,108.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,279.27948539457503,7.694917680239508,6.701697746304731,3600.0,5760.0,984.0,2999,modern,ethereum,ethereum,2024-07-10 00:00:00.000 UTC,,,,0.00010991674934753198,0.3414444801017364,0.012718517413194153,0.003988121935314531,0.008730395477879621,1820994,518280.0,1302714.0,0.003878205185967,12.047253705415674,39.4436003357479,12.388698185517411,27.054902150230493,Aevo,24.0,39,24.0,15.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Stack fork,,331.758733611331,9.096036667743054,8.229261348390198,7200.0,3600.0,492.0,424,modern,ethereum,ethereum,2024-06-19 00:00:00.000 UTC,,,,6.4838392945896e-05,0.2298160363362412,0.019509200581390156,0.0023568194847588962,0.01715238109663126,2343420,259104.0,2084316.0,0.002291981091813,8.123654513132632,69.17373002385003,8.353470549468872,60.82025947438116,Public Goods Network,12.0,36,12.0,24.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,,605.139900509837,14.91432373936148,15.494425686175065,1393.5483870967741,3456.0,2108.0,7560,modern,ethereum,eigenda,2024-05-27 00:00:00.000 UTC,,,,0.0004907562986286399,1.9206733423754883,0.056008090206601364,0.01990913075967364,0.036098959446927724,3664703,1334900.0,2329803.0,0.019418374461045,75.99775675399867,219.3135583476681,77.91843009637417,141.39512825129395,Cyber,62.0,87,62.0,25.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,1.0230769230769221e-09,Infinity,22.005210347769236,24.52376917420334,664.6153846153846,43200.0,0.0,1750,modern,ethereum,ethereum,2024-06-07 00:00:00.000 UTC,1.7432576000000002e-11,17039360.0,6.483396395008e-08,0.0,0.0,0.06464462103276215,0.06007422426684257,0.0045703967659195795,2916366,2730000.0,186366.0,0.06007422424941001,222.97636824318602,239.92075377510167,222.97636830801983,16.944385467081858,Metal,130.0,132,130.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
OP Chain,9.999999999999999e-10,Infinity,4.894829274037036,4.5770663585,1066.6666666666667,43200.0,0.0,185,modern,ethereum,ethereum,2024-09-11 00:00:00.000 UTC,2.1233664000000006e-11,21233664.0,4.959593299968e-08,0.0,0.0,0.009121141042842115,0.008326104616370664,0.00079503642647145,1874700,1701000.0,173700.0,0.008326104595136998,19.433330502932726,21.27296169712012,19.433330552528663,1.8396311445914577,Mint,162.0,83,81.0,2.0,ethereum,ethereum,,2024-10-05 13:49:40.950167
