active_secs_per_day,avg_blob_gas_price_on_l2,avg_l1_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,blockchain,calldata_bytes_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_gas_l2_per_day,calldata_gas_user_txs_l2_per_day,chain_id,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,dt,equivalent_l1_tx_fee,l1_contrib_l2_eth_fees_per_day,l1_contrib_l2_usd_fees_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_usd_fees_per_day,l2_data_source,l2_gas_eth_fees_base_fee,l2_gas_eth_fees_priority_fee,l2_gas_usd_fees_base_fee,l2_gas_usd_fees_priority_fee,l2_gas_used,l2_gas_used_user_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_success_txs_per_day,l2_num_txs_per_day,l2_num_user_deposit_txs_per_day,median_l2_eth_fees_per_tx,num_blocks,num_users_per_day,last_updated
86093,,,,0.015000000000000001,,optimism_legacy_ovm1,6725575,6431947,45663640,43758124,10,5695425.5,5528526.75,2021-09-27 00:00:00.000 UTC,,30.93826589985001,,,,,,dune,,,,,,,0,40559,42942,703,0.0006479810058913429,43645,4199,2024-07-23 19:02:08.958684
86096,,,,0.014999999999999996,,optimism_legacy_ovm1,2861232,2712288,19121400,18145320,10,2737599.5,2652930.5,2021-11-05 00:00:00.000 UTC,,29.56127065942503,,,,,,dune,,,,,,,0,21251,22743,348,0.0012811497208846936,23091,1697,2024-07-23 19:02:08.958684
86224,,,,0.015,,optimism_legacy_ovm1,3009856,2915924,18907636,18293876,10,3347935.25,3291963.25,2021-08-26 00:00:00.000 UTC,,32.480601293460026,,,,,,dune,,,,,,,0,30648,32227,217,0.0008922941727461036,32486,1349,2024-07-23 19:02:08.958684
86175,,,,0.014999999999999987,,optimism_legacy_ovm1,10734192,9300756,72876168,63553296,10,7526292.5,6711393.0,2021-10-09 00:00:00.000 UTC,,28.156602018705012,,,,,,dune,,,,,,,0,42096,43825,3415,0.0005616633236747172,47240,6795,2024-07-23 19:02:08.958684
86312,,,,0.015000000000000001,,optimism_legacy_ovm1,5768268,5439812,39145236,37023368,10,4879889.25,4693824.5,2021-10-23 00:00:00.000 UTC,,19.53905345023501,,,,,,dune,,,,,,,0,34676,36488,786,0.000508335288384166,37274,4667,2024-07-23 19:02:08.958684
86011,,,,0.015000000000000025,,optimism_legacy_ovm1,123300,92988,738576,533064,10,127829.0,109408.5,2021-07-12 00:00:00.000 UTC,,0.2912828329349998,,,,,,dune,,,,,,,0,1108,1138,82,0.00019574215037079088,1220,579,2024-07-23 19:02:08.958684
85943,,,,0.014999999999999996,,optimism_legacy_ovm1,2271966,2191270,14229780,13703092,10,2505041.25,2457571.25,2021-08-27 00:00:00.000 UTC,,29.782184862179985,,,,,,dune,,,,,,,0,22449,23977,186,0.0009453179093474299,24191,935,2024-07-23 19:02:08.958684
85813,,,,0.014999999999999987,,optimism_legacy_ovm1,486377,14144,4197104,75404,10,729275.0,12328.75,2021-07-06 00:00:00.000 UTC,,0.06111902767500003,,,,,,dune,,,,,,,0,112,112,39,0.0005526588733333333,6867,46,2024-07-23 19:02:08.958684
86043,,,,0.015000000000000003,,optimism_legacy_ovm1,2112780,1844060,14007072,12283748,10,1343486.0,1191986.25,2021-07-25 00:00:00.000 UTC,,1.401516100545,,,,,,dune,,,,,,,0,6915,7029,644,0.00018550752980505948,7673,1680,2024-07-23 19:02:08.958684
85849,,,,0.014999999999999996,,optimism_legacy_ovm1,6619476,5918376,44217792,39698784,10,5970288.0,5573950.0,2021-09-22 00:00:00.000 UTC,,36.915197026320044,,,,,,dune,,,,,,,0,45779,47915,1675,0.0006787342788538053,49590,4698,2024-07-23 19:02:08.958684
86180,,,,0.014999999999999987,,optimism_legacy_ovm1,13471772,11721664,92282840,80945488,10,9713513.5,8720485.0,2021-10-10 00:00:00.000 UTC,,34.662095546985014,,,,,,dune,,,,,,,0,56357,58132,4181,0.00048060007986240865,62315,8296,2024-07-23 19:02:08.958684
64434,,,,0.014999999999999998,,optimism_legacy_ovm1,2728680,2558268,18140256,17032956,10,2675734.0,2578579.75,2021-11-11 00:00:00.000 UTC,,32.409767793704994,,,,,,dune,,,,,,,0,21809,22940,411,0.001453530009612376,23351,1893,2024-07-23 19:02:08.958684
86292,,,,0.014999999999999998,,optimism_legacy_ovm1,6604576,5938328,46665004,42339428,10,5507090.75,5128894.25,2021-10-16 00:00:00.000 UTC,,26.393848283235013,,,,,,dune,,,,,,,0,38014,39602,1586,0.0005998692028416313,41188,5797,2024-07-23 19:02:08.958684
86095,,,,0.014999999999999998,,optimism_legacy_ovm1,2656340,2554692,16589228,15918720,10,2922058.75,2863016.0,2021-09-01 00:00:00.000 UTC,,40.86136892935501,,,,,,dune,,,,,,,0,27002,28873,225,0.0011837328576384252,29125,2316,2024-07-23 19:02:08.958684
86046,,,,0.015000000000000015,,optimism_legacy_ovm1,4747444,4436272,31721824,29709580,10,4112714.0,3936288.75,2021-10-22 00:00:00.000 UTC,,26.586338339909965,,,,,,dune,,,,,,,0,30275,31879,745,0.0007197244684000757,32624,3296,2024-07-23 19:02:08.958684
86162,,,,0.014999999999999996,,optimism_legacy_ovm1,3578588,3515548,21844940,21428944,10,4351256.75,4305129.0,2021-09-08 00:00:00.000 UTC,,70.87074793513504,,,,,,dune,,,,,,,0,41815,43892,143,0.0012158344374060483,44188,1585,2024-07-23 19:02:08.958684
86281,,,,0.014999999999999996,,optimism_legacy_ovm1,4629668,4404284,30555080,29087252,10,4392508.5,4264185.25,2021-11-10 00:00:00.000 UTC,,63.88141762228491,,,,,,dune,,,,,,,0,35167,36890,535,0.001659498516017363,37428,3238,2024-07-23 19:02:08.958684
85699,,,,,,optimism_legacy_ovm1,34692,0,219516,0,10,56219.75,0.0,2021-06-26 00:00:00.000 UTC,,0.0,,,,,,dune,,,,,,,0,0,0,29,,625,0,2024-07-23 19:02:08.958684
86048,,,,0.014999999999999984,,optimism_legacy_ovm1,199937,164125,1711004,1470664,10,357857.75,336240.5,2021-07-07 00:00:00.000 UTC,,1.3561156660499987,,,,,,dune,,,,,,,0,3567,3600,97,0.00035927345192762457,3697,1450,2024-07-23 19:02:08.958684
85898,,,,0.014999999999999993,,optimism_legacy_ovm1,109500,59968,667572,333004,10,104759.25,75212.75,2021-07-11 00:00:00.000 UTC,,0.10330433689500006,,,,,,dune,,,,,,,0,796,803,127,0.00012447466761530612,930,368,2024-07-23 19:02:08.958684
86307,,,,0.015000000000000001,,optimism_legacy_ovm1,6207544,5811348,42501700,39928956,10,5149644.25,4924043.75,2021-10-13 00:00:00.000 UTC,,31.413429454004987,,,,,,dune,,,,,,,0,36621,38266,953,0.0007757102884299121,39219,5032,2024-07-23 19:02:08.958684
86110,,,,0.015000000000000001,,optimism_legacy_ovm1,5596182,5027946,38205528,34518720,10,4469053.5,4146488.0,2021-10-19 00:00:00.000 UTC,,19.09622988669,,,,,,dune,,,,,,,0,29552,31086,1355,0.0005610431513469247,32441,4233,2024-07-23 19:02:08.958684
