dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_raw_transactions,sum_gas_used,tx_success,tx_success_desc,last_updated
2024-03-07 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,True,revdev,True,contract tx,37678,14622221447,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-31 00:00:00.000 UTC,base,False,no eth tfer,True,has event,False,not revdev,True,contract tx,19731,5208902328,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-26 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,True,revdev,True,contract tx,126088,199080832846,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-19 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,306988,70171777305,True,success,2024-05-16 00:33:20.268740+00:00
2023-10-28 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,408,50254155,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-14 00:00:00.000 UTC,zora,True,eth tfer,True,has event,True,revdev,True,contract tx,26858,5375630113,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-03 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,1094,84767445,True,success,2024-05-16 00:33:20.268740+00:00
2024-01-29 00:00:00.000 UTC,zora,True,eth tfer,True,has event,True,revdev,True,contract tx,23779,3282917431,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-06 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,52,25247274,True,success,2024-05-16 00:33:20.268740+00:00
2023-06-19 00:00:00.000 UTC,zora,True,eth tfer,True,has event,False,not revdev,True,contract tx,1,112125,True,success,2024-05-16 00:33:20.268740+00:00
2023-06-02 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,2862,323091237,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-15 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,1811,38031000,True,success,2024-05-16 00:33:20.268740+00:00
2023-07-05 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,5112,3018933015,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-08 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,84182,1767822000,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-16 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,2224,666615932,False,failed,2024-05-16 00:33:20.268740+00:00
2024-01-27 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,True,contract tx,492,45526788,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-02 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,True,contract tx,560,79093442,True,success,2024-05-16 00:33:20.268740+00:00
