,Name,Status,Alignment,Dune Database Name,Initial Chain Deployer,Block Explorer,Announcement Date,Mainnet Launch Date,Shutdown Date,L1 Standard Bridge Contract,L1 NFT Bridge Contract,"BatchInbox ""to address""","BatchInbox ""from address""",L2 Output Oracle Proxy,L2 Output Oracle Underlying Contract,"L2 Output Oracle ""from address""",Data Availability Layer
6,Orderly,['Launched'],['OP Chain'],,Conduit,,2023-11-09,2023-10-06T00:00:00.000Z,,0xe07eA0436100918F157DF35D01dCE5c11b16D1F1,0x934Ab59Ef14b638653b1C0FEf7aB9a72186393DC,0x08aA34cC843CeEBcC88A627F18430294aA9780be,0xf8dB8Aba597fF36cCD16fECfbb1B816B3236E9b8,0x5e76821C3c1AbB9fD6E310224804556C61D860e0,0x334251f91a3795c043663172CB59a963a9029aed,0x74BaD482a7f73C8286F50D8Aa03e53b7d24A5f3B,['ethereum']
7,Metis Andromeda,['Launched'],['Legacy Forks'],,MetisDAO,https://andromeda-explorer.metis.io/,2021-11-03,2021-11-19T00:00:00.000Z,,0x3980c9ed79d2c191A89E02Fa3529C60eD6e9c04b,0x5EA23Cb3D609F4522a21ADcC9Ca366e76C23c40f,0x6a1db7d799fba381f2a518ca859ed30cb8e1d41a,0xcdf02971871b7736874e20b8487c019d28090019,0xf209815e595cdf3ed0aaf9665b1772e608ab9380,,0x9cb01d516d930ef49591a05b09e0d33e6286689d,['alt-da']
11,Public Goods Network,['Launched'],['OP Chain'],,Conduit,explorer.publicgoods.network,2023-07-06,2023-07-25T00:00:00.000Z,,0xD0204B9527C1bA7bD765Fa5CCD9355d38338272b,0xaFF0F8aaB6Cc9108D34b3B8423C76d2AF434d115,0xC1B90E1e459aBBDcEc4DCF90dA45ba077d83BFc5,0x99526b0e49A95833E734EB556A6aBaFFAb0Ee167,0xA38d0c4E6319F9045F20318BA5f04CDe94208608,0x76983dfed43c7ae7ebb592a92be2be972cae4348,0x69968Ce0E92d9c101BAd81de55EFbcb69603cFe3,['ethereum']
21,OP Mainnet (OVM2),['Shut Down'],['Legacy OP Mainnet'],optimism,Optimism FND,https://optimistic.etherscan.io/,,2021-11-11T21:00:00.000Z,2023-06-06T16:00:00.000Z,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,0x5a7749f83b81b301cab5f48eb8516b986daef23d,0x5E4e65926BA27467555EB562121fac00D24E9dD2,0x6887246668a3b87F54DeB3b94Ba47a6f63F32985,0xBe5dAb4A2e9cd0F27300dB4aB94BeE3A233AEB19,0xBe5dAb4A2e9cd0F27300dB4aB94BeE3A233AEB19,0x473300df21D047806A082244b417f96b32f13A33,['ethereum']
35,Aevo,['Launched'],['OP Stack Fork'],,Conduit,https://explorer.aevo.xyz/,2022-09-28,2023-04-07T00:00:00.000Z,,0x4082C9647c098a6493fb499EaE63b5ce3259c574,0x2e7d7B188D663F38c2E4fF9C59328458A2D676F0,0x253887577420Cb7e7418cD4d50147743c8041b28,0x889e21d7BA3d6dD62e75d4980A4Ad1349c61599d,0x909E51211e959339EFb14b36f5A50955a8ae3770,0xb717df06e095bc7438721964dd43a2532963e885,0x75ACb7ae6C76B3f5cA049431FE2c0797dD002b90,['ethereum']
39,OP Mainnet,['Launched'],['OP Chain'],optimism,Optimism FND,https://optimistic.etherscan.io/,2023-05-15,2023-06-06T17:00:00.000Z,,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,0x5a7749f83b81b301cab5f48eb8516b986daef23d,0xff00000000000000000000000000000000000010,0x6887246668a3b87F54DeB3b94Ba47a6f63F32985,0xdfe97868233d1aa22e815a266982f2cf17685a27,0xd2e67b6a032f0a9b1f569e63ad6c38f7342c2e00,0x473300df21D047806A082244b417f96b32f13A33,['ethereum']
69,Mode,['Launched'],['OP Chain'],,Conduit,https://explorer.mode.network/,2023-08-07,2023-11-17T00:00:00.000Z,,0x735aDBbE72226BD52e818E7181953f42E3b0FF21,0x2901dA832a4D0297FF0691100A8E496626cc626D,0x24E59d9d3Bd73ccC28Dc54062AF7EF7bFF58Bd67,0x99199a22125034c808ff20f377d91187E8050F2E,0x4317ba146D4933D889518a3e5E11Fe7a53199b04,0x6093023a4A7E6873EDFb02B4bCE48c53FD310EEc,0x674F64D64Ddc198db83cd9047dF54BF89cCD0ddB,['ethereum']
71,Boba Network,['Launched'],['Legacy Forks'],,Boba Network,https://bobascan.com/,2021-09-20,2021-09-20T00:00:00.000Z,,0xdc1664458d2f0B6090bEa60A8793A4E66c2F1c00,0xB095a3A4f4e6b4Fd9825a4932Ad6522D4949c8fF,0xfbd2541e316948b259264c02f370ed088e04c3db,0xfa46908b587f9102e81ce6c43b7b41b52881c57f,0xdE7355C971A5B733fe2133753Abd7e5441d441Ec,,0x5558c63d5bf229450995adc160c023C9F4d4bE80,['ethereum']
72,Base,['Launched'],['OP Chain'],base,Coinbase,basescan.org,2023-02-23,2023-07-13T00:00:00.000Z,,0xfA6D8Ee5BE770F84FC001D098C4bD604Fe01284a,0x5E0c967457347D5175bF82E8CCCC6480FCD7e568,0xFf00000000000000000000000000000000008453,0x5050F69a9786F081509234F1a7F4684b5E5b76C9,0x56315b90c40730925ec5485cf004d835058518A0,0xf2460d3433475c8008ceffe8283f07eb1447e39a,0x642229f238fb9dE03374Be34B0eD8D9De80752c5,['ethereum']
73,OP Mainnet (OVM1),['Shut Down'],['Legacy OP Mainnet'],optimism_legacy,Optimism FND,https://optimistic.etherscan.io/,,2021-06-23T00:00:00.000Z,2021-11-11T18:00:00.000Z,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,,0x4BF681894abEc828B212C906082B444Ceb2f6cf6,0x6887246668a3b87F54DeB3b94Ba47a6f63F32985,0xE969C2724d2448F1d1A6189d3e2aA1F37d5998c1,0xE969C2724d2448F1d1A6189d3e2aA1F37d5998c1,0x473300df21D047806A082244b417f96b32f13A33,['ethereum']
