_from,_l1Token,_l2Token,_to,amount,amount_eth,amount_hex,block_hash,block_number,block_timestamp,data,is_unclaimed,message_nonce,relay_tx,symbol,target,tx_hash,last_updated
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,142345579233837330000,142.34557923383733,0x000000000000000000000000000000000000000000000007b77116224c182e50,0x2423bb0d0986eb26bca7fd5660a4fbba5639e5182c7e2ca4b964490805f837bc,125550407,2024-09-18 22:46:31.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea000000000000000000000000000000000000000000000007b77116224c18318c00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292640147,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x2a523f1b74b93f5d8c1bdc7e5a1d106e7b2c6b1e31c3449a370b05048fec5ada,2024-09-30 13:23:19.512345
0x420000000000000000000000000000000000001a,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,3374533014134529000000,3374.5330141345294,0x0000000000000000000000000000000000000000000000b6ef0d99502cd50240,0x32e316821288c55dbe507ac56e9b30351765012a5072f927ee9d83803582bd42,116999825,2024-03-05 00:27:07.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000b6ef0d99502cd51f8100000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292634400,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x7f10c777aa10550a35562c7960477fd70460e69a5aa9e10c022595eddc970bda,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,28634690477578810000,28.634690477578808,0x0000000000000000000000000000000000000000000000018d62db46b9587290,0x792bfaf973ba55fca869faf39d5e741e39ce8f89d99913adf0127fb5e118b992,123804601,2024-08-09 12:52:59.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000018d62db46b9586a0f00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292639113,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0xeed90d4a40f1a4dc1869aa620860d4ab02f9a340e57128a171b2935064e2bdcd,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,16072494805922654000,16.072494805922656,0x000000000000000000000000000000000000000000000000df0cf8dec954a730,0x3f8c87d79f6f119a9093fef9a0d5e630dcdc382225463777b303863ec0d216aa,125875919,2024-09-26 11:36:55.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea000000000000000000000000000000000000000000000000df0cf8dec954a5a100000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292640308,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0xbe85a07f9173c4f140552f552681ee05af64f536ddf75e42c9cb5258e0e57b0b,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,23739612274851350000,23.73961227485135,0x00000000000000000000000000000000000000000000000149740b960c0485f0,0xb54947ef212876bebba3386c5c79b09b30923c5ef7c81f240745c3e3731cd089,125661374,2024-09-21 12:25:25.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea00000000000000000000000000000000000000000000000149740b960c047bd300000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292640212,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x3b7697f6957a812a5e804ecf575be6dda4eb8b4f31095eb9fa5dee4cc3157fa5,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,10215719831679062000,10.215719831679062,0x0000000000000000000000000000000000000000000000008dc5870fcc24cff0,0xe2810bfe1379a2e814d5397eeabc57cd75f8f97d5b355ac0a1dce07b4da5e87a,124338127,2024-08-21 21:17:11.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000008dc5870fcc24cef500000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292639453,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x6b8ddac26916a9e5c2664a4718ddadb0cbb3d61beca865b60f49ea73dec0f0de,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,48091648799071110000,48.09164879907111,0x0000000000000000000000000000000000000000000000029b67dbc843798370,0x4bbceb570fcc0628ad86170372724bd329f57beeb07cf4cfcdf7aeab98b3d4c1,121866470,2024-06-25 16:08:37.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000029b67dbc843797fe800000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292638028,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0xd45b140c2240ec54153cce72e2176cd0d263a9fbf81620b09dcc9a19faa92c15,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,21596143584011403000,21.596143584011404,0x0000000000000000000000000000000000000000000000012bb4ea2b1b54bef8,0x1d2a4163a8672192b030e1a23f990801699abacf1de346de757d5d9e122fa7fa,124582899,2024-08-27 13:16:15.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000012bb4ea2b1b54c47300000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292639654,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x9df8cb6636d5d11fe51df3f62af339de1c0472b4e5922a560ab45760cd4fb137,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,20604146413568800000,20.6041464135688,0x0000000000000000000000000000000000000000000000011df0a1ff68e83500,0xebff7ea063bbdf97b2c35f9a008635570c6ac4c46fa53d80b3a157fd692bb73b,121543490,2024-06-18 04:42:37.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000011df0a1ff68e82e0800000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292637773,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0x95e3284aac6620bbc2eec5325f2a38ffba21e1b207f989f2f3d4f6e1878f44b7,2024-09-30 13:23:19.512345
0x4200000000000000000000000000000000000011,0x0000000000000000000000000000000000000000,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xa3d596eafab6b13ab18d40fae1a962700c84adea,79370393011833770000,79.37039301183377,0x0000000000000000000000000000000000000000000000044d7c47ec017f9010,0xf418f503ec0147d53b7eae4e7cd7b83ee7f37f39c6f0a4d2c9ca357c28a9e3ac,122565104,2024-07-11 20:16:25.000 UTC,0x000000000000000000000000a3d596eafab6b13ab18d40fae1a962700c84adea0000000000000000000000000000000000000000000000044d7c47ec017f77b600000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,1,1766847064778384329583297500742918515827483896875618958121606201292638454,,ETH,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0xd890e305032cfd7240d7d3efaafec25a3fd72693a967936ad20a7722c9a2a774,2024-09-30 13:23:19.512345
