,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_incoming_clawback,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
0,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Perpetual%20Protocol"" target=""_blank"">Perpetual Protocol</a>",Perpetual Protocol,Governance - Phase 0,9000000.0,5001210,10908005,0,0,9000000,|,|,|,1.0,1.0,0.55569,0.4584898888476857,1.2120005555555555,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-perpetual-protocol/201/13"" target=""_blank"">Link</a>",9000000,2023-02-14 11:50:30.086732+00:00
1,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Synthetix"" target=""_blank"">Synthetix</a>",Synthetix,Governance - Phase 0,9000000.0,2607135,4745555,0,0,9000000,|,|,|,1.0,1.0,0.28968166666666667,0.5493846346739212,0.5272838888888889,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-synthetix/1381"" target=""_blank"">Link</a>",9000000,2023-02-14 11:50:30.086732+00:00
2,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Velodrome"" target=""_blank"">Velodrome</a>",Velodrome,"Partner Fund, Governance - Season 2",7000000.0,3924386,4554899,47272,0,7047271,|,|,|,1.0,1.006753,0.5568660549594304,0.861574757200983,0.6463351558355,Live Program,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xfeb1832a75e2ef47dea4b08509a16e4e9176e9d2a962c9466c5d345b37428384"" target=""_blank"">Link</a>",7000000,2023-02-14 11:50:30.086732+00:00
3,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Aave"" target=""_blank"">Aave</a>",Aave,"Partner Fund, Governance - Phase 0",5000000.0,4816019,4816019,0,0,5300000,|,|,|,0.9433962264150944,1.06,0.9086828301886792,1,0.9086828301886792,Between Programs,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712"" target=""_blank"">Link</a>",5300000,2023-02-14 11:50:30.086732+00:00
4,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Lyra"" target=""_blank"">Lyra</a>",Lyra,Governance - Phase 0,3000000.0,1097624,1353360,83570,0,3083570,|,|,|,1.0,1.0278566666666666,0.3559588399160713,0.8110362357391973,0.438893879496817,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-lyra-finance/202"" target=""_blank"">Link</a>",3000000,2023-02-14 11:50:30.086732+00:00
5,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Celer"" target=""_blank"">Celer</a>",Celer,Governance - Phase 0,1000000.0,139908,1000000,0,0,1000000,|,|,|,1.0,1.0,0.139908,0.139908,1,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-celer-network/1749"" target=""_blank"">Link</a>",1000000,2023-02-14 11:50:30.086732+00:00
6,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=PoolTogether"" target=""_blank"">PoolTogether</a>",PoolTogether,"Governance - Season 2, Partner Fund",1000000.0,641774,842487,0,0,1000000,|,|,|,1.0,1.0,0.641774,0.7617613090765792,0.842487,Live Program,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x0a184f7fd0042e9e33ee545d0316b4d382f302a75806394e67dee4249b7dbd04"" target=""_blank"">Link</a>",1000000,2023-02-14 11:50:30.086732+00:00
7,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Stargate%20Finance"" target=""_blank"">Stargate Finance</a>",Stargate Finance,Governance - Phase 0,1000000.0,279081,469724,0,0,1000000,|,|,|,1.0,1.0,0.279081,0.5941382599143327,0.469724,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-stargate-finance/721"" target=""_blank"">Link</a>",1000000,2023-02-14 11:50:30.086732+00:00
8,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Hop%20Protocol"" target=""_blank"">Hop Protocol</a>",Hop Protocol,Governance - Phase 0,1000000.0,59180,145419,0,0,1000000,|,|,|,1.0,1.0,0.05918,0.4069619513268555,0.145419,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-hop-protocol/944"" target=""_blank"">Link</a>",1000000,2023-02-14 11:50:30.086732+00:00
9,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Uniswap%20V3"" target=""_blank"">Uniswap V3</a>",Uniswap V3,Governance - Phase 0,1000000.0,25000,25000,0,0,1000000,|,|,|,1.0,1.0,0.025,1,0.025,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5"" target=""_blank"">Link</a>",1000000,2023-02-14 11:50:30.086732+00:00
