counterparty_label,counterparty_name,counterparty_type,max_block_time,min_block_time,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,project_name,last_updated
Deployed,1inch,Distributor,2022-09-05 11:36:07.000 UTC,2022-09-05 11:36:07.000 UTC,0.0,300000.0,0.0,0.0,0.0,1inch,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-09-27 14:36:35.000 UTC,2022-09-06 08:46:57.000 UTC,30460.074034902198,0.0,0.0,0.0,0.0,1inch,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2022-08-15 07:58:07.000 UTC,2022-08-15 07:58:07.000 UTC,0.0,0.0,0.0,0.0,300000.0,1inch,2023-10-02 12:10:16.035170+00:00
Other,Other,Aave - Liquidity Mining,2023-10-01 15:21:13.000 UTC,2022-08-04 16:35:22.000 UTC,4828546.983746951,4828546.983746951,0.0,0.0,0.0,Aave,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-06-08 17:28:55.000 UTC,2023-06-08 00:23:39.000 UTC,300000.0,300000.0,0.0,0.0,0.0,Aave,2023-10-02 12:10:16.035170+00:00
"RetroPGF,Project",Other,Aave - Liquidity Mining,2023-02-28 09:32:30.000 UTC,2022-10-27 15:19:25.000 UTC,0.0,579.0141903335189,0.0,579.0141903335189,0.0,Aave,2023-10-02 12:10:16.035170+00:00
Project,Other,Aave - Liquidity Mining,2022-11-30 01:24:55.000 UTC,2022-10-05 17:52:24.000 UTC,0.0,46.334668958636705,0.0,46.334668958636705,0.0,Aave,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2022-08-03 16:35:55.000 UTC,2022-08-03 16:35:55.000 UTC,0.0,0.0,0.0,0.0,300000.0,Aave,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-04-18 17:41:29.000 UTC,2023-04-18 17:41:29.000 UTC,1.0,1.0,0.0,0.0,0.0,Across Protocol,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-08-29 18:09:45.000 UTC,2023-08-29 18:09:45.000 UTC,0.0,0.0,0.0,0.0,15038.62,Across Protocol,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-04-18 17:41:29.000 UTC,2023-04-18 17:41:29.000 UTC,0.0,0.0,0.0,0.0,750000.0,Across Protocol,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2022-09-18 02:45:15.000 UTC,2022-07-10 01:39:08.000 UTC,879898.1449961005,879898.1449961005,0.0,0.0,0.0,Aelin,2023-10-02 12:10:16.035170+00:00
Project,Velodrome,"Season 2,Intermediate,Season 4",2022-08-17 03:55:38.000 UTC,2022-07-19 11:52:43.000 UTC,0.0,19827.0,0.0,19827.0,0.0,Aelin,2023-10-02 12:10:16.035170+00:00
Project,Sugma.eth,Season 4,2022-09-18 02:45:15.000 UTC,2022-09-18 02:45:15.000 UTC,0.0,275.8550038997169,0.0,275.8550038997169,0.0,Aelin,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2022-07-14 03:34:07.000 UTC,2022-07-14 03:34:07.000 UTC,0.0,0.0,0.0,0.0,900000.0,Aelin,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-07-11 21:41:57.000 UTC,2022-05-31 14:39:05.000 UTC,214493240.42103803,214493240.42103803,0.0,0.0,0.0,Airdrop #1 Distributor,2023-10-02 12:10:16.035170+00:00
Deployed,Thales,Distributor,2022-06-08 21:38:03.000 UTC,2022-06-01 11:40:13.000 UTC,0.0,6905.851248523099,0.0,0.0,0.0,Airdrop #1 Distributor,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-09-28 08:51:37.000 UTC,2023-01-20 12:49:04.000 UTC,101348.69494696512,97540.07549093635,0.0,0.0,0.0,Alchemix,2023-10-02 12:10:16.035170+00:00
Deployed,Alchemix,alETH/WETH: Velodrome,2023-06-10 16:48:33.000 UTC,2023-01-08 01:17:36.000 UTC,0.0,36500.0,0.0,0.0,0.0,Alchemix,2023-10-02 12:10:16.035170+00:00
Project,Velodrome,Intermediate Disperser,2023-07-29 15:18:21.000 UTC,2022-08-18 14:53:05.000 UTC,0.0,0.0,36297.9841814,0.0,0.0,Alchemix,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-01-08 01:17:36.000 UTC,2023-01-08 01:17:36.000 UTC,0.0,0.0,0.0,0.0,250000.0,Alchemix,2023-10-02 12:10:16.035170+00:00
Project,Alchemix,Season 2,2023-06-24 20:08:19.000 UTC,2023-01-13 05:11:28.000 UTC,0.0,-42308.359965308955,0.0,0.0,0.0,Alchemix,2023-10-02 12:10:16.035170+00:00
Deployed,Angle Protocol,USDC/agEUR: Uniswap,2023-09-25 13:35:19.000 UTC,2023-02-23 11:29:25.000 UTC,0.0,49400.0,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-10-02 11:14:03.000 UTC,2022-08-22 06:24:37.000 UTC,89528.06820714143,24546.907862865126,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Deployed,Angle Protocol,agEUR/MAI: Velodrome,2023-03-06 11:10:16.000 UTC,2022-09-12 07:32:40.000 UTC,0.0,14790.56,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Deployed,Angle Protocol,OP/agEUR: Velodrome,2023-06-21 13:03:17.000 UTC,2023-02-20 12:07:35.000 UTC,0.0,8700.0,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-09-18 18:11:23.000 UTC,2022-11-28 08:45:44.000 UTC,0.0,0.0,0.0,0.0,252565.046851222,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Project,Velodrome,Intermediate Disperser,2022-09-29 16:29:25.000 UTC,2022-07-28 19:09:57.000 UTC,0.0,0.0,17686.115516500002,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Project,Angle Protocol,Contract Deplopyer,2023-05-12 14:57:21.000 UTC,2023-02-24 14:12:39.000 UTC,0.0,-87.80453911238342,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Project,Angle Protocol,Intermediate,2023-06-26 12:49:03.000 UTC,2022-09-09 15:02:58.000 UTC,0.0,-17240.15869057943,0.0,0.0,0.0,Angle Protocol,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-09-30 05:38:41.000 UTC,2023-04-20 13:13:34.000 UTC,2452.75,2452.75,0.0,0.0,0.0,Another World,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-05-03 19:10:37.000 UTC,2023-05-03 19:10:37.000 UTC,0.0,0.0,0.0,0.0,20000.0,Another World,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-02-02 23:58:38.000 UTC,2023-02-02 23:58:38.000 UTC,0.0,0.0,0.0,0.0,3000.0,Another World,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-10-01 13:47:13.000 UTC,2022-10-25 13:01:54.000 UTC,393018.722806984,201980.40666666668,0.0,0.0,0.0,Arrakis Finance,2023-10-02 12:10:16.035170+00:00
Deployed,Arrakis Finance,Partner Fund,2023-02-03 20:24:52.000 UTC,2022-10-26 10:30:04.000 UTC,0.0,11806.653333333332,0.0,0.0,0.0,Arrakis Finance,2023-10-02 12:10:16.035170+00:00
Project,Uniswap,Phase 0,2023-05-01 18:34:16.000 UTC,2022-10-26 13:08:02.000 UTC,0.0,0.0,204166.66,0.0,0.0,Arrakis Finance,2023-10-02 12:10:16.035170+00:00
Project,Lido,Intermediate Wallet,2023-09-08 15:20:09.000 UTC,2023-09-08 15:20:09.000 UTC,0.0,0.0,9615.0,0.0,0.0,Arrakis Finance,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-05-04 08:12:21.000 UTC,2022-05-31 23:00:52.000 UTC,137915.88580008893,137915.88580008893,0.0,0.0,0.0,Atlantis World,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-05-04 07:20:39.000 UTC,2023-05-04 07:20:39.000 UTC,0.0,0.0,0.0,0.0,23655.999999999996,Atlantis World,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-02-09 20:13:51.000 UTC,2022-09-29 15:30:03.000 UTC,0.0,0.0,0.0,0.0,113703.95977424983,Atlantis World,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-04-20 21:42:24.000 UTC,2023-04-20 21:38:05.000 UTC,44342.3,44342.3,0.0,0.0,0.0,Attestation Station Interface,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-04-20 21:35:49.000 UTC,2023-04-20 21:35:49.000 UTC,0.0,0.0,0.0,0.0,44342.299999999996,Attestation Station Interface,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-09-04 14:00:57.000 UTC,2023-09-04 14:00:57.000 UTC,30000.0,30000.0,0.0,0.0,0.0,Aura Finance,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-09-04 14:00:57.000 UTC,2023-09-04 14:00:57.000 UTC,0.0,0.0,0.0,0.0,60000.0,Aura Finance,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-09-06 13:04:41.000 UTC,2022-10-20 17:08:57.000 UTC,85967.76999999999,85967.76999999999,0.0,0.0,0.0,Bankless Academy,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Sentry Wallet,OP Foundation Grants,2023-04-20 19:37:54.000 UTC,2023-04-20 19:37:54.000 UTC,0.0,0.0,0.0,0.0,58066.79,Bankless Academy,2023-10-02 12:10:16.035170+00:00
OP Foundation,OP Foundation Wallet,OP Foundation Grants,2023-09-18 18:09:41.000 UTC,2022-10-20 10:16:39.000 UTC,0.0,0.0,0.0,0.0,37540.18755945205,Bankless Academy,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-06-17 08:14:55.000 UTC,2023-06-17 08:14:55.000 UTC,1447.9399999999998,1447.9399999999998,0.0,0.0,0.0,Bankless DAO,2023-10-02 12:10:16.035170+00:00
Other,Other,Other,2023-10-02 04:53:19.000 UTC,2022-09-13 16:38:10.000 UTC,597500.8444007598,352150.68684755854,0.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
Deployed,Beefy Finance,BIFI/WETH: Velodrome,2023-06-20 14:13:11.000 UTC,2022-10-07 08:45:18.000 UTC,0.0,102175.0,0.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
Deployed,Beefy Finance,BIFI/OP: Velodrome,2023-06-20 14:12:37.000 UTC,2022-09-13 16:46:50.000 UTC,0.0,47700.0,0.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
Deployed,Beefy Finance,Beefy Launchpool,2022-12-19 12:31:28.000 UTC,2022-10-25 17:14:55.000 UTC,0.0,44999.0,0.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
Project,Lido,Intermediate Wallet,2023-09-11 15:02:31.000 UTC,2023-04-07 09:44:41.000 UTC,0.0,0.0,22000.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
Project,Stargate Finance,Phase 0,2023-03-15 17:32:54.000 UTC,2023-03-15 17:32:54.000 UTC,0.0,0.0,75000.0,0.0,0.0,Beefy Finance,2023-10-02 12:10:16.035170+00:00
