op_source,app_name,category,incentive_type,announce_date,start_date,end_date,num_op,_col8,txs_per_day,num_addr_per_day,gas_fee_eth_per_day,gas_fee_usd_per_day,l2_gas_used_per_day,l1_gas_used_per_day,_col15,txs_per_day_prev,num_addr_per_day_prev,gas_fee_eth_per_day_prev,gas_fee_usd_per_day_prev,l2_gas_used_per_day_prev,l1_gas_used_per_day_prev,_col22,txs_per_day_after,num_addr_per_day_after,gas_fee_eth_per_day_after,gas_fee_usd_per_day_after,l2_gas_used_per_day_after,l1_gas_used_per_day_after,_col29,incremental_txs_per_day,incremental_addr_per_day,incremental_gas_fee_eth_per_day,incremental_gas_fee_usd_per_day,incremental_l2_gas_used_per_day,incremental_l1_gas_used_per_day,_col36,incremental_txs_per_day_after,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day_after,incremental_l2_gas_used_per_day_after,incremental_l1_gas_used_per_day_after
Partner Fund,Velodrome,DEX (Decentralized Exchange),Token Staking / Locking,2022-07-13,2022-07-13,2022-11-17,3000000,|,6590.0546875,789.484375,16.345697207494105,26292.877297076582,2.1095916765109375e+10,1.04695872584375e+09,|,2114.8333333333335,204.58333333333334,8.65992382309247,13929.923673014588,4.672023518533334e+09,2.4269119666666666e+08,|,5079.586206896552,1220.6206896551723,31.31875708645239,50377.798310952676,4.596487762113793e+10,2.3130779726896553e+09,|,4475.221354166666,584.9010416666666,7.685773384401635,12362.953624061995,1.6423893246576042e+10,8.042675291770834e+08,|,2964.752873563218,1016.037356321839,22.65883326335992,36447.87463793809,4.12928541026046e+10,2.0703867760229886e+09
Phase 0,Perpetual Protocol,Perpetuals,Liquidity Providing / Deposits,2022-07-14,2022-07-18,,9000000,|,8587.913223140496,396.5723140495868,2.456561787261652,3951.5033727374343,1.9239216888607437e+10,1.1253720244628099e+08,|,12947.333333333334,121.31666666666666,6.664126476000086,10719.583111164751,3.24755615222e+10,1.712259218e+08,|,,,,,,,|,-4359.4201101928375,275.25564738292013,-4.207564688738434,-6768.079738427317,-1.3236344633592564e+10,-5.8688719353719026e+07,|,,,,,,
Phase 0,Thales,Options,"DEX Liquidity, Token Staking / Locking, Trades/Swaps",2022-07-15,2022-07-15,,900000,|,470.2484342379958,153.76826722338205,0.8326294676009892,1339.3264384908573,1.526466158407098e+09,3.7411268400835074e+07,|,126.25454545454545,54.8,0.5599863578764201,900.7662633644703,4.830185063818182e+08,1.4729955927272728e+07,|,,,,,,,|,343.99388878345036,98.96826722338206,0.27264310972456907,438.560175126387,1.0434476520252799e+09,2.2681312473562345e+07,|,,,,,,
Phase 0,Rubicon,DEX (Decentralized Exchange),Liquidity Providing / Deposits,2022-07-15,2022-07-15,2023-02-10,900000,|,2206.3364928909955,393.07109004739334,2.199993594131855,3538.8005106532396,9.174085092101896e+09,1.3692814594312796e+08,|,231.83333333333334,20.35,0.23255624373787456,374.07843199650057,1.33935702965e+09,7.251370266666667e+06,|,904.609756097561,539.9756097560976,3.8516153665894275,6195.517324451639,5.911641556585366e+09,1.1329375326829268e+08,|,1974.5031595576622,372.7210900473933,1.9674373503939804,3164.722078656739,7.834728062451897e+09,1.296767756764613e+08,|,672.7764227642276,519.6256097560976,3.619059122851553,5821.438892455139,4.572284526935366e+09,1.0604238300162601e+08
Phase 0,Layer2DAO,DAO,"DEX Liquidity, Other",2022-07-18,2022-07-20,,300000,|,33.0672268907563,29.61764705882353,0.25203817378777266,405.4160977937936,1.497706786932773e+08,1.4812943462184874e+07,|,11.2,10.766666666666667,0.055246767366590954,88.86720810929565,2.00113171e+07,2.131204533333333e+06,|,,,,,,,|,21.867226890756303,18.850980392156863,0.1967914064211817,316.54888968449796,1.297593615932773e+08,1.2681738928851541e+07,|,,,,,,
Partner Fund,PoolTogether,Yield Aggregator,Liquidity Providing / Deposits,2022-07-22,2022-07-26,2022-11-15,450000,|,750.6081081081081,645.722972972973,0.19821012870235705,318.83097593533563,7.404362823513514e+08,1.3889214162162162e+07,|,229.55555555555554,176.83333333333334,0.29004424992238786,466.5507856364298,2.348120798888889e+08,5.723978222222222e+06,|,4095.310344827586,3576.2413793103447,1.0636292341739306,1710.9011985672323,4.2130282160689654e+09,8.401046731034483e+07,|,521.0525525525526,468.88963963963965,-0.09183412122003082,-147.71980970109416,5.056242024624625e+08,8.16523593993994e+06,|,3865.7547892720304,3399.408045977011,0.7735849842515428,1244.3504129308026,3.9782161361800766e+09,7.82864890881226e+07
Phase 0,Stargate Finance,Cross-Chain / Bridging,Liquidity Providing / Deposits,2022-08-01,2022-08-05,,1000000,|,1350.7731707317073,605.3390243902439,3.643848666080504,5861.314121397375,2.4986764066756096e+09,2.121622152e+08,|,377.5689655172414,117.29310344827586,1.947673108769485,3132.9303004715666,9.378347475172414e+08,8.427763662068966e+07,|,,,,,,,|,973.2042052144659,488.04592094196806,1.6961755573110189,2728.3838209258083,1.560841659158368e+09,1.2788457857931033e+08,|,,,,,,
Phase 0,Lyra,Options,Liquidity Providing / Deposits,2022-08-02,2022-08-02,,3000000,|,265.19058295964123,110.75560538116592,0.75698172074506,1217.6432272680684,6.763869146390134e+08,4.170904766816144e+07,|,124.28333333333333,64.26666666666667,0.4246604743769427,683.0877633406892,3.552616487e+08,2.3712413333333332e+07,|,,,,,,,|,140.9072496263079,46.488938714499255,0.3323212463681173,534.5554639273792,3.211252659390134e+08,1.7996634334828105e+07,|,,,,,,
Phase 0,WePiggy,Lend/Borrow Market,Liquidity Providing / Deposits,2022-08-03,2022-08-03,,300000,|,45.95495495495496,19.36936936936937,0.1042675554870224,167.71961499626323,2.749963929234234e+08,7.285883981981982e+06,|,18.966666666666665,8.666666666666666,0.026721510105025034,42.982894976293636,1.058156839e+08,1.8314990666666667e+06,|,,,,,,,|,26.98828828828829,10.702702702702704,0.07754604538199737,124.7367200199696,1.691807090234234e+08,5.454384915315315e+06,|,,,,,,
Partner Fund,Aave,Lend/Borrow Market,Liquidity Providing / Deposits,2022-08-04,2022-08-04,2022-11-04,5000000,|,906.887573964497,519.2130177514792,2.441367114200196,3927.0619757567724,2.0249770492071006e+09,1.600182401893491e+08,|,206.44444444444446,104.97222222222223,0.32494459430947464,522.6897475263555,2.82574689e+08,1.8037382444444444e+07,|,1333.8301886792453,800.9622641509434,4.2104260171870145,6772.682329363223,4.1511821148679247e+09,3.112749803773585e+08,|,700.4431295200526,414.240795529257,2.1164225198907216,3404.372228230417,1.7424023602071006e+09,1.4198085774490467e+08,|,1127.3857442348008,695.9900419287212,3.8854814228775396,6249.992581836867,3.8686074258679247e+09,2.932375979329141e+08
Phase 0,Kwenta,Perpetuals,Trades/Swaps,2022-08-10,2022-08-16,,900000,|,1170.005115089514,281.0690537084399,1.3997914967360896,2251.635130516135,2.5077901507953963e+09,7.297068820460358e+07,|,397.5263157894737,99.45614035087719,0.05662028433908254,91.07657934410706,1.805811090877193e+08,2.5205721403508773e+06,|,,,,,,,|,772.4787993000402,181.61291335756272,1.343171212397007,2160.5585511720283,2.327209041707677e+09,7.04501160642527e+07,|,,,,,,
