_col15,_col22,_col29,_col36,_col8,announce_date,app_name,category,end_date,gas_fee_eth_per_day,gas_fee_eth_per_day_after,gas_fee_eth_per_day_prev,gas_fee_usd_per_day,gas_fee_usd_per_day_after,gas_fee_usd_per_day_prev,incentive_type,incremental_addr_per_day,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day,incremental_gas_fee_usd_per_day_after,incremental_l1_gas_used_per_day,incremental_l1_gas_used_per_day_after,incremental_l2_gas_used_per_day,incremental_l2_gas_used_per_day_after,incremental_txs_per_day,incremental_txs_per_day_after,l1_gas_used_per_day,l1_gas_used_per_day_after,l1_gas_used_per_day_prev,l2_gas_used_per_day,l2_gas_used_per_day_after,l2_gas_used_per_day_prev,num_addr_per_day,num_addr_per_day_after,num_addr_per_day_prev,num_op,op_source,start_date,txs_per_day,txs_per_day_after,txs_per_day_prev,last_updated
|,|,|,|,|,2022-07-13,Velodrome,['DEX (Decentralized Exchange)'],,55.85700480482153,,18.320198644944913,88668.310843665,,29081.778979087823,['Token Staking / Locking'],2411.672540381792,,37.53680615987662,,59586.531864577184,,2288944527.7380323,,43191479419.14963,,7157.146108663729,,2799203831.4713655,,510259303.73333335,52237678124.4163,,9046198705.266666,2820.8392070484583,,409.1666666666667,7000000,"['Season 2', 'Partner Fund']",2022-07-13,11386.812775330396,,4229.666666666667,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-07-14,Perpetual Protocol,['Perpetuals'],,6.006390699583901,,19.020641264382082,9534.64152723836,,30193.67289687818,['Liquidity Providing / Deposits'],322.132229580574,,-13.014250564798182,,-20659.03136963982,,-289339129.6573951,,-30442031915.566444,,-14669.829580573953,,211720293.94260487,,501059423.6,37060287687.63355,,67502319603.2,565.832229580574,,243.7,9000000,['Phase 0'],2022-07-18,14392.103752759382,,29061.933333333334,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-07-15,Thales,"[None, 'Options']",,,,,,,,"[None, 'Token Staking / Locking, Trades/Swaps, DEX Liquidity']",,,,,,,,,,,,,,,,,,,,,,1200000,"['Season 2', 'Phase 0']",2022-07-15,,,,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-07-15,Rubicon,['DEX (Decentralized Exchange)'],2023-02-10,6.987012874111153,10.995776781279757,0.6315008643747325,11091.29699229594,17454.87351169084,1002.4546632258481,['Liquidity Providing / Deposits'],745.4706161137441,723.0241379310345,6.355512009736421,10.364275916905024,10088.842329070092,16452.41884846499,419656123.70742494,300544744.8873563,23466676160.171566,13010001730.958622,3949.0347551342816,815.5747126436781,439957505.4407583,320846126.62068963,20301381.733333334,26296846855.971565,15840172426.758621,2830170695.8,786.1706161137441,763.7241379310345,40.7,900000,['Phase 0'],2022-07-15,4412.701421800948,1279.2413793103449,463.6666666666667,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-07-18,Layer2DAO,['DAO'],,0.3581249242034901,,0.11243802567594519,568.4932840759488,,178.48593647509944,"['DEX Liquidity, Other']",5.927906976744188,,0.24568689852754494,,390.0073476008494,,15092448.834108528,,155719920.5651163,,7.631782945736433,,19408507.76744186,,4316058.933333334,197362130.66511628,,41642210.1,18.527906976744188,,12.6,300000,['Phase 0'],2022-07-20,21.565116279069766,,13.933333333333334,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-07-22,PoolTogether,['Yield Aggregator'],2023-03-28,0.3627268980061696,0.13052411144983564,0.25874894149268823,575.7985315566583,207.19608090457797,410.7422453980392,"[None, 'Liquidity Providing / Deposits']",1569.7675555555556,237.36590038314176,0.10397795651348135,-0.1282248300428526,165.05628615861912,-203.54616449346122,17960180.231111113,-2095.0268199238926,918932521.656889,182457999.664751,1760.4257777777777,289.62260536398463,22526067.12,4563791.862068965,4565886.888888889,1060005527.268,323531005.2758621,141073005.6111111,1746.712,414.3103448275862,176.94444444444446,1000000,"['Season 2', 'Partner Fund']",2022-07-26,1990.148,519.3448275862069,229.72222222222223,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-01,Stargate Finance,['Cross-Chain / Bridging'],,33.99396676260606,,7.65816238893228,53962.571431252036,,12156.690563087575,['Liquidity Providing / Deposits'],7584.867816091954,,26.335804373673778,,41805.88086816446,,1080622648.0229886,,18659543480.27931,,12452.649425287356,,1412137638.5563219,,331514990.53333336,22148973584.445976,,3489430104.1666665,7812.634482758621,,227.76666666666668,1000000,['Phase 0'],2022-08-05,13183.68275862069,,731.0333333333333,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-02,Lyra Finance,['Options'],,2.9598929071664286,,1.7173230380789561,4698.581767383591,,2726.1063046872873,['Liquidity Providing / Deposits'],105.96436251920122,,1.2425698690874725,,1972.4754626963036,,56393306.774193555,,1240353204.819355,,391.34577572964673,,152886746.77419356,,96493440.0,2458057743.919355,,1217704539.1,234.49769585253455,,128.53333333333333,3000000,['Phase 0'],2022-08-02,639.9124423963134,,248.56666666666666,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-03,WePiggy,['Lend/Borrow Market'],2023-02-06,0.17332936409953362,0.19260915465518844,0.03902485943811991,275.14582974892386,305.75088041288916,61.94869165256182,['Liquidity Providing / Deposits'],11.22659574468085,7.372413793103448,0.1343045046614137,0.1535842952170685,213.19713809636204,243.80218876032734,10927953.49929078,5336052.698850575,275827195.0170213,114787264.98620689,29.536524822695036,11.078160919540231,13594801.765957447,8002900.9655172415,2666848.2666666666,415794282.61702126,254754352.58620688,139967087.6,20.02659574468085,16.17241379310345,8.8,300000,['Phase 0'],2022-08-03,48.8031914893617,30.344827586206897,19.266666666666666,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-04,Aave,['Lend/Borrow Market'],2022-11-04,9.02246747972308,15.80201996565851,0.748434771578701,14322.410481270543,25084.381505394704,1188.0774345927573,['Liquidity Providing / Deposits'],818.0118279569892,1340.0333333333333,8.274032708144379,15.053585194079808,13134.333046677786,23896.304070801947,550237013.1096774,1129426457.7563217,6244199830.448387,14041861858.865517,1400.7290322580645,2192.128735632184,592262756.0430107,1171452200.689655,42025742.93333333,6802710301.548388,14600372329.965517,558510471.1,943.9784946236559,1466.0,125.96666666666667,5000000,['Partner Fund'],2022-08-04,1648.4623655913979,2439.862068965517,247.73333333333332,2023-10-10 12:10:04.912777+00:00
