,agg_app_name,top_level_name,program_name,num_op_override,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,App Name Map Override,App Name Map,last_updated
1,Aave,Aave - Liquidity Mining,Aave V3 - Aave - Liquidity Mining,0.0,Post-Program,Partner Fund,2022-08-04,2022-11-04,345005629.57371163,78494834.74334937,341969369.3791454,77329625.72923894,4826177.807913179,5000000.0,0.0,604.6917578271443,0.0,341969369.3791454,77329625.72923894,0.22613026970700026,,,,aave,2023-06-03 00:34:01.806006
4,Aelin,Aelin,Aelin,0.0,Post-Program,Governance - Phase 0,2022-09-12,2022-09-14,-2827.651692170464,-2778.652091999165,-2826.6927108232862,-2777.706732996996,880174.0000000003,900001.0000000003,0.0,19827.0,900000.0,-2826.6927108232862,-2777.706732996996,0.0,,,,aelin,2023-06-03 00:34:01.806006
6,Alchemix,alETH/WETH: Velodrome,Alchemix - alETH/WETH: Velodrome,0.0,During Program,Governance - Season 1,2023-01-08,0,3425065.2092129216,3425065.2092129216,3294017.930168182,3294017.930168182,0.0,41536.1,0.0,0.0,0.0,,,,3294017.930168182,3294017.930168182,,alchemix,2023-06-03 00:34:01.806006
8,Angle,OP/agEUR: Velodrome,Angle - OP/agEUR: Velodrome,0.0,During Program,Governance - Season 1,2023-02-20,0,570377.3941646937,570377.3941646937,572889.6904878292,572889.6904878292,0.0,8101.8,0.0,0.0,0.0,,,,572889.6904878292,572889.6904878292,,angle,2023-06-03 00:34:01.806006
9,Angle,USDC/agEUR: Uniswap,Angle - USDC/agEUR: Uniswap,0.0,During Program,Governance - Season 1,2023-02-20,0,-10761.793762546207,-10761.793762546207,9086.148586095893,9086.148586095893,0.0,15200.0,0.0,0.0,0.0,,,,9086.148586095893,9086.148586095893,,angle,2023-06-03 00:34:01.806006
10,Angle,agEUR/MAI: Velodrome,Angle - agEUR/MAI: Velodrome,0.0,During Program,Governance - Season 1,2023-02-20,0,-3135265.1408918304,-3135265.1408918304,-3533335.1332952753,-3533335.1332952753,0.0,50356.56,0.0,0.0,0.0,,,0.0,-3533335.1332952753,-3533335.1332952753,,angle,2023-06-03 00:34:01.806006
13,Arrakis Finance,Uniswap LM - Phase 1*,Arrakis Finance - Uniswap LM - Phase 1*,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,-577946.1830700003,-309571.4866000004,-577946.1830700003,-309571.4866000004,0.0,16667.0,0.0,0.0,0.0,-577946.1830700003,-309571.4866000004,0.0,,,,arrakis finance,2023-06-03 00:34:01.806006
14,Arrakis Finance,Uniswap LM - Phase 2*,Arrakis Finance - Uniswap LM - Phase 2*,25000.0,Post-Program,Governance - Phase 0,2023-01-16,2023-02-08,5039974.56366,-1427338.1941300002,5039974.56366,-1427338.1941300002,0.0,25000.0,0.0,0.0,0.0,5039974.56366,-1427338.1941300002,0.0,,,,arrakis finance,2023-06-03 00:34:01.806006
15,Arrakis Finance,OP Uniswap LM - Phase 1*,Arrakis Finance - OP Uniswap LM - Phase 1*,67500.0,Post-Program,Partner Fund,2023-03-22,2023-04-26,33925117.85308,26878740.11301,33925117.85308,26878740.11301,0.0,67500.0,0.0,0.0,0.0,33925117.85308,26878740.11301,0.7922961455701982,,,,arrakis finance,2023-06-03 00:34:01.806006
16,Arrakis Finance,OP Uniswap LM - Phase 2*,Arrakis Finance - OP Uniswap LM - Phase 2*,67500.0,Post-Program,Partner Fund,2023-05-03,2023-05-31,39083040.96548,14877673.65172,39083040.96548,14877673.65172,0.0,67500.0,0.0,0.0,0.0,39083040.96548,14877673.65172,0.38066827156209954,,,,arrakis finance,2023-06-03 00:34:01.806006
17,Arrakis Finance,Uniswap LM - Phase 3*,Arrakis Finance - Uniswap LM - Phase 3*,162500.0,During Program,Governance - Phase 0,2023-05-03,2023-07-23,14877673.65172,14877673.65172,14877673.65172,14877673.65172,0.0,162500.0,0.0,0.0,0.0,,,,14877673.65172,14877673.65172,,arrakis finance,2023-06-03 00:34:01.806006
21,Beefy Finance,BIFI/OP: Velodrome,Beefy - BIFI/OP: Velodrome,0.0,During Program,Governance - Season 1,2022-09-13,0,538039.5891792645,538039.5891792645,717922.2947820822,717922.2947820822,0.0,67926.9,0.0,0.0,0.0,,,,717922.2947820822,717922.2947820822,,beefy finance,2023-06-03 00:34:01.806006
22,Beefy Finance,BIFI/WETH: Velodrome,Beefy - BIFI/WETH: Velodrome,0.0,During Program,Governance - Season 1,2022-09-13,0,1698485.571790644,1698485.571790644,1858020.3234625496,1858020.3234625496,0.0,126006.5,0.0,0.0,0.0,,,,1858020.3234625496,1858020.3234625496,,beefy finance,2023-06-03 00:34:01.806006
23,Beefy Finance,Beefy finance,Beefy,0.0,During Program,Governance - Season 1,2022-10-24,0,70191.47533668578,70191.47533668578,53406.13094609976,53406.13094609976,407496.5771285305,218086.67256944708,79000.0,0.0,650006.6725694471,,,,53406.13094609976,53406.13094609976,,beefy finance,2023-06-03 00:34:01.806006
24,Beethoven X,Beethoven x,Beethoven X,0.0,During Program,Governance - Season 1,2022-09-29,0,-7949973.485570118,-7949973.485570118,-8068676.696788996,-8068676.696788996,228311.38000000003,253092.96,58592.00000000004,4363.0,500000.0,,,0.0,-8068676.696788996,-8068676.696788996,,beethoven x,2023-06-03 00:34:01.806006
29,Celer,Celer,Cbridge - Celer,0.0,During Program,Governance - Phase 0,2022-08-13,0,440017.6829906227,440017.6829906227,373023.76448007766,373023.76448007766,214222.2839425444,220001.0,0.0,0.0,1000000.0,,,,373023.76448007766,373023.76448007766,,celer,2023-06-03 00:34:01.806006
31,Clipper,Clipper,Clipper,0.0,During Program,Governance - Phase 0,2023-01-23,0,-972209.917212402,-972209.917212402,-943004.3781151288,-943004.3781151288,156329.0,177934.0,0.0,0.0,300000.0,,,0.0,-943004.3781151288,-943004.3781151288,,clipper,2023-06-03 00:34:01.806006
37,Defiedge,Uniswap LM - Phase 2,Defiedge - Uniswap LM - Phase 2,25000.0,Post-Program,Governance - Phase 0,2023-01-16,2023-02-08,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,,,,,defiedge,2023-06-03 00:34:01.806006
38,Defiedge,Uniswap LM - Phase 3,Defiedge - Uniswap LM - Phase 3,162500.0,During Program,Governance - Phase 0,2023-05-03,2023-07-23,-2568342.630065947,-2568342.630065947,-2568246.1679024026,-2568246.1679024026,0.0,162500.0,0.0,0.0,0.0,,,0.0,-2568246.1679024026,-2568246.1679024026,,defiedge,2023-06-03 00:34:01.806006
39,Dforce,Dforce,Dforce,0.0,During Program,Governance - Season 1,2022-11-30,0,-2089876.7466770085,-2089876.7466770085,-2085695.7227164656,-2085695.7227164656,579512.817982429,588063.7610960284,0.0,0.0,380004.36205454264,,,0.0,-2085695.7227164656,-2085695.7227164656,,dforce,2023-06-03 00:34:01.806006
40,Dhedge,Dhedge*,Dhedge*,0.0,During Program,Governance - Season 2,2022-12-21,0,-6936620.78627,-6936620.78627,-6936620.78627,-6936620.78627,393645.4295160328,319515.65871088207,7500.0,0.0,352906.7140660299,,,0.0,-6936620.78627,-6936620.78627,,dhedge,2023-06-03 00:34:01.806006
41,Dhedge,DHT/OP: Velodrome,Dhedge - DHT/OP: Velodrome,0.0,During Program,Governance - Season 2,2023-02-03,0,2271026.9300529114,2271026.9300529114,2375779.907520953,2375779.907520953,0.0,75977.12,0.0,0.0,0.0,,,,2375779.907520953,2375779.907520953,,dhedge,2023-06-03 00:34:01.806006
47,Gamma,Uniswap LM - Phase 1,Gamma - Uniswap LM - Phase 1,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,899994.9171556393,364884.7054301069,946519.689805491,388221.0387383864,0.0,16667.0,0.0,0.0,0.0,946519.689805491,388221.0387383864,0.41015632629698967,,,,gamma,2023-06-03 00:34:01.806006
48,Gamma,Uniswap LM - Phase 2,Gamma - Uniswap LM - Phase 2,25000.0,Post-Program,Governance - Phase 0,2023-01-16,2023-02-08,6290258.777265791,-123892.2791905883,6546800.099121626,-16175.155024500751,0.0,25000.0,0.0,0.0,0.0,6546800.099121626,-16175.155024500751,0.0,,,,gamma,2023-06-03 00:34:01.806006
49,Gamma,OP Uniswap LM - Phase 1,Gamma - OP Uniswap LM - Phase 1,67500.0,Post-Program,Partner Fund,2023-03-22,2023-04-21,35547184.24359897,18164371.14107855,36488996.44241755,18784596.003187597,0.0,67500.0,0.0,0.0,0.0,36488996.44241755,18784596.003187597,0.5148016617237238,,,,gamma,2023-06-03 00:34:01.806006
