,index,App Name Map,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,op_net_deployed
0,0,1inch,0.0,0.0,28159.70386039136,300000.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,300000.0
1,1,aave,341969369.3791454,77329625.72923896,4825685.746128715,5000000.0,0.0,25.677567493625546,300000.0,341969369.3791454,77329625.72923896,0.22613026970700031,0.0,0.0,5000000.0
2,2,across protocol,0.0,0.0,1.0,1.0,0.0,0.0,750000.0,0.0,0.0,,0.0,0.0,1.0
3,3,aelin,-2826.6927108232862,-2777.706732996996,880174.0000000003,900001.0000000003,0.0,19827.0,900000.0,-2826.6927108232862,-2777.706732996996,0.0,0.0,0.0,900001.0000000003
4,4,airdrop #1 distributor,0.0,0.0,164881298.51195705,164888204.36320555,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,164888204.36320555
5,5,alchemix,8085315.732580215,8085315.732580215,37299.81275611744,39770.90413459629,32303.7496208,0.0,250000.0,0.0,0.0,,8085315.732580215,8085315.732580215,7467.154513796289
6,6,angle,-716247.7647587676,-716247.7647587676,39776.81363179584,42805.51565169649,17686.115516500002,0.0,250975.89612553475,0.0,0.0,,-716247.7647587676,-716247.7647587676,25119.40013519649
7,7,another world,0.0,0.0,2.0,2.0,0.0,0.0,3000.0,0.0,0.0,,0.0,0.0,2.0
8,8,arrakis finance,23733679.746990003,1642508.01295,127393.74503458694,41670.06,204166.66,0.0,0.0,23733679.746990003,1642508.01295,0.0692057881651626,0.0,0.0,-162496.6
9,9,attestation station interface,0.0,0.0,44342.3,44342.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,44342.3
10,10,bankless,0.0,0.0,91066.79,91066.79,0.0,0.0,91066.79000000001,0.0,0.0,,0.0,0.0,91066.79
11,11,beefy finance,76313917.24495792,76313917.24495792,364248.6283218549,370130.6725694471,79000.0,0.0,650006.6725694471,0.0,0.0,,76313917.24495792,76313917.24495792,291130.6725694471
12,12,beethoven x,39789572.45853744,39789572.45853744,215483.88,238102.46,58592.00000000004,2200.0,500000.0,0.0,0.0,,39789572.45853744,39789572.45853744,179510.45999999996
13,13,biconomy,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,,0.0,0.0,0.0
14,14,boardroom,0.0,0.0,91960.0,91960.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,91960.0
15,15,candide wallet,0.0,0.0,52824.6,52824.6,0.0,0.0,190000.0,0.0,0.0,,0.0,0.0,52824.6
16,16,celer,10914085.057242813,10914085.057242813,192316.29933440316,220001.0,0.0,0.0,1000000.0,0.0,0.0,,10914085.057242813,10914085.057242813,220001.0
17,17,chainlink,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.0,0.0,0.0
18,18,clipper,-181218.64110042356,-181218.64110042356,155959.0,177934.0,0.0,0.0,300000.0,0.0,0.0,,-181218.64110042356,-181218.64110042356,177934.0
19,19,crypto ldfm,0.0,0.0,375.0,375.0,0.0,0.0,4000.0,0.0,0.0,,0.0,0.0,375.0
20,20,cryptotesters,0.0,0.0,4987.0,4987.0,0.0,0.0,4652.0,0.0,0.0,,0.0,0.0,4987.0
21,21,defiedge,0.0,0.0,26361.430728833864,51361.43072883386,187500.0,0.0,4.18435356270358,0.0,0.0,,0.0,0.0,-136138.56927116614
22,22,defillama,0.0,0.0,115176.0,115176.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,115176.0
23,23,denotify,0.0,0.0,0.0,0.0,0.0,0.0,7.825881577376167,0.0,0.0,,0.0,0.0,0.0
24,24,dforce,4701502.095023903,4701502.095023903,576083.95828062,555713.7610960284,0.0,0.0,300004.36205454264,0.0,0.0,,4701502.095023903,4701502.095023903,555713.7610960284
25,25,dhedge,23139977.229917385,23139977.229917385,286573.8609534718,292472.65871088207,7500.0,0.0,352906.7140660299,0.0,0.0,,23139977.229917385,23139977.229917385,284972.65871088207
26,26,dope wars,0.0,0.0,32682.3,32682.3,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,32682.3
27,27,ens wildcard domains,0.0,0.0,930.17,930.17,0.0,0.0,13930.17,0.0,0.0,,0.0,0.0,930.17
28,28,ethernautdao,0.0,0.0,37255.0,37255.0,0.0,0.0,120000.0,0.0,0.0,,0.0,0.0,37255.0
29,29,exactly,0.0,0.0,84972.53283352785,112500.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,112500.0
30,30,gamma,21386475.773523293,291609.5087675848,104793.87510885249,0.0,0.0,0.0,0.0,21386475.773523293,291609.5087675848,0.013635229658951139,0.0,0.0,0.0
31,31,gelato,0.0,0.0,54963.08727909616,54963.08727909616,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,54963.08727909616
32,32,geo web,0.0,0.0,21001.0,21001.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,21001.0
33,33,giveth,0.0,0.0,129814.43,129814.43,0.0,0.0,129814.43,0.0,0.0,,0.0,0.0,129814.43
34,34,gnosis safe,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,,0.0,0.0,0.0
35,35,hop protocol,10688173.362644313,10688173.362644313,80177.74913341764,174149.3103595078,552.193,0.0,1000000.0,0.0,0.0,,10688173.362644313,10688173.362644313,173597.1173595078
36,36,hundred finance,0.0,0.0,142292.13581247456,161322.5,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,161322.5
37,37,insuredao,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0
