,index,App Name Map,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,op_net_deployed,# OP Allocated,Source,txs_per_day_prev,num_addr_per_day_prev,gas_fee_eth_per_day_prev,txs_per_day,num_addr_per_day,gas_fee_eth_per_day,txs_per_day_after,num_addr_per_day_after,gas_fee_eth_per_day_after
0,0.0,1inch,0.0,0.0,28635.6425171867,300000.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,300000.0,300000.0,['Governance - Phase 0'],1137.5,408.7,1.5772983723778191,3156.0,759.0,4.221650982614564,1522.6896551724135,756.9655172413793,1.537995311130837
1,1.0,aave,341969369.3791454,77329625.72923893,4825967.560245793,5000000.0,0.0,604.6917578271443,300000.0,341969369.3791454,77329625.72923893,0.22613026970700023,0.0,0.0,5000000.0,5300000.0,"['Partner Fund', 'Governance - Phase 0']",247.7333333333333,125.96666666666668,0.4249447305734461,1648.462365591398,943.978494623656,4.882771373223651,2439.862068965517,1466.0,8.499473899854967
2,2.0,across protocol,0.0,0.0,1.0,1.0,0.0,0.0,750000.0,0.0,0.0,,0.0,0.0,1.0,750000.0,['Governance - Season 2'],,,,,,,,,
3,3.0,aelin,-2826.6927108232862,-2777.706732996996,880174.0000000003,900001.0000000003,0.0,19827.0,900000.0,-2826.6927108232862,-2777.706732996996,0.0,0.0,0.0,900001.0000000003,900000.0,['Governance - Phase 0'],9.7,6.1,0.0753453677241541,15.666666666666666,9.0,0.1072889418356868,4.965517241379311,3.6206896551724137,0.0349255170294605
4,4.0,airdrop #1 distributor,0.0,0.0,165457021.1687252,165463927.0199737,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,165463927.0199737,,,,,,,,,,,
5,5.0,alchemix,7539663.703490568,7539663.703490568,42023.02972937278,45016.272453707534,35028.9359133,0.0,250000.0,0.0,0.0,,7539663.703490568,7539663.703490568,9987.33654040753,250000.0,['Governance - Season 2'],,,,,,,,,
6,6.0,angle,-2910498.990343384,-2910498.990343384,64481.23094556436,73643.09750609999,17686.115516500002,0.0,250975.89612553475,0.0,0.0,,-2910498.990343384,-2910498.990343384,55956.98198959999,250000.0,['Governance - Season 2'],,,,,,,,,
7,7.0,another world,0.0,0.0,2.0,2.0,0.0,0.0,23000.0,0.0,0.0,,0.0,0.0,2.0,50000.0,['Governance - Season 3'],,,,,,,,,
8,8.0,arrakis finance,66102113.94501,44010942.21097,257825.43108900663,122920.06,204166.66,0.0,0.0,42089426.902839996,19998255.1688,0.4751372646380845,24012687.042170003,24012687.042170003,-81246.6,1000000.0,['Partner Fund'],107.86666666666666,52.23333333333333,1.4685101067086752,115.1159420289855,56.08695652173913,1.3792415284610318,,,
9,9.0,attestation station interface,0.0,0.0,44342.3,44342.3,0.0,0.0,44342.3,0.0,0.0,,0.0,0.0,44342.3,20000.0,['Governance - Season 3'],,,,,,,,,
10,10.0,bankless,0.0,0.0,91066.79,91066.79,0.0,0.0,91066.79000000001,0.0,0.0,,0.0,0.0,91066.79,33000.0,['Governance - Season 2'],,,,,,,,,
11,11.0,beefy finance,2746660.3101935135,2746660.3101935135,401927.799267499,408551.1725694471,79000.0,0.0,650006.6725694471,0.0,0.0,,2746660.3101935135,2746660.3101935135,329551.1725694471,650000.0,['Governance - Season 1'],685.8333333333334,337.8333333333333,0.6207813151831919,553.1739130434783,213.91699604743084,2.402124318431976,,,
12,12.0,beethoven x,-7311858.235181004,-7311858.235181004,225311.37999999992,247929.96,58592.00000000004,2200.0,500000.0,0.0,0.0,,-7311858.235181004,-7311858.235181004,189337.95999999996,500000.0,['Governance - Season 1'],250.7,91.23333333333332,0.5222623972574442,2008.5738396624472,883.7637130801688,4.981593861233738,,,
13,13.0,biconomy,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,,0.0,0.0,0.0,750000.0,['Governance - Season 1'],,,,,,,,,
14,14.0,boardroom,0.0,0.0,92000.0,92000.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,92000.0,100000.0,['Governance - Season 1'],,,,,,,,,
15,15.0,bored town,0.0,0.0,0.0,2000.0,0.0,2000.0,20000.0,0.0,0.0,,0.0,0.0,2000.0,50000.0,['Governance - Season 3'],,,,,,,,,
16,16.0,candide wallet,0.0,0.0,60060.6,60060.6,0.0,0.0,227888.81,0.0,0.0,,0.0,0.0,60060.6,190000.0,['Governance - Season 1'],,,,,,,,,
17,17.0,celer,529464.5745009854,529464.5745009854,210021.78793324865,220001.0,0.0,0.0,1000000.0,0.0,0.0,,529464.5745009854,529464.5745009854,220001.0,1000000.0,['Governance - Phase 0'],241.2333333333333,73.36666666666666,0.1045773213080597,362.4577464788732,82.23239436619718,0.2272418081477484,,,
18,18.0,chainlink,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.0,0.0,0.0,1000000.0,['Governance - Phase 0'],,,,,,,,,
19,19.0,clipper,-945391.758397796,-945391.758397796,156249.0,177934.0,0.0,0.0,300000.0,0.0,0.0,,-945391.758397796,-945391.758397796,177934.0,300000.0,['Governance - Phase 0'],2711.9,1131.9,0.7123778033008572,367.4793388429752,251.93388429752065,0.182360597046117,,,
20,20.0,crypto ldfm,0.0,0.0,750.0,750.0,0.0,0.0,4000.0,0.0,0.0,,0.0,0.0,750.0,10000.0,['Governance - Season 3'],,,,,,,,,
21,21.0,cryptotesters,0.0,0.0,4987.0,4987.0,0.0,0.0,4652.0,0.0,0.0,,0.0,0.0,4987.0,,,,,,,,,,,
22,22.0,defiedge,-2567633.194556633,-2567633.194556633,192965.26070400604,380465.26070400607,187500.0,0.0,4.18435356270358,0.0,0.0,,-2567633.194556633,-2567633.194556633,192965.26070400607,,,,,,,,,,,
23,23.0,defillama,0.0,0.0,154507.0,154507.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,154507.0,,,,,,,,,,,
24,24.0,denotify,0.0,0.0,0.0,0.0,0.0,0.0,7.825881577376167,0.0,0.0,,0.0,0.0,0.0,25000.0,['Governance - Season 3'],,,,,,,,,
25,25.0,dforce,-2090071.8755458656,-2090071.8755458656,576128.7474347638,555713.7610960284,0.0,0.0,380004.36205454264,0.0,0.0,,-2090071.8755458656,-2090071.8755458656,555713.7610960284,500000.0,"['Governance - Season 3', 'Governance - Season 1']",62.6,13.666666666666666,0.1797624483574046,68.97714285714285,18.89142857142857,0.4821980625548696,,,
26,26.0,dhedge,-6307598.197300154,-6307598.197300154,332482.77050502045,339590.77871088206,7500.0,0.0,352906.7140660299,0.0,0.0,,-6307598.197300154,-6307598.197300154,332090.77871088206,350000.0,['Governance - Season 2'],160.2,60.96666666666667,0.4671849550935973,277.8246753246753,120.0,1.289514255876505,,,
27,27.0,dope wars,0.0,0.0,32682.3,32682.3,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,32682.3,300000.0,['Governance - Season 2'],,,,,,,,,
28,28.0,ens wildcard domains,0.0,0.0,930.17,930.17,0.0,0.0,13930.17,0.0,0.0,,0.0,0.0,930.17,45000.0,['Governance - Season 3'],,,,,,,,,
29,29.0,ethernautdao,0.0,0.0,44225.0,44225.0,0.0,0.0,120000.0,0.0,0.0,,0.0,0.0,44225.0,120000.0,['Governance - Season 2'],,,,,,,,,
30,30.0,exactly,0.0,0.0,147091.70150423507,312499.99999999994,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,312499.99999999994,100000.0,['Partner Fund'],,,,318.1585365853659,164.8170731707317,1.8525665393097612,,,
31,31.0,gamma,21701640.988646917,606774.7238912061,163413.86421616495,0.0,0.0,0.0,0.0,39955007.89619873,18860141.631443016,0.4720344864013241,-18253366.90755181,-18253366.90755181,0.0,1000000.0,['Partner Fund'],43.266666666666666,11.533333333333331,0.2359772291218299,149.96825396825398,44.57142857142857,1.3077147142815733,,,
32,32.0,gelato,0.0,0.0,109964.92227909615,109964.92227909615,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,109964.92227909615,300000.0,['Governance - Phase 0'],,,,,,,,,
33,33.0,geo web,0.0,0.0,21113.5,21113.5,0.0,0.0,20800.0,0.0,0.0,,0.0,0.0,21113.5,20000.0,['Governance - Season 3'],,,,,,,,,
34,34.0,giveth,0.0,0.0,129814.43,129814.43,0.0,0.0,129814.43,0.0,0.0,,0.0,0.0,129814.43,40000.0,['Governance - Season 3'],,,,,,,,,
35,35.0,gnosis safe,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,,0.0,0.0,0.0,500000.0,['Governance - Season 2'],,,,,,,,,
36,36.0,hop protocol,-4238448.223448166,-4238448.223448166,87833.85880917801,204739.04035950784,552.193,0.0,1000000.0,0.0,0.0,,-4238448.223448166,-4238448.223448166,204186.84735950784,1000000.0,['Governance - Phase 0'],826.7666666666667,387.23333333333335,0.4934476982602274,3245.5245901639346,1073.344262295082,10.456673008782444,,,
37,37.0,hundred finance,-1052086.397863431,-1052086.397863431,143019.26757030393,161322.5,0.0,0.0,300000.0,0.0,0.0,,-1052086.397863431,-1052086.397863431,161322.5,300000.0,['Governance - Season 1'],7.5,3.75,0.0532658829599276,66.14124293785311,24.33333333333333,0.2993192669405536,,,
38,38.0,insuredao,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,100000.0,['Governance - Season 2'],,,,,,,,,
39,39.0,interest protocol,0.0,0.0,40880.0,40880.0,0.0,0.0,40880.0,0.0,0.0,,0.0,0.0,40880.0,31764.0,['Governance - Season 2'],,,,,,,,,
40,40.0,jiffyscan,0.0,0.0,18994.87,18994.87,0.0,0.0,18994.87,0.0,0.0,,0.0,0.0,18994.87,46000.0,['Governance - Season 3'],,,,,,,,,
41,41.0,karma,0.0,0.0,2500.92,25555.926025839133,0.0,0.0,25000.0,0.0,0.0,,0.0,0.0,25555.926025839133,90000.0,"['Governance - Season 3', 'Governance - Season 2']",,,,,,,,,
42,42.0,kromatika,0.0,0.0,90000.0,90000.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,90000.0,300000.0,['Governance - Season 2'],,,,,,,,,
43,43.0,kwenta,0.0,0.0,414376.9829228162,911571.0,11570.0,0.0,900000.0,0.0,0.0,,0.0,0.0,900001.0,900000.0,['Governance - Phase 0'],3.2857142857142856,3.0,0.032688898155263,1644.3623853211009,492.08715596330273,4.092486864130894,,,
44,44.0,kyberswap - qidao,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,600.0,,,,,,,,,,,
45,45.0,layer2dao,717029.1334553561,235002.9155092294,626205.2153730277,706515.9991505253,1557.3300000000002,79000.0,300673.80835120054,717029.1334553561,235002.9155092294,0.3277452819479632,0.0,0.0,704958.6691505254,300000.0,['Governance - Phase 0'],12.733333333333333,12.3,0.0653603408284615,27.13636363636364,24.17207792207792,0.2585968500895559,,,
46,46.0,lido,51261089.73131837,51261089.73131837,78261.83716807867,124746.84,12000.0,25000.0,1000000.0,0.0,0.0,,51261089.73131837,51261089.73131837,112746.84,1000000.0,['Partner Fund'],149.36666666666667,117.2,4.449996004594696,134.82978723404256,104.36170212765956,6.550868551168233,,,
47,47.0,lifi,0.0,0.0,42002.0,42002.0,11570.0,0.0,100000.0,0.0,0.0,,0.0,0.0,30432.0,,,,,,,,,,,
48,48.0,lyra,-6797333.94275406,-6797333.94275406,1293654.4423884943,1592569.251862159,257775.40899999999,36000.0,3000000.0,0.0,0.0,,-6797333.94275406,-6797333.94275406,1334793.842862159,3000000.0,['Governance - Phase 0'],,,,,,,,,
49,49.0,mean finance,0.0,0.0,19645.02853434353,19645.02853434353,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,19645.02853434353,300000.0,['Governance - Season 1'],,,,,,,,,
50,50.0,metalswap,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,,0.0,0.0,0.0,30000.0,['Governance - Season 3'],,,,,,,,,
51,51.0,mochi,0.0,0.0,30062.540281705,30062.540281705,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,30062.540281705,,,,,,,,,,,
52,52.0,nested,0.0,0.0,776.867362080441,776.867362080441,0.0,0.0,100072.80364604876,0.0,0.0,,0.0,0.0,776.867362080441,250000.0,['Governance - Season 3'],,,,,,,,,
53,53.0,okx,0.0,0.0,0.0,0.0,0.0,0.0,181804.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
54,54.0,op foundation sentry wallet,0.0,0.0,5362310.021729728,5474810.021729728,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5474810.021729728,,,,,,,,,,,
