App Name,# OP Allocated,Actions Rewarded,Announced On,Announcement Link,App Link,App Name Map Override,App Type,Created time,Description,End Date,Gov Proposal Link,Incentive / Growth Program Included?,Recipient L2 Address,SQL Import,Source,Start Date,Status,Status - Season
0x,300000,,,,https://www.0x.org/,Zeroex (0x),DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6,No - Grants Only,,",('Project','','0x','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
1inch,300000,Retroactive Airdrop,"September 6, 2022",https://twitter.com/1inch/status/1567151270749769728,https://1inch.io/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,"September 6, 2022",https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655,Yes,,",('Project','','1inch','Governance - Phase 0')",Governance - Phase 0,"September 6, 2022",Completed,Completed - Governance - Phase 0
Aave - Grants,300000,Grants,,,,Aave,,"November 29, 2022 2:21 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712,No - Grants Only,,",('Project','','Aave - Grants','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
Aave - Liquidity Mining,5000000,Liquidity Providing / Deposits,"August 4, 2022",https://twitter.com/AaveAave/status/1555230478394966018?s=20,https://aave.com/,Aave,Lend/Borrow Market,"July 21, 2022 11:25 AM",,"November 4, 2022",,Yes,,",('Project','','Aave - Liquidity Mining','Partner Fund')",Partner Fund,"August 4, 2022",Completed,Completed - Partner Fund
Across Protocol,750000,,,,https://across.to/,,Cross-Chain / Bridging,"November 29, 2022 2:06 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xda1cc880069dceea9e386323120875ddecd1d23dcb46eab588beaf88b39f5a62,Yes,,",('Project','','Across Protocol','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Aelin,900000,Other,"September 12, 2022",https://twitter.com/aelinprotocol/status/1569503172695302147,https://aelin.xyz/,,Other DeFi,"July 21, 2022 11:25 AM",,"September 14, 2022",https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157,Yes,,",('Project','','Aelin','Governance - Phase 0')",Governance - Phase 0,"September 12, 2022",Completed,Completed - Governance - Phase 0
Agora,50000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x474cbf8c806f30d016ea4ca0ad3fb5605391df6a3fa34a1aead7df61a9e4cc28,No - Grants Only,,",('Project','','Agora','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Airgap Wallet,18000,,,,,,,"April 26, 2023 12:35 AM",,,https://gov.optimism.io/t/ready-builders-cycle-11-integration-of-optimism-into-airgap-vault-airgap-wallet-and-airgap-coin-lib/5402,,0x276dcbb22b41F272F626C6D7348e93618C0ec5B4,",('Project','0x276dcbb22b41F272F626C6D7348e93618C0ec5B4','Airgap Wallet','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Alchemix,250000,,"January 8, 2023",,,,Other DeFi,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xe61bea48154a9c59a7ac1ddb56799c77b1b7a2f138a398c48fff835221f25430,Yes,,",('Project','','Alchemix','Governance - Season 2')",Governance - Season 2,,Live ‎🔥,Live ‎🔥 - Governance - Season 2
Angle,250000,,"February 20, 2023",https://twitter.com/AngleProtocol/status/1628066537969172481?s=20,,,Stablecoin,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xc9c0a739a29ce6477708f49a2985e4c8cb2e4ba0be1d3761541ed189a9c341e1,Yes,,",('Project','','Angle','Governance - Season 2')",Governance - Season 2,"February 20, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Another World,50000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/another-world-growth-experiments-cycle-11/5538,,0x93501fddb36ea67ffa2c361b3da035c142299d4f,",('Project','0x93501fddb36ea67ffa2c361b3da035c142299d4f','Another World','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Atomic Links,50000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-atomic-links/5029,No - Grants Only,0x59a92664eEDae0Be153EA93E3F9604c14b55dc8D,",('Project','0x59a92664eEDae0Be153EA93E3F9604c14b55dc8D','Atomic Links','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Attestation Station Interface,20000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-attestation-station-interface/4827,No - Grants Only,0x23b87Ce550C27e69a2DF1CA74Fa2857aC118e408,",('Project','0x23b87Ce550C27e69a2DF1CA74Fa2857aC118e408','Attestation Station Interface','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Bankless Academy,33000,,"February 22, 2023",https://twitter.com/BanklessAcademy/status/1628409302133374979?s=20,,Bankless,DAO,"November 29, 2022 2:08 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xac7ba616ebee96930f313ddb4b75de9024ff88f17bf3c82ca783d904ab38d551,No - Grants Only,,",('Project','','Bankless Academy','Governance - Season 2')",Governance - Season 2,"February 22, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Beefy Finance,650000,"DEX Liquidity, Liquidity Providing / Deposits","September 13, 2022",https://twitter.com/beefyfinance/status/1569748516989173761?s=20&t=4ShrgV5KPIr4MZYHZvysVg,https://beefy.finance/,,Yield Aggregator,"August 13, 2022 2:37 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-beefy/2967,Yes,,",('Project','','Beefy Finance','Governance - Season 1')",Governance - Season 1,"September 13, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Beethoven X / Balancer,500000,Liquidity Providing / Deposits,"September 29, 2022",https://twitter.com/beethoven_x/status/1575531081235046400,https://beets.fi/#/,Beethoven X,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-balancer-beethovenx/2658,Yes,,",('Project','','Beethoven X / Balancer','Governance - Season 1')",Governance - Season 1,"September 29, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Biconomy,750000,,,,https://www.biconomy.io/,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-biconomy/2880,Yes,,",('Project','','Biconomy','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Boardroom,100000,,,,https://boardroom.io/,,"Governance, Operations","August 13, 2022 2:36 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-boardroom/2978,Yes,,",('Project','','Boardroom','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Bored Town,50000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/growth-experiment-bored-town-nft-art-community/5612,,0x99a9cC2Aaf54F6bE94A437641692A72810f6E9d5,",('Project','0x99a9cC2Aaf54F6bE94A437641692A72810f6E9d5','Bored Town','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Candide Wallet,190000,,,,https://www.candidewallet.com/,,Wallet / Tracker,"August 13, 2022 2:39 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-candide-wallet/2656,No - Grants Only,,",('Project','','Candide Wallet','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Celer,1000000,"Bridging, Liquidity Providing / Deposits","August 13, 2022",,https://www.celer.network/,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-celer-network/1749,Yes,,",('Project','','Celer','Governance - Phase 0')",Governance - Phase 0,"August 15, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Chainlink,1000000,,,,https://chain.link/,,"Operations, Oracle","July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-chainlink/1701,No - Grants Only,,",('Project','','Chainlink','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
Chaintrap,10000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/final-chaintrap-builders-cycle-11/5526,,0xb053216998E4E11c655e3C9CEe086Bf3cc7c8Ed7,",('Project','0xb053216998E4E11c655e3C9CEe086Bf3cc7c8Ed7','Chaintrap','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
CharmVerse,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-charmverse/5546,,0xD3581888a0890Fb3270F8349588F3f4Cc25Fb2c9,",('Project','0xD3581888a0890Fb3270F8349588F3f4Cc25Fb2c9','CharmVerse','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Clipper,300000,Retroactive Airdrop,"January 23, 2023",https://blog.clipper.exchange/op-distribution/,https://clipper.exchange/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-clipper/1322/7,Yes,,",('Project','','Clipper','Governance - Phase 0')",Governance - Phase 0,"January 23, 2023",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Clique,25000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-clique/4980,No - Grants Only,0x93dcd773Eb0301bD555fc5b0BD7bB5ca5F22FCE5,",('Project','0x93dcd773Eb0301bD555fc5b0BD7bB5ca5F22FCE5','Clique','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Connext,300000,,,,https://www.connext.network/,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-connext/851,Yes,,",('Project','','Connext','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
Crypto LDFM,10000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-crypto-lfdm/5030,Yes,0x61ee892250c03c1d7bc673e661be87116caba2ac,",('Project','0x61ee892250c03c1d7bc673e661be87116caba2ac','Crypto LDFM','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Curve,504828,,,,,,DEX (Decentralized Exchange),"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xfba0828a2f887ce56f6c7a548e886fb2028cb062057ff3ca55c6eff95260c9a8,Yes,,",('Project','','Curve','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
"DefiLlama ",300000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xe97adad42eb8c0072edee33de2c68191cd2e8a0ae615ab94ebb60bdc73a7d3f2,No - Grants Only,,",('Project','','DefiLlama ','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
DeFunds,2500,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/gf-phase-1-proposal-defunds-co-decentralized-finance/4912,No - Grants Only,0xAF63FdB2ac19C97f9312a0891Ae55e2f55e9d19E,",('Project','0xAF63FdB2ac19C97f9312a0891Ae55e2f55e9d19E','DeFunds','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
DeNotify,25000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/denotify-builder-grant-cycle-11/5480,,0x7601630eC802952ba1ED2B6e4db16F699A0a5A87,",('Project','0x7601630eC802952ba1ED2B6e4db16F699A0a5A87','DeNotify','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
dForce,200000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/draft-gf-cycle-11-proposall-dforce-one-stop-shop-for-defi-solutions-on-optimism/5482,,0x69C1a51711B061E5935c648beb16e349898B17dF,",('Project','0x69C1a51711B061E5935c648beb16e349898B17dF','dForce','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
dForce,300000,Liquidity Providing / Deposits,"November 30, 2022",https://twitter.com/dForcenet/status/1597850056589467648?s=20&t=KNME7vQU8H_cAGalQ4Jxog,https://dforce.network/,,Lend/Borrow Market,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-dforce/2420,Yes,,",('Project','','dForce','Governance - Season 1')",Governance - Season 1,"December 1, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
dHedge,350000,,"December 21, 2022",https://twitter.com/dhedgeorg/status/1615573828394184706?s=43&t=-rWl8RnXur0EjBTZSs9xmA,https://www.dhedge.org/,dHedge,Asset Management,"November 30, 2022 1:52 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x0286e35a8799d3cf0c84784cd54debae258177b0c31408a48dc00c69b8d4a010,Yes,,",('Project','','dHedge','Governance - Season 2')",Governance - Season 2,"January 17, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 2
dm3 Protocol,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/dm3-protocol-messaging-as-a-public-good/5505,,0x11Ee133A1408FE2d7c62296D7eB33F234b774503,",('Project','0x11Ee133A1408FE2d7c62296D7eB33F234b774503','dm3 Protocol','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Dope Wars,300000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xe290c12c3871de18c7be44d0ce19e3fe46401adbdd9fa25077629cb356889be2,Yes,,",('Project','','Dope Wars','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Edge Wallet,50000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/gf-phase-1-proposal-edge-wallet-integration-of-optimism-velodrome-lp-staking-swaps-tarot-lp-staking/3994,No - Grants Only,0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf,",('Project','0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf','Edge Wallet','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
