chain,geckoId,symbol,cmcId,categories,chainId,parent_chain,parent_types
Ethereum,ethereum,ETH,1027,['EVM'],1,,
Arbitrum,arbitrum,ARB,42161,"['EVM', 'Rollup']",42161,Ethereum,"['L2', 'gas']"
Palm,,,,['EVM'],11297108109,,
Optimism,optimism,OP,11840,"['EVM', 'Rollup']",10,Ethereum,"['L2', 'gas']"
Stacks,blockstack,STX,4847,,,,
PolyNetwork,,,,,,,
Conflux,conflux-token,CFX,7334,,,,
Nuls,nuls,NULS,2092,,,,
Witnet,,,,,,,
BSC,binancecoin,BNB,1839,['EVM'],56,,
Avalanche,avalanche-2,AVAX,5805,['EVM'],43114,,
Solana,solana,SOL,5426,,,,
Polygon,matic-network,MATIC,3890,['EVM'],137,,
Terra Classic,terra-luna,LUNC,4172,['Cosmos'],,,
Fantom,fantom,FTM,3513,['EVM'],250,,
Gnosis,gnosis,GNO,1659,['EVM'],100,,
XdaiArb,,,,['EVM'],200,,
Heco,huobi-token,HT,2502,['EVM'],128,,
Kava,kava,KAVA,4846,['Cosmos'],,,
OKXChain,oec-token,OKT,8267,"['EVM', 'Cosmos']",66,,
Wanchain,wanchain,WAN,2606,['EVM'],888,,
Posichain,position-token,POSI,11234,['EVM'],900000,,
DefiChain,defichain,DFI,5804,,,,
Ontology,ontology,ONT,2566,,,,
Bitcoin,bitcoin,BTC,1,,,,
Energi,energi,NRG,3218,['EVM'],39797,,
Secret,secret,SCRT,5604,['Cosmos'],,,
Zilliqa,zilliqa,ZIL,2469,,,,
NEO,neo,NEO,1376,,,,
Harmony,harmony,ONE,3945,['EVM'],1666600000,,
Rootstock,rootstock,RBTC,3626,['EVM'],30,Bitcoin,['gas']
Sifchain,sifchain,EROWAN,8541,['Cosmos'],,,
Algorand,algorand,ALGO,4030,,,,
Osmosis,osmosis,OSMO,12220,['Cosmos'],,,
Thorchain,thorchain,RUNE,4157,['Cosmos'],,,
Tron,tron,TRON,1958,['EVM'],,,
Icon,icon,ICX,2099,,,,
Tezos,tezos,XTZ,2011,,,,
Celo,celo,CELO,5567,['EVM'],42220,,
KCC,kucoin-shares,KCS,2087,['EVM'],321,,
Karura,karura,KAR,10042,['Parachain'],,Kusama,['parachain']
Moonriver,moonriver,MOVR,9285,"['EVM', 'Parachain']",1285,Kusama,['parachain']
Waves,waves,WAVES,1274,,,,
Klaytn,klay-token,KLAY,4256,['EVM'],8217,,
IoTeX,iotex,IOTX,2777,['EVM'],4689,,
Ultra,ultra,UOS,4189,,,,
Kusama,kusama,KSM,5034,,,,
Shiden,shiden,SDN,11451,"['EVM', 'Parachain']",336,Kusama,['parachain']
Telos,telos,TLOS,4660,['EVM'],40,,
ThunderCore,thunder-token,TT,3930,['EVM'],108,,
Lamden,lamden,TAU,2337,,,,
Near,near,NEAR,6535,,,,
EOS,eos,EOS,1765,,,,
Songbird,songbird,SGB,12186,['EVM'],19,,
EnergyWeb,energy-web-token,EWT,5268,"['EVM', 'Parachain']",246,Polkadot,['parachain']
HPB,high-performance-blockchain,HPB,2345,['EVM'],269,,
GoChain,gochain,GO,2861,['EVM'],60,,
TomoChain,tomochain,TOMO,2570,['EVM'],88,,
Fusion,fsn,FSN,2530,['EVM'],32659,,
Kardia,kardiachain,KAI,5453,['EVM'],0,,
Fuse,fuse-network-token,FUSE,5634,['EVM'],122,,
smartBCH,bitcoin-cash,BCH,1831,['EVM'],10000,,
Elastos,elastos,ELA,2492,['EVM'],20,,
Hoo,hoo-token,HOO,7543,['EVM'],70,,
Cronos,crypto-com-chain,CRO,3635,"['EVM', 'Cosmos']",25,,
Polis,polis,POLIS,2359,['EVM'],333999,,
ZYX,zyx,ZYX,6131,['EVM'],55,,
MultiversX,elrond-erd-2,EGLD,6892,,,,
Stellar,stellar,XLM,512,,,,
Boba,boba-network,BOBA,14556,"['EVM', 'Rollup']",288,Ethereum,"['L2', 'gas']"
Metis,metis-token,METIS,9640,"['EVM', 'Rollup']",1088,Ethereum,"['L2', 'gas']"
Ubiq,ubiq,UBQ,588,['EVM'],8,,
Mixin,mixin,XIN,2349,,,,
Everscale,everscale,EVER,7505,,,,
VeChain,vechain,VET,3077,,,,
XDC,xdce-crowd-sale,XDC,2634,,,,
Velas,velas,VLX,4747,['EVM'],106,,
Polkadot,polkadot,DOT,6636,,,,
CosmosHub,cosmos,ATOM,3794,,,,
EthereumClassic,ethereum-classic,ETC,1321,['EVM'],61,,
Sora,sora,XOR,5802,,,,
Aurora,aurora-near,AURORA,14803,['EVM'],1313161554,Near,"['emulator', 'gas']"
Ronin,,RON,,['EVM'],2020,,
zkSync Lite,,,,['Rollup'],,Ethereum,"['L2', 'gas']"
SmartBCH,bitcoin-cash,BCH,1831,['EVM'],10000,,
Godwoken,,,,['EVM'],71394,Nervos,"['emulator', 'gas']"
Callisto,callisto,CLO,2757,['EVM'],820,,
CSC,coinex-token,CET,2941,['EVM'],52,,
Ergo,ergo,ERG,1555,,,,
Cardano,cardano,ADA,2010,,,,
Liquidchain,liquidchain,XLC,,['EVM'],5050,,
Nahmii,nahmii,NII,4865,"['EVM', 'Rollup']",5551,Ethereum,"['L2', 'gas']"
Parallel,,PARA,,['Parachain'],,Polkadot,['parachain']
Meter,meter,MTRG,5919,['EVM'],82,,
Oasis,oasis-network,ROSE,7653,['EVM'],42262,,
Theta,theta-token,THETA,2416,['EVM'],361,,
Syscoin,syscoin,SYS,541,['EVM'],57,,
Moonbeam,moonbeam,GLMR,6836,"['EVM', 'Parachain']",1284,Polkadot,['parachain']
Astar,astar,ASTR,12885,"['EVM', 'Parachain']",592,Polkadot,['parachain']
Curio,,,,['EVM'],836542336838601,SKALE,['skale']
SKALE,skale,SKL,5691,['EVM'],,,
Bittorrent,bittorrent,BTT,16086,['EVM'],199,,
Genshiro,genshiro,GENS,10278,"['Parachain', 'EVM']",,Kusama,['parachain']
Wax,wax,WAXP,2300,,,,
Evmos,evmos,EVMOS,,"['EVM', 'Cosmos']",9001,,
Proton,proton,XPR,5350,,,,
Kadena,kadena,KDA,5647,,,,
Vite,vite,VITE,2937,,,,
Milkomeda C1,,,,['EVM'],2001,Cardano,['gas']
DFK,defi-kingdoms,JEWEL,12319,['EVM'],53935,Avalanche,['subnet']
CLV,clover-finance,CLV,8384,"['EVM', 'Parachain']",1024,Polkadot,['parachain']
REI,rei-network,REI,19819,['EVM'],47805,,
Crab,darwinia-crab-network,CRAB,9243,['EVM'],44,,
Hedera,hedera-hashgraph,HBAR,4642,['EVM'],,,
Findora,findora,FRA,4249,['EVM'],2152,,
Hydra,hydra,HYDRA,8245,,,,
Bitgert,bitrise-token,BRISE,11079,['EVM'],32520,,
Reef,reef-finance,REEF,6951,"['EVM', 'Parachain']",,Polkadot,['parachain']
Candle,candle,CNDL,18327,['EVM'],534,,
Bifrost,bifrost-native-coin,BNC,8705,['Parachain'],,Kusama,['parachain']
Stafi,stafi,FIS,5882,['Parachain'],,Polkadot,['Independent']
Lachain,latoken,LA,2090,['EVM'],225,,
Coti,coti,COTI,3992,,,,
Bitcoincash,bitcoin-cash,BCH,1831,,,,
Litecoin,litecoin,LTC,2,,,,
Doge,dogecoin,DOGE,74,,,,
Obyte,byteball,GBYTE,1492,,,,
REIchain,,,,['EVM'],55555,,
OntologyEVM,ong,ONG,3217,['EVM'],58,,
Carbon,switcheo,SWTH,2620,['Cosmos'],,,
Neo3,,,,,,,
Pallete,palette,PLT,16272,['EVM'],,,
Bytomsidechain,bytom,BTM,1866,['EVM'],,,
Starcoin,starcoin,STC,10202,,,,
Terra2,terra-luna-2,LUNA,20314,['Cosmos'],,,
SXnetwork,sx-network,SX,8377,"['EVM', 'Rollup']",,Polygon,"['L2', 'gas']"
Echelon,echelon,ECH,20047,"['EVM', 'Cosmos']",,,
MultiVAC,multivac,MTV,3853,,,,
ORE,ptokens-ore,ORE,12743,,,,
LBRY,lbry-credits,LBC,1298,,,,
Ravencoin,ravencoin,RVN,2577,,,,
Acala,acala,ACA,6756,['Parachain'],,Polkadot,['parachain']
ICP,internet-computer,ICP,8916,,,,
Nova Network,supernova,SNT,15399,['EVM'],87,,
Kintsugi,kintsugi,KINT,13675,['Parachain'],,Kusama,['parachain']
Filecoin,filecoin,FIL,2280,['EVM'],,,
Flow,flow,FLOW,4558,,,,
Kujira,kujira,KUJI,15185,['Cosmos'],,,
Heiko,,HKO,,['Parachain'],,Kusama,['parachain']
Dogechain,dogechain,DG,,['EVM'],,,
Canto,canto,CANTO,21516,"['EVM', 'Cosmos']",,,
Ripple,ripple,XRP,52,,,,
GodwokenV1,,,,['EVM'],71402,Godwoken,"['emulator', 'gas']"
Arbitrum Nova,,,,"['EVM', 'Rollup']",42170,Ethereum,"['L2', 'gas']"
Ultron,ultron,ULX,21524,['EVM'],1231,,
Interlay,interlay,INTR,20366,['Parachain'],,Polkadot,['parachain']
Juno,juno-network,JUNO,14299,['Cosmos'],,,
Tombchain,tomb,TOMB,11495,['EVM'],,,
Crescent,crescent-network,CRE,,['Cosmos'],,,
Vision,vision-metaverse,VS,19083,['EVM'],,,
EthereumPoW,ethereum-pow-iou,ETHW,21296,['EVM'],,,
Cube,cube-network,CUBE,20519,['EVM'],1818,,
FunctionX,fx-coin,FX,3884,['EVM'],,,
Aptos,aptos,APT,21794,,,,
Kekchain,kekchain,KEK,21606,['EVM'],420420,,
Milkomeda A1,,,,"['EVM', 'Rollup']",2002,Algorand,"['L2', 'gas']"
Stride,stride,STRD,21781,['Cosmos'],,,
MUUCHAIN,muu-inu,MUU,22020,['EVM'],20402,,
Injective,injective-protocol,INJ,,['Cosmos'],,,
Step,stepex,SPEX,21725,['EVM'],,,
TON,the-open-network,TON,11419,,,,
Starknet,starknet,STRK,,,,,
Dexit,dexit-finance,DXT,,['EVM'],,,
Empire,,EMPIRE,,['EVM'],,,
Boba_Avax,,,,['EVM'],,,
Boba_Bnb,,,,['EVM'],,,
Comdex,comdex,CMDX,14713,['Cosmos'],,,
Flare,flare-networks,FLR,4172,['EVM'],,,
Tlchain,tlchain,TLC,,['EVM'],,,
Zeniq,,ZENIQ,,['EVM'],,,
Omax,omax-token,OMAX,13916,['EVM'],,,
Bitindi,bitindi-chain,BNI,22026,['EVM'],,,
Map,marcopolo,MAP,4956,['EVM'],,,
Stargaze,stargaze,STARS,16842,['Cosmos'],,,
Libre,libre,LIBRE,,,,,
Umee,umee,UMEE,16389,['Cosmos'],,,
WEMIX,wemix-token,WEMIX,7548,,,,
Persistence,persistence,XPRT,7281,['Cosmos'],,,
ENULS,,,,['EVM'],,,
Oraichain,oraichain-token,ORAI,7533,['Cosmos'],,,
Goerli,goerli-eth,GETH,23669,['EVM'],,,
Europa,,,,['EVM'],,,
CORE,coredaoorg,CORE,23254,['EVM'],,,
Rangers,rangers-protocol-gas,RPG,12221,['EVM'],,,
Lung,,,,['EVM'],78887,,
Loop,loopnetwork,LOOP,18761,['EVM'],,,
Bone,,BONE,,['EVM'],,,
zkSync Era,,,,"['EVM', 'Rollup']",324,Ethereum,"['L2', 'gas']"
Base,,,,['EVM'],8453,,
Op_Bnb,,,,['EVM'],204,,
Manta,manta-network,MANTA,13631,"['EVM', 'Rollup']",169,Ethereum,"['L2', 'gas']"
Bitlayer,,,,,200901,,
