blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
zora,L2,Potential Non-Sybil,2024-09-01,0.050858819503072916,0.05078340189898146,25457329620,25438000037,12097,73078,72784,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Likely Sybil,2024-09-01,0.0015719574544383913,0.0015719574544383913,4361192860,4361192860,396,9044,9044,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Volume too Low,2024-09-01,0.001458803518736889,0.0014551855288034864,1898333671,1896035093,1965,4003,3983,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zksync,L2,Volume too Low,2024-09-01,0.18159369617508114,0.18105310017183135,3944363355,3932416482,19762,28158,28070,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zksync,L2,Likely Sybil,2024-09-01,0.12842901177624963,0.12644107551799955,2838210205,2794277912,11967,21566,21376,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zksync,L2,Potential Non-Sybil,2024-09-01,1.0621650488922496,1.0315825384209993,23473260749,22797404164,58685,152593,149624,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zkevm,L2,Volume too Low,2024-09-01,0.005711100851197121,0.005600591909605243,85864948,81274028,682,953,944,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Likely Sybil,2024-09-01,6.377377617305e-05,6.281515169805e-05,4550901,4452832,44,114,113,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Potential Non-Sybil,2024-09-01,0.062365427995437595,0.05119071997349421,2501434658,1826234723,3337,13899,11403,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
scroll,L2,Likely Sybil,2024-09-01,0.02469493058812619,0.02376523036562259,327122896,311102686,635,10884,10667,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Volume too Low,2024-09-01,0.07596761422656757,0.07337016872081294,1455390695,1406038434,3368,7198,7031,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Potential Non-Sybil,2024-09-01,3.092328427007917,2.975391888815408,52785233341,51026310590,44706,216962,210670,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
polygon,L1,Likely Sybil,2024-09-01,2801.4958183914473,2468.0751341176597,62660232824,56450912651,260138,705644,612921,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Potential Non-Sybil,2024-09-01,23282.707364000555,20887.088683465194,353364529268,336653919185,244834,1825917,1668414,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Volume too Low,2024-09-01,858.360578969229,846.7514653695767,19904831021,19635389514,108275,193857,192073,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,Volume too Low,2024-09-01,0.18061374080822112,0.18049750542588777,3568303202,3486718781,25970,34715,34457,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Likely Sybil,2024-09-01,0.7877327937629948,0.6047490987167511,15136307778,14563401168,5500,72627,67433,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Potential Non-Sybil,2024-09-01,3.1926382674704925,2.9685248795195394,193299634218,189574630335,23889,517547,497866,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
op chains,Aggregated,Likely Sybil,2024-09-01,5.978062927526004,4.230346967127936,150942344881,147927732677,116414,797297,764856,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Potential Non-Sybil,2024-09-01,14.853882559692735,12.85444801119513,842530175823,820947944078,193754,2941800,2805767,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Volume too Low,2024-09-01,0.8530383099370685,0.8290521469712364,104366058672,100120592013,595675,905021,867846,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
linea,L2,Potential Non-Sybil,2024-09-01,2.282259420933061,2.128475067971573,28378742020,27388650972,101947,210926,205698,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Volume too Low,2024-09-01,0.11216117858426133,0.11008455171026445,1653707483,1623987164,9785,14216,14162,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Likely Sybil,2024-09-01,0.35441643865935196,0.35076179727586243,4945752083,4888823041,103879,127985,127670,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
l2s,Aggregated,Likely Sybil,2024-09-01,34.11097308035968,27.017455617390134,213957570834,203881311179,371381,1309028,1223179,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Potential Non-Sybil,2024-09-01,64710.94773980838,55716.75781672225,1189262503078,1141856859775,396524,4504745,4224819,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Volume too Low,2024-09-01,2.058159564027319,2.02056607930149,126079269443,121530758190,722543,1102758,1062470,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
