blockchain,chain_id,created_dt,creator_address,last_updated
optimism,10,2024-07-01 00:00:00.000 UTC,0x7ed49578d1c4bd2a73332c5bf56515b8cab52844,2024-08-26 03:25:22.846822
ethereum,1,2024-08-14 00:00:00.000 UTC,0x430e91262bbd50564bacadb7ac407cc9996e8b0b,2024-08-26 03:25:22.846822
base,8453,2024-07-11 00:00:00.000 UTC,0x7bb545a6a323a497263738bc8300ef3fe175f876,2024-08-26 03:25:22.846822
base,8453,2024-07-26 00:00:00.000 UTC,0xcf280b9a751931fd3cb5f9449378f85f8978dfae,2024-08-26 03:25:22.846822
polygon,137,2024-07-16 00:00:00.000 UTC,0x6e5b0d790774572d2ca082d50dbbb7751f88e250,2024-08-26 03:25:22.846822
ethereum,1,2024-07-03 00:00:00.000 UTC,0x5e83cebdc248d2901b0ed7ff87e20f96a26cee45,2024-08-26 03:25:22.846822
ethereum,1,2024-07-01 00:00:00.000 UTC,0xc989042212a04d5d98b27c4a32fa443796e45065,2024-08-26 03:25:22.846822
base,8453,2024-07-05 00:00:00.000 UTC,0xd87df9fd27b9a30fe27e7b294caaa4673f34b6b1,2024-08-26 03:25:22.846822
polygon,137,2024-07-10 00:00:00.000 UTC,0x207a03df8d73fdd05bba23c5319ae274611f6f4e,2024-08-26 03:25:22.846822
avalanche_c,43114,2024-07-13 00:00:00.000 UTC,0x3c6184f4ee527600dcc0163ccc47dedd110a6101,2024-08-26 03:25:22.846822
bnb,56,2024-08-17 00:00:00.000 UTC,0xfe5c1e248b9f646cebd65256e7ce3b82bf1e6769,2024-08-26 03:25:22.846822
bnb,56,2024-08-03 00:00:00.000 UTC,0x49ed8fa30c9ec0fd7d0ec3f44eb7aaa215d56cef,2024-08-26 03:25:22.846822
base,8453,2024-08-09 00:00:00.000 UTC,0x42b93b8d07eee075b851f5b488ef6b7db148f470,2024-08-26 03:25:22.846822
polygon,137,2024-07-09 00:00:00.000 UTC,0x5034400b5df679aa024e3eebd81f12c1b1660045,2024-08-26 03:25:22.846822
bnb,56,2024-07-01 00:00:00.000 UTC,0xe7f246e9e7e08692450a1da720132486f6c94e6b,2024-08-26 03:25:22.846822
polygon,137,2024-08-03 00:00:00.000 UTC,0x99b56a97e8ac8d7aaa4525d0520c245075cf70d7,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-09 00:00:00.000 UTC,0x1a776c84d64ecada985c968c3589b3c8615a1e7c,2024-08-26 03:25:22.846822
avalanche_c,43114,2024-08-02 00:00:00.000 UTC,0xe743089ddfbe0e58b853ed1f7774f68fc0e12be4,2024-08-26 03:25:22.846822
ethereum,1,2024-07-16 00:00:00.000 UTC,0x8e304f6d4e7d76592126ed0d94e59301854a270b,2024-08-26 03:25:22.846822
ethereum,1,2024-07-11 00:00:00.000 UTC,0x11f1022ca6adef6400e5677528a80d49a069c00c,2024-08-26 03:25:22.846822
optimism,10,2024-07-27 00:00:00.000 UTC,0x1cc81345720fbe53851f96607068578f45bbf021,2024-08-26 03:25:22.846822
ethereum,1,2024-07-03 00:00:00.000 UTC,0x6920472c08843598d46dce81edf2674ff9a772bd,2024-08-26 03:25:22.846822
ethereum,1,2024-08-06 00:00:00.000 UTC,0x2a48eb80accf40def4ff1024d1ca8539b414b45a,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-23 00:00:00.000 UTC,0xed456e05caab11d66c4c797dd6c1d6f9a7f352b5,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-19 00:00:00.000 UTC,0x805d0d2ae6d777be7c126bf75330f0e471d9d584,2024-08-26 03:25:22.846822
base,8453,2024-07-18 00:00:00.000 UTC,0x2007498c97e16e4f830df2db1e9435ea61150313,2024-08-26 03:25:22.846822
base,8453,2024-08-18 00:00:00.000 UTC,0xd0f6c33de5ab51301845b75835a1ae0d9f6ad294,2024-08-26 03:25:22.846822
ethereum,1,2024-07-19 00:00:00.000 UTC,0x57ab7ee15ce5ecacb1ab84ee42d5a9d0d8112922,2024-08-26 03:25:22.846822
optimism,10,2024-08-09 00:00:00.000 UTC,0xac9b246582a20e4f924738b575746ecd1a73b290,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-25 00:00:00.000 UTC,0xcced97e9bc38921e6ce0c66363535ed2958fda3d,2024-08-26 03:25:22.846822
bnb,56,2024-08-16 00:00:00.000 UTC,0xaae51e9f72cc278cf6527c8380ae94195ebc7f42,2024-08-26 03:25:22.846822
zora,7777777,2024-08-18 00:00:00.000 UTC,0x7a552b3b2d707a3be6a791e9b16e67941eb65740,2024-08-26 03:25:22.846822
base,8453,2024-07-26 00:00:00.000 UTC,0x277a287baaffb8df5d40a98423352ceaa323f707,2024-08-26 03:25:22.846822
bnb,56,2024-07-21 00:00:00.000 UTC,0x9f176dfba6adf911d962ee9aa006af731c65f24f,2024-08-26 03:25:22.846822
polygon,137,2024-07-07 00:00:00.000 UTC,0x37ec246fcd668400df5daa5362601db613bacc84,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-23 00:00:00.000 UTC,0x6f98d78ddd547318d39f418264fa983e64715cca,2024-08-26 03:25:22.846822
ethereum,1,2024-08-06 00:00:00.000 UTC,0xdd799a5ee95ebafbfb7f9a8cafea6203e481ab1b,2024-08-26 03:25:22.846822
polygon,137,2024-08-11 00:00:00.000 UTC,0x8c1fd2de219c98f5f88620422e36a8a32f83324e,2024-08-26 03:25:22.846822
base,8453,2024-07-29 00:00:00.000 UTC,0xd6d19c48786bdf87d5a3c78a9ce6650a4bf1a400,2024-08-26 03:25:22.846822
bnb,56,2024-07-03 00:00:00.000 UTC,0xa4a0cd398b2092e516a4695096419635b1e0a003,2024-08-26 03:25:22.846822
base,8453,2024-07-29 00:00:00.000 UTC,0x2aa2949b92c55216ea376761aafa19576f26668b,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-04 00:00:00.000 UTC,0x3c00c1e6f931810e9e9f3d32e3639e41d00f895e,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-29 00:00:00.000 UTC,0xd87df9fd27b9a30fe27e7b294caaa4673f34b6b1,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-17 00:00:00.000 UTC,0x29ad2d2c2a7eafde34c86bb44be896839f4621b6,2024-08-26 03:25:22.846822
ethereum,1,2024-07-01 00:00:00.000 UTC,0xf6a2f05d43229826e1456f25c5621902e70ecafd,2024-08-26 03:25:22.846822
fantom,250,2024-08-01 00:00:00.000 UTC,0x29a1ea6b1fda19e68e49b5296bb6457ccb5e54d9,2024-08-26 03:25:22.846822
ethereum,1,2024-08-03 00:00:00.000 UTC,0x5d17166a223aee00472543eed7449a4f03648f54,2024-08-26 03:25:22.846822
ethereum,1,2024-07-22 00:00:00.000 UTC,0x21d249ff108ce88859d1f2c14417846fbbaf6a6e,2024-08-26 03:25:22.846822
arbitrum,42161,2024-07-08 00:00:00.000 UTC,0x229c7cc8aa86c613454c63ad7bf6c679d06466c5,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-22 00:00:00.000 UTC,0xd01e2fb8d83c5058350a6f9014430c2ca7977bdd,2024-08-26 03:25:22.846822
avalanche_c,43114,2024-07-11 00:00:00.000 UTC,0xdd2c31d21709055e8496f260aaeaaadb2d7de0f9,2024-08-26 03:25:22.846822
base,8453,2024-07-09 00:00:00.000 UTC,0xb4c5066d4491508d1ec1eeae5aa21bea1179169a,2024-08-26 03:25:22.846822
base,8453,2024-07-07 00:00:00.000 UTC,0x095ca860c02472a0495a0b5f9e44c21dd333e4fe,2024-08-26 03:25:22.846822
bnb,56,2024-07-20 00:00:00.000 UTC,0xd5a31730b5b1f3fe948590737f207cbea3fa9099,2024-08-26 03:25:22.846822
