dt,blockchain,layer,chain_id,num_raw_txs,num_success_txs,num_qualified_txs,source,is_op_chain,op_based_version,alignment,chain_name,display_name
2024-10-03,zksync,L2,324,8733,8484,8733,dune,False,,Other EVMs,,zkSync Era
2024-10-03,zkevm,L2,1101,1343,1038,705,dune,False,,Other EVMs,,Polygon zkEVM
2024-10-03,sei,L1,1329,24105,23585,17179,dune,False,,Other EVMs,,Sei Network
2024-10-03,scroll,L2,534352,24973,24154,18456,dune,False,,Other EVMs,,Scroll
2024-10-03,polygon,L1,137,279261,250404,178898,dune,False,,Other EVMs,,Polygon PoS
2024-10-03,mantle,L2,5000,38921,37767,27149,dune,False,,Other EVMs,,Mantle
2024-10-03,linea,L2,59144,24080,23163,17109,dune,False,,Other EVMs,,Linea
2024-10-03,gnosis,L1,100,8390,8128,5501,dune,False,,Other EVMs,,Gnosis
2024-10-03,fantom,L1,250,35485,33477,26329,dune,False,,Other EVMs,,Fantom
2024-10-03,ethereum,L1,1,106890,105549,59789,dune,False,,Other EVMs,,Ethereum
2024-10-03,celo,L1,42220,103467,89246,80284,dune,False,,Other EVMs,,Celo
2024-10-03,bnb,L1,56,313971,301571,261506,dune,False,,Other EVMs,,BNB
2024-10-03,blast,L2,81457,59250,58757,15930,dune,False,,Other EVMs,,Blast
2024-10-03,avalanche_c,L1,43114,15525,14371,10964,dune,False,,Other EVMs,,Avalanche C-Chain
2024-10-03,arbitrum,L2,42161,262034,228770,209243,dune,False,,Other EVMs,,Arbitrum One
2024-10-02,zora,L2,7777777.0,150140,149680,131745,goldsky,True,modern,OP Chain,zora,Zora
2024-10-02,zksync,L2,324,144164,140144,144164,dune,False,,Other EVMs,,zkSync Era
2024-10-02,zkevm,L2,1101,13045,10797,6708,dune,False,,Other EVMs,,Polygon zkEVM
2024-10-02,xterio,L2,2702128.0,1,1,0,goldsky,True,modern,OP Chain,xterio,Xterio
2024-10-02,swan,L2,254.0,130637,130633,129957,goldsky,True,modern,OP Chain,swan,SwanChain
2024-10-02,shape,L2,360.0,3409,3380,2959,goldsky,True,modern,OP Chain,shape,Shape
2024-10-02,sei,L1,1329,220198,215185,147106,dune,False,,Other EVMs,,Sei Network
2024-10-02,scroll,L2,534352,343855,333107,264725,dune,False,,Other EVMs,,Scroll
2024-10-02,redstone,L2,690.0,3831,3720,3600,goldsky,True,modern,OP Chain,redstone,Redstone
2024-10-02,polynomial,L2,8008.0,556,516,512,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-10-02,polygon,L1,137,2874250,2529166,1916928,dune,False,,Other EVMs,,Polygon PoS
2024-10-02,orderly,L2,291.0,5092,5086,3741,goldsky,True,modern,OP Chain,orderly,Orderly
2024-10-02,op,L2,10.0,829595,779118,468290,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-10-02,mode,L2,34443.0,91500,89557,40608,goldsky,True,modern,OP Chain,mode,Mode
2024-10-02,mint,L2,185.0,96383,95488,92219,goldsky,True,modern,OP Chain,mint,Mint
2024-10-02,metal,L2,1750.0,34,34,28,goldsky,True,modern,OP Chain,metal,Metal
2024-10-02,mantle,L2,5000,368977,355206,268651,dune,False,,Other EVMs,,Mantle
2024-10-02,lyra,L2,957.0,7106,6971,5616,goldsky,True,modern,OP Chain,lyra,Derive
2024-10-02,lisk,L2,1135.0,856,828,699,goldsky,True,modern,OP Chain,lisk,Lisk
2024-10-02,linea,L2,59144,268656,261305,156063,dune,False,,Other EVMs,,Linea
2024-10-02,kroma,L2,255.0,202326,202303,20770,goldsky,True,modern,OP Chain,kroma,Kroma
2024-10-02,ham,L3,5112.0,60227,60146,59521,goldsky,True,modern,OP Chain,ham,Ham
2024-10-02,gnosis,L1,100,106043,99899,56488,dune,False,,Other EVMs,,Gnosis
2024-10-02,fraxtal,L2,252.0,4347,4190,2446,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-10-02,fantom,L1,250,348776,320176,214773,dune,False,,Other EVMs,,Fantom
2024-10-02,ethereum,L1,1,1155511,1136376,683717,dune,False,,Other EVMs,,Ethereum
2024-10-02,cyber,L2,7560.0,32404,32336,27421,goldsky,True,modern,OP Chain,cyber,Cyber
2024-10-02,celo,L1,42220,1421019,1347396,1263894,dune,False,,Other EVMs,,Celo
2024-10-02,bob,L2,60808.0,27193,26983,12714,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-10-02,bnb,L1,56,3211893,3058203,2497443,dune,False,,Other EVMs,,BNB
2024-10-02,blast,L2,81457,527422,521762,158088,dune,False,,Other EVMs,,Blast
2024-10-02,base,L2,8453.0,4769788,4392199,2741413,goldsky,True,modern,OP Chain,base,Base
2024-10-02,avalanche_c,L1,43114,192982,182076,133560,dune,False,,Other EVMs,,Avalanche C-Chain
2024-10-02,arbitrum,L2,42161,2042830,1688752,1440010,dune,False,,Other EVMs,,Arbitrum One
2024-10-01,zora,L2,7777777.0,68877,68704,57533,goldsky,True,modern,OP Chain,zora,Zora
2024-10-01,zksync,L2,324,172483,166846,172483,dune,False,,Other EVMs,,zkSync Era
2024-10-01,zkevm,L2,1101,11531,9059,5446,dune,False,,Other EVMs,,Polygon zkEVM
2024-10-01,swan,L2,254.0,131329,131325,130662,goldsky,True,modern,OP Chain,swan,SwanChain
2024-10-01,shape,L2,360.0,4527,4475,3838,goldsky,True,modern,OP Chain,shape,Shape
2024-10-01,sei,L1,1329,215992,209828,135909,dune,False,,Other EVMs,,Sei Network
2024-10-01,scroll,L2,534352,262823,253649,197376,dune,False,,Other EVMs,,Scroll
2024-10-01,redstone,L2,690.0,2454,2366,2319,goldsky,True,modern,OP Chain,redstone,Redstone
2024-10-01,polynomial,L2,8008.0,443,441,438,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-10-01,polygon,L1,137,2799139,2450360,1845180,dune,False,,Other EVMs,,Polygon PoS
2024-10-01,orderly,L2,291.0,5662,5660,4171,goldsky,True,modern,OP Chain,orderly,Orderly
2024-10-01,op,L2,10.0,766549,713287,488519,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-10-01,mode,L2,34443.0,88661,86084,42072,goldsky,True,modern,OP Chain,mode,Mode
2024-10-01,mint,L2,185.0,92905,92227,89059,goldsky,True,modern,OP Chain,mint,Mint
2024-10-01,metal,L2,1750.0,15,15,11,goldsky,True,modern,OP Chain,metal,Metal
2024-10-01,mantle,L2,5000,383858,366240,255997,dune,False,,Other EVMs,,Mantle
2024-10-01,lyra,L2,957.0,8612,8591,7101,goldsky,True,modern,OP Chain,lyra,Derive
2024-10-01,lisk,L2,1135.0,2278,2213,1983,goldsky,True,modern,OP Chain,lisk,Lisk
2024-10-01,linea,L2,59144,249718,241776,158721,dune,False,,Other EVMs,,Linea
2024-10-01,kroma,L2,255.0,153484,153460,12983,goldsky,True,modern,OP Chain,kroma,Kroma
2024-10-01,ham,L3,5112.0,58621,58554,57684,goldsky,True,modern,OP Chain,ham,Ham
2024-10-01,gnosis,L1,100,123108,109100,58152,dune,False,,Other EVMs,,Gnosis
2024-10-01,fraxtal,L2,252.0,4280,4148,2229,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-10-01,fantom,L1,250,360873,328958,191769,dune,False,,Other EVMs,,Fantom
2024-10-01,ethereum,L1,1,1265860,1239767,748412,dune,False,,Other EVMs,,Ethereum
2024-10-01,cyber,L2,7560.0,25797,25766,22833,goldsky,True,modern,OP Chain,cyber,Cyber
2024-10-01,celo,L1,42220,1389541,1293070,1269522,dune,False,,Other EVMs,,Celo
2024-10-01,bob,L2,60808.0,28557,28205,14861,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-10-01,bnb,L1,56,3305721,3122990,2474596,dune,False,,Other EVMs,,BNB
2024-10-01,blast,L2,81457,489447,482439,174398,dune,False,,Other EVMs,,Blast
2024-10-01,base,L2,8453.0,5083658,4724857,2683168,goldsky,True,modern,OP Chain,base,Base
2024-10-01,avalanche_c,L1,43114,192317,179457,136398,dune,False,,Other EVMs,,Avalanche C-Chain
2024-10-01,arbitrum,L2,42161,1859445,1562878,1307144,dune,False,,Other EVMs,,Arbitrum One
2024-09-30,zora,L2,7777777.0,67901,67721,53699,goldsky,True,modern,OP Chain,zora,Zora
2024-09-30,zksync,L2,324,199032,196659,199032,dune,False,,Other EVMs,,zkSync Era
2024-09-30,zkevm,L2,1101,16353,13362,8440,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-30,swan,L2,254.0,126735,126731,126179,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-30,shape,L2,360.0,5149,5123,4365,goldsky,True,modern,OP Chain,shape,Shape
2024-09-30,sei,L1,1329,127461,124298,89521,dune,False,,Other EVMs,,Sei Network
2024-09-30,scroll,L2,534352,326946,317510,250416,dune,False,,Other EVMs,,Scroll
2024-09-30,redstone,L2,690.0,1753,1711,1656,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-30,race,L2,6805.0,2,2,0,goldsky,True,modern,OP Chain,race,Race
2024-09-30,polynomial,L2,8008.0,312,310,309,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-30,polygon,L1,137,2666167,2400396,1842229,dune,False,,Other EVMs,,Polygon PoS
2024-09-30,orderly,L2,291.0,4776,4764,3459,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-30,op,L2,10.0,774292,735511,498364,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-30,mode,L2,34443.0,84990,83070,36188,goldsky,True,modern,OP Chain,mode,Mode
2024-09-30,mint,L2,185.0,96475,95848,92142,goldsky,True,modern,OP Chain,mint,Mint
2024-09-30,metal,L2,1750.0,46,46,34,goldsky,True,modern,OP Chain,metal,Metal
2024-09-30,mantle,L2,5000,415022,407870,282291,dune,False,,Other EVMs,,Mantle
2024-09-30,lyra,L2,957.0,7188,7185,5871,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-30,lisk,L2,1135.0,828,794,580,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-30,linea,L2,59144,268005,259835,184108,dune,False,,Other EVMs,,Linea
2024-09-30,kroma,L2,255.0,226438,226402,12559,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-30,ham,L3,5112.0,62527,62426,61076,goldsky,True,modern,OP Chain,ham,Ham
2024-09-30,gnosis,L1,100,94413,87611,51074,dune,False,,Other EVMs,,Gnosis
2024-09-30,fraxtal,L2,252.0,3668,3592,1894,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-30,fantom,L1,250,317736,296863,201346,dune,False,,Other EVMs,,Fantom
2024-09-30,ethereum,L1,1,1194156,1165277,669759,dune,False,,Other EVMs,,Ethereum
2024-09-30,cyber,L2,7560.0,72322,72281,53124,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-30,celo,L1,42220,1349527,1313024,1263753,dune,False,,Other EVMs,,Celo
2024-09-30,bob,L2,60808.0,41408,40896,19983,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-30,bnb,L1,56,3466615,3315405,3010028,dune,False,,Other EVMs,,BNB
2024-09-30,blast,L2,81457,558913,553610,177410,dune,False,,Other EVMs,,Blast
