blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
zora,L2,7777777,44,2024-08-02,True,modern,OP Chain,zora,Zora
polygon,L1,137,1734,2024-08-02,False,,Other EVMs,,Polygon PoS
optimism,L2,10,471,2024-08-02,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3380,2024-08-02,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-08-02,False,,Aggregate,,L3s
l2,Aggregate,-1,4298,2024-08-02,False,,Aggregate,,L2s
l1,Aggregate,-1,6435,2024-08-02,False,,Aggregate,,L1s
gnosis,L1,100,93,2024-08-02,False,,Other EVMs,,Gnosis
fantom,L1,250,119,2024-08-02,False,,Other EVMs,,Fantom
ethereum,L1,1,2475,2024-08-02,False,,Other EVMs,,Ethereum
celo,L1,42220,80,2024-08-02,False,,Other EVMs,,Celo
bnb,L1,56,2351,2024-08-02,False,,Other EVMs,,BNB
base,L2,8453,3067,2024-08-02,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,324,2024-08-02,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1256,2024-08-02,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10116,2024-08-02,False,,Aggregate,,All
zora,L2,7777777,44,2024-08-01,True,modern,OP Chain,zora,Zora
polygon,L1,137,1789,2024-08-01,False,,Other EVMs,,Polygon PoS
optimism,L2,10,491,2024-08-01,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3512,2024-08-01,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-08-01,False,,Aggregate,,L3s
l2,Aggregate,-1,4452,2024-08-01,False,,Aggregate,,L2s
l1,Aggregate,-1,6606,2024-08-01,False,,Aggregate,,L1s
gnosis,L1,100,94,2024-08-01,False,,Other EVMs,,Gnosis
fantom,L1,250,124,2024-08-01,False,,Other EVMs,,Fantom
ethereum,L1,1,2534,2024-08-01,False,,Other EVMs,,Ethereum
celo,L1,42220,82,2024-08-01,False,,Other EVMs,,Celo
bnb,L1,56,2417,2024-08-01,False,,Other EVMs,,BNB
base,L2,8453,3190,2024-08-01,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,336,2024-08-01,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1290,2024-08-01,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10423,2024-08-01,False,,Aggregate,,All
zora,L2,7777777,45,2024-07-31,True,modern,OP Chain,zora,Zora
polygon,L1,137,1782,2024-07-31,False,,Other EVMs,,Polygon PoS
optimism,L2,10,488,2024-07-31,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3535,2024-07-31,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-31,False,,Aggregate,,L3s
l2,Aggregate,-1,4466,2024-07-31,False,,Aggregate,,L2s
l1,Aggregate,-1,6606,2024-07-31,False,,Aggregate,,L1s
gnosis,L1,100,99,2024-07-31,False,,Other EVMs,,Gnosis
fantom,L1,250,126,2024-07-31,False,,Other EVMs,,Fantom
