,defillamaId,name,slug,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,parentProtocol,latestFetchIsOk,dailyRevenue,dailyUserFees,dailyHoldersRevenue,dailyCreatorRevenue,dailySupplySideRevenue,dailyProtocolRevenue,dailyBribesRevenue,dailyTokenTaxes,dailyFees,totalVolume7d,totalVolume30d,holdersRevenue30d,bribesRevenue30d,totalUserFees,versionKey,totalFees,tokenTaxes30d,totalRevenue,totalProtocolRevenue
0,654,Beethoven X DEX,beethoven-x-dex,False,Beethoven X DEX,beethoven-x,Dexes,https://icons.llamao.fi/icons/protocols/beethoven-x-dex.jpg,39.09,-3.97,26.31,-35.57,-18.77,701.0,504.0,4209.0,19840.0,6533.0,24425.0,327655.63971138466,25204.27997779882,,{'optimism': {'beethoven-x': 701}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/beethoven-x.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#beethoven-x,True,175.0,701.0,,,526.0,,,,701.0,730.0,555.0,,,,,,,,
1,622,Clipper,clipper,False,Clipper,clipper,Dexes,https://icons.llamao.fi/icons/protocols/clipper.jpg,-63.33,-29.03,-66.15,-18.95,-44.53,22.0,60.0,325.0,1324.0,401.0,2387.0,20313.570573885678,1562.5823518373604,139228.0,{'optimism': {'clipper': 22}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/clipper.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",,True,0.0,22.0,0.0,,22.0,0.0,,,22.0,31.0,65.0,,,,,,,,
2,3,Curve DEX,curve-dex,False,Curve DEX,curve,Dexes,https://icons.llamao.fi/icons/protocols/curve.png,-53.27,-11.28,-11.62,-13.05,-33.76,700.0,1498.0,6582.0,20363.0,7570.0,30739.0,383373.47393175995,29490.267225519972,,{'optimism': {'curve': 700}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/curve.ts,"{'UserFees': 'Users pay a trading fee from 0.04% to 0.4% on each swap (as of July 2022, the fee on all pools was 0.04%)', 'Fees': 'Trading fees paid by users', 'Revenue': 'A 50% of the trading fee is collected by veCRV holders', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'A 50% of the trading fee is collected by the users who have vote locked their CRV', 'SupplySideRevenue': 'A 50% of all trading fees are distributed among liquidity providers'}",parent#curve-finance,True,350.0,700.0,350.0,,350.0,0.0,,,700.0,789.0,792.0,10095.0,0.0,,,,,,
3,3345,DackieSwap V3,dackieswap-v3,False,DackieSwap V3,dackieswap,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v3.jpg,-38.46,8.11,-51.81,-0.38,-56.99,40.0,65.0,264.0,1113.0,265.0,2588.0,0.0,0.0,7965.0,{'optimism': {'dackieswap': 40}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#dackieswap,True,,40.0,,,,,,,40.0,37.0,83.0,,,,,,,,
4,3515,DackieSwap V2,dackieswap-v2,False,DackieSwap V2,dackieswap-v2,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v2.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,{'optimism': {'dackieswap-v2': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap-v2,"{'UserFees': 'User pays 0.25% fees on each swap.', 'Fees': 'All fees comes from the user.', 'Revenue': 'All revenue generated comes from user fees.', 'ProtocolRevenue': 'Treasury receives 0.08% of each swap.', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'LPs receive 0.17% of each swap.'}",parent#dackieswap,True,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,
5,420,Elk,elk,False,Elk,elk,Dexes,https://icons.llamao.fi/icons/protocols/elk.jpg,,,,400.0,-21.43,0.0,0.0,5.0,11.0,1.0,14.0,439.29902215793527,33.79223247368735,2103.0,{'optimism': {'elk': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/elk.ts,"{'UserFees': 'Users pay a trading fee of 0.3%', 'Fees': 'Is collected 0.3% of each swap', 'Revenue': 'Treasury have no revenue', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders have no revenue from swap fees', 'SupplySideRevenue': 'LP earn a 0.3% of each swap'}",,True,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,
6,2981,Kwenta,kwenta,True,Kwenta,kwenta,Derivatives,https://icons.llamao.fi/icons/protocols/kwenta.jpg,,,,,,,,,,,,,,26273430.0,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kwenta.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",,True,,,,,,,,,,,,,,,,,,,
7,127,KyberSwap Classic,kyberswap-classic,False,KyberSwap - Classic,kyberswap,Dexes,https://icons.llamao.fi/icons/protocols/kyberswap-classic.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kyberswap.ts,"{'UserFees': 'Users pay a dynamic fee based on market conditions', 'Fees': 'Kyberswap Classic collects a dynamic fee that increases with market volatility and decreases with stable market conditions', 'Revenue': 'Currently 100% of the dao rewards (10% of the collected fees) goes to all voters (KNC stakers)', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders who stake and participate in the KyberDAO get their share of the fees designated for rewards, currently set at 10% of trading fees', 'SupplySideRevenue': 'Liquidity providers earn 90% fees of trading routed through their pool and selected price range'}",parent#kyberswap,True,,,,,,,,,,,,,,,classic,,,,
8,127,KyberSwap Elastic,kyberswap-elastic,False,KyberSwap - Elastic,kyberswap,Dexes,https://icons.llamao.fi/icons/protocols/kyberswap-elastic.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kyberswap.ts,"{'UserFees': 'Users pay trading fees based pool fee setting: 0.008%, 0.01%, 0.04%, 0.3% and 1%', 'Fees': 'Each pool can have different fees set from the following tires: 0.008%, 0.01%, 0.04%, 0.3% and 1%', 'Revenue': 'Currently 100% of the dao rewards (10% of the collected fees) goes to all voters (KNC stakers)', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders who stake and participate in the KyberDAO get their share of the fees designated for rewards, currently set at 10% of trading fees', 'SupplySideRevenue': 'Liquidity providers earn 90% fees of trading routed through their pool and selected price range'}",parent#kyberswap,True,,,,,,,,,,,,,,,elastic,,,,
9,503,Lyra V1,lyra-v1,False,Lyra V1,lyra,Options,https://icons.llamao.fi/icons/protocols/lyra-v1.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/lyra.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",parent#lyra,True,,,,,,,,,,,,,,,,,,,
