,defillamaId,name,slug,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,parentProtocol,latestFetchIsOk,dailyRevenue,dailyHoldersRevenue,dailyCreatorRevenue,dailySupplySideRevenue,dailyProtocolRevenue,dailyBribesRevenue,dailyTokenTaxes,totalVolume7d,totalVolume30d,holdersRevenue30d,bribesRevenue30d,dailyUserFees,dailyFees,versionKey,totalUserFees,totalFees,tokenTaxes30d,totalRevenue,totalProtocolRevenue
0,654,Beethoven X DEX,beethoven-x-dex,False,Beethoven X DEX,beethoven-x,Dexes,https://icons.llamao.fi/icons/protocols/beethoven-x-dex.jpg,38.89,-4.37,25.9,-35.56,-18.76,175.0,126.0,1053.0,4962.0,1634.0,6108.0,81925.90992784617,6301.993071372782,,{'optimism': {'beethoven-x': 175}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/beethoven-x.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#beethoven-x,True,175.0,,,526.0,,,,183.0,139.0,,,,,,,,,,
1,622,Clipper,clipper,False,Clipper,clipper,Dexes,https://icons.llamao.fi/icons/protocols/clipper.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'optimism': {'clipper': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/clipper.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",,True,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,
2,3,Curve DEX,curve-dex,False,Curve DEX,curve,Dexes,https://icons.llamao.fi/icons/protocols/curve.png,-53.27,-11.17,-11.62,-13.0,-33.77,350.0,749.0,3292.0,10179.0,3784.0,15369.0,191684.23696587997,14744.94130506768,,{'optimism': {'curve': 350}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/curve.ts,"{'UserFees': 'Users pay a trading fee from 0.04% to 0.4% on each swap (as of July 2022, the fee on all pools was 0.04%)', 'Fees': 'Trading fees paid by users', 'Revenue': 'A 50% of the trading fee is collected by veCRV holders', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'A 50% of the trading fee is collected by the users who have vote locked their CRV', 'SupplySideRevenue': 'A 50% of all trading fees are distributed among liquidity providers'}",parent#curve-finance,True,350.0,350.0,,,0.0,,,394.0,396.0,10095.0,0.0,,,,,,,,
3,3515,DackieSwap V2,dackieswap-v2,False,DackieSwap V2,dackieswap-v2,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v2.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,{'optimism': {'dackieswap-v2': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap-v2,"{'UserFees': 'User pays 0.25% fees on each swap.', 'Fees': 'All fees comes from the user.', 'Revenue': 'All revenue generated comes from user fees.', 'ProtocolRevenue': 'Treasury receives 0.08% of each swap.', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'LPs receive 0.17% of each swap.'}",parent#dackieswap,True,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,
4,420,Elk,elk,False,Elk,elk,Dexes,https://icons.llamao.fi/icons/protocols/elk.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'optimism': {'elk': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/elk.ts,"{'UserFees': 'Users pay a trading fee of 0.3%', 'Fees': 'Is collected 0.3% of each swap', 'Revenue': 'Treasury have no revenue', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders have no revenue from swap fees', 'SupplySideRevenue': 'LP earn a 0.3% of each swap'}",,True,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,
5,127,KyberSwap Classic,kyberswap-classic,False,KyberSwap - Classic,kyberswap,Dexes,https://icons.llamao.fi/icons/protocols/kyberswap-classic.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kyberswap.ts,"{'UserFees': 'Users pay a dynamic fee based on market conditions', 'Fees': 'Kyberswap Classic collects a dynamic fee that increases with market volatility and decreases with stable market conditions', 'Revenue': 'Currently 100% of the dao rewards (10% of the collected fees) goes to all voters (KNC stakers)', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders who stake and participate in the KyberDAO get their share of the fees designated for rewards, currently set at 10% of trading fees', 'SupplySideRevenue': 'Liquidity providers earn 90% fees of trading routed through their pool and selected price range'}",parent#kyberswap,True,,,,,,,,,,,,,,classic,,,,,
6,127,KyberSwap Elastic,kyberswap-elastic,False,KyberSwap - Elastic,kyberswap,Dexes,https://icons.llamao.fi/icons/protocols/kyberswap-elastic.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kyberswap.ts,"{'UserFees': 'Users pay trading fees based pool fee setting: 0.008%, 0.01%, 0.04%, 0.3% and 1%', 'Fees': 'Each pool can have different fees set from the following tires: 0.008%, 0.01%, 0.04%, 0.3% and 1%', 'Revenue': 'Currently 100% of the dao rewards (10% of the collected fees) goes to all voters (KNC stakers)', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders who stake and participate in the KyberDAO get their share of the fees designated for rewards, currently set at 10% of trading fees', 'SupplySideRevenue': 'Liquidity providers earn 90% fees of trading routed through their pool and selected price range'}",parent#kyberswap,True,,,,,,,,,,,,,,elastic,,,,,
7,2361,Mummy Finance,mummy-finance,False,Mummy Finance,mummy-finance,Derivatives,https://icons.llamao.fi/icons/protocols/mummy-finance.jpg,-80.43,-21.58,-65.94,-62.77,-31.02,109.0,557.0,3044.0,16730.0,8176.0,24255.0,203366.9803291779,15643.613871475212,57152.20647374648,{'optimism': {'mummy-finance': 109}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/mummy-finance.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",,True,109.0,,,0.0,,,,139.0,320.0,,,271.0,109.0,,,,,,
8,916,Pika,pika,False,Pika,pika-protocol,Derivatives,https://icons.llamao.fi/icons/protocols/pika.png,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.142569127,67.93404377899999,,{'optimism': {'pika-protocol': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/pika-protocol.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",parent#pika-protocol,True,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,
9,3281,Pika V4,pika-v4,False,Pika V4,pika-protocol-v4,Derivatives,https://icons.llamao.fi/icons/protocols/pika-v4.png,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'pika-protocol-v4': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/pika-protocol-v4.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",parent#pika-protocol,True,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,
