,defillamaId,name,slug,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,latestFetchIsOk,dailyRevenue,dailyHoldersRevenue,dailyCreatorRevenue,dailySupplySideRevenue,dailyProtocolRevenue,dailyBribesRevenue,dailyTokenTaxes,totalFees,totalUserFees,totalVolume7d,totalVolume30d,parentProtocol,dailyUserFees,dailyFees,holdersRevenue30d,versionKey,bribesRevenue30d,totalRevenue,totalProtocolRevenue
0,622,Clipper,clipper,False,Clipper,clipper,Dexes,https://icons.llamao.fi/icons/protocols/clipper.jpg,0.02,0.25,0.98,0.22,1.16,139226.0,139204.0,973538.0,4156532.0,971369.0,4108701.0,46929829.86226185,3609986.9124816814,,{'optimism': {'clipper': 139226}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/clipper.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,0.0,0.0,,,0.0,,,139226.0,139226.0,138880.0,137880.0,,,,,,,,
1,3345,DackieSwap V3,dackieswap-v3,False,DackieSwap V3,dackieswap,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v3.jpg,0.52,3.47,16.59,3.2,27.39,7955.0,7914.0,54784.0,222836.0,53083.0,174930.0,0.0,0.0,,{'optimism': {'dackieswap': 7955}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,,,,7955.0,7955.0,7688.0,6823.0,parent#dackieswap,,,,,,,
2,3515,DackieSwap V2,dackieswap-v2,False,DackieSwap V2,dackieswap-v2,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v2.jpg,0.0,0.0,0.0,0.0,0.0,544.0,544.0,3808.0,16320.0,3808.0,16320.0,0.0,0.0,,{'optimism': {'dackieswap-v2': 544}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap-v2,"{'UserFees': 'User pays 0.25% fees on each swap.', 'Fees': 'All fees comes from the user.', 'Revenue': 'All revenue generated comes from user fees.', 'ProtocolRevenue': 'Treasury receives 0.08% of each swap.', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'LPs receive 0.17% of each swap.'}",True,0.0,0.0,,0.0,0.0,,,544.0,544.0,544.0,544.0,parent#dackieswap,0.0,0.0,,,,,
3,420,Elk,elk,False,Elk,elk,Dexes,https://icons.llamao.fi/icons/protocols/elk.jpg,0.0,0.29,0.72,0.26,0.63,2103.0,2103.0,14709.0,62860.0,14671.0,62466.0,687948.1398839962,52919.08768338432,,{'optimism': {'elk': 2103}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/elk.ts,"{'UserFees': 'Users pay a trading fee of 0.3%', 'Fees': 'Is collected 0.3% of each swap', 'Revenue': 'Treasury have no revenue', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders have no revenue from swap fees', 'SupplySideRevenue': 'LP earn a 0.3% of each swap'}",True,0.0,0.0,,0.0,0.0,,,2103.0,2103.0,2097.0,2088.0,,0.0,0.0,0.0,,,,
4,2981,Kwenta,kwenta,True,Kwenta,kwenta,Derivatives,https://icons.llamao.fi/icons/protocols/kwenta.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/kwenta.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",True,,,,,,,,,,,,,,,,,,,
5,2361,Mummy Finance,mummy-finance,False,Mummy Finance,mummy-finance,Derivatives,https://icons.llamao.fi/icons/protocols/mummy-finance.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/mummy-finance.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",True,,,,,,,,,,,,,,,,,,,
6,119,Sushi Trident,sushi-trident,False,Sushi Trident,sushiswap,Dexes,https://icons.llamao.fi/icons/protocols/sushi-trident.png,0.0,0.04,0.19,0.05,0.18,60429.0,60427.0,422931.0,1811223.0,422719.0,1808002.0,21412192.782964196,1647091.7525357073,,{'optimism': {'trident': 60429}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/sushiswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,,,,60429.0,60429.0,60405.0,60316.0,parent#sushi,2.0,2.0,0.0,trident,,,
7,119,SushiSwap V3,sushiswap-v3,False,SushiSwap V3,sushiswap,Dexes,https://icons.llamao.fi/icons/protocols/sushiswap.png,0.08,0.77,3.14,0.79,3.17,83802.0,83734.0,584542.0,2475772.0,579985.0,2399697.0,18785465.586761042,1445035.8143662312,,{'optimism': {'v3': 83802}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/sushiswap,"{'UserFees': 'Users pay between 0.01% to 1% fee', 'Fees': 'Each pool charge between 0.01% to 1% fee', 'Revenue': '0 to 1/4 of the fee goes to treasury', 'ProtocolRevenue': 'Treasury receives a share of the fees', 'HoldersRevenue': 'None', 'SupplySideRevenue': 'Liquidity providers get most of the fees of all trades in their pools'}",True,0.0,0.0,,65.0,0.0,,,83802.0,83802.0,83159.0,81247.0,parent#sushi,65.0,65.0,0.0,v3,,,
8,1799,Velodrome V1,velodrome-v1,False,Velodrome V1,velodrome,Dexes,https://icons.llamao.fi/icons/protocols/velodrome-v1.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/velodrome,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,,,,,,,,parent#velodrome,,,,,,,
9,1700,Wombat Exchange,wombat-exchange,False,Wombat Exchange,wombat-exchange,Dexes,https://icons.llamao.fi/icons/protocols/wombat-exchange.png,0.0,0.0,0.05,0.0,0.15,77062.0,77062.0,539431.0,2311572.0,539413.0,2308164.0,0.0,0.0,,{'optimism': {'wombat-exchange': 77062}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/wombat-exchange.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,0.0,0.0,,,0.0,,,77062.0,77062.0,77061.0,77025.0,,,,,,,,
