,defillamaId,name,slug,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,latestFetchIsOk,dailyRevenue,dailyHoldersRevenue,dailyCreatorRevenue,dailySupplySideRevenue,dailyProtocolRevenue,dailyBribesRevenue,dailyTokenTaxes,totalRevenue,totalProtocolRevenue,totalHoldersRevenue,totalVolume7d,totalVolume30d,parentProtocol,dailyUserFees,dailyFees,holdersRevenue30d,totalUserFees,totalFees,totalSupplySideRevenue,versionKey,bribesRevenue30d
0,622,Clipper,clipper,False,Clipper,clipper,Dexes,https://icons.llamao.fi/icons/protocols/clipper.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'clipper': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/clipper.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,3515,DackieSwap V2,dackieswap-v2,False,DackieSwap V2,dackieswap-v2,Dexes,https://icons.llamao.fi/icons/protocols/dackieswap-v2.jpg,0.0,0.0,0.0,0.0,0.0,544.0,544.0,3808.0,16320.0,3808.0,16320.0,0.0,0.0,,{'optimism': {'dackieswap-v2': 544}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/dackieswap-v2,"{'UserFees': 'User pays 0.25% fees on each swap.', 'Fees': 'All fees comes from the user.', 'Revenue': 'All revenue generated comes from user fees.', 'ProtocolRevenue': 'Treasury receives 0.08% of each swap.', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'LPs receive 0.17% of each swap.'}",True,0.0,0.0,,0.0,0.0,,,544.0,,,544.0,544.0,parent#dackieswap,0.0,0.0,,,,,,
2,420,Elk,elk,False,Elk,elk,Dexes,https://icons.llamao.fi/icons/protocols/elk.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'elk': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/elk.ts,"{'UserFees': 'Users pay a trading fee of 0.3%', 'Fees': 'Is collected 0.3% of each swap', 'Revenue': 'Treasury have no revenue', 'ProtocolRevenue': 'Treasury have no revenue', 'HoldersRevenue': 'Holders have no revenue from swap fees', 'SupplySideRevenue': 'LP earn a 0.3% of each swap'}",True,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
3,2361,Mummy Finance,mummy-finance,False,Mummy Finance,mummy-finance,Derivatives,https://icons.llamao.fi/icons/protocols/mummy-finance.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/mummy-finance.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",True,,,,,,,,,,,,,,,,,,,,,
4,119,SushiSwap V3,sushiswap-v3,False,SushiSwap V3,sushiswap,Dexes,https://icons.llamao.fi/icons/protocols/sushiswap.png,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'v3': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/sushiswap,"{'UserFees': 'Users pay between 0.01% to 1% fee', 'Fees': 'Each pool charge between 0.01% to 1% fee', 'Revenue': '0 to 1/4 of the fee goes to treasury', 'ProtocolRevenue': 'Treasury receives a share of the fees', 'HoldersRevenue': 'None', 'SupplySideRevenue': 'Liquidity providers get most of the fees of all trades in their pools'}",True,0.0,0.0,,65.0,0.0,,,0.0,0.0,0.0,0.0,0.0,parent#sushi,65.0,65.0,0.0,,,,v3,
5,1461,WOOFi Swap,woofi-swap,False,WOOFi Swap,woofi,Dexes,https://icons.llamao.fi/icons/protocols/woofi.png,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/woofi.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,,,,,,,,,parent#woofi,,,,,,,,
6,756,Angle,angle,False,Angle,angle,CDP,https://icons.llamao.fi/icons/protocols/angle.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/angle,"{'UserFees': 'Interest paid to borrow', 'Fees': 'Interest paid by borrowers', 'Revenue': 'Interest paid by borrowers', 'ProtocolRevenue': 'Interest paid by borrowers'}",True,,,,,,,,,,,,,,,,,,,,,
7,742,Furucombo,furucombo,False,Furucombo,furucombo,Services,https://icons.llamao.fi/icons/protocols/furucombo.png,0.0,0.0,1.59,0.22,0.84,896.0,896.0,6272.0,26642.0,6258.0,26421.0,0.0,0.0,,{'optimism': {'furucombo': 896}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/furucombo,{},True,0.0,,,,0.0,,,896.0,,,896.0,882.0,,,0.0,,,896.0,,,
8,894,Paraswap,paraswap,False,Paraswap,paraswap,DEX Aggregator,https://icons.llamao.fi/icons/protocols/paraswap.jpg,0.0,0.6,4.42,0.52,4.02,66190.0,66188.0,462057.0,1944669.0,459686.0,1869548.0,15882217.222786887,1221709.017137452,,{'optimism': {'paraswap': 66190}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/paraswap.ts,{},True,83.0,,,,,,,66190.0,,,65793.0,63391.0,,,83.0,,,66190.0,,,
9,381,Premia V2,premia-v2,False,Premia V2,premia,Options,https://icons.llamao.fi/icons/protocols/premia-v2.jpg,0.0,0.0,0.0,0.0,0.0,26935.0,26935.0,188545.0,808050.0,188545.0,808050.0,9802941.126382602,754072.3943371219,,{'optimism': {'v2': 26935}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/premia,"{'UserFees': 'Traders pay taker fees on each trade up to 3% of the option premium.', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'The protocol collects 20% of the taker fees.', 'HoldersRevenue': 'vxPREMIA holders collect 80% of the taker fees.', 'SupplySideRevenue': 'Liquidity providers earn revenue from market-making options.'}",True,0.0,0.0,,0.0,0.0,,,26935.0,,,26935.0,26935.0,parent#premia,0.0,0.0,0.0,,26935.0,0.0,v2,
