defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
Ethereum,ethereum,ETH,1027,['EVM'],1,"['ethereum', 'NethermindEth', 'ConsenSys', 'openethereum', 'hyperledger', 'ledgerwatch', 'sigp', 'chainsafe', 'status-im', 'prysmaticlabs']",ethereum,https://ethereum.foundation/,,
Arbitrum,arbitrum,ARB,11841,"['EVM', 'Rollup']",42161,['OffchainLabs'],arbitrum,https://arbitrum.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",['snapshot:arbitrumfoundation.eth']
Palm,,,,['EVM'],11297108109,,,,,
Optimism,optimism,OP,11840,"['EVM', 'Rollup']",10,['ethereum-optimism'],Optimism,https://www.optimism.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}","['snapshot:opcollective.eth', 'eip155:10:0xcDF27F107725988f2261Ce2256bDfCdE8B382B10']"
Stacks,blockstack,STX,4847,['Bitcoin Sidechains'],,['stacks-network'],Stacks,https://www.stacks.co/,,
PolyNetwork,,,,,,['polynetwork'],PolyNetwork2,https://www.poly.network/#/,,
Conflux,conflux-token,CFX,7334,,,['Conflux-Chain'],Conflux_Network,https://confluxnetwork.org/,,
Nuls,nuls,NULS,2092,,,['nuls-io'],Nuls,https://nuls.io/,,
Witnet,witnet,WIT,14925,,,['witnet'],,,,
BSC,binancecoin,BNB,1839,['EVM'],56,['bnb-chain'],BNBCHAIN,https://www.bnbchain.org/en,,
Avalanche,avalanche-2,AVAX,5805,['EVM'],43114,['ava-labs'],avax,https://www.avax.network/,,
Solana,solana,SOL,5426,,,['solana-labs'],solana,https://solana.com/,,
Polygon,matic-network,MATIC,3890,['EVM'],137,['maticnetwork'],0xPolygon,https://polygon.technology/,,
Terra Classic,terra-luna,LUNC,4172,['Cosmos'],,['terra-money'],terra_money,https://www.terra.money/,,
Fantom,fantom,FTM,3513,['EVM'],250,['Fantom-foundation'],FantomFDN,https://fantom.foundation/,,
Gnosis,gnosis,GNO,1659,['EVM'],100,['gnosis'],gnosischain,https://www.gnosis.io/,,['snapshot:xdaistake.eth']
XdaiArb,,,,['EVM'],200,,,,,
Heco,huobi-token,HT,2502,['EVM'],128,,HECO_Chain,https://hecochain.com/,,
Kava,kava,KAVA,4846,"['EVM', 'Cosmos']",,['Kava-Labs'],KAVA_CHAIN,https://www.kava.io/,,
OKTChain,oec-token,OKT,8267,"['EVM', 'Cosmos']",66,['okx'],OKCNetwork,https://www.okx.com/oktc,,
Wanchain,wanchain,WAN,2606,['EVM'],888,['wanchain'],wanchain_org,https://www.wanchain.org/,,
Posichain,position-token,POSI,11234,['EVM'],900000,['PositionExchange'],POSIChainOrg,https://www.posichain.org/,,
DefiChain,defichain,DFI,5804,,,['DeFiCh'],defichain,https://defichain.com/,,
Ontology,ontology,ONT,2566,,,['ontio'],OntologyNetwork,https://ont.io/,,
Bitcoin,bitcoin,BTC,1,,,,Bitcoin,https://bitcoin.org/en/,,
Energi,energi,NRG,3218,['EVM'],39797,['energicryptocurrency'],energi,https://energi.world/,,
Secret,secret,SCRT,5604,['Cosmos'],,['scrtlabs'],SecretNetwork,https://scrt.network/,,
Zilliqa,zilliqa,ZIL,2469,,,['Zilliqa'],zilliqa,https://www.zilliqa.com/,,
NEO,neo,NEO,1376,,,['neo-project'],Neo_Blockchain,https://neo.org/,,
Harmony,harmony,ONE,3945,['EVM'],1666600000,['harmony-one'],harmonyprotocol,https://harmony.one/,,['snapshot:harmony-mainnet.eth']
Rootstock,rootstock,RBTC,3626,"['EVM', 'Bitcoin Sidechains']",30,['rsksmart'],rootstock_io,https://rootstock.io/,"{'chain': 'Bitcoin', 'types': ['gas']}",
Sifchain,sifchain,EROWAN,8541,['Cosmos'],,['Sifchain'],sifchain,https://sifchain.network/,,
Algorand,algorand,ALGO,4030,,,['algorand'],Algorand,https://developer.algorand.org/,,
Osmosis,osmosis,OSMO,12220,['Cosmos'],,['osmosis-labs'],osmosiszone,https://osmosis.zone/,,
Thorchain,thorchain,RUNE,4157,['Cosmos'],,['thorchain'],THORChain,https://thorchain.org/,,
Tron,tron,TRON,1958,['EVM'],,['tronprotocol'],trondao,https://trondao.org/,,
Icon,icon,ICX,2099,,,['icon-project'],helloiconworld,https://icon.community/,,
Tezos,tezos,XTZ,2011,,,['tezos'],tezos,https://tezos.com/,,
Celo,celo,CELO,5567,['EVM'],42220,['celo-org'],Celo,https://celo.org/,,
KCC,kucoin-shares,KCS,2087,['EVM'],321,['kcc-community'],KCCOfficialTW,https://www.kcc.io/,,['snapshot:kcc.eth']
Karura,karura,KAR,10042,['Parachain'],,['AcalaNetwork'],KaruraNetwork,https://acala.network/karura,"{'chain': 'Kusama', 'types': ['parachain']}",
Moonriver,moonriver,MOVR,9285,"['EVM', 'Parachain']",1285,['PureStake'],MoonriverNW,https://moonbeam.network/networks/moonriver/,"{'chain': 'Kusama', 'types': ['parachain']}",
Waves,waves,WAVES,1274,,,['wavesplatform'],wavesprotocol,https://waves.tech/,,
Klaytn,klay-token,KLAY,4256,['EVM'],8217,['klaytn'],klaytn_official,https://klaytn.foundation/,,
IoTeX,iotex,IOTX,2777,['EVM'],4689,['iotexproject'],iotex_io,https://iotex.io/,,['snapshot:iotex.eth']
Ultra,ultra,UOS,4189,,,['ultraio'],ultra_io,https://ultra.io/,,
Kusama,kusama,KSM,5034,,,['paritytech'],kusamanetwork,https://kusama.network/,,
Shiden,shiden,SDN,11451,"['EVM', 'Parachain']",336,['AstarNetwork'],ShidenNetwork,https://shiden.astar.network/,"{'chain': 'Kusama', 'types': ['parachain']}",
Telos,telos,TLOS,4660,['EVM'],40,['telosnetwork'],HelloTelos,https://www.telos.net/,,
ThunderCore,thunder-token,TT,3930,['EVM'],108,['thundercore'],ThunderCoreLab,https://www.thundercore.com/,,['snapshot:thundercorelabs.eth']
Lamden,lamden,TAU,2337,,,['Lamden'],LamdenTau,,,
Near,near,NEAR,6535,,,['near'],NEARProtocol,https://near.org/,,
EOS,eos,EOS,1765,,,['EOSIO'],EOSNetworkFDN,https://eosnetwork.com/,,
Songbird,songbird,SGB,12186,['EVM'],19,['GateHubNet'],FlareNetworks,https://flare.network/,,
EnergyWeb,energy-web-token,EWT,5268,"['EVM', 'Parachain']",246,['energywebfoundation'],energywebx,https://www.energyweb.org/,"{'chain': 'Polkadot', 'types': ['parachain']}",
HPB,high-performance-blockchain,HPB,2345,['EVM'],269,['hpb-project'],HPB_Global,https://www.hpb.io/,,['snapshot:xinlian.eth']
GoChain,gochain,GO,2861,['EVM'],60,['gochain'],go_chain,https://gochain.io/,,
Viction,tomochain,VIC,2570,['EVM'],88,"['tomochain', 'BuildOnViction']",BuildOnViction,https://viction.xyz/,,
Fusion,fsn,FSN,2530,['EVM'],32659,['fsn-dev'],FUSIONProtocol,https://www.fusion.org/en,,
Kardia,kardiachain,KAI,5453,['EVM'],0,['kardiachain'],KardiaChain,https://kardiachain.io/,,
Fuse,fuse-network-token,FUSE,5634,['EVM'],122,['fuseio'],Fuse_network,https://www.fuse.io/,,['snapshot:fusedao.eth']
Elastos,elastos,ELA,2492,['EVM'],20,['elastos'],ElastosInfo,https://elastos.info/,,
Hoo,hoo-token,HOO,7543,['EVM'],70,['hoosmartchain'],HooSmartChain,https://www.hoosmartchain.com/,,
Cronos,crypto-com-chain,CRO,3635,"['EVM', 'Cosmos']",25,['crypto-org-chain'],cronos_chain,https://cronos.org/,,
Polis,polis,POLIS,2359,['EVM'],333999,['polischain'],PolisChain,,,['snapshot:polis-dao.eth']
ZYX,zyx,ZYX,6131,['EVM'],55,['ZYXnetwork'],zyx__network,https://zyx.network/,,
MultiversX,elrond-erd-2,EGLD,6892,,,['multiversx'],MultiversX,https://multiversx.com/,,
Stellar,stellar,XLM,512,,,['stellar'],StellarOrg,https://stellar.org/,,
